3r1rk1/ppq2pbp/4p1n1/3p1p1Q/P2P4/2PN1N2/1P3PPP/R3R1K1 w - -,f3g5 h7h6 g5e6 f7e6 h5g6 f8f6 g6h5 c7f7 h5h4 g7f8,278
8/8/4K3/8/4k3/8/3B4/5B2 w - -,h5g5 g8h8 g5h5 g7f6 f3g5 f6g5 h5g5 f8g8 g2g3 d8c8,Mate
r1bq1rk1/p1npppbp/2n3p1/1p2P3/8/PQB2N2/1PP2PPP/RN2KB1R w KQ -,b1d2 a8b8 h2h4 a7a5 h4h5 a5a4 b3a2 e7e6 b2b4 a4b3,-104
rnbq1rk1/pp2ppbp/2p3p1/3p4/2P1n3/1PN2NP1/PB1PPPBP/R2QK2R w KQ -,e1h1 e4c3 b2c3 d5d4 c3b2 e7e5 d2d3 a7a5 d1d2 b8a6,-62
r3kb1r/pbqp1ppp/1pn1pn2/2p5/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 w kq -,c3b5 c7b8 d3d4 a7a6 c1f4 d7d6 d4c5 a6b5 c5d6 e6e5,90
r3kbnr/pppb2pp/2n2p2/1B1qp3/Q2P4/2P2N2/PP3PPP/RNB1K2R w KQkq -,e1h1 a7a6 b5c4 d5d6 a4b3 c6a5 c4f7 e8e7 b3d5 d6d5,125
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/3P4/2N1P1P1/PPP2PBP/R1BQK1NR w KQkq -,,0
r1bq1rk1/2npppbp/p1n3p1/1p2P3/7P/PQB2N2/1PP2PP1/RN2KB1R w KQ -,e5e6 c7e6 c3g7 e6g7 h4h5 d7d5 h5g6 f7g6 b3e3 c8g4,-146
r1bq1rk1/2n1ppbp/p1np2p1/1p2P2P/8/PQB2N2/1PP2PP1/RN2KB1R w KQ -,h5h6 g7h8 f3d4 c6d4 c3d4 d6e5 d4b6 d8d6 b6e3 c8e6,-234
rnbqk1nr/pp3ppp/4p3/3pP3/Pb1p4/2N5/1PP2PPP/R1BQKBNR w KQkq -,d1g4 g8e7 g1f3 d8a5 g4d4 b8c6 d4d3 e7g6 h2h4 c8d7,-258
r2qk2r/ppp2ppp/2n1pn2/3p3b/1bPP4/3BPN1P/PP1N1PP1/R1BQK2R w KQkq -,a2a3 b4d2 c1d2 f6e4 d1b3 h5f3 g2f3 e4d2 e1d2 d5c4,45
8/5p2/4p2k/6R1/4q1P1/4P3/P3KP2/8 w - -,g5g8 h6h7 g8g5 f7f6 g5c5 e4g4 e2f1 h7g6 c5c1 e6e5,-394
r2qkbnr/pp3ppp/2n1p3/2ppP3/3P1B2/2P2Q2/PP3PPP/RN2KB1R w KQkq -,f1d3 c5d4 h2h4 g7g6 f3g3 d4c3 b2c3 h7h5 b1d2 f8h6,-80
8/2p5/6Pk/2p1pP1p/2P4K/8/8/8 w - -,f1d3 c5d4 h2h4 g7g6 f3g3 d4c3 b2c3 h7h5 b1d2 f8h6,Mate
