r2qkb1r/pp1b1ppp/2np1n2/1B2p3/4P3/1NN5/PPP2PPP/R1BQK2R w KQkq -,c1g5 a7a6 b5c4 d7e6 g5f6 d8f6 c3d5 f6d8 d5e3 g7g6,83
r1bqr1k1/1ppp1ppp/p1nb1n2/4p3/B3P3/2N2N2/PPPP1PPP/R1BQR1K1 w - -,a2a3 c6d4 d2d3 b7b5 a4b3 d4b3 c2b3 c8b7 b3b4 h7h6,-55
1K1k4/1PR5/8/8/8/8/r7/8 w - -,a2a3 c6d4 d2d3 b7b5 a4b3 d4b3 c2b3 c8b7 b3b4 h7h6,Mate
1KR5/1P1k4/8/8/8/8/r7/8 w - -,c8c7 d7d8 c7c4 a2a3 c4d4 d8e7 b8c7 a3c3 c7b6 c3b3,5385
r1bqk2r/ppp3pp/2n2n2/3ppP2/1bB5/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,e1h1 d5c4 f1e1 e8h8 c1g5 c8f5 f3e5 c6e5 e1e5 f5g6,-668
rn1qkb1r/pbpp1ppp/1p2pn2/6B1/3P4/2N2N2/PPP1PPPP/R2QKB1R w KQkq -,a2a4 f8e7 g5f6 e7f6 e2e4 e8h8 e4e5 f6e7 f1d3 c7c5,-32
r1bqk1nr/ppp2pbp/3pn1p1/8/2P1P3/2N1B3/PP3PPP/R2QKBNR w KQkq -,d1d2 b7b6 g1e2 c8b7 g2g3 g8f6 f2f3 f6d7 f1g2 d7e5,58
1K6/1P2k3/8/8/8/3R4/8/r7 w - -,d3d4 e7e6 b8c7 a1c1 c7b6 c1b1 b6c6 e6f5 d4d5 f5e4,Mate
rnbqkb1r/1p3ppp/p3pn2/8/2BP4/1QN5/PP3PPP/R1B1K1NR w KQkq -,b3a4 b8d7 g1f3 f8e7 e1h1 e8h8 a4d1 b7b5 c4b3 b5b4,-73
3k4/1p6/1PP5/4K3/8/8/8/8 w - -,b3a4 b8d7 g1f3 f8e7 c4d3 e8h8 a4d1 b7b5 a2a3 c8b7,Mate
8/1P6/1K2k3/8/3R4/8/8/1r6 w - -,b3a4 b8d7 g1f3 f8e7 c4d3 e8h8 a4d1 b7b5 a2a3 c8b7,Mate
rnb1kbnr/ppp2ppp/4p3/8/3q4/2N5/PPP1QPPP/R1B1KBNR w KQkq -,c1g5 g8f6 g1f3 d4d8 g5d2 b8c6 e1a1 c8d7 d2g5 f8d6,-25
r1bq1rk1/1ppp1ppp/p1n2n2/2b1p3/B3P3/2P2N2/PP1PQPPP/RNB1K2R w KQ -,b2b4 c5b6 e1h1 d7d6 d2d3 c6e7 a4b3 e7g6 c1e3 b6e3,-45
8/1P6/2K1k3/8/3R4/8/8/2r5 w - -,b2b4 c5b6 e1h1 d7d6 d2d3 c6e7 a4b3 e7g6 c1e3 b6e3,Mate
8/1P6/4k3/1K6/3R4/8/8/1r6 w - -,b2b4 c5b6 e1h1 d7d6 d2d3 c6e7 a4b3 e7g6 c1e3 b6e3,Mate
rnb1k1nr/pp2q1pp/2p1p3/3p1p2/2PP4/4PN2/PP3PPP/RN1QKB1R w KQkq -,f1d3 g8f6 e1h1 f6e4 b1c3 b8d7 c3e2 e8h8 a1c1 a7a5,125
r1bqkbnr/1pp2ppp/p1n5/4p3/P1pP4/2N1P3/1P3PPP/R1BQKBNR w KQkq -,d4d5 c6a5 g1f3 c8g4 c1d2 g8f6 h2h3 g4f3 d1f3 f8b4,-229
r1b1k2r/pppp1ppp/2q2n2/2b5/4P3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,e4e5 c5e3 f2e3 f6e4 c3d5 e8d8 f1e2 f7f5 d1d4 h8e8,98
rnbq1rk1/pppp1ppp/5n2/2b1p3/2P5/2NPP3/PP3PPP/R1BQKBNR w KQ -,g1f3 b8c6 d3d4 e5d4 e3d4 c5b6 f1e2 d7d5 c4c5 b6a5,52
r2qkbnr/1b1n1ppp/p2pp3/1pp5/4PP2/2NP1NP1/PPP3BP/R1BQK2R w KQkq -,d1e2 f8e7 a2a4 d8b6 e1h1 g8f6 f4f5 e6e5 a4a5 b6d8,68
r1bqk1nr/pp2ppbp/2np2p1/2p5/4PP2/N1P2N2/PP1P2PP/R1BQKB1R w KQkq -,f1d3 g8f6 e1h1 a7a6 d3b1 b7b5 d2d3 e8h8 a3c2 b5b4,-35
r1bq1rk1/pppp1pp1/2n2n1p/2b1p3/2B1P3/1P1P1N2/P1P2PPP/RNBQ1RK1 w - -,a2a3 d7d6 b3b4 c5b6 a3a4 a7a5 b4b5 c6e7 b1d2 c7c6,-36
r1bqkb1r/pp1n1p1p/4pp2/2P5/2p5/4PN2/PP3PPP/RN1QKB1R w KQkq -,d1c2 d8a5 b1d2 c4c3 b2c3 d7c5 f1e2 a5c7 d2b3 f8g7,-31
r1bqk2r/pppp2pp/2n1p3/2b5/2P3n1/4PN2/PP3PPP/RNBQKB1R w KQkq -,h2h3 g4f6 f1e2 b7b6 e1h1 c8b7 b2b3 e8h8 c1b2 d8e7,71
r1bq1rk1/ppp2ppp/2nb1n2/3p4/3P4/5NP1/PPP2PBP/RNBQ1RK1 w - -,f1e1 h7h6 b1c3 c6e7 c3b5 d6b4 c2c3 b4a5 f3e5 c7c6,-26
r1bq1rk1/ppp2pp1/2np1n1p/2b1p3/2B1P3/1P1P1N2/PBP2PPP/RN1Q1RK1 w - -,b1c3 a7a6 c3d5 c6a5 d1e1 a5c4 b3c4 c8d7 b2c3 f6d5,-72
r2qkbnr/2pb1ppp/p1np4/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq -,b1c3 b5a4 d2d4 g8e7 c3d5 e7g6 b2b4 f8e7 c2c4 e8h8,-623
rnbqk1nr/ppp2pbp/3p2p1/4p3/3PP3/2N1B3/PPP2PPP/R2QKBNR w KQkq -,d4e5 d6e5 d1d8 e8d8 e1a1 b8d7 g1f3 c7c6 f3g5 d8e8,172
r2qkbnr/pbpp1ppp/1pn1p3/1B6/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq -,a2a3 a7a6 b5d3 g7g6 d4d5 c6e7 c2c4 f8g7 e1h1 g8f6,113
r1q2rk1/p2pbp1p/bp2pnp1/8/3nPP2/1NP2R2/PPB3PP/R1BQ2K1 w - -,f4f5 d4f3 d1f3 a6b7 a2a4 e6f5 c1g5 b7e4 c2e4 f6e4,-907
rnbq1rk1/2p1ppbp/p2p1np1/1p6/3PP3/2N1BP2/PPPQ2PP/2KR1BNR w - -,h2h4 b5b4 c3d5 f6d5 e4d5 c8b7 h4h5 b7d5 h5g6 f7g6,161
r2qk1nr/pp3ppp/2npp3/1N1p1b2/3P4/4P3/PPP2PPP/R2QKBNR w KQkq -,g1f3 a7a6 b5c3 g8f6 f1d3 f5g6 e1h1 e8h8 d3g6 h7g6,-58
3r4/4kr2/R7/8/8/8/8/6K1 w - -,g1f3 a7a6 b5c3 g8f6 f1d3 f5g6 e1h1 e8h8 d3g6 h7g6,Mate
2r3k1/pb1p1r1p/1pq1ppp1/3nP3/3P1P1Q/7R/PP4PP/R1BB2K1 w - -,d1f3 f6e5 f4e5 c6c1 a1c1 c8c1 g1f2 c1c2 f2g1 d5f4,-253
r1bqk1nr/pppp1ppp/2n5/4p3/1bP5/3P1N2/PP2PPPP/RNBQKB1R w KQkq -,d1d2 b4d2 c1d2 d7d5 c4d5 d8d5 e2e3 c8g4 b1c3 d5d7,-807
