r1bqk2r/pppp1pp1/2n2n1p/2b1p1B1/4P3/3P1N2/PPP1QPPP/RN2KB1R w KQkq -,g5f6 d8f6 b1c3 c6d4 c3d5 f6d6 e2d2 d4f3 g2f3 c7c6,-101
r1bqkb1r/pp1ppp1p/2n2np1/1Bp5/4PP2/5N2/PPPP2PP/RNBQK2R w KQkq -,d2d3 d8a5 b1c3 c6d4 b5a4 b7b5 a4b3 d4b3 c2b3 b5b4,-100
rnbqk2r/ppp2p2/4p2p/3pP1p1/1b1Pn1Q1/2N5/PPP2PPP/R1B1KBNR w KQkq -,a2a3 b4c3 b2c3 c7c5 f1d3 h6h5 g4f3 e4c3 d4c5 b8c6,70
r3kb1r/ppp1pppp/2n5/3b4/3P4/8/PPP2PPP/R1B1KBNR w KQkq -,c2c4 d5e4 c1e3 c6b4 e1d2 e7e5 d4d5 b4c2 a1c1 c2e3,-139
rnbq1rk1/pp2ppbp/2p2np1/3p4/2PPP3/2N2P2/PP2N1PP/R1BQKB1R w KQ -,c1g5 d5c4 d1d2 b7b5 h2h4 b5b4 c3d1 c6c5 d4d5 b8d7,-100
rnbqkbnr/pppp1p1p/6p1/3Pp3/8/8/PPP1PPPP/RNBQKBNR w KQkq -,e2e4 g8f6 f1d3 b8a6 d3a6 b7a6 b1c3 f8g7 g1f3 d7d6,78
r1bq1rk1/pp1pnpbp/2n3p1/2p1p3/2P1P3/2NP1NP1/PP3PBP/R1BQK2R w KQ -,a1b1 d7d6 e1h1 c8e6 a2a3 a7a5 c1e3 b7b6 f3e1 d8d7,-10
r1b1kbnr/1pqp1ppp/p1n1p3/2p5/P1BPP3/2N2N2/1PP3PP/R1BQK2R w KQkq -,d4c5 f8c5 d1e2 d7d6 c1e3 c5e3 e2e3 g8f6 e1a1 e8h8,-206
rn1qkb1r/pp3ppp/2pp1n2/3Pp3/4P1b1/5N2/PPP1BPPP/RNBQK2R w KQkq -,f3d2 g4e2 d1e2 c6d5 e4d5 b8d7 b1c3 f8e7 d2c4 e8h8,41
rn1qkb1r/pp3ppp/3p1n2/3pp3/4P1b1/2N2N2/PPP1BPPP/R1BQK2R w KQkq -,e1h1 d5d4 c3d5 f6d5 e4d5 g4f3 e2b5 b8d7 d1f3 f8e7,-91
rn1qk2r/ppp1bppp/3p1n2/7b/2BNP3/2N2P2/PPP3PP/R1BQK2R w KQkq -,d4f5 e8h8 h2h4 h5g6 f5e7 d8e7 c1g5 h7h5 d1d2 b8d7,319
4k3/R7/8/3KP3/8/6r1/8/8 w - -,,0
5k2/6r1/R2N4/p2bP3/8/5K2/8/8 w - -,f3f4 g7g1 d6f5 g1e1 f5e3 d5b3 e5e6 f8e7 e3f5 e7f6,21
r1bqkb1r/pp3ppp/2n2n2/1B1p4/3Q4/2N5/PPP2PPP/R1B1K1NR w KQkq -,c1e3 a7a6 b5c6 b7c6 e1a1 f8e7 d4b6 d8b6 e3b6 a8b8,-30
r2qkb1r/ppp2ppp/2n1bn2/3pp3/4P3/2NP1N2/PPP1BPPP/R1BQ1RK1 w kq -,e4d5 f6d5 d3d4 e5d4 c3b5 d8d7 b5d4 c6d4 d1d4 d5b6,82
r1bqk2r/ppppbppp/2n5/4P3/2B2pn1/2N2N2/PPPP2PP/R1BQK2R w KQkq -,c4b3 e7h4 e1f1 g4e5 f3e5 c6e5 d2d4 e5g6 d1e2 e8f8,-264
rnbqk2r/1pp1bppp/p3pn2/3p2B1/3P4/4PN2/PPPN1PPP/R2QKB1R w KQkq -,f1d3 b8d7 c2c3 h7h6 g5h4 b7b6 h4g3 c8b7 f3e5 c7c5,55
r1bqk2r/pp2ppbp/2np1np1/2p5/2P1P3/2NPB2P/PP3PP1/R2QKBNR w KQkq -,f1e2 e8h8 g1f3 e7e5 d1d2 c6d4 e3g5 d4e6 h3h4 a7a6,-22
r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/3PP1P1/PPP1NPBP/RNBQ1RK1 w - -,b1d2 c8e6 c2c4 d8d7 b2b3 f8e8 c1b2 a8d8 c4d5 e6d5,-56
8/Q7/6k1/8/8/4K3/8/8 w - -,b1d2 c8e6 c2c4 d8d7 b2b3 f8e8 c1b2 a8d8 c4d5 e6d5,Mate
8/8/8/2k5/Q7/6K1/8/8 w - -,b1d2 c8e6 c2c4 d8d7 b2b3 f8e8 c1b2 a8d8 c4d5 e6d5,Mate
8/8/8/8/2k5/Q5K1/8/8 w - -,b1d2 c8e6 c2c4 d8d7 b2b3 f8e8 c1b2 a8d8 c4d5 e6d5,Mate
8/8/8/8/2k3K1/8/3Q4/8 w - -,b1d2 c8e6 c2c4 d8d7 b2b3 f8e8 c1b2 a8d8 c4d5 e6d5,Mate
rn2r1k1/1p3p2/pqb1pbp1/3pN3/P2P2P1/2PB1N1Q/1P3P2/R3K2R w KQ -,b1d2 c8e6 c2c4 d8d7 b2b3 f8e8 c1b2 a8d8 c4d5 e6d5,Mate
