8/1k1K4/2R5/8/8/8/8/8 w - -,e2e3 c7c5 b1d2 b8c6 c1b2 e7e6 f1e2 f8d6 f3h4 e8h8,Mate
rnbq1rk1/ppp1ppbp/3p2p1/8/2PP1n2/2N1PN2/PP2BPPP/R2QK2R w KQ -,e1h1 f4e2 d1e2 e7e6 c4c5 b7b6 d4d5 g7c3 c5d6 d8d6,-923
rnbqk2r/ppp2ppp/4p3/3p4/3PnB2/P1b1P3/1PP1NPPP/R2QKB1R w KQkq -,d1d2 c3d2 e1d1 e4f2 d1d2 f2h1 e2c3 e8h8 f1e2 h1f2,-1669
rnbqkbnr/pp1ppppp/8/8/8/2p5/PB1PPPPP/RN1QKBNR w KQkq -,b1c3 b8c6 g1f3 d7d5 e2e3 e7e6 f1e2 g8f6 e1h1 f8e7,-81
rnbqkb1r/pp2nppp/2p1p3/3p4/3PP3/4BP2/PPP3PP/RN1QKBNR w KQkq -,c2c3 e7g6 e4e5 c6c5 f3f4 d8b6 d1d2 b8c6 g1f3 c8d7,65
rnbq1rk1/ppp1b1pp/3pp3/5p2/3Pn3/5NP1/PPPNPPBP/R1BQR1K1 w - -,c2c4 d6d5 f3e5 b8d7 d2f3 d7e5 f3e5 d5c4 e5c4 b7b6,68
r1bqk2r/ppp2ppp/2nb1n2/3p4/4p3/4P1P1/PPPP1PBP/RNBQNRK1 w kq -,b1a3 h7h5 c2c4 h5h4 c4d5 c6e5 a3b5 e8f8 b5d6 d8d6,-213
8/4Q3/8/2K2b2/5k2/8/8/8 w - -,b1a3 h7h5 c2c4 h5h4 c4d5 c6e5 a3b5 e8f8 b5d6 d8d6,Mate
r2qkbnr/pbpppppp/1pn5/8/8/2NP1N2/PPP1PPPP/R1BQKB1R w KQkq -,d3d4 d7d5 e2e4 d5e4 c3e4 g8f6 e4f6 e7f6 f1d3 d8e7,27
rnbqkb1r/pp2pppp/2p2n2/8/1Pp5/4P3/PB1P1PPP/RN1QKBNR w KQkq -,g1f3 b7b5 a2a3 a7a5 b4a5 e7e6 d1c2 d8a5 a3a4 a5b6,-111
r1bqkb1r/pp3ppp/2n1pn2/2Pp4/2P5/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,c4d5 e6d5 c1e3 f8e7 g2g3 f6g4 e3d4 e8h8 f1g2 c6d4,90
rn2kbnr/pp3ppp/2p5/4p3/4P3/2N2P2/PPP2P1P/R1BK1B1R w kq -,f3f4 b8d7 f4e5 d7e5 d1e2 e5g6 f2f4 f8e7 h1g1 e7c5,46
8/8/8/8/2k5/8/2BK4/1N6 w - -,d2e3 c4d5 b1d2 d5c5 c2b3 c5b6 e3e4 b6a6 b3c4 a6a7,15414
r6k/6pq/4N3/8/8/8/6PP/6K1 w - -,d2e3 c4d5 b1d2 d5c5 c2b3 c5b6 e3e4 b6a6 b3c4 a6a7,Mate
8/5kP1/7K/8/6P1/8/8/8 w - -,d2e3 c4d5 b1d2 d5c5 c2b3 c5b6 e3e4 b6a6 b3c4 a6a7,Mate
rnbq1rk1/ppp2ppp/3p1n2/2b1p3/2P5/P1N3P1/1P1PPPBP/R1BQK1NR w KQ -,b2b4 c5d4 c1b2 e5e4 d2d3 f6g4 g1h3 e4e3 f2f3 g4f2,27
4r1k1/5Npp/8/8/8/8/Q3qPPP/7K w - -,d2d3 a7a5 e2e3 f8e8 g1e2 c7c6 e1h1 c8f5 d3d4 c5a7,Mate
4r2k/6pp/7N/8/8/8/Q3qPPP/7K w - -,d2d3 a7a5 e2e3 f8e8 g1e2 c7c6 e1h1 c8f5 d3d4 c5a7,Mate
6rk/6pp/7N/8/8/8/4qPPP/7K w - -,d2d3 a7a5 e2e3 f8e8 g1e2 c7c6 e1h1 c8f5 d3d4 c5a7,Mate
rnbqk2r/pppp1ppp/3b4/8/3Pn3/5N2/PP3PPP/RNBQKB1R w KQkq -,a2a3 d6e7 b1c3 d7d5 f1d3 e4f6 e1h1 e8h8 f1e1 c7c6,-96
r1bqkbnr/pp2pppp/2n5/3p4/5B2/4P3/PP1N1PPP/R2QKBNR w KQkq -,f4g3 e7e6 g1f3 g8f6 f1d3 f8e7 e1h1 d8b6 e3e4 e8h8,-187
r1bqkbnr/ppp1p1pp/2n5/4Pp2/8/8/PPPP2PP/RNBQKBNR w KQkq -,g1f3 c6d4 c2c3 d4f3 d1f3 e7e6 d2d4 c8d7 f3b7 a8b8,96
8/8/8/3Nk3/2B5/1K6/8/8 w - -,b3c3 e5f5 c3d4 f5g6 c4a2 g6g5 d5b4 g5f5 b4c2 f5f4,9605
r1bqk2r/pp2bppp/2nppn2/8/3NPP2/2NB4/PPP3PP/R1BQK2R w KQkq -,d3e2 e8h8 c1e3 e6e5 d4c6 b7c6 f4e5 d6e5 d1d8 f8d8,-27
1Q6/8/8/3k4/3n4/5K2/8/8 w - -,d3e2 e8h8 c1e3 e6e5 d4c6 b7c6 f4e5 d6e5 d1d8 f8d8,Mate
rnbqkb1r/pp4pp/2p2n2/3p1p2/2PP4/5N2/PP1N1PPP/R1BQKB1R w KQkq -,c4d5 c6d5 f1b5 c8d7 b5d7 b8d7 e1h1 f8e7 d1c2 g7g6,97
8/2b2kpp/4p3/ppp1P3/6P1/2PP4/PP5P/6K1 w - -,g1g2 c7e5 h2h4 a5a4 d3d4 c5d4 c3d4 e5d4 b2b3 a4b3,-687
r1bqk2r/ppp2ppp/5n2/2bPp1N1/1nB5/8/P1PP1PPP/RNBQK2R w KQkq -,c1a3 c8g4 f2f3 g4f5 a3b4 c5b4 c2c3 b4c5 d1a4 f6d7,-294
r1b1kb1r/ppqp1ppp/2n2n2/1B2p3/Q3P3/5N2/PPP2PPP/RNB1K2R w KQkq -,e1h1 a7a6 b5d3 d7d5 e4d5 f6d5 f1e1 f8d6 c2c4 d5b4,13
r2qk2r/1bpp1ppp/p1n5/1pb1p3/4P1n1/1BP2N2/PP1P1PPP/RNBQR1K1 w kq -,d2d4 e5d4 h2h3 g4f2 g1f2 d4c3 f2f1 c3b2 c1b2 e8h8,273
8/8/4k3/7n/5Q2/6K1/8/8 w - -,,0
rnbqk2r/ppppppbp/5np1/8/2P5/P5P1/1P1PPP1P/RNBQKBNR w KQkq -,e2e3 d7d5 c4d5 f6d5 g1e2 e8h8 f1g2 c7c5 e1h1 b8c6,-60
rn1qk1nr/pp3ppp/1bp1p3/3pPb2/3P1P2/2P2N2/PP4PP/RNBQKB1R w KQkq -,a2a4 g8e7 f1d3 e8h8 e1h1 b8d7 b1a3 a8c8 b2b4 a7a5,57
rnbqk2r/pp1pppbp/2p2np1/8/3P1B2/5N2/PPPQPPPP/RN2KB1R w KQkq -,b1c3 d7d5 h2h3 e8h8 e2e3 c8f5 f1d3 e7e6 e1h1 b8d7,15
r1bqkb1r/ppp2pp1/3p1n1p/8/2BpP3/2N4P/PPP2PP1/R1BQK2R w KQkq -,c3b5 c7c5 e1h1 a7a6 b5d6 f8d6 e4e5 e8h8 e5d6 b7b5,-178
8/8/8/4k3/2KN4/3B4/8/8 w - -,d4c6 e5e6 c6d4 e6f6 c4d5 f6e7 d5e5 e7f7 d4e2 f7g7,8066
8/5N2/4k3/8/8/3B4/3K4/8 w - -,d3c4 e6f6 d2e3 f6g7 e3d4 g7f6 d4e4 f6e7 e4e5 e7d7,4947
rnbq1bnr/ppppkppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQ -,d2d4 e7e8 c2c4 f8b4 b1c3 e8f8 f1d3 d7d6 e1h1 b4c3,246
rnbq1b1r/ppppkppp/4pn2/8/3PP3/5N2/PPP2PPP/RNBQKB1R w KQ -,e4e5 f6e4 f1d3 d7d5 e1h1 c7c5 d1e2 e7e8 d3e4 d5e4,295
rnbqkb1r/pppp1ppp/4p3/8/4n3/1P2P3/PBPP1PPP/RN1QKBNR w KQkq -,g1f3 d7d5 c2c4 b8d7 d1c2 c7c6 f1e2 f8d6 e1h1 e8h8,90
rn1qkbnr/pp3ppp/4b3/3p4/5p2/1B3N2/PPPP2PP/RNBQK2R w KQkq -,d2d3 f8d6 b1c3 g8f6 c3e2 d8c7 d1d2 e8h8 e1h1 b8c6,-78
r2qkb1r/1b1npppp/pp1p1n2/8/3NP3/8/PPP2PPP/RNBQRBK1 w kq -,f2f3 a8c8 c2c4 e7e6 c1e3 f8e7 d1d2 e8h8 b1c3 d7e5,85
r2qkbnr/pppb1pp1/2n1p2p/1B6/3PN3/5N2/PPP2PPP/R1BQK2R w KQkq -,d1e2 g8f6 e4f6 d8f6 d4d5 c6b8 e1h1 f8d6 f1e1 e8h8,130
rn1qk2r/1ppb1ppp/4pn2/p7/QbpP4/5NP1/PP1BPPBP/RN2K2R w KQkq -,a4a3 b4a3 b1a3 b7b5 f3e5 a8a6 e5d7 d8d7 a1d1 e8h8,-809
r1b1k2r/ppp2pp1/2np1q1p/2b1p3/2B1P3/2NP3P/PPP2PP1/R2QK1NR w KQkq -,d3d4 c5d4 g1f3 d4c3 b2c3 e8h8 f3d2 c6e7 a2a4 g8h8,-312
rnbqkb1r/pp4pp/2p2n2/3p1p2/2PPp3/2N3P1/PP1NPPBP/R1BQK2R w KQkq -,a2a3 f8e7 e1h1 e8h8 d1b3 b7b6 f2f3 g8h8 f1d1 h7h6,-84
rnbqk2r/ppp1ppb1/5n1p/3p2p1/2PP4/6B1/PP2PPPP/RN1QKBNR w KQkq -,c4c5 f6e4 b1c3 h6h5 f2f3 e4g3 h2g3 e7e5 d4e5 d5d4,-137
rnbqkb1r/1p3ppp/p3pn2/2p5/2BP4/4PN2/PP1N1PPP/R1BQK2R w KQkq -,e1h1 b8d7 c4e2 f8e7 d4c5 e7c5 a2a3 a6a5 d2c4 b7b6,50
r1bqkb1r/1p1n1ppp/p3pn2/2p5/2BP4/4PN2/PP1N1PPP/R1BQ1RK1 w kq -,a2a4 b7b6 e3e4 f8e7 f3g5 e8h8 e4e5 f6d5 d2e4 h7h6,32
r2qkb1r/1pp1pppp/p1n2n2/1B1p1bB1/3P4/2N1P3/PPP2PPP/R2QK1NR w KQkq -,b5f1 d8d7 g5h4 e8a8 a2a3 h7h5 b2b4 e7e5 b4b5 a6b5,-67
rn2kb1r/pp2pppp/3p1n2/8/2PN2q1/2N5/PP3PPP/R1BQ1RK1 w kq -,d1a4 g4d7 d4b5 b8c6 c1g5 a8c8 a1e1 a7a6 g5f6 a6b5,184
8/8/8/8/4K3/3N4/3kB3/8 w - -,,0
8/8/8/4NB2/3K4/8/1k6/8 w - -,e5c6 b2b3 f5g6 b3b2 d4c4 b2a2 c4c3 a2a1 g6d3 a1a2,20000
8/8/3K2k1/8/3N4/8/6B1/8 w - -,d6e5 g6f7 g2e4 f7g7 e5e6 g7f8 e4b1 f8g8 b1c2 g8g7,9605
8/8/3K4/8/8/7k/4Q1n1/8 w - -,d6e5 g6f7 g2e4 f7g7 e5e6 g7f8 e4b1 f8g8 b1c2 g8g7,Mate
rnbqk1nr/pppp1ppp/8/2b5/3NpP2/8/PPPPP1PP/RNBQKB1R w KQkq -,e2e3 d7d5 b1c3 g8f6 d2d3 e4d3 f1d3 e8h8 e1h1 f8e8,-113
r1bqk2r/pppp1pp1/2n4p/2b5/2Bpn3/2P2N1P/PP3PP1/RNBQ1RK1 w kq -,b1d2 e4d2 d1d2 e8h8 c3d4 c5b4 d2c2 d7d5 c4b5 d8f6,-149
8/8/8/2k1K3/3N4/8/8/6B1 w - -,d4f5 c5c6 e5e6 c6c7 f5e7 c7b7 e6d6 b7b8 d6c6 b8a8,15305
8/8/2k1N3/4K3/8/8/8/6B1 w - -,e6d4 c6b7 d4f5 b7b8 g1f2 b8b7 e5d6 b7a8 d6c6 a8b8,4942
8/8/8/3KB3/k7/3B4/8/8 w - -,e6d4 c6b7 d4f5 b7b8 g1f2 b8b7 e5d6 b7a8 d6c6 a8b8,Mate
rnbqk2r/pp2ppbp/3p1np1/2p5/8/1PN3P1/PBPPPPBP/R2QK1NR w KQkq -,c3a4 e8h8 c2c4 a7a6 a4c3 b8c6 d2d3 c8d7 g1f3 b7b5,-36
8/8/8/4k3/6P1/8/6K1/8 w - -,,0
r1bqkbnr/ppp3pp/2np4/4pp2/2PP4/2N3P1/PP2PP1P/R1BQKBNR w KQkq -,g1f3 g8f6 d4e5 d6e5 d1d8 e8d8 c1g5 d8e8 g5f6 g7f6,87
8/8/8/2R2K2/1k6/8/8/8 w - -,c1e3 g8f6 d4d5 c6b8 f1h3 g7g6 g1f3 b8a6 d1a4 d8d7,Mate
rnbq1b1r/pppk1ppp/2N5/3p2n1/8/3P4/PPP1QPPP/RNB1KB1R w KQ -,c6d8 d7d8 c1g5 f7f6 g5f4 b8c6 c2c3 c6e7 b1d2 c7c6,1337
rnbqk2r/ppp1bppp/2N5/3p2n1/8/3P4/PPP1QPPP/RNB1KB1R w KQkq -,c6d8 e8d8 e2e5 g5e6 e5d5 b8d7 f1e2 c7c6 d5a5 d8e8,923
