8/1k1K4/2R5/8/8/8/8/8 w - -,e2e3 c7c5 b1d2 b8c6 c1b2 e7e6 f1e2 f8d6 f3h4 e8h8,Mate
r1bqk2r/p3bppp/1pn1pn2/2pp2B1/3P4/2P2NP1/PP2PPBP/RN1Q1RK1 w kq -,d4c5 b6c5 c3c4 e8h8 b1c3 a8b8 c4d5 e6d5 a1c1 b8b2,-43
r2qk2r/ppp1ppbp/2n2np1/8/2BP2b1/2N1PN2/PP3PPP/R1BQ1RK1 w kq -,d1b3 c6a5 c4f7 e8f8 b3a3 g4f3 g2f3 f8f7 a3a5 d8d7,190
r3kb1r/ppp1pppp/2nq1n2/7b/2PP4/5N1P/PP2BPP1/RNBQK2R w KQkq -,d4d5 c6e5 e1h1 h5f3 e2f3 g7g6 b1c3 f8g7 c3b5 d6d7,169
r1bqk2r/pp2bppp/2np1n2/2pNp3/2B1P3/5N1P/PPPP1PP1/R1BQK2R w KQkq -,d5f6 e7f6 c2c3 e8h8 e1h1 c8e6 c4e6 f7e6 f3h2 d6d5,25
rnbqkbnr/1pp1pppp/p7/1N6/8/8/PPPP1PPP/R1BQKBNR w KQkq -,b5c3 b8c6 g1f3 c8f5 f1c4 e7e6 e1h1 d8d7 d2d3 g8f6,-9
rnbq1rk1/p1ppppbp/1p3np1/6B1/2PP4/2N5/PP1QPPPP/R3KBNR w KQ -,e2e4 d7d6 f1d3 c7c5 d4d5 f6g4 g1f3 h7h6 g5h4 b8d7,90
r2q1rk1/pppbnppp/2np4/1Bb1p1B1/4P3/2NP1N2/PPP2PPP/R2Q1RK1 w - -,a2a3 c5b6 c3d5 f7f6 d5b6 a7b6 g5h4 g7g5 h4g3 g8g7,-28
r1b2rk1/ppqn1p2/6p1/3p3p/4P1N1/1P1B1P1P/P2N2P1/Q4R1K w - -,g4e3 c7e5 e3d5 e5a1 f1a1 d7e5 d3f1 c8e6 d2c4 e5c4,-201
r1bq1rk1/pppp1ppp/5n2/4n3/1b2P3/1BN5/PPPP2PP/R1BQK1NR w KQ -,h2h3 d7d5 g1f3 e5f3 d1f3 d5e4 f3g3 c7c6 h1f1 b4d6,-263
rnb1k1nr/pp2p2p/3p2p1/q1pP1pB1/2P5/2P2N2/P3PPPP/R2QKB1R w KQkq -,f3d2 h7h6 g5e3 a5c3 a1b1 b8d7 g2g3 c3g7 d2f3 g8f6,-57
r1bqkbnr/pp1npppp/8/2pp4/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq -,c2c4 d5c4 f1c4 g8f6 d4c5 e7e6 b2b4 b7b6 a2a4 b6c5,81
r1bqkb1r/pp3ppp/2n1p3/2ppPn2/5P2/3P1NP1/PPP4P/RNBQKB1R w KQkq -,b1a3 a8b8 c2c3 b7b5 f1h3 b5b4 a3c2 b4c3 b2c3 d8a5,-98
r1bqkbnr/1ppp2pp/p1n5/4pp2/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,d2d4 d7d6 e4f5 c8f5 e1h1 d8d7 f1e1 e8a8 d4d5 c6e7,252
rnbqk2r/ppp2pbp/3p1np1/4p1B1/3PP3/2NB4/PPP2PPP/R2QK1NR w KQkq -,d4e5 d6e5 d3e2 d8d1 a1d1 c8e6 g1f3 e8h8 g5e3 b8c6,74
rnbqk2r/ppp2pbp/5np1/4p1B1/4P3/2NB4/PPP2PPP/R2QK1NR w KQkq -,f2f4 h7h6 g5h4 b8c6 g1f3 c8g4 d1e2 c6d4 e2f2 g4f3,80
r2qkbnr/ppp1ppp1/7p/3p1b2/1n1P1B2/4PN2/PPPN1PPP/R2QKB1R w KQkq -,g2g4 f5c2 d1c1 a8c8 a2a3 b4d3 f1d3 c2d3 f3e5 d3h7,-131
r1bq1k1r/pppp1ppp/2n2n2/2b1p1N1/2B1P3/3P4/PPP2PPP/RNBQK2R w KQ -,g5f7 d8e8 f7h8 d7d5 c4d5 f6d5 e4d5 c6e7 b1c3 f8g8,552
5R2/8/8/3k4/5K2/8/8/8 w - -,b1c3 d7d5 c3d5 h7h6 g5f3 c8g4 c2c3 c6a5 b2b4 a5c4,Mate
rnb2rk1/ppp2ppp/4pn2/3q4/3P4/2b1P3/PPQB1PPP/R3KBNR w KQ -,g1f3 c3d2 f3d2 c8d7 a1c1 d7c6 c2b1 d5d6 b2b4 a7a6,-823
1RK5/P5k1/8/8/8/2P5/8/r7 w - -,g1f3 c3d2 c2d2 c7c5 f1d3 b8c6 e1h1 c5d4 e3d4 g8h8,Mate
r1bqk2r/pppnppbp/3p1np1/1B6/4P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,a2a4 e8h8 e1h1 d7c5 c1e3 f6g4 e3g5 c7c6 b5c4 d6d5,36
r1bk3r/ppp1bpp1/2p5/4Pn1p/8/2N2N1P/PPP2PP1/R1B2RK1 w - -,c3e4 d8e8 a2a4 c8e6 a4a5 a8d8 c2c3 e6d5 f1e1 d5e4,29
8/8/8/4k3/8/1N2K3/6B1/8 w - -,b3d4 e5f6 d4e2 f6g7 g2d5 g7h7 e2g1 h7h6 e3d4 h6g7,7400
r1bqk2r/2pp1ppp/p4n2/npb1p3/B3P3/2PP1N2/PP3PPP/RNBQK2R w KQkq -,a4c2 a5c6 d3d4 e5d4 c3d4 c5b4 b1d2 d7d6 e1h1 b4a5,175
r3k2r/2q1n2p/p3P1p1/1p2pp2/8/2PBB3/P1PR2PP/1R4K1 w kq -,c3c4 f5f4 e3f2 e8a8 d2e2 b5c4 f2b6 c4d3 b6c7 d3e2,-769
4k3/R7/8/4K3/8/8/8/8 w - -,c3c4 f5f4 e3f2 e8a8 d2e2 b5c4 f2b6 c4d3 b6c7 d3e2,Mate
r1bqk2r/ppp2ppp/4pn2/3pB3/1b1P4/2N5/PPP1PPPP/R2QKB1R w KQkq -,d1d3 c7c6 e2e3 e8h8 f1e2 a7a5 e1h1 b7b6 d3d1 c8a6,-32
r1bqk1nr/1p1nbppp/p2p4/2pPp3/P3P3/3B4/1PP2PPP/RNBQK1NR w KQkq -,g1e2 g8f6 e2c3 e8h8 b1a3 f6e8 a3c4 d7b6 c4e3 g7g6,192
r1bqkb1r/pppp1p1p/2n2n2/6p1/2B1Pp2/2N2N2/PPPP2PP/R1BQK2R w KQkq -,e4e5 d7d5 c4b5 f6h5 f3d4 g5g4 d1e2 d8d7 e5e6 f7e6,-105
rnbqk2r/pp3pp1/4pn1p/2bp4/2P4B/5N2/PP2PPPP/RN1QKB1R w KQkq -,d1c2 d5d4 b1d2 b8c6 a2a3 c5e7 b2b4 b7b6 a1d1 c8b7,-65
r3k1nr/ppp2ppp/2nq4/3p4/3P2b1/2N2N2/PP2PPPP/R2QKB1R w KQkq -,e2e3 g8f6 h2h3 g4f3 d1f3 e8h8 f1d3 c6b4 d3f5 c7c5,35
r1bqkbnr/pppp3p/2n2pp1/4p2Q/2B5/4P3/PPPP1PPP/RNB1K1NR w KQkq -,h5d1 d7d5 c4b3 g8e7 d2d4 c6a5 b3a4 c7c6 c2c3 a5c4,-82
rnbq1rk1/pppp1ppp/8/2b1p3/2B1P1n1/2N2N2/PPPP1PPP/R1BQ1RK1 w - -,h2h3 g4f6 f3e5 c5d4 c4f7 f8f7 e5f7 g8f7 c3b5 d4b6,277
rnbq1rk1/pppp1ppp/8/2b1p3/2B1P3/2N2N1P/PPPP1nP1/R1BQ1RK1 w - -,f1f2 c5f2 g1f2 d7d6 d2d4 c8e6 d4d5 e6c8 g2g4 b8d7,271
rnbqk2r/ppp2ppp/3b1n2/3pp3/8/1P2PN2/PBPP1PPP/RN1QKB1R w KQkq -,b2e5 d6e5 f3e5 e8h8 c2c3 c7c5 d2d4 f6e4 f1d3 c5d4,145
rn1qkb1r/pp2pp1p/6p1/2p5/3PP1b1/2P2N2/P4PPP/R1BQKB1R w KQkq -,f1c4 g4d7 f3e5 e7e6 d1f3 d8e7 a1b1 b7b6 d4c5 h7h6,381
r1bqk2r/pp1pppbp/2n2np1/2Q5/2B1P3/2N5/PPPP1PPP/R1B1K1NR w KQkq -,d2d3 d7d6 c5e3 e8h8 g1f3 c8g4 e1h1 e7e6 e3f4 g4f3,107
r1bqkbnr/1p1p1ppp/p7/1N2p3/2PpP3/8/PP1PBPPP/R1BQK2R w KQkq -,d1b3 a6b5 b3b5 f8d6 d2d3 g8e7 c1d2 b7b6 b5b3 d6c7,-429
r2qkbnr/ppp3pp/2n2p2/3pp3/3P1Bb1/3BPN2/PPP2PPP/RN1QK2R w KQkq -,d4e5 f6e5 h2h3 g4f3 d1f3 e5f4 f3h5 g7g6 d3g6 h7g6,-571
r2qkb1r/ppp2ppp/2np3n/4p3/2B1PPb1/2N2N2/PPPP2PP/R1BQK2R w KQkq -,h2h3 g4f3 d1f3 c6d4 f3d3 c7c6 e1h1 b7b5 c4b3 d4b3,102
r2qkbnr/ppp3pp/2n5/3p4/4p1b1/3BPNB1/PPP2PPP/RN1QK2R w KQkq -,c2c4 e4f3 e1h1 g8f6 d1b3 f3g2 f1e1 c6b4 d3e2 g4e2,-638
rnbqk1nr/pp2ppbp/2p3p1/3p4/3P4/2PBP3/PP3PPP/RNBQK1NR w KQkq -,f2f4 g8f6 g1f3 e8h8 b1d2 c6c5 a2a4 c5c4 d3c2 c8f5,-13
rnbqk2r/pp2bppp/5n2/3p2B1/2pP4/2P2N2/PP2BPPP/RN1QK2R w KQkq -,b2b3 c4b3 a2b3 e8h8 b1d2 d8c7 a1c1 b8c6 g5f6 e7f6,20
rn1qkbnr/ppp1ppp1/7p/5b2/2pP4/5NP1/PP2PP1P/RNBQKB1R w KQkq -,b1d2 g8f6 f1g2 e7e6 f3e5 c7c6 d2c4 f8b4 c1d2 b4d2,114
r1bqk1nr/pp3ppp/2n1p3/3p4/2PP4/5N2/PP1N1PPP/R2QKB1R w KQkq -,c4c5 g8e7 f1b5 e8h8 e1h1 f7f6 f1e1 d8c7 d1b3 a7a6,43
rnbqk1nr/ppp2ppp/8/4p3/1bpPP3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,d1a4 b8c6 d4d5 g8e7 d5c6 e7c6 f1c4 e8h8 e1h1 b4d6,401
rnbqk1nr/pp3ppp/2p5/3pP3/1b2P3/5P2/PPP3PP/RNBQKBNR w KQkq -,e1e2 g8e7 g2g3 e8h8 f1g2 d8c7 c2c3 b4c5 b1d2 d5e4,-123
r1bqk1nr/ppppbppp/2n5/4p2Q/4P3/5P2/PPPP2PP/RNB1KBNR w KQkq -,a2a4 d7d6 f3f4 g8f6 h5d1 f6e4 g2g3 e5f4 f1g2 e4f6,-405
rnbqk1nr/ppp1ppbp/3p2p1/8/4P3/2N5/PPPPQPPP/R1B1KBNR w KQkq -,e2e3 e7e5 g1f3 b8c6 f1c4 g8f6 d2d3 e8h8 c3e2 d6d5,-62
r2qkbnr/ppp2ppp/2n1p3/3pPb2/3P4/5Q2/PPP2PPP/RNB1KBNR w KQkq -,f3e3 c6b4 b1a3 f5c2 g1h3 h7h5 f1e2 c7c6 e1h1 h5h4,-261
r1bqkbnr/p4ppp/2p5/2ppp3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,e4d5 f7f6 d5c6 g8e7 d2d3 e7c6 f3d2 f8e7 d2c4 c8b7,62
r1bqkb1r/pp2nppp/2n1p3/3pP3/2pP4/2P2N2/PP1N1PPP/R1BQKB1R w KQkq -,a2a4 c6a5 b2b4 c4b3 d2b3 a5b3 d1b3 e7c6 f1d3 c8d7,94
r1bqkbnr/ppp2ppp/2n5/8/2PP1p2/5N2/PP4PP/RNBQKB1R w KQkq -,d4d5 d8e7 f1e2 c6e5 e1h1 g7g5 b1c3 g8h6 h2h4 h6f5,95
rnb1k2r/pp1pppbp/5np1/q1pP4/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f3d2 d7d6 a2a4 a7a6 d2c4 a5c7 f2f3 b8d7 f1e2 e8h8,164
rn1qkb1r/ppp1pppp/8/3n1b2/3P4/5N1P/PPP2PP1/RNBQKB1R w KQkq -,a2a3 e7e6 c2c4 d5f6 g2g4 f5g6 f1g2 c7c6 d1e2 d8c7,97
rnb1kb1r/ppppqppp/5n2/4p3/4P3/5NP1/PPPP1P1P/RNBQKB1R w KQkq -,b1c3 d7d6 f1g2 c7c6 d2d4 g7g6 e1h1 f8g7 a2a4 a7a5,74
r2qkb1r/ppp2ppp/2npbn2/4p3/4P3/2NP1N1P/PPP1BPP1/R1BQK2R w KQkq -,d3d4 e5d4 f3d4 c6d4 d1d4 f8e7 c1f4 e8h8 e1a1 f8e8,96
r1bqkb1r/pp3ppp/2n1pn2/2p5/3p4/1P3NP1/PBPPPPBP/RN1Q1RK1 w kq -,f1e1 f8e7 e2e3 e6e5 e3d4 e5d4 b1a3 e8h8 c2c3 c8g4,73
r1bqk1nr/pppp1ppp/8/4n3/1b6/2N5/PPPBPPPP/R2QKBNR w KQkq -,a2a3 b4c5 g1f3 d7d6 e2e3 g8f6 c3a4 e5c6 f1d3 e8h8,77
rnbqkbnr/ppp2p1p/8/4p1N1/3P2p1/8/PPP1P1PP/RNBQKB1R w KQkq -,b1a3 f7f5 e2e4 f5f4 g5h3 b8c6 h3f4 e5f4 c1f4 f8a3,-137
r1bqkbnr/pp3ppp/2p5/3pP3/8/6P1/PPP1PP1P/RNBQKB1R w KQkq -,f1g2 h7h5 e1h1 h5h4 e2e4 h4h3 g2h1 d5e4 d1d8 e8d8,119
rn1qk2r/ppp2ppp/4p3/3p1b2/1bPPn3/2NBPN2/PP3PPP/R1BQK2R w KQkq -,e1h1 b4c3 b2c3 d5c4 d3c4 e8h8 d1b3 b8d7 b3b7 d7b6,89
r2q1rk1/ppp2pp1/1bnpbn1p/8/4P2B/1NN5/PPP1QPPP/2KR1B1R w - -,c1b1 f8e8 f2f3 c6e5 b3d4 b6d4 d1d4 a7a6 e2d1 e5g6,75
8/8/8/8/8/2k5/r7/3K4 w - -,h2h3 a7a5 a2a3 a5a4 b3d2 g7g5 h4g3 c6d4 e2e1 f6h5,Mate
r1bqkb1r/pp3ppp/2n2n2/3pp1B1/2PP4/2N5/PP3PPP/R2QKBNR w KQkq -,d4e5 d5d4 c3d5 c6e5 d1e2 f8d6 g5f6 g7f6 f2f4 c8e6,135
rn1qkbnr/pp2p1pp/2p2p2/3p1bB1/3P4/2P2N2/PP2PPPP/RN1QKB1R w KQkq -,g5e3 e7e6 d1b3 d8b6 e3f4 b8d7 h2h4 g8h6 f4h6 g7h6,-40
rnbqkb1r/p4ppp/2p2n2/1p1p4/B2P4/4P3/PP3PPP/RNBQK1NR w KQkq -,a4b5 c6b5 a2a3 b8c6 g1e2 f8d6 b1c3 a8b8 e2f4 b5b4,-460
r2qkb1r/1p2pppp/p1np1n2/2p5/P1B1P3/2NP1b1P/1PP2PP1/R1BQK2R w KQkq -,d1d2 f3g2 h1h2 c6d4 h2g2 d4f3 e1f1 f3d2 c1d2 e7e6,-812
rnbqk2r/ppp3pp/3ppn2/5pB1/2PP4/P1P5/4PPPP/R2QKBNR w KQkq -,g2g3 h7h6 g5f6 d8f6 a1b1 e6e5 f1g2 c7c6 e2e3 b8d7,-43
rnbq1rk1/ppp3pp/3ppn2/5pB1/2PP4/P1P1P3/5PPP/R2QKBNR w KQ -,f1d3 h7h6 g5f6 d8f6 a3a4 a7a5 g1e2 b7b6 e2f4 b8d7,-73
r2qkb1r/pppn1ppp/5n2/3p4/3P4/4P3/PP3PPP/RNBQK1NR w KQkq -,c1d2 c7c6 b1c3 f8d6 g1e2 e8h8 e1h1 f8e8 d1c2 g7g6,-67
r2qkbnr/pp1n1ppp/2p1p3/3p1b2/2PP4/P3PN2/1P3PPP/RNBQKB1R w KQkq -,b2b4 g8f6 b1c3 h7h5 c1b2 h5h4 h2h3 f6e4 f1e2 d8f6,-23
rnb1kbnr/pp2pppp/8/2pp4/2PP1B2/5N2/Pq2PPPP/RN1QKB1R w KQkq -,d1b3 b2a1 e2e3 c5d4 c4d5 b8d7 f4e5 d7c5 f1b5 e8d8,-320
8/5Q2/7k/8/8/5K2/8/8 w - -,d1b3 b2a1 e2e3 c5d4 c4d5 b8d7 f4e5 d7c5 f1b5 e8d8,Mate
8/8/8/5Q2/3K4/8/8/7k w - -,d1b3 b2a1 e2e3 c5d4 c4d5 b8d7 f4e5 d7c5 f1b5 e8d8,Mate
rnbqk2r/4bppp/p2ppn2/1pp3N1/2B1P3/2NP4/PPP2PPP/R1BQ1RK1 w kq -,g5f7 e8f7 c4b3 h8f8 c3d5 b8c6 d5e7 d8e7 a2a4 b5b4,-380
rnbqk2r/ppp1bppp/3pp3/3nP3/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,c3e4 d6e5 d4e5 c7c5 c2c3 c8d7 f1d3 d7c6 d3b1 d8c7,99
rn1qkbnr/ppp2pp1/4p2p/5b2/2B5/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,d2d4 c7c6 f1e1 f8b4 a2a3 b4c3 b2c3 g8e7 c4f1 e8h8,98
rnbqk2r/pp3ppp/2p1pn2/3p4/3P1b2/3BPN2/PPP2PPP/RN1QK2R w KQkq -,b1c3 f4d6 e1h1 b8d7 f3g5 e8h8 g5h7 f6h7 d3h7 g8h7,-915
rn1qk2r/pbppppbp/1p4p1/4P3/2PP2n1/2N2N2/PP3PPP/R1BQKB1R w KQkq -,h2h3 g4h6 f1d3 d7d6 e5e6 f7e6 f3g5 d8c8 d1e2 e8h8,178
r2qkb1r/ppp2ppp/2n1pn2/3p1b2/3P4/P3P1P1/1PP2PBP/RNBQK1NR w KQkq -,b2b3 h7h5 g1f3 f6e4 f3d2 e4d2 c1d2 h5h4 c2c4 h4g3,-59
rn1qk2r/pbppppbp/1p4pn/4P3/2PP4/2N2N1P/PP3PP1/R1BQKB1R w KQkq -,h3h4 d7d6 e5e6 f7e6 f3g5 d8c8 d4d5 e6d5 c4d5 e8h8,184
rnbqkb1r/pp2pppp/2p2n2/3p4/4P3/1P3P2/P1PP2PP/RNBQKBNR w KQkq -,f1e2 e7e5 c1b2 b8d7 e4d5 c6d5 d2d4 f8b4 c2c3 b4d6,-188
r1b1kbnr/4pppp/p1pp4/2q5/4P3/2P2N2/PP3PPP/RNBQK2R w KQkq -,c1e3 c5b5 b1d2 e7e5 a2a4 b5b8 d2c4 g8f6 d1d3 d6d5,78
r1bq1rk1/ppp2ppp/2nb1n2/3p4/3P1P2/5N2/PPP1B1PP/RNBQ1RK1 w - -,f3e5 c6e7 g1h1 c7c5 d4c5 d6c5 b1c3 e7g6 e2f3 c8e6,-109
rn1qkbnr/pp1b1ppp/8/1Bpp4/3Np3/2N1P3/PPPP1PPP/R1BQK2R w KQkq -,e1h1 c5d4 e3d4 g8f6 b5d7 b8d7 d2d3 f8b4 c3d5 f6d5,-553
rnbqk2r/ppp2ppp/3bpn2/3pB3/3P4/2N5/PPP1PPPP/R2QKBNR w KQkq -,e2e4 d6b4 f1d3 d5e4 e5f6 d8f6 d3e4 c7c5 g1e2 e8h8,-22
r1bq1b1r/ppp1kBp1/2p2n1p/8/4P3/8/PPP2PPP/RNBQK2R w KQ -,d1d8 e7d8 f2f3 f8c5 b1c3 h8f8 f7b3 f6h5 c3e2 a7a5,347
rnbqkbnr/1p3ppp/p1pp4/3Pp3/4P3/2N5/PPP2PPP/R1BQKBNR w KQkq -,a2a4 g8f6 f1c4 c6d5 c3d5 c8e6 d5f6 d8f6 c4d5 f6g6,56
rnbqkb1r/1p3ppp/p1pp1n2/3Pp3/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,a2a4 c6d5 e4d5 d8a5 d1d3 e5e4 d3c4 b8c6 f3d2 c6e5,58
8/8/8/8/K7/1NkB4/8/8 w - -,d3e2 c3b2 a4b4 b2c2 b4c4 c2b2 e2d3 b2a3 d3c2 a3b2,20000
rnbqk1nr/pppp1pb1/4p1pp/7P/3PP3/8/PPP2PP1/RNBQKBNR w KQkq -,h5g6 f7g6 f1d3 g8e7 c2c3 b8c6 e1f1 d7d5 e4e5 g6g5,186
rnbqk1nr/pppp2b1/4p1pp/8/3PP3/8/PPP2PP1/RNBQKBNR w KQkq -,e4e5 d7d6 d1g4 g8e7 f1d3 d8d7 g1f3 b8c6 b1c3 c6b4,182
rn1qkbnr/pp3pp1/2p1p3/3pPb1p/3P3P/4B3/PPP2PP1/RN1QKBNR w KQkq -,g1f3 d8b6 b2b3 f5g4 c2c4 g8e7 f1e2 e7f5 c4c5 b6d8,-29
rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/2N4P/PPP1PPP1/R2QKBNR w KQkq -,e2e4 d8b6 g5f6 g7f6 g1f3 b6b2 c3b5 b2b4 d1d2 b4d2,-83
r1bqkb1r/ppppn1pp/2n2p2/4p3/4P3/1P3N2/PBPP1PPP/RN1QKB1R w KQkq -,d2d4 d7d5 d4e5 d5e4 d1d8 c6d8 e5f6 e4f3 f6e7 f8e7,96
r2qkb1r/ppp2pp1/2np1n1p/4p2b/2B1P3/2NPBN1P/PPP2PP1/R2QK2R w KQkq -,g2g4 h5g6 a2a3 f8e7 d1e2 a7a6 c4a2 b7b5 c3d5 a8b8,151
r1bqkb1r/pp2nppp/2n1p3/2p1P3/8/2P2N2/PP1P2PP/RNBQKB1R w KQkq -,b1a3 e7g6 d1e2 a7a6 h2h4 h7h5 d2d3 d8c7 a3c4 b7b5,-112
r1b1kb1r/p3pppp/1qp2n2/3p4/3P4/2P2N2/PP3PPP/RNBQK2R w KQkq -,a2a4 c8a6 b2b4 b6c7 g2g3 c7c8 c1f4 g7g6 b1d2 f8g7,-49
r2qkb1r/pp2pppp/2n2n2/5b2/2BP4/5N2/PP3PPP/RNBQ1RK1 w kq -,d4d5 c6b8 b1c3 g7g6 d5d6 f8g7 d6e7 d8d1 f1d1 b8c6,435
r1bqkbnr/1p1n1ppp/p2pp3/2p5/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,a2a4 f8e7 c1f4 g8f6 a4a5 e8h8 e1h1 b7b6 a5b6 d7b6,63
r1bqkb1r/pp1pnppp/2n1p3/2p1P3/2P5/2NP1N2/PP3PPP/R1BQKB1R w KQkq -,c3b5 e7g6 h2h4 g6e5 f3e5 c6e5 d3d4 c5d4 d1d4 e5c6,-39
r1bq1rk1/pp3ppp/2nb1n2/3p4/3P4/P1NB4/1P2NPPP/R1BQ1RK1 w - -,h2h3 h7h6 f1e1 f8e8 c1e3 a7a6 e2g3 c8e6 d1f3 a8c8,30
r2qkb1r/ppp2ppp/2n2n2/1B1p4/3P2b1/2P2N2/PP3PPP/RNBQK2R w KQkq -,h2h3 g4e6 f3e5 f8d6 e5c6 d8d7 c6a7 c7c6 a7c6 b7c6,82
8/8/2k5/8/8/2K5/2P5/8 w - -,b5d3 f8d6 h2h3 g4d7 e1h1 e8h8 f1e1 f8e8 c1e3 h7h6,Mate
8/8/8/8/kBK5/8/1P6/7q w - -,b5d3 f8d6 h2h3 g4d7 e1h1 e8h8 f1e1 f8e8 c1e3 h7h6,Mate
rnb1kb1r/1pqp1ppp/p3pn2/8/3NP3/4B3/PPPQ1PPP/RN2KB1R w KQkq -,d2c3 b8c6 d4c6 f6e4 c3d4 c7c6 b1d2 e4f6 f1e2 c6c7,-118
8/8/1K1k4/8/8/8/2P5/8 w - -,d2c3 b8c6 d4c6 f6e4 c3d4 c7c6 b1d2 e4f6 f1e2 c6c7,Mate
rnbqk2r/pp2bpp1/2p1pn1p/3p4/3P3B/4PN2/PPPN1PPP/R2QKB1R w KQkq -,f1d3 b8d7 e1h1 b7b6 d1e2 c8b7 c2c3 e8h8 a1d1 a7a5,57
r1bqkb1r/pppppppp/2n2n2/8/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq -,d4d5 c6b8 g2g4 h7h6 f1g2 c7c6 d5d6 e7d6 d1e2 d8e7,-96
rnbq1rk1/pp1p1pbp/2p2pp1/8/2PP4/2N3P1/PP2PP1P/R2QKBNR w KQ -,e2e3 d7d6 f1g2 b8d7 g1e2 a7a5 e1h1 f6f5 a1c1 f8e8,39
rnbqk2r/4bppp/1pp1pn2/3p2B1/3P4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,g5h4 c8a6 e2e3 a6f1 e1f1 c6c5 g2g3 b8c6 f1g2 e8h8,-62
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2P3P1/4P3/PP1P1PBP/RNBQK1NR w KQkq -,d2d3 d7d6 g4g5 f6d7 h2h4 h7h6 g1h3 d7f8 b1c3 c8h3,-61
rnbq1rk1/ppp2ppp/5n2/8/1bBP4/2N4P/PP3PP1/R1BQK1NR w KQ -,g1f3 f8e8 c1e3 c8e6 c4e6 e8e6 e1h1 b8d7 d1b3 a7a5,67
r1bqkb1r/pp1p1ppp/2n2n2/4p3/4P3/4Q3/PPP2PPP/RNB1KBNR w KQkq -,b1d2 d7d5 f1b5 f8d6 g1f3 e8h8 e1h1 c6b4 e3b3 d8b6,-144
rnbq1rk1/6pp/5n2/1pppp3/1b6/P1NBP3/1P2NPPP/R1BQ1RK1 w - -,d3b5 b4c3 b2c3 c8a6 a1b1 a6b5 b1b5 d8d6 a3a4 b8d7,107
3k4/8/4P3/5K2/8/8/8/8 w - -,h2h3 b4c3 b2c3 c8d7 a1b1 c5c4 d3c2 b8a6 e3e4 a6c7,Mate
rnb1kb1r/pp1pqppp/2p5/1B2N3/3Pn3/8/PPP2PPP/RNBQK2R w KQkq -,b5d3 d7d6 d3e4 d6e5 e1h1 e5d4 f1e1 c8e6 e4f5 b8d7,86
rnbq1rk1/pp3ppp/2p2n2/2bpN3/2B1P3/3P4/PPP2PPP/RNBQ1RK1 w - -,b1c3 c5d4 c1f4 d5c4 e5c4 b7b5 c4d2 a7a5 h2h3 f8e8,-228
rnbqk2r/ppp1bppp/3p1n2/8/5P2/1P6/PBPP2PP/RN1QKBNR w KQkq -,f1d3 e8h8 b1c3 b8c6 g1f3 c6b4 d1e2 f8e8 e1a1 e7f8,-158
8/8/8/8/8/4k3/5R2/6K1 w - -,f2f5 e3e4 f5g5 e4d4 g1g2 d4c3 g5d5 c3b3 g2g3 b3b4,Mate
r1bqkbnr/1p3ppp/p1npp3/1Bp5/4PP2/5N2/PPPP2PP/RNBQ1RK1 w kq -,b5a4 b7b5 a4b3 c5c4 d2d4 g8f6 d4d5 e6d5 e4d5 c6e7,-290
rnbqkb1r/pp2nppp/4p3/2p1P3/2Bp4/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,d1e2 b8c6 e1h1 a7a6 a2a4 e7g6 d2d3 b7b6 b1d2 c8b7,-30
r1bqk2r/ppp2p1p/3p1np1/2b1p3/2BnP3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,a2a3 c8g4 c4e2 g4f3 e2f3 h7h6 d2d3 a7a5 c1e3 e8f8,-79
r1bqkbnr/1p3ppp/p1n1p3/2ppP3/5P2/1P6/PBPP2PP/RN1QKBNR w KQkq -,f1e2 g8h6 g1f3 f8e7 e1h1 e8h8 c2c3 f7f6 d2d4 f6e5,-128
r1bqk2r/ppp2ppp/5n2/2bPN3/2Bn4/8/PPP2PPP/RNBQK2R w KQkq -,c1e3 d4c2 d1c2 c5e3 f2e3 d8e7 c2c3 e8h8 e1h1 f8e8,526
rn1qkb1r/pp2pppp/5nb1/3p4/2PP4/2NB4/PP3PPP/R1BQK1NR w KQkq -,c4d5 f6d5 d3g6 h7g6 d1b3 d5c3 b3b7 b8d7 b2c3 a8b8,71
rnbqkb1r/ppp1nppp/8/4p3/3P1p2/2N2N2/PPP1Q1PP/R1B1KB1R w KQkq -,e2e5 b8c6 f1b5 c8e6 c1f4 a7a6 b5c6 e7c6 e5e4 c6b4,126
