r1bqkb1r/ppp3pp/2np1n2/5p2/2PPp3/4P1P1/PP2NPBP/RNBQK2R w KQkq -,f2f3 e4f3 g2f3 g7g6 b1c3 f8g7 b2b3 e8h8 e1h1 c6e7,57
rnb1kb1r/pp3ppp/4pn2/2p4q/3P4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq -,f1g2 f8e7 d4c5 e8h8 e1h1 b8c6 c1g5 e7c5 g5f6 g7f6,97
rn2kb1r/ppp1pppp/5n2/8/3qP1b1/2N2Q2/PPPP2PP/R1B1KBNR w KQkq -,f3f2 d4f2 e1f2 g4d7 g1f3 b8c6 f1c4 f6g4 f2e2 g4e5,-12
8/8/1k1n4/8/8/3K4/8/2Q5 w - -,f3f2 d4f2 e1f2 g4d7 g1f3 b8c6 f1c4 f6g4 f2e2 g4e5,Mate
8/8/8/8/6k1/2R2p2/1r6/5K2 w - -,,0
2R5/p3k2p/1b4p1/1p6/1P3p2/P2Rnn2/7P/4K3 w - -,e1e2 f3e5 d3b3 f4f3 e2e1 e3c4 b3c3 b6d4 c3c2 e5d3,-622
6k1/1R2Q3/6q1/2B2p2/2P2P2/4P3/4R3/r4K2 w - -,e1e2 f3e5 d3b3 f4f3 e2e1 e3c4 b3c3 b6d4 c3c2 e5d3,Mate
6k1/1R2Q3/6q1/2B2p2/2P2P2/4P3/8/4rK2 w - -,e1e2 f3e5 d3b3 f4f3 e2e1 e3c4 b3c3 b6d4 c3c2 e5d3,Mate
r1bqk2r/ppp2ppp/2nbpn2/3p4/3P1P2/4P1B1/PPP3PP/RN1QKBNR w KQkq -,c2c4 b7b6 g3h4 c6e7 h4f6 g7f6 b1c3 c8b7 c4d5 e7d5,-65
r3k2r/ppp2ppp/2n2n2/3qp3/1bPP2b1/4BN2/PP2BPPP/RN1QK2R w KQkq -,d1d2 b4d2 b1d2 d5a5 d4e5 g4f3 e2f3 c6e5 e1h1 e8a8,-776
6k1/1R2Q3/8/2B2p2/2P2P2/4P3/3K1q2/8 w - -,d1d2 b4d2 b1d2 d5a5 d4e5 g4f3 e2f3 c6e5 e1h1 e8a8,Mate
6k1/1R2Q3/8/2B2p2/2P2P2/3KP3/8/5q2 w - -,d1d2 b4d2 b1d2 d5a5 d4e5 g4f3 e2f3 c6e5 e1h1 e8a8,Mate
6k1/1R2Q3/8/2B2p2/2PK1P2/4P3/8/q7 w - -,d1d2 b4d2 b1d2 d5a5 d4e5 g4f3 e2f3 c6e5 e1h1 e8a8,Mate
r2qk2r/pp1bbppp/2n1p1n1/2ppP3/3P4/2P2N2/PPN1BPPP/R1BQK2R w KQkq -,e1h1 e8h8 e2d3 c5d4 c3d4 d8e8 f1e1 f7f6 e5f6 e7f6,50
r1b1kbnr/1pp2ppp/p1p5/8/2q5/8/PPPP1PPP/RNBQ1K1R w kq -,d1e2 c4e2 f1e2 f8d6 d2d3 g8f6 c1g5 e8h8 g5f6 g7f6,-568
rnbqkbnr/p1pp1p2/1p2p2p/6p1/3PP3/5N1P/PPP2PP1/RNBQKB1R w KQkq -,c1e3 c8b7 f1d3 f8g7 c2c4 g8e7 b1c3 e8h8 d4d5 b8a6,133
4R3/8/8/8/Q7/2P2k2/8/K7 w - -,c1e3 c8b7 f1d3 f8g7 c2c4 g8e7 b1c3 e8h8 d4d5 b8a6,Mate
