3r2k1/1p6/2p3pp/R4p2/R3pP2/4Pn2/1P3PKP/5r2 w - -,c3e2 a5a4 b3a2 c6c5 d2d3 g8f6 c2c3 d4c3 b2c3 f8e7,Mate
5rk1/p4rpp/1p1q4/3Npp2/P1Pp4/1P1P2PQ/4N2P/5RK1 w - -,b3b4 a7a5 b4b5 d6a3 e2c1 a3a4 d5b6 a4a3 b6d5 a5a4,81
r2r2k1/1q2npbp/p3p1p1/np6/8/1B2BN2/PPQ2PPP/3RR1K1 w - -,e3d4 a8c8 c2e2 a5b3 d4g7 g8g7 d1d8 c8d8 e2e3 b3d4,-184
8/5pk1/4bRB1/8/7P/8/8/6K1 w - -,f6e6 f7e6 g6d3 g7g8 g1h2 g8h8 h2g3 h8g8 d3e4 g8h8,25
rnbq1rk1/ppppbppp/4p3/8/2PPP2n/2NB1N2/PP3PPP/R1BQK2R w KQ -,f3h4 e7h4 c1e3 d7d6 e1h1 e6e5 f2f4 e5f4 e3f4 b8c6,87
r3nrk1/4bppp/p1q1p3/1p1pPP2/3B4/2N4Q/PPP3PP/3R1RK1 w - -,f5f6 e7c5 f1f3 c5d4 d1d4 c6c5 h3h4 h7h5 g1h1 g7g6,306
r4rk1/pp2ppbp/6pn/1Q1pPq2/5B2/2P5/PP1N1PPP/R3R1K1 w - -,f4h6 g7h6 d2f3 e7e6 a1d1 f8c8 b5b7 a8b8 b7d7 c8c4,48
r4k2/1ppr1pbp/p5p1/3P4/3p4/5B2/PPP2PPP/2R1RK2 w - -,,0
r3k2N/3n3p/2p5/p2p1b2/Pp1Q3B/1B6/1PP5/6K1 w - -,a2a4 a6a5 b2b3 a8b8 g2g3 b7b5 c1b1 h7h5 a4b5 b8b5,Mate
1N6/6k1/5p2/2P5/6Pp/8/5P2/6K1 w - -,a2a4 a6a5 b2b3 a8b8 g2g3 b7b5 c1b1 h7h5 a4b5 b8b5,Mate
8/8/8/8/8/8/2K5/1r3k2 w - -,,0
r1q1kb1r/pb1n1ppp/1p6/2pn4/2B5/4PN2/PPQ2PPP/R1BR2K1 w kq -,e3e4 d5c7 c4f7 e8f7 d1d7 f7e8 f3e5 b7c6 c2b3 c8d7,93
8/8/2p3pp/1k6/3P2P1/2K1P2P/8/8 w - -,e3e4 b5a5 c3c4 a5b6 e4e5 b6b7 c4c5 g6g5 c5d6 b7b6,1352
8/7k/p7/P6P/3Bb1K1/8/5P2/8 w - -,f2f4 e4d3 f4f5 d3e2 g4g5 e2d3 d4e3 d3f1 h5h6 f1e2,889
2rr2k1/pp3ppp/2n5/3pP3/3P4/5N2/PP3PPP/R1B2RK1 w - -,c1d2 c6e7 f1d1 c8c4 b2b3 c4c6 d2g5 d8e8 h2h4 c6c8,587
r1bqkb1r/pp1npppp/5n2/1Bpp4/7N/4P3/PPPP1PPP/RNBQK2R w KQkq -,h4f3 d8c7 d2d4 a7a6 b5e2 e7e5 d4e5 d7e5 f3e5 c7e5,-71
r2qk1nr/1p1bbp2/p1n1p3/3pP2p/6p1/2NBB3/PP1N1PPP/2RQR1K1 w kq -,e3f4 e7g5 g2g3 g5f4 g3f4 g8e7 d2b3 d8b6 d1d2 h8g8,-81
8/5p2/4bkB1/7P/8/8/8/6K1 w - -,,0
r2qr1k1/ppp2ppp/5n2/6B1/8/1Pbb1Q2/1PP2PPP/R2R2K1 w - -,b2c3 d3e4 d1d8 e4f3 d8a8 e8a8 g5f6 f3g2 f6g7 g8g7,-26
1N6/6k1/2P5/5p2/6Pp/8/5P2/6K1 w - -,b2c3 d3e4 d1d8 e4f3 d8a8 e8a8 g5f6 f3g2 f6g7 g8g7,Mate
2kr1b2/1bqp1pp1/p6r/1p3p2/3BNP1p/3B1Q1P/PPP3P1/2KR3R w - -,h1f1 h6e6 d4e5 f5e4 d3e4 b7e4 f3e4 c7c6 e4d3 f7f6,-8
8/R7/8/R1K2k2/8/8/8/8 w - -,h1f1 h6e6 d4e5 f5e4 d3e4 b7e4 f3e4 c7c6 e4d3 f7f6,Mate
r2qr1k1/ppp2ppp/5n2/6B1/4b3/1PP2Q2/2P2PPP/R2R2K1 w - -,d1d8 e4f3 d8a8 e8a8 g2f3 f6e8 c3c4 f7f6 g5f4 a7a5,-22
8/8/6pp/2k5/4P1P1/2K4P/8/8 w - -,h3h4 c5c6 c3d4 c6d6 e4e5 d6e7 d4d5 e7d7 e5e6 d7e8,1387
r2q1rk1/pp1bb1pp/2n1ppn1/2ppP3/3P3P/2P2NP1/PP2BP2/RNBQR1K1 w - -,e2d3 f6e5 d3g6 h7g6 f3e5 c6e5 e1e5 e7f6 e5e1 c5d4,-75
3r1k2/1ppr1pbp/p5p1/3P4/3p4/5B2/PPP1KPPP/2R1R3 w - -,e2d3 a6a5 c1b1 d8a8 a2a4 a8a6 e1e2 g7f6 b2b3 a6b6,14
