rn1qkb1r/1p1bpppp/p4n2/1B1p4/8/2N5/PPPPQPPP/R1B1K1NR w KQkq -,b5d3 b8c6 g1f3 d7g4 h2h3 c6d4 e2e3 g4f3 g2f3 d4c6,-174
rnb1kb1r/pp2pppp/2p2n2/3p4/3P1B2/2NBP3/PqP2PPP/R2QK1NR w KQkq -,c3b5 c6b5 g1e2 b8c6 e1h1 b2a3 d3b5 e7e6 a1b1 f8e7,-389
rnbqk2r/pp2bppp/3ppn2/8/4P3/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,d3c2 e8h8 d1e2 b8c6 f1d1 c8d7 c1f4 e6e5 f4e3 f6g4,-74
rnbqk2r/ppp1bppp/4pn2/3p4/3P4/2N1BN2/PPP1PPPP/R2QKB1R w KQkq -,h1g1 c7c5 d4c5 b8c6 g2g4 f6d7 d1d2 e8h8 g4g5 d7c5,-83
r1bqk2r/ppp2ppp/2n2n2/4p3/1b1P4/2N2B2/PPP1NPPP/R1BQK2R w KQkq -,c1g5 c6d4 e2d4 d8d4 e1h1 b4c3 b2c3 d4d1 f1d1 e8h8,-113
r2qkbnr/ppp2ppp/2n5/3p4/3Pp1b1/P3PN2/1PP1BPPP/RNBQK2R w KQkq -,b1c3 e4f3 g2f3 g4e6 e3e4 g8f6 c1e3 c6e7 h2h4 h7h5,-517
r1bqkbnr/pp3ppp/2npp3/8/3P1B2/5N2/PPP2PPP/RN1QKB1R w KQkq -,c2c4 d6d5 c4c5 g8f6 b1c3 f8e7 f1d3 e8h8 a1b1 a7a5,79
8/5k1p/p7/nppP4/2P5/1P2q3/PQ4KP/8 w - -,b2c2 e3g5 g2h1 b5c4 b3c4 g5f4 c2h7 f7f6 h7h8 f6e7,-383
r1bqk2r/pppp1ppp/2n2n2/2b1B3/8/P3P3/2PP1PPP/RN1QKBNR w KQkq -,e5f4 c5b6 d2d4 b6a5 c2c3 f6d5 g1e2 e8h8 f4g3 c6e7,-37
r1bqk1nr/1p1pbppp/p1n1p3/2p5/4PP2/2N2NP1/PPPP3P/R1BQKB1R w KQkq -,b2b3 b7b5 f1g2 c8b7 e1h1 d7d5 e4d5 e6d5 g3g4 g8f6,-17
