Q1K5/1RP3k1/8/8/8/8/8/3r4 w - -,f1g2 f8e7 g1f3 d5e4 c3e4 d8c7 d1e2 e8h8 e4f6 e7f6,Mate
QK6/1RP3k1/8/8/8/8/8/r7 w - -,f1g2 f8e7 g1f3 d5e4 c3e4 d8c7 d1e2 e8h8 e4f6 e7f6,Mate
r1bq1rk1/3nbppp/2p1p3/pp1p3n/2PP4/5NP1/PPQ1PPBP/RNBR2K1 w - -,f3e5 c8b7 e5d7 d8d7 c4c5 h7h6 b1d2 f7f5 d2f3 d7e8,72
rnbqkbnr/pp3ppp/4p3/2p5/4pP2/2NP4/PPP3PP/R1BQKBNR w KQkq -,c3e4 b8c6 g2g3 f8e7 f1g2 d8c7 c2c3 g8h6 g1f3 e8h8,-37
rnbqk2r/ppp2p1p/4pp2/8/3P4/8/PPP2PPP/R2QKBNR w KQkq -,d1g4 b8c6 g1e2 e6e5 g4g7 e8e7 e1a1 d8g8 g7g3 g8g3,118
rnbqk2r/pp3ppp/2pbpn2/3p4/2PP4/2N3B1/PP2PPPP/R2QKBNR w KQkq -,e2e3 h7h6 f1e2 e8h8 g1f3 d6g3 h2g3 b8d7 d1c2 d5c4,40
8/6K1/8/8/8/4Q3/5p2/5k2 w - -,,0
8/8/5K2/8/8/6Q1/5p2/7k w - -,,0
8/8/5K2/8/8/5Q2/5p2/6k1 w - -,,0
r2q1rk1/ppp2ppp/2nbpn2/3pNb2/2PP1B2/2N1P3/PP3PPP/R2QKB1R w KQ -,d1d2 f6e4 e5c6 b7c6 c3e4 f5e4 f2f3 e4g6 f1e2 d6f4,-25
r1bqk2r/pp1pppbp/2n3p1/1B1nP3/Q7/5N2/PPP2PPP/RNB1K2R w KQkq -,b1d2 d5b6 a4f4 d8c7 b5c6 d7c6 e1h1 c8f5 f1e1 f5c2,-67
r1bqk2r/p3bppp/2p2n2/n3p1N1/8/8/PPPPBPPP/RNBQK2R w KQkq -,d2d3 e8h8 e1h1 d8c7 f1e1 a8b8 b2b3 f8d8 c1d2 h7h6,143
8/8/8/8/4p3/5K2/8/3k4 w - -,f3e3 d1e1 e3e4 e1e2 e4d5 e2e3 d5e5 e3d3 e5f4 d3d4,Mate
r2qkb1r/pp2pppp/3p1n2/2p5/2B1P1b1/2NP1n1P/PPP2PP1/R1BQ1RK1 w kq -,d1f3 g4f3 c4b5 f6d7 g2f3 e7e6 a2a4 f8e7 a4a5 e8h8,-763
r1b1kb1r/ppqn1ppp/2pp1n2/4p3/3P1B2/3BPN1P/PPP2PP1/RN1QK2R w KQkq -,c2c4 e5f4 e3f4 f8e7 e1h1 e8h8 b1c3 f8e8 f1e1 d7f8,-542
r1bqkbnr/1ppp1ppp/p1n5/4p3/4P3/1P6/PBPP1PPP/RN1QKBNR w KQkq -,f1e2 d7d5 e4d5 d8d5 g1f3 c8e6 c2c4 d5e4 e1h1 e8a8,-65
r1bqk1nr/pp2bppp/2n1p3/3pP3/3p4/2P2N2/PP1N1PPP/R1BQKB1R w KQkq -,f1b5 d4c3 b2c3 a7a6 b5c6 b7c6 e1h1 c6c5 h2h3 a6a5,-140
rnb1kb1r/ppqppppp/8/2pnP3/2B5/2P5/PP1P1PPP/RNBQK1NR w KQkq -,g1e2 d5b6 b1a3 e7e6 e1h1 b6c4 a3c4 b7b5 c4d6 f8d6,-84
r1bqk2r/pp3ppp/2nbpn2/2pp4/3P4/P1P1PN2/1P1N1PPP/R1BQKB1R w KQkq -,d4c5 d6c5 b2b4 c5e7 c1b2 e8h8 c3c4 b7b6 f1e2 d5c4,46
rnbqkb1r/p4ppp/1p2pn2/3p4/3P4/4P3/PP3PPP/RNBQKBNR w KQkq -,f1d3 f8d6 g1f3 e8h8 e1h1 c8b7 b1c3 a7a6 c1d2 f6e4,-44
rnbqk2r/pp2ppbp/5np1/2p1p3/2B5/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,d1e1 f6d7 d2d3 e8h8 a2a4 b8c6 b1d2 d8c7 d2e4 b7b6,-92
r1b1kbnr/pp1p1ppp/2n1p3/q1P5/2Q5/8/PPP1PPPP/RNB1KBNR w KQkq -,b1d2 f8c5 e2e3 g8f6 c4b5 a5b5 f1b5 c6b4 b5a4 b7b5,-79
2b5/1kp5/p1Nb2Q1/3P4/1P5p/p6P/K3q1P1/8 w - -,a2a3 e2e3 a3b2 e3d2 g6c2 d2d5 c6a5 b7a7 b2c1 d6f4,-848
7k/4RK2/8/5P2/8/8/8/r7 w - -,,0
rnb1kb1r/ppp2ppp/5n2/8/4PB2/5N2/PPP3PP/RN1qKB1R w KQkq -,e1d1 f6e4 f1b5 c7c6 h1e1 c6b5 e1e4 c8e6 f3d4 b8c6,Mate
rn1qk1nr/pbp2ppp/1p1bp3/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R w KQkq -,f4d6 d8d6 c4d5 e6d5 d1a4 b8c6 e2e3 g8f6 a4c2 e8h8,67
rn2k1nr/pbp2ppp/1p1qp3/3p4/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,c4d5 e6d5 d1a4 b7c6 a4c2 g8f6 e2e3 e8h8 f1d3 d6e7,68
8/8/2kn4/8/2K5/6Q1/8/8 w - -,d1d2 g8f6 c4d5 e6d5 e2e3 e8h8 f1e2 f8d8 e1h1 c7c5,Mate
8/8/3n4/3k4/1K6/6Q1/8/8 w - -,d1d2 g8f6 c4d5 e6d5 e2e3 e8h8 f1e2 f8d8 e1h1 c7c5,Mate
r1bq1rk1/pppp1pp1/2n2n1p/4p3/2B1P3/3PQN2/PPP2PPP/RN2K2R w KQ -,a2a4 d7d5 e4d5 f6d5 c4d5 d8d5 b1c3 d5a5 e1a1 f8e8,-36
r1bqk1nr/pp1pbppp/2n5/2p1p3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq -,d2d3 f7f5 f1g2 g8f6 e1h1 e8h8 a2a3 g8h8 a1b1 a7a5,53
r1bqkb1r/ppp2ppp/3p1n2/4p3/2PnP3/P1NP4/1P3PPP/R1BQKBNR w KQkq -,g1f3 d4f3 d1f3 c7c6 c1e3 g7g6 h2h3 f8g7 e1a1 c8e6,25
r1bqkb1r/1p2pppp/p1np1n2/2p5/5P2/1P2PN2/PBPP2PP/RN1QKB1R w KQkq -,g2g3 g7g6 f1g2 f8g7 e1h1 e8h8 c2c4 e7e5 f4e5 f6g4,-32
