8/3R4/5K2/8/8/2k5/8/8 w - -,b5c6 b7c6 f1d1 c6c5 c2c3 f8e7 c3d4 c5d4 d1d4 e7f6,Mate
rn1qkb1r/pp1bpppp/5n2/3pN3/Q2P4/2N5/PP2PPPP/R1B1KB1R w KQkq -,a4b3 b8c6 e2e3 e7e6 f2f4 a7a6 f1d3 f8d6 e1h1 e8h8,48
r1bqkb1r/pp3ppp/2nppn2/2p5/4P3/P1N5/BPPP1PPP/R1BQK1NR w KQkq -,h2h3 f8e7 d2d3 d6d5 e4d5 e6d5 g1f3 e8h8 e1h1 h7h6,-25
rn1qk2r/pbpp1ppp/1p2pn2/8/1b2P3/2NP2P1/PPP2PBP/R1BQK1NR w KQkq -,g1f3 e8h8 e1h1 b4e7 e4e5 f6d5 c3e4 d7d6 c2c4 d5b4,74
r2qkb1r/2p1pppp/p1pp1n2/8/4P1b1/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,h2h3 g4h5 d1e2 e7e6 d2d3 h5f3 e2f3 f6d7 f3g4 g7g6,105
r1bqkb1r/pp2nppp/2n1p3/3pP3/8/5N2/PPPQ1PPP/RNB1KB1R w KQkq -,b2b3 e7g6 f1b5 a7a6 b5c6 b7c6 c2c4 c6c5 h2h4 h7h5,-137
rn1qkb1r/ppp1pppp/8/3p4/3Pb3/4PN2/PPP2PPP/RNBQK2R w KQkq -,b1c3 e4f5 d1e2 e7e6 e1h1 f8d6 e3e4 d5e4 c3e4 e8h8,12
rnbqk2r/pp3ppp/4pn2/3p4/2PP4/1Qb2N2/PP3PPP/R1B1KB1R w KQkq -,c1d2 c3d2 f3d2 e8h8 f1d3 b8c6 b3c3 f6h5 e1a1 h5f4,-987
rnbq1rk1/ppppbppp/4pn2/8/5P2/5NP1/PPPPP1BP/RNBQK2R w KQ -,e2e3 c7c5 a2a4 c5c4 b2b3 c4b3 c2b3 b8c6 e1h1 d7d5,-23
rn1qk2r/1pp2ppp/p2bbn2/3p4/3P1B2/2N1PN2/PP3PPP/R2QKB1R w KQkq -,d1b3 b7b6 f4d6 d8d6 f1e2 e8h8 e1h1 h7h6 a1c1 b8d7,63
r2qkb1r/pp3ppp/2n1pn2/3p4/6b1/1B1P1N2/PPPN1PPP/R1BQK2R w KQkq -,e1h1 g4h5 f1e1 f8d6 c2c3 d8c7 h2h3 e8h8 d2f1 h7h6,-99
r2qk2r/ppp2ppp/2n1pn2/3p4/1b1P1B2/3QPN2/PPP2PPP/RN3RK1 w kq -,c2c4 d5c4 d3c4 d8d5 c4e2 b4d6 b1c3 d5a5 f4g5 f6d5,97
rnbqkb1r/1p2pppp/1n1p4/p7/P2P4/5N2/1PP2PPP/RNBQKB1R w KQkq -,d4d5 e7e5 d5e6 c8e6 f3g5 b8c6 g5e6 f7e6 f1b5 d6d5,138
r1bqkbnr/pp1p1ppp/2p5/1B1Pp3/4P3/2P5/PP3PPP/RNBQK1NR w KQkq -,b5a4 f8c5 g1f3 g8f6 e1h1 e8h8 f3e5 d7d6 e5d3 c8g4,826
r1bqkbnr/p2p1ppp/2p5/1p1Pp3/B3P3/2P5/PP3PPP/RNBQK1NR w KQkq -,a4c2 f8c5 g1f3 g8f6 e1h1 c6d5 e4d5 f6g4 d1e1 e8h8,475
rnbqkbnr/p3p1pp/2pp1p2/1p6/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,d4d5 a7a6 f3d4 g7g6 h2h4 h7h5 b2b4 e7e5 d5e6 c6c5,279
r3kbnr/pp1bpppp/1qnp4/1B6/Q3P3/5N2/PPP2PPP/RNB1K2R w KQkq -,b1c3 e7e6 c1f4 a7a6 e1a1 a8b8 b5e2 c6a5 a4d4 b6d4,23
rnbqkb1r/ppp3pp/3p1p1n/8/2B1P3/5N2/PB3PPP/RN1Q1RK1 w kq -,a2a4 c7c6 f3d4 b8a6 b1d2 a6c5 d4b3 c8g4 f2f3 g4e6,86
rnb1kb1r/ppp1qppp/5n2/3pN3/8/8/PPPPQPPP/RNB1KB1R w KQkq -,c2c3 c8f5 d2d4 b8d7 b1d2 e8a8 d2f3 h7h6 e5d7 f6d7,-56
r1bq1rk1/1ppp1ppp/p1n2n2/4p3/1bB1P3/2NP1N2/PPP2PPP/R1BQK2R w KQ -,c4b3 d7d5 e4d5 c6d4 h2h3 d4b3 a2b3 f6d5 c1d2 b4c5,-41
r1b1kb1r/ppp1pppp/2n5/3q4/3P4/2P1P3/P4PPP/R1BQKBNR w KQkq -,c3c4 d5e4 g1f3 c8f5 d4d5 c6e5 d1b3 e5f3 g2f3 e4c2,104
rn1qkb1r/pp1b1ppp/3p1n2/1Bp1p3/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,b5d7 d8d7 d2d3 f8e7 c1g5 f6g8 c3d5 b8c6 a2a3 e7g5,59
r1b1kbnr/1p3ppp/pqn1p3/3pP3/2pP4/1NP2N2/PP3PPP/R1BQKB1R w KQkq -,f1c4 d5c4 b3d2 b6c7 d2c4 b7b5 c4e3 c8b7 e1h1 a8d8,-313
8/5K1k/8/5N2/8/6N1/8/8 w - -,g3f1 h7h8 f5h6 h8h7 h6g4 h7h8 f1g3 h8h7 g3e2 h7h8,10
rn1qkbnr/1b1p1ppp/p3p3/1pp1P3/8/2N5/PPPPBPPP/R1BQK1NR w KQkq -,a2a4 b7g2 e2f3 g2h1 f3h1 b8c6 d2d3 b5b4 h1c6 d7c6,-259
2b2r2/5ppk/8/2R5/8/4N3/5PPP/6K1 w - -,f2f3 f8d8 g1f2 c8e6 g2g4 d8d2 f2g3 d2d3 g3f4 d3d2,38
rn1qkb1r/p4ppp/b1p1pn2/2Pp4/3P4/2N2N2/P3PPPP/R1BQKB1R w KQkq -,g2g3 f8e7 d1c2 b8d7 f1g2 e8h8 e1h1 a8b8 a2a3 f6h5,87
rn1qkb1r/pp2pppp/8/3n1b2/8/2NP4/PP3PPP/R1BQKBNR w KQkq -,d1f3 f5e6 d3d4 b8c6 c1e3 g7g6 f1b5 f8g7 g1e2 e8h8,-111
rnbqk1nr/pp3ppp/4p3/2bp4/4P3/P7/1PP2PPP/RNBQKBNR w KQkq -,g1f3 d8b6 d1e2 d5e4 f3d2 f7f5 b1c3 g8f6 c3a4 b6c6,-82
r1b1kb1r/pp2pppp/2n2n2/q1P5/3p1B2/2N5/PPP1PPPP/R2QKBNR w KQkq -,e2e3 d4c3 b2b4 c6b4 a1b1 c8f5 b1b4 a5b4 g1f3 a8d8,-853
rnbqk2r/pppp1pbp/5np1/4N3/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq -,e5f7 d8e7 f7h8 e7e4 d1e2 e4e2 c4e2 g7h8 d2d4 b8c6,417
rnbqr1k1/ppp2ppp/5n2/2bp4/4P3/2NB1N2/PPP2PPP/R1BQK2R w KQ -,d3e2 d5e4 d1d8 e8d8 f3e5 d8e8 e5c4 b8c6 c1e3 c5b4,-216
r1bqkb1r/pp3pp1/2n1pn2/2pp3p/3P4/2PBP1B1/PP3PPP/RN1QK1NR w KQkq -,h2h3 f8d6 g3d6 d8d6 g1f3 e8h8 e1h1 e6e5 d4e5 c6e5,-5
rn1qkb1r/pbpp2pp/1p2p3/4Ppn1/3P4/3B1N2/PPPNQPPP/R1B1K2R w KQkq -,h2h4 g5f7 h1g1 h7h5 d2c4 c7c5 d4c5 f8c5 c1g5 d8c7,135
r1b1k1nr/pp1p1ppp/1qn5/3Np3/4P3/5N2/PPP2bPP/R1BQKB1R w KQkq -,e1e2 b6c5 b2b4 c6b4 c1a3 a7a5 c2c3 b4d5 a3c5 d5c3,367
r1bqkbnr/pp1p1p1p/4p1p1/2p1n3/2B1P3/2NP1Q2/PPP2PPP/R1B1K1NR w KQkq -,f3g3 d7d6 c1g5 f8e7 g5e7 g8e7 f2f4 e5c6 g1f3 c6d4,66
r1bqkb1r/pp1npppp/3p1n2/2p5/3P1B2/4P3/PPPN1PPP/R2QKBNR w KQkq -,h2h3 g7g6 g1f3 d8b6 d2c4 b6c7 a2a4 f8g7 f1d3 b7b6,55
r2qk2r/ppp2ppp/2n1bn2/2bpp3/4P3/1BN2N1P/PPPP1PP1/R1BQ1RK1 w kq -,f3e5 c6e5 e4d5 f6d5 d2d4 d5c3 b2c3 c5b6 d1e2 e5g6,141
r1bqkb1r/pp1npppp/3p1n2/3P4/8/2N5/PP2PPPP/R1BQKBNR w KQkq -,e2e4 g7g6 g1e2 f8g7 c1e3 e8h8 e2d4 d8b6 d4b3 d7c5,74
rn1qkb1r/ppp2ppp/8/4P3/4p1b1/8/PPPPN1PP/R1BQKB1R w KQkq -,h2h3 g4f5 d2d3 e4d3 c2d3 b8c6 d3d4 d8h4 g2g3 h4e4,-236
r1bqk2r/2pp1ppp/p1p2n2/2b1p3/4P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,f3e5 e8h8 c3a4 c5a7 e1h1 f8e8 c1f4 e8e6 e5f3 d7d5,145
r1bqk1nr/ppp2ppp/3p4/n1b1p3/4P3/2N2N2/PPPPBPPP/R1BQK2R w KQkq -,d2d4 e5d4 f3d4 g8f6 a2a3 a5c6 c1e3 c5b6 d1d2 f6g4,96
rn2k2r/ppp2ppp/3bpq2/3p1b2/3P4/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,c3c4 b8d7 c4d5 e6d5 f1d3 f5d3 d1d3 c7c6 e1h1 f6e7,-28
rn1qkbnr/ppp4p/3p2p1/4pb2/2B5/5Q2/PPPP1PPP/RNB1K1NR w KQkq -,g2g4 b8c6 g4f5 c6d4 f3b7 a8b8 b7d5 d8f6 d5a5 f6f5,325
rn1qkb1r/ppp1p1pp/3pbn2/5p2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,e2e4 f5e4 f3g5 e6f5 f2f3 h7h6 g5e4 e7e6 e4g3 f5g6,160
r1bq1rk1/pppn1ppp/3ppn2/6B1/1bPPP3/2N2N2/PP3PPP/R2QKB1R w KQ -,e4e5 h7h6 g5h4 d6e5 d4e5 g7g5 f3g5 d7e5 d1d8 f8d8,97
rnbqk2r/ppp1p1bp/5np1/3p1p2/3P1B2/4PN1P/PPP2PP1/RN1QKB1R w KQkq -,c2c4 e8h8 b1c3 e7e6 f1e2 f6e4 e1h1 c7c6 a1c1 b8d7,137
rnb1kbnr/pp1p1ppp/8/4q3/3N4/2N5/PPP1PPPP/R2QKB1R w KQkq -,d1d2 b8c6 e1a1 c6d4 d2d4 e5d4 d1d4 f8c5 d4e4 e8f8,-552
r1bqk2r/ppppbppp/2n5/3Np3/2B1P1n1/5N2/PPPP1PPP/R1BQ1RK1 w kq -,d2d4 d7d6 h2h3 g4f6 f1e1 e8h8 c2c3 a7a5 b2b3 e5d4,98
r1b2k1r/1pq2pp1/p4Q1p/5p2/8/8/PPP2PPb/R1B1RB1K w - -,c1f4 h2f4 f6d4 f8g8 a1d1 c8e6 g2g3 f4g5 e1e6 f7e6,-723
rnb2rk1/3pppqp/P5p1/2pP4/8/3B1N2/P2Q1PPP/2B2RK1 w - -,d2a5 b8a6 d5d6 e7d6 d3e4 a8b8 a2a3 c5c4 c1f4 g7b2,-281
rnbqkbnr/pp2pppp/3p4/8/5B2/4pN2/PPP2PPP/RN1QKB1R w KQkq -,d1e2 d8b6 e2b5 b6b5 f1b5 c8d7 b5d7 b8d7 f4e3 a7a6,-255
rnbqk2r/ppp2ppp/5n2/3pp3/1b6/1P2P1P1/P1PP1PBP/RNBQK1NR w KQkq -,c2c4 d5d4 a2a3 b4d6 d2d3 e8h8 g1f3 d4e3 c1e3 f6g4,-56
rnb1kbnr/pp2pppp/8/3q4/8/2p1P3/PP3PPP/R1BQKBNR w KQkq -,d1d5 g8f6 f1b5 b8d7 d5b3 a7a6 b5e2 e7e6 g1f3 f8d6,778
rn1qkb1r/pb1ppppp/2p2n2/1p1P4/2B1P3/2N5/PPP2PPP/R1BQK1NR w KQkq -,c4e2 d8a5 e4e5 f6d5 g1f3 e7e6 e1h1 d5c3 b2c3 c6c5,-92
r1b1kbnr/pp1p1ppp/2p5/4q3/8/2N5/PPPBPPPP/R2QKB1R w KQkq -,e2e4 d7d5 f1d3 g8f6 d1e2 f8c5 e4d5 e5e2 d3e2 f6d5,51
rn1qkb1r/pb1ppppp/2p2n2/3P4/1p2P3/1BN5/PPP2PPP/R1BQK1NR w KQkq -,c3e2 f6e4 d1d4 e4f6 d4b4 d8c8 c1g5 e7e6 b4h4 c6d5,-146
