r1bqkb1r/1pp1pp1p/p1n2np1/3p4/3P1B2/P1N2N2/1PP1PPPP/R2QKB1R w KQkq -,d1d2 f6h5 f4h6 f8h6 d2h6 c8f5 e1a1 d8d6 f3e5 c6e5,60
r1bq2k1/pp3r1p/6p1/2pP4/3b2n1/2N2B2/PP4PP/R1BQ1RK1 w - -,c1e3 g4e3 g1h1 e3d1 a1d1 d8b6 d1d2 g8g7 f1e1 a7a6,-1161
rnbqkb1r/p1p2ppp/1p1p1n2/4p3/2PPP3/5P2/PP4PP/RNBQKBNR w KQkq -,g1e2 f8e7 c1e3 e8h8 b1c3 a7a6 d1d2 b6b5 c4b5 a6b5,92
2r1r1k1/R1b2p1p/6p1/p2B4/2PB4/6P1/PP5P/6K1 w - -,g1f1 h7h5 a2a3 a5a4 d4c3 g8h7 a7a4 c7e5 c3e5 e8e5,136
2r3k1/R1b2p1p/5Bp1/p2B4/2P5/4r1P1/PP5P/5K2 w - -,f6d4 e3e7 d4f6 e7e3 a7b7 h7h5 f1f2 e3e8 h2h4 e8f8,143
3r2k1/q2r1ppp/b1R5/1p2P3/1R1N4/4QP2/6PP/6K1 w - -,c6c3 d7d5 e5e6 f7e6 d4e6 a7e3 c3e3 d8e8 e6c7 e8e3,18
2r3k1/5p2/R5p1/p2Bb2p/2P5/2B1r1P1/PP5P/5K2 w - -,c3d2 e3d3 f1e2 d3d4 d2c3 d4c4 c3e5 c4c5 a6g6 g8h7,329
r2qk2r/pp1nbppp/3ppn2/2p5/P3P3/3P1N2/1PP2PPP/RNBQ1RK1 w kq -,a4a5 e8h8 c1f4 d7b8 c2c3 h7h6 d1a4 d8e8 a4b3 b8c6,12
r1bqk2r/ppp1bppp/2n5/3pP3/5Qn1/3P4/PPP2PPP/RNB1KBNR w KQkq -,e5e6 c8e6 g1f3 d5d4 f1e2 d8d7 f3g5 e7d6 f4e4 g4f6,-134
r2qkb1r/pp2ppp1/2n2nbp/2pp4/3P1NPP/2N2P2/PPP1P3/R1BQKB1R w KQkq -,g4g5 h6g5 f4g6 f7g6 d4c5 d8a5 c1d2 e8a8 f1h3 g5g4,-124
6k1/5p2/R5p1/p3b2p/2r5/2B3P1/PP2K2P/8 w - -,a6a8 g8h7 e2d3 c4c5 a8a5 c5a5 c3a5 e5b2 a2a4 b2e5,546
r1bqkb1r/pp2nppp/2n1p3/3pP3/3P4/1P3N2/P4PPP/RNBQKB1R w KQkq -,a2a3 e7f5 b1c3 c8d7 f1e2 f8e7 b3b4 e8h8 e1h1 f7f6,40
r5k1/3r1p2/b1R3p1/1p2P2p/1R5P/4NP2/5KP1/8 w - -,e5e6 f7e6 c6e6 g8g7 f2g3 a8a7 b4b3 d7e7 e6c6 e7c7,62
rn1qk2r/pb1p1pp1/1p2pn1p/2p5/1bPP3B/1QN2N2/PP2PPPP/R3KB1R w KQkq -,a1d1 g7g5 h4g3 f6e4 e2e3 b4c3 b2c3 b8c6 b3c2 e4g3,-58
rn1qkb1r/pbp2ppp/1p2p3/3p4/3Pn3/1P1BPN2/P1P2PPP/RNBQ1RK1 w kq -,c2c4 f8d6 c1b2 e8h8 b1c3 e4c3 b2c3 b8d7 c4d5 e6d5,34
r1bqkb1r/pp3ppp/4pn2/8/3p4/3B1N2/PPP1QPPP/R1B1K2R w KQkq -,e1h1 f8c5 c1f4 e8h8 f1d1 c5d6 f4d6 d8d6 f3d4 c8d7,18
8/8/3K4/k3N3/2B5/8/8/8 w - -,a2a4 f8b4 c1d2 b4d2 e2d2 d8b6 e1h1 c8d7 d3e2 a7a5,Mate
5rK1/8/6R1/4k3/8/8/8/8 w - -,a2a4 f8b4 c1d2 b4d2 e2d2 d8b6 e1h1 c8d7 d3e2 a7a5,Mate
rnq1kb1r/ppp3pp/4p3/3QN2b/3P2p1/2P5/PP2PP1P/RNB1K2R w KQkq -,d5e4 f8d6 h1g1 e8h8 e5g4 h5g6 e4g2 c7c5 h2h4 c8c6,145
rnq1kb1r/ppp1pppp/5n2/3pN3/3P2b1/1QP5/PP2PP1P/RNB1KB1R w KQkq -,e5g4 f6g4 f1h3 f7f5 b3d5 e7e6 d5g2 b8c6 h3g4 f5g4,172
rnbqk2r/pp2ppbp/2p2np1/3p4/P1PP4/4PN2/1P3PPP/RNBQKB1R w KQkq -,f1e2 c6c5 d4c5 e8h8 b1c3 d5c4 e1h1 b8a6 d1d4 d8c7,21
r1bqk2r/pp3ppp/n3pn2/2bp4/5B2/2N5/PPP1PPPP/R2QKBNR w KQkq -,e2e3 e8h8 g1f3 c5e7 f1e2 f6h5 f4e5 f7f6 e5g3 a6c5,-66
rnq1kb1r/ppp1p1pp/8/3pN2b/3P2p1/1QP5/PP2PP1P/RNB1K2R w KQkq -,b3d5 e7e6 d5c4 f8e7 h1g1 e8h8 c1e3 e7d6 e5g4 c8e8,131
r2qkb1r/p1pb1ppp/2pp1n2/8/3NP3/7P/PPP2PP1/RNBQK2R w KQkq -,e1h1 f8e7 b1c3 e8h8 f1e1 f8e8 c1f4 e7f8 d4f3 h7h6,72
rnq1kb1r/ppp1p1pp/8/3p1p2/3P2n1/1QP4B/PP2PP1P/RNB1K2R w KQkq -,b3d5 e7e6 d5b3 f8e7 h1g1 e8h8 h3g4 f5g4 g1g4 c7c5,187
rnbq1rk1/pppp2pp/5n2/2b1p3/2P1P3/2N3P1/PP3PBP/R1BQK1NR w KQ -,g1e2 d7d5 b2b4 c5f2 e1f2 f6g4 f2e1 d5d4 h1f1 g4h2,-88
r2qkbnr/1bpp2pp/p7/np2Pp2/3p4/1BP2N2/PP3PPP/RNBQK2R w KQkq -,b3c2 d7d6 c2f5 d6e5 c3d4 a5c6 d1e2 c6d4 e2e5 d8e7,68
