r3k1r1/pp2n3/2q3p1/P1P5/2P3p1/5R2/1B4P1/4RQK1 w - -,c1e3 e5g4 e3d4 e6e5 d1e2 c8e6 d4e5 g4e5 f3e5 f8c5,Mate
r3k1nr/ppqb1ppp/2n1p3/1B1pP3/1P1Q4/2P5/2P2PPP/R1B1K1NR w KQkq -,d4e3 c6e5 b5e2 g8e7 a1a7 e8h8 a7a8 f8a8 g1f3 e5c4,-146
3b2k1/3q2p1/4p2p/ppp1P3/8/2PP3Q/PP4PP/5RK1 w - -,g1h1 d8e7 h3f3 b5b4 c3b4 c5b4 d3d4 a5a4 h2h3 g8h8,453
8/6B1/2k3B1/8/1K6/8/8/8 w - -,g1h1 d8e7 h3f3 b5b4 c3b4 c5b4 d3d4 a5a4 h2h3 g8h8,Mate
r5r1/pp2k3/2q3p1/P1P5/2P3p1/5R2/1B4P1/5QK1 w - -,g1h1 d8e7 h3f3 b5b4 c3b4 c5b4 d3d4 a5a4 h2h3 g8h8,Mate
r2k2r1/pp6/2q3p1/P1P5/2P3p1/4R3/1B4P1/5QK1 w - -,g1h1 d8e7 h3f3 b5b4 c3b4 c5b4 d3d4 a5a4 h2h3 g8h8,Mate
r1bqk2r/pp3ppp/2nb1n2/2p5/8/1BP2Q2/PP1P1PPP/RNB1K1NR w KQkq -,f3e2 d6e7 g1f3 c8g4 e1h1 e8h8 d2d3 g4h5 c1g5 e7d6,9
rnb1r1k1/4qppp/3p4/p1p5/2P1n3/PPQ1P3/1B2BPPP/R3K2R w KQ -,f3e2 d6e7 g1f3 c8g4 e1h1 e8h8 d2d3 g4h5 c1g5 e7d6,Mate
r2q1rk1/2p2ppp/p1n1b3/1p1pP3/3Nn2b/1BP5/PP3PPP/RNBQR1K1 w - -,e1f1 c6e5 f2f3 e4c5 d4e6 f7e6 b3c2 e5c4 d1e2 d8d6,-91
r1bqkbnr/ppp2pp1/2np3p/4p3/2P3P1/1Q6/PP1PPPBP/RNB1K1NR w KQkq -,g1f3 a7a5 h2h3 a5a4 b3c2 c8e6 d2d3 g8f6 b1c3 d6d5,-66
r7/6R1/P7/2p2k1N/6p1/6P1/4bP2/6K1 w - -,,0
r1b1kb1r/pp1n1pp1/4pq1p/8/3pB3/2P2N2/PP3PPP/RN1Q1RK1 w kq -,c3d4 f8d6 e4c2 f6e7 b1c3 e8h8 d1d3 d7f6 c3e4 f6e4,6
8/k7/3Q4/8/1K1n4/8/8/8 w - -,c3d4 f8d6 e4c2 f6e7 b1c3 e8h8 d1d3 d7f6 c3e4 f6e4,Mate
r1bq1rk1/2pp1ppp/p1n5/1pb1p3/4n3/1BP2N1P/PP1P1PP1/RNBQ1RK1 w - -,,0
rnbqkbnr/3ppppp/p7/8/1p2P3/2N2N2/1PPP1PPP/R1BQKB1R w KQkq -,c3a4 c8b7 a4c5 b7c6 f3e5 a6a5 d2d4 e7e6 d1h5 g7g6,98
8/8/8/2N5/3N4/2K5/8/1k6 w - -,,0
