rn1qkbnr/ppp2ppp/3pb3/8/2P5/8/PP2PPPP/RNBQKBNR w KQkq -,e2e4 g7g6 g1f3 f8g7 f1e2 g8f6 b1c3 b8c6 e1h1 e8h8,62
8/8/5k2/7R/8/1Q2K3/8/8 w - -,e2e3 g8f6 b1c3 g7g6 g1f3 f8g7 f1e2 e8h8 f3d4 e6d7,Mate
r2qkb1r/ppp2ppp/2n1b3/1B1pP3/8/2P2Q2/P1PP2PP/R1B1K1NR w KQkq -,d2d4 d8h4 g2g3 h4e4 f3e4 d5e4 g1e2 a7a6 b5a4 e8a8,63
r1bqkb1r/1p1n1ppp/p1p1pn2/8/P1pP4/2N2NP1/1P2PPBP/R1BQK2R w KQkq -,f3d2 a6a5 d2c4 f8b4 e1h1 e8h8 c3a2 b4e7 b2b3 f6d5,88
r2qk2r/pb1p1ppp/1pn1pn2/2b5/4P3/P1NB1N2/1PP2PPP/R1BQK2R w KQkq -,c1f4 f6h5 f4g5 d8c7 c3b5 c7b8 b2b4 c5e7 g5e7 c6e7,44
rn1qkb1r/ppp1ppp1/5n2/3p1b1p/3P1B2/4P2P/PPP1BPP1/RN1QK1NR w KQkq -,g1f3 e7e6 c2c4 f8d6 f4g5 c7c6 b1c3 b8d7 e1h1 d6e7,81
r1bqk2r/ppp1bppp/2n2n2/4p1B1/8/3BP3/PPP2PPP/RN1QK1NR w KQkq -,b1d2 f6d5 g5e7 d8e7 c2c3 f7f5 d1c2 e5e4 d3b5 c8d7,-73
8/8/8/8/8/2K5/R7/3k4 w - -,b1d2 f6d5 g5e7 d8e7 c2c3 f7f5 d1c2 e5e4 d3b5 c8d7,Mate
r1bqkb1r/pp2np1p/2n1p1p1/2pp4/4PP2/3P1N2/PPP1B1PP/RNBQ1RK1 w kq -,b1a3 f8g7 c2c3 d5d4 e4e5 e8h8 a3c4 b7b6 d1e1 c8a6,35
r1bqkb1r/pp1p1ppp/2n1p3/3nP3/8/6Q1/PPP2PPP/RNB1KBNR w KQkq -,c2c3 h7h5 h2h4 d7d6 e5d6 d8d6 g3d6 f8d6 f1d3 f7f6,-76
rn1qk2r/pb1pbppp/1p3n2/2pP4/8/P1NB4/1PP2PPP/R1BQK1NR w KQkq -,h2h4 d7d6 g2g4 b8d7 d3f1 e8h8 g4g5 f6e8 g1e2 e8c7,95
rnbqkb1r/1p3ppp/p4n2/2pp4/2PP4/5N2/PP1N1PPP/R1BQKB1R w KQkq -,c4d5 f8e7 d4c5 e7c5 d2b3 e8h8 b3c5 d8a5 c1d2 a5c5,31
rn1qkb1r/ppp1pppp/3p4/3P4/4n1b1/5N2/PPP2PPP/RNBQKB1R w KQkq -,f1c4 e7e5 d5e6 f7e6 e1h1 d6d5 c4e2 f8c5 b1c3 e8h8,-113
8/8/6B1/8/8/8/2K1N3/k7 w - -,f1c4 e7e5 d5e6 f7e6 e1h1 d6d5 c4e2 f8c5 b1c3 e8h8,Mate
rnbk1b1r/ppp1pppp/8/8/4nP2/8/PPP3PP/RNB1KBNR w KQ -,c1e3 e7e6 g1f3 b8d7 b1d2 f8c5 f3d4 e4d2 e1d2 d8e7,-100
r1bqk2r/pp1pppbp/2n2np1/2p5/2P1P3/P1NP4/1P3PPP/R1BQKBNR w KQkq -,c1e3 d7d6 h2h3 c6d4 g1f3 f6d7 f1e2 d7b8 a1b1 e8h8,-50
rnb1kbnr/ppp2ppp/8/8/3pq3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,c1e3 d4e3 f1d3 e3f2 e1f2 f8c5 f2f1 e4e7 b1d2 c8e6,-934
r1bqkb1r/ppp1nppp/8/3np1N1/2BP4/8/PPP2PPP/RNBQK2R w KQkq -,b1c3 f7f6 d4e5 f6g5 c3d5 e7d5 d1d5 d8d5 c4d5 f8b4,325
rnbqk2r/pp2bppp/5n2/3p4/3p4/5NP1/PPP2PBP/RNBQ1RK1 w kq -,f3d4 e8h8 h2h3 h7h6 b1c3 b8c6 c1e3 f8e8 a2a3 a7a6,44
r1bqkb1r/pp1n1ppp/2p1pn2/3p2B1/3P4/5NP1/PPP1PPBP/RN1QK2R w KQkq -,e1h1 f8e7 c2c4 e8h8 b1d2 b7b6 a1c1 h7h6 g5f6 d7f6,4
r1bqkb1r/2pn1ppp/p1n1p3/1p1pP3/B2P4/2N2N2/PPP2PPP/R1BQK2R w KQkq -,a4b3 f8b4 a2a4 c6a5 e1h1 d7b6 a4b5 b4c3 b2c3 a6b5,84
8/8/8/8/3K4/8/2k3B1/6N1 w - -,g2d5 c2b2 d5e4 b2c1 d4d5 c1d2 g1h3 d2e3 d5e5 e3d2,15414
rnbqkb1r/ppp1pppp/8/3p4/3P4/2nB4/PPP2PPP/R1BQK1NR w KQkq -,d3b5 c3b5 g1f3 b5d6 c2c3 b8c6 e1h1 e7e6 c1g5 f7f6,-1077
rnbqkb1r/pp2pppp/8/2pp4/3P4/2PB4/P1P2PPP/R1BQK1NR w KQkq -,a2a4 c5c4 d3e2 d8a5 g1f3 e7e6 e1h1 f8d6 c1a3 d6a3,-260
8/8/5p2/6k1/8/5K2/8/8 w - -,f3g3 f6f5 g3f3 f5f4 f3f2 g5g4 f2g2 f4f3 g2f2 g4f4,Mate
rnbqkb1r/ppp1pppp/8/3p4/3P4/2n2P2/PPP3PP/R1BQKBNR w KQkq -,d1e2 c3e2 g1e2 e7e6 c2c3 b8d7 c1e3 d8f6 e2c1 f8e7,-1328
rn1qk1nr/pbpp1ppp/1p6/4p3/1bP1P3/2N2N2/PP1P1PPP/R1BQKB1R w KQkq -,c3d5 b4d6 d2d4 b8c6 f1d3 g8e7 d5e7 d8e7 d4d5 c6b4,110
r1bq1rk1/1p1nbppp/p2p1n2/4p3/P1B1PP2/2N2N2/1PP3PP/R1BQK2R w KQ -,c1d2 e5f4 d2f4 d7c5 d1e2 c8e6 c4e6 c5e6 f4e3 d8a5,-29
q1r5/1b2kpp1/p3p3/P1b5/1pN1P3/3BBPp1/1P4P1/R3QRK1 w - -,e3c5 c8c5 e1b4 a8c8 c4b6 c8h8 b4c5 e7e8 f1d1 h8h2,1892
rn1qk2r/pbp1pp1p/1p1p1npQ/8/3PP3/2N5/PPP2PPP/R3KBNR w KQkq -,e4e5 f6d5 h6g7 e8d7 c3d5 b7d5 c2c4 d5b7 g7f7 d8f8,163
4B3/1k6/3Q4/4K3/8/8/8/8 w - -,h2h4 b7e4 c3e4 f6e4 h4h5 h8g8 g1f3 e4f6 f3g5 e7e6,Mate
r1bqkb1r/3p2pp/2n1p3/pp1nPp2/8/2P2NP1/PP2QP1P/RNB1KB1R w KQkq -,b1d2 c8a6 f1g2 f8e7 e1h1 e8h8 f1d1 a5a4 e2e1 a8c8,-110
rnbqk1nr/ppp2ppp/3p4/8/2B1Pp1b/3P1N2/PPP3PP/RNBQK2R w KQkq -,e1d2 b8c6 b1c3 c8g4 d1f1 g4f3 g2f3 g7g5 d2d1 g8e7,-150
4r3/8/8/3K4/5k2/3Q4/8/8 w - -,d3f1 f4g4 f1f6 e8e2 f6d4 g4f3 d4d3 f3f2 d5d4 e2b2,6267
rnbqk1nr/ppp1b1pp/3p4/4p1N1/4P3/8/PPP2PPP/RNBQKB1R w KQkq -,h2h4 e7g5 h4g5 c8e6 c1e3 d8d7 b1c3 b8c6 c3d5 g8e7,94
r1bqk1nr/pp2ppbp/2n3p1/2pp4/3P4/4PN2/PPP1BPPP/RNBQ1RK1 w kq -,c2c4 d5c4 d4d5 c6e5 f3e5 g7e5 d1a4 c8d7 a4c4 a8c8,87
r1bqk2r/pp2ppbp/2n2np1/2Pp4/8/4PN2/PPP1BPPP/RNBQ1RK1 w kq -,b1c3 e8h8 a2a3 c8f5 f3d4 f5d7 b2b4 a7a6 c1b2 e7e5,67
r1bqk1nr/pppp1ppp/2n5/8/4P3/2b2N2/PPP2PPP/RNB1KB1R w KQkq -,b2c3 g8f6 f1d3 e8h8 e1h1 f8e8 f1e1 h7h6 b1d2 b7b6,-798
rnbqkbnr/pp3p1p/2p1p1p1/3p4/3PP3/5N2/PPPN1PPP/R1BQKB1R w KQkq -,c2c3 g8e7 f1d3 f8g7 h2h4 h7h6 e4e5 b7b6 h4h5 g6g5,149
r3kbnr/pp3ppp/1qn1p3/2ppP3/3P2b1/2P1BN2/PP3PPP/RN1QKB1R w KQkq -,f1e2 g4f3 e2f3 b6b2 d1b3 b2b3 a2b3 c5d4 e3d4 c6d4,-184
rn1qkb1r/1p2pppp/p2p1n2/8/3PP1b1/3B1N2/PP3PPP/RNBQK2R w KQkq -,c1e3 b8c6 e1h1 e7e6 b1c3 f8e7 h2h3 g4h5 g2g4 h5g6,65
2kr4/K1pp4/1p6/8/8/8/7Q/3R4 w - -,h2h3 g4f3 d1f3 b8c6 c1e3 c6b4 f3d1 b4d3 d1d3 e7e6,Mate
rnb1kbnr/pp1p1ppp/2p5/q3p3/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq -,c1d2 a5c7 c2c4 g8f6 f1e2 g7g6 b1c3 f8g7 d3d4 e5d4,90
rnbq1rk1/p1ppppbp/1p3np1/8/5P2/1P2PN2/PBPP2PP/RN1QKB1R w KQ -,d1e2 c7c5 g2g3 b8c6 f1g2 d7d5 e1h1 c8g4 h2h3 g4f3,-47
r1bq1b1r/pppp2pp/4kn2/n3N2Q/4P3/8/PPPP1PPP/RNB1K2R w KQ -,h5e2 e6e5 d2d4 e5e6 e4e5 e6f7 e5f6 d7d5 b1c3 g7g6,-267
r1bqkb1r/2p2ppp/p1pp1n2/4p3/4P3/2N2N2/PPPPQPPP/R1B1K2R w KQkq -,d2d4 e5d4 f3d4 c8d7 c1f4 f8e7 h1g1 e8h8 g2g4 f8e8,65
r1bqkb1r/pppn1p1p/4pnp1/3p4/3P1B2/4PN2/PPPN1PPP/R2QKB1R w KQkq -,c2c4 f8e7 f1e2 f6h5 f4h6 d7f6 h6g5 h7h6 g5h4 e8h8,97
r2qk2r/pp1n1ppp/2pbpn2/3p1b2/2PP4/PPN1PN2/5PPP/R1BQKB1R w KQkq -,f3h4 f5g4 f1e2 g4e2 d1e2 f6e4 c3e4 d5e4 g2g3 g7g5,-71
r2qk2r/pppnppbp/3p1np1/8/3P1Pb1/3BPN2/PPPN2PP/R1BQK2R w KQkq -,h2h3 g4f3 d1f3 e8h8 f3b7 c7c5 b7f3 c5d4 e3d4 e7e5,60
r1bqkb1r/pppp1ppp/8/3NP3/3n4/8/PPP3PP/R1BQKBNR w KQkq -,d1d4 c7c6 d5f4 d7d5 c1e3 g7g6 g1f3 d8a5 d4d2 a5d2,836
r2qkb1r/pp1n1ppp/4pn2/2pp4/3PP3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,d1e2 c5d4 f3d4 d8b6 d4b3 d5d4 c3b1 a7a5 c2c3 e6e5,-99
r1b1k2r/ppp2ppp/2pb4/8/2BPn2q/8/PPP2PPP/RNBQ1RK1 w kq -,h2h3 c8h3 g2h3 h4h3 f2f4 h3g3 g1h1 e8a8 d1f3 g7g5,-81
8/1NR5/8/2K2p2/k4p2/8/6p1/8 w - -,h2h3 c8h3 g2h3 h4h3 f2f4 h3g3 g1h1 e8a8 d1f3 g7g5,Mate
8/1N4R1/8/2K2p2/k7/5p2/6p1/8 w - -,h2h3 c8h3 g2h3 h4h3 f2f4 h3g3 g1h1 e8a8 d1f3 g7g5,Mate
r1bqkb1r/ppp2ppp/4pn2/n2p4/2PP4/P1N2N2/1P2PPPP/R1BQKB1R w KQkq -,d1a4 c7c6 c4c5 b7b6 e2e3 d8c7 b2b4 a5c4 f1c4 d5c4,90
rnb1k1nr/pppp1p1p/5p2/2b1p3/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq -,d2d3 d7d6 c1e3 c5e3 f2e3 c8e6 b1c3 a7a5 g1f3 b8d7,44
rnbqk1nr/ppppbppp/8/4P3/3P1p2/8/PPP3PP/RNBQKBNR w KQkq -,c1f4 d7d6 d1f3 b8c6 f1b5 c8d7 b1c3 d6e5 d4e5 c6d4,87
r1bqk2r/ppp1ppbp/2np2p1/8/3PP1n1/2N1BN2/PPP1BPPP/R2QK2R w KQkq -,e3g5 h7h6 g5h4 g4f6 d4d5 c6b8 a2a4 f6h5 f3d4 h5f4,89
r1b1k2r/2q2ppp/p1n1pn2/1pb5/8/3BPN2/PP2QPPP/RNBR2K1 w kq -,a2a4 b5a4 a1a4 e8h8 c1d2 c5e7 d1c1 c7b6 b1a3 c8d7,28
