rnb1kb1r/ppq1pppp/2p5/3pP3/8/2P2N2/P1PPQPPP/R1B1KB1R w KQkq -,a1b1 c6c5 e2e3 e7e6 f1e2 c7a5 c3c4 f8e7 e1h1 b8c6,7
8/8/1K6/8/8/1Pk5/8/8 w - -,,0
rnbqk2r/pp3pp1/4pb1p/2pp4/3PP3/2P2N2/PP1N1PPP/R2QKB1R w KQkq -,d4c5 e8h8 f1e2 b8d7 e4d5 d7c5 d5e6 c8e6 e1h1 d8d7,23
1q3nk1/p4pp1/3nr2p/P3p3/4P3/Q2B2BP/5PP1/4R1K1 w - -,a3c5 f8d7 c5a3 d6b5 a3a4 a7a6 d3c4 e6c6 e1b1 c6c5,162
8/8/4k3/6p1/3K2P1/8/8/8 w - -,d4c4 e6e5 c4c5 e5f4 c5d5 f4g4 d5e6 g4h3 e6f5 g5g4,-876
r1br2k1/1p1nbppp/p3p3/2P5/B2B1n2/1N3N2/PPP1KPPP/R6R w - -,e2d1 d7c5 b3c5 e7c5 c2c3 e6e5 b2b4 c5d4 c3d4 c8g4,-392
rn2kb1r/ppq1pppp/2p5/3pPb2/3P4/2P2N2/P1P1QPPP/R1B1KB1R w KQkq -,e2e3 e7e6 f1d3 f5d3 c2d3 c6c5 e1h1 f8e7 a1b1 e8h8,10
8/8/8/6k1/K7/P7/8/8 w - -,a1b1 e7e6 e2d2 f8e7 f1d3 f5d3 c2d3 c6c5 e1h1 b7b6,Mate
7k/8/8/8/8/1R6/2R5/2n4K w - -,a1b1 e7e6 e2d2 f8e7 f1d3 f5d3 c2d3 c6c5 e1h1 b7b6,Mate
8/8/5k2/1K6/8/P7/8/8 w - -,a1b1 e7e6 e2d2 f8e7 f1d3 f5d3 c2d3 c6c5 e1h1 b7b6,Mate
r1bqkb1r/pp3ppp/2n1p3/3n4/3P4/5N2/PP1N1PPP/R1BQKB1R w KQkq -,f1b5 c8d7 e1h1 f8e7 f1e1 a8c8 a2a3 d8b6 b5d3 c6d4,-24
8/8/1pK5/5k2/1p6/1P6/8/8 w - -,f1b5 c8d7 e1h1 f8e7 f1e1 a8c8 a2a3 d8b6 b5d3 c6d4,Mate
5rk1/5p2/b5p1/5N1R/8/8/5PPP/6K1 w - -,h5g5 g8h7 f5e3 a6c8 g5a5 c8e6 g2g4 f8d8 g1g2 d8d4,21
8/8/1K2k3/8/1p6/1P6/8/8 w - -,h5g5 g8h7 f5e3 a6c8 g5a5 c8e6 g2g4 f8d8 g1g2 d8d4,Mate
5r2/4Npk1/b5p1/7R/8/8/5PPP/6K1 w - -,h5a5 a6b7 e7d5 f8c8 h2h3 c8c1 g1h2 c1c2 h2g3 b7d5,3
8/6k1/8/5K2/8/8/8/R7 w - -,h5a5 a6b7 e7d5 f8c8 h2h3 c8c1 g1h2 c1c2 h2g3 b7d5,Mate
r1bqrk2/pp4pQ/n1p1p3/3p2N1/3P1B1P/2b1P3/P1P2PP1/R4RK1 w - -,h5a5 a6b7 e7d5 f8c8 h2h3 c8c1 g1h2 c1c2 h2g3 b7d5,Mate
1k6/8/2K5/8/8/8/8/7R w - -,h5a5 a6b7 e7d5 f8c8 h2h3 c8c1 g1h2 c1c2 h2g3 b7d5,Mate
rnbqk2r/2ppbppp/p4n2/1p2p1B1/2B1P3/2NP4/PPP2PPP/R2QK1NR w KQkq -,c4b3 e8h8 f2f4 b5b4 c3a4 b8c6 f4e5 c6e5 g1f3 f6g4,10
1R6/8/4k3/2R5/8/4K3/8/8 w - -,c4b3 e8h8 f2f4 b5b4 c3a4 b8c6 f4e5 c6e5 g1f3 f6g4,Mate
4rnk1/p6p/4rp2/1p6/3q1B2/1Q6/PP3PPP/R5K1 w - -,f4c7 d4b2 a1f1 b2b3 a2b3 e6e1 c7a5 e1f1 g1f1 f8e6,-628
rn1qk2r/1bppbppp/p4n2/1p2p1B1/4P3/1BNP4/PPP2PPP/R2QK1NR w KQkq -,f2f4 e8h8 g1e2 b5b4 c3a4 b8c6 e1h1 d7d6 e2g3 c6d4,38
r1bqkb1r/ppp2ppp/1n3n2/3N2B1/3P4/8/PP2PPPP/R2QKBNR w KQkq -,d5c7 d8c7 f2f3 f8b4 g5d2 b4d2 d1d2 b6c4 a1c1 c4d2,-267
