rnb1kbnr/pp2qppp/8/2p5/3Np3/8/PPPP1PPP/RNBQKB1R w KQkq -,f1e2 c5d4 e1h1 e7e5 d2d3 f8d6 g2g3 e4e3 f2e3 b8c6,-637
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/6P1/PPQ1PPBP/RNB1K1NR w KQ -,a2a3 d5c4 c2c4 a7a6 g1f3 b7b5 c4c2 c8b7 e1h1 b8d7,-40
rn1qkb1r/ppp2ppp/3p4/3pP2b/3P4/5N1P/PPP2PP1/R1BQKB1R w KQkq -,d1e2 f8e7 e2b5 b8d7 b5b7 e8h8 f1e2 d6e5 b7d5 e7d6,81
r2qkb1r/pbpp1ppp/1pn1pn2/8/3PP3/2N1BN2/PPP2PPP/R2QKB1R w KQkq -,e4e5 f6g4 e3f4 d7d6 f1d3 d6e5 d4e5 c6b4 d3b5 c7c6,82
rn1qkbnr/pbp2ppp/1p1pp3/8/2PPP3/5N2/PP3PPP/RNBQKB1R w KQkq -,b1c3 g8f6 d1c2 g7g6 c1e3 f8g7 f1e2 e8h8 a1d1 b8d7,134
r2qkb1r/pb3ppp/4p3/3nn3/Np1N4/3B4/PP3PPP/R1BQ1RK1 w kq -,d3e4 f8e7 d1h5 d5f6 h5e5 b7e4 c1g5 d8d5 e5d5 e4d5,-174
1k6/8/2P5/PK6/8/8/8/8 w - -,d3e4 f8e7 d1h5 d5f6 h5e5 b7e4 c1g5 d8d5 e5d5 e4d5,Mate
rnbqk2r/pp2ppbp/5np1/2pp4/3P1B2/2N1PP2/PPP3PP/R2QKBNR w KQkq -,a2a3 b8c6 d1d2 e8h8 g1e2 c6a5 e2g3 b7b6 h2h4 h7h5,-65
r1bqkb1r/pppp1pp1/2n2n1p/6B1/3pP3/3B1N2/PPP2PPP/RN1QK2R w KQkq -,g5d2 d7d5 e4e5 f6e4 e1h1 c8g4 f1e1 f8e7 d2f4 e4c5,-221
5k2/6pp/4p3/ppp1P3/8/2P5/PP4PP/1q4K1 w - -,g1f2 b1a2 f2f3 a2b2 g2g3 b2c3 f3g2 c3e5 h2h4 e5e2,-14055
5k2/6pp/4p3/ppp1P3/8/2P5/Pq3KPP/8 w - -,g1f2 b1a2 f2f3 a2b2 g2g3 b2c3 f3g2 c3e5 h2h4 e5e2,Mate
rnbqk2r/ppp1ppbp/6p1/6B1/3P4/2n1P3/PP3PPP/R2QKBNR w KQkq -,d1f3 c7c6 f1c4 c3d5 e3e4 d5f6 g1e2 e8h8 e4e5 f6d5,-754
r1bqkb1r/ppp1np2/3p1p1p/3Pp3/4P3/2P2N2/PP3PPP/RN1QKB1R w KQkq -,b1a3 f6f5 e4f5 c8f5 a3c4 f5d7 c4e3 f8g7 f1d3 f7f5,-40
rn1qkb1r/pp3ppp/2ppbn2/3Np3/2B1P3/5N2/PPPP1PPP/R1BQK2R w KQkq -,d1e2 c6d5 e4d5 e6g4 h2h3 g4f3 e2f3 b8d7 g2g4 a8c8,-685
r2qkb1r/pp2pppp/2n2n2/3p1b2/8/2NP1N2/PPP1BPPP/R1BQK2R w KQkq -,c1f4 d5d4 c3e4 e7e5 e4f6 g7f6 f4d2 h8g8 e1h1 d8d7,-106
2N5/1k6/2p5/8/8/8/8/6K1 w - -,c8d6 b7b6 g1f2 b6c5 d6f5 c5d5 f2e3 d5e5 f5d4 c6c5,10
8/8/8/8/3K4/8/p2k4/8 w - -,c8d6 b7b6 g1f2 b6c5 d6f5 c5d5 f2e3 d5e5 f5d4 c6c5,Mate
r1bqk2r/pppp1ppp/5n2/8/2BbP3/2N2Q2/PPP2PPP/R1B1K2R w KQkq -,c1g5 h7h6 g5h4 d7d6 e1a1 d4e5 c3d5 e8h8 b2b3 a7a5,91
r1bqk1nr/1pp1ppbp/p1np2p1/1B6/3PP3/4BN2/PPP2PPP/RN1QK2R w KQkq -,b5c6 b7c6 e1h1 g8f6 b1c3 e8h8 h2h3 f6d7 d1d2 c6c5,48
rn1qkbnr/p1pp1ppp/bp2p3/8/3PP3/3B4/PPP2PPP/RNBQK1NR w KQkq -,d3a6 b8a6 g1f3 d7d5 e4d5 d8d5 d1e2 a6b8 c2c4 d5f5,175
rn1qkb1r/pp2pppp/5n2/3p4/3P4/1B3b2/PPP2PPP/RNBQK2R w KQkq -,d1d2 f3g2 h1g1 g2e4 b1c3 e4g6 d2e2 e7e6 c1g5 f8e7,-644
r1b1kbnr/pp1p1ppp/1qn5/1Bp1p3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,b5c6 d7c6 f3e5 b6c7 e5c4 b7b5 c4e3 f8d6 d2d3 g8e7,191
rnbqkb1r/pppp1ppp/8/4P3/3pnP2/8/PPP3PP/RNBQKBNR w KQkq -,b1d2 d8h4 g2g3 e4g3 g1f3 h4h6 h1g1 g3f1 d2f1 c7c5,-211
rn2kbnr/ppp1pppp/2q1b3/8/1QpP4/4P3/PP3PPP/RNB1KBNR w KQkq -,b4a5 a7a6 g1f3 b8d7 b1c3 b7b6 a5b4 g8f6 a2a4 a8b8,-70
rnbqkbnr/ppp2ppp/3pp3/8/8/1PP5/P2PPPPP/RNBQKBNR w KQkq -,e2e4 g8f6 d1c2 b7b6 d2d4 c8b7 b1d2 c7c5 g1f3 b8d7,-29
r1bqk2r/1pp1bppp/2n1pn2/p2p4/3P1B2/2PBPN2/PP3PPP/RN1QK2R w KQkq -,b1d2 e8h8 d1e2 e7d6 e1h1 d6f4 e3f4 b7b6 f3e5 c6e7,75
r2qk2r/pppb1ppp/2np4/2bBp3/4P3/3P1N2/PPP2PPP/R1BQK2R w KQkq -,c2c3 e8h8 e1h1 a7a5 c1g5 d8c8 d3d4 c5b6 h2h3 d7e6,28
rnbqr1k1/p1pp1ppp/1p2pn2/8/1bPP4/2N1PN2/PP1B1PPP/R2QKB1R w KQ -,a2a3 b4c3 d2c3 c8a6 f1e2 d7d5 c4d5 a6e2 d1e2 e6d5,47
rnbqk2r/pp2nppp/1bp1p3/3pP3/1P1P4/P1N2N2/2P2PPP/R1BQKB1R w KQkq -,f1d3 a7a5 a1b1 e7f5 c3e2 a5b4 a3b4 e8h8 c2c3 f7f6,213
r1bqkbnr/pppp1ppp/8/4n3/8/7P/PPP1PPP1/RNBQKBNR w KQkq -,e2e3 g8f6 g1f3 f8d6 b1d2 e8h8 f3e5 d6e5 d2c4 d8e7,-24
r1bqkb1r/1p2pppp/p1np1n2/8/2PN4/2N3P1/PP2PP1P/R1BQKB1R w KQkq -,f1g2 c8d7 d4c6 b7c6 e1h1 d8c7 b2b3 e7e5 c1b2 f8e7,83
rnbqk2r/ppp1bppp/3p4/4P3/8/2P2N2/P1P2PPP/R1BQKB1R w KQkq -,c1f4 e8h8 f1c4 b8c6 e1h1 d6e5 f3e5 d8d1 a1d1 c6a5,-25
r1b1kb1r/1pp2ppp/p1p5/4N3/3qnP2/2N5/PPPP2PP/R1BQK2R w KQkq -,d1e2 e4c3 d2c3 d4d5 e5g6 c8e6 g6h8 e8a8 c1e3 d8e8,389
rnbqk1nr/ppp1ppbp/3p4/7p/3P4/5N2/PPP1PPP1/RNBQKB1R w KQkq -,e2e4 c8g4 b1c3 b8c6 c1e3 e7e5 d4e5 d6e5 d1d8 a8d8,97
6k1/5N2/7Q/8/5K2/8/8/8 w - -,b1c3 c8g4 e2e4 b8c6 c1e3 e7e5 d4d5 c6d4 f1e2 d4e2,Mate
r1bqk2r/ppp2ppp/2n2n2/4p3/1b2N3/2NP4/PPP2PPP/R1BQKB1R w KQkq -,a2a3 f6e4 a3b4 e4d6 b4b5 c6d4 f1e2 e8h8 e1h1 f8e8,-80
rnbqk2r/ppp1bppp/3p1n2/6B1/3N4/2N5/PPP1PPPP/R2QKB1R w KQkq -,d1d3 b8c6 e1a1 c6d4 d3d4 e8h8 e2e4 c8e6 f2f3 c7c6,49
rn1q1rk1/ppp1bppp/3p1n2/4p2b/2B1P3/2PP1N1P/PP1N1PP1/R1BQK2R w KQ -,d2f1 b8d7 f1g3 h5g6 c4b3 c7c6 e1h1 f6h5 c1e3 h5g3,56
rn1qk2r/ppp1bppp/3p1n2/4p2b/2B1P3/3P1N1P/PPPN1PP1/R1BQK2R w KQkq -,g2g4 h5g6 f3h4 c7c6 a2a3 d6d5 c4a2 e8h8 d1e2 b8d7,68
rn1qkb1r/pp3ppp/2pp1n2/4p2b/2B1P3/2PP1N1P/PP3PP1/RNBQK2R w KQkq -,b1d2 b8d7 e1h1 f8e7 f1e1 e8h8 d2f1 d7c5 f1g3 h5g6,58
r1bqk2r/pppnppbp/3p1np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,c1e3 e8h8 f1e2 e7e5 d4d5 f6e8 g2g4 d7c5 b2b4 c5d7,48
rn2kbnr/ppp1pppp/8/3q4/6b1/8/PPPPNPPP/RNBQKB1R w KQkq -,d2d4 b8c6 b1c3 d5a5 f2f3 g4f5 a2a3 c6b4 e1f2 e8a8,61
r1bqkb1r/pppp1ppp/5n2/3N4/3QP3/8/PPP2PPP/R1B1KB1R w KQkq -,d4e5 f8e7 d5c7 e8f8 c7a8 d7d6 e5d4 b7b6 c1e3 c8b7,852
r1bqkbnr/ppp2ppp/3p4/3N4/3QP3/8/PPP2PPP/R1B1KB1R w KQkq -,c1g5 f7f6 f1e2 c8e6 e2h5 e6f7 h5f7 e8f7 g5e3 c7c6,281
r2qkb1r/1p1bpppp/p1np1n2/8/2PN4/2N3P1/PP2PPBP/R1BQK2R w KQkq -,d4b3 g7g6 c4c5 d6d5 c1g5 f8g7 e1h1 d7e6 g5f6 g7f6,89
r1bqk1nr/ppp3pp/2nb1p2/1B1p4/5p2/1PN1P3/PBPP2PP/R2QK1NR w KQkq -,d1h5 e8f8 c3d5 g7g6 h5e2 d6e5 b2e5 f6e5 b5c6 b7c6,190
r1bqk2r/ppp2ppp/2nbpn2/3p4/3P1P2/P2BP3/1PP3PP/RNBQK1NR w KQkq -,b1c3 c6e7 d1e2 a7a6 g1f3 b7b5 c1d2 c8b7 e1a1 a8b8,11
rnbqkbnr/pp3ppp/4p3/3p4/8/5Q2/PPPP1PPP/RNB1KBNR w KQkq -,f3b3 b8c6 g1f3 e6e5 f1b5 f8d6 b3d5 g8e7 b5c6 e7c6,-112
rn1qkbnr/1b1ppppp/p7/1pp5/3PP3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,d4c5 b7e4 b1d2 e4c6 f1e2 e7e6 b2b4 g8f6 a2a4 b5a4,170
8/8/2k5/3R4/8/4K3/8/8 w - -,d4d5 g8f6 f1d3 e7e6 e1h1 e6d5 e4e5 f6e4 b1d2 e4d2,Mate
r1bq1rk1/p1p1bppp/1pnp1n2/4p3/4P3/2NPBN2/PPP1BPPP/R2Q1RK1 w - -,d3d4 c6d4 f3d4 e5d4 d1d4 c8b7 a2a4 d6d5 e4d5 f6d5,58
rnb1k2r/pp1p1pp1/4pq1p/2p5/1bPP4/1QN5/PP2PPPP/R3KBNR w KQkq -,e1a1 c5d4 c3b5 b8a6 g1f3 e8h8 f3d4 f6f2 b3f3 f2f3,-167
rnbqk1nr/1p1pppbp/p5p1/2p5/3PP3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,d4c5 g8f6 b1d2 b8c6 h2h3 d7d6 c5d6 e7d6 f1d3 b7b5,156
rnbqk2r/pp2npbp/3pp1p1/8/3P1B2/5N2/PPP2PPP/RN1QKB1R w KQkq -,h2h4 e8h8 h4h5 b8c6 h5h6 g7h8 b1c3 e7f5 d1d2 a7a6,-60
rnbqkbnr/pp1p1pp1/4p2p/2p5/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq -,g1f3 g8f6 d2d4 d7d5 e4d5 e6d5 c4b5 b8c6 e1h1 c8e6,41
8/4k3/8/8/3K1N2/8/6B1/8 w - -,d4d5 e7f8 d5e5 f8f7 f4e2 f7f8 e5f6 f8e8 e2f4 e8d8,15265
rnbqk2r/p1p2pbp/1p1ppnp1/8/2BPP3/2N2N2/PPP2PPP/R1BQ1RK1 w kq -,d1e2 c8b7 d4d5 e6e5 b2b3 e8h8 a2a4 b8d7 f1e1 a7a6,89
r3kbnr/pp1b2pp/1qn1pp2/2ppP1B1/3P4/2P2N2/PP1Q1PPP/RN2KB1R w KQkq -,d4c5 f8c5 g5f4 f6e5 f3e5 g8f6 e5d7 e8d7 f2f3 f6h5,-211
rnbqk1nr/pp3ppp/8/2bpp3/8/4PN2/PPP2PPP/RNBQKB1R w KQkq -,f1b5 b8c6 f3e5 d8d6 e5f3 g8f6 e1h1 e8h8 b2b3 a7a6,86
rn1qkb1r/1b3ppp/p1p1pn2/4N3/1ppP4/1PN3P1/P3PPBP/R1BQ1RK1 w kq -,c1e3 b4c3 b3c4 f8d6 d1b3 a8a7 e5f7 e8f7 d4d5 c6d5,-142
rnb1k1nr/ppp2ppp/3p1q2/2b4Q/2B1Pp2/2N5/PPPP2PP/R1B1K1NR w KQkq -,c3d5 f6d8 d5f4 d8e7 h5e2 b8c6 g1f3 g8f6 c2c3 e8h8,63
r1bqk2r/ppp2ppp/2nb1n2/3pp3/8/2PPPN2/PP2BPPP/RNBQK2R w KQkq -,d1a4 e8h8 e3e4 h7h6 b1d2 f8e8 e1h1 c6e7 e4d5 f6d5,-82
rnbqk1nr/pp2b1pp/3p4/2pPpp2/2P5/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,e2e4 f5f4 g2g3 g8f6 h1g1 e8h8 f1e2 d8e8 g3f4 e5f4,131
r1bqkb1r/ppp1n1pp/2n5/3pp1N1/2B1P3/8/PPP2PPP/RNBQK2R w KQkq -,e4d5 c6a5 c4b5 c7c6 b5d3 c8f5 b2b4 e5e4 g5e4 c6d5,395
r1bqkb1r/ppppn1pp/5p2/4n3/2B1P3/5N2/PPP2PPP/RNBQK2R w KQkq -,f3e5 f6e5 d1f3 d7d5 e4d5 d8d6 e1h1 c8d7 b1d2 e8a8,332
r1bqkb1r/ppp1n1pp/8/3pp3/2B1P3/5Q2/PPP2PPP/RNB1K2R w KQkq -,e4d5 d8d6 b1c3 c8d7 e1h1 e8a8 c3e4 d6g6 e4c5 d7g4,337
r1bqk2r/1ppp1ppp/p1n2n2/4p3/Bb2P3/5N2/P1PP1PPP/RNBQ1RK1 w kq -,d2d3 b7b5 a4b3 e8h8 a2a4 c8b7 c2c3 b4e7 f1e1 d7d5,-139
rnbqkb1r/pp2nppp/8/2ppp3/8/2NP2P1/PPP1PPBP/R1BQK1NR w KQkq -,a2a3 b8c6 g1f3 f7f6 e1h1 c8e6 e2e3 h7h5 b2b4 c5b4,-71
r1bqk2r/ppp2ppp/1bnp1n2/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w kq -,a2a4 c8g4 h2h3 g4f3 d1f3 c6d4 f3d1 c7c6 c3e2 d4e6,42
rnbqk2r/ppp1bppp/4pn2/6B1/2pPP3/2N2N2/PP3PPP/R2QKB1R w KQkq -,f1c4 c7c5 d4c5 d8d1 a1d1 e7c5 e4e5 f6d7 c3b5 b8a6,177
r1bqkbnr/pp3p1p/2npp1p1/2p5/2B1PP2/3P1N2/PPP3PP/RNBQK2R w KQkq -,c4b3 f8g7 a2a4 g8e7 e1h1 b7b6 c2c3 e8h8 b1a3 c8b7,-15
r2qk2r/pbpnbppp/1p1ppn2/8/3P1P2/3BPN2/PPPN2PP/R1BQ1RK1 w kq -,e3e4 e8h8 c2c3 c7c5 e4e5 f6d5 d2e4 c5d4 c3d4 d6e5,67
rn2kbnr/pp3ppp/4p3/qNpp4/3PP3/5N2/PPP2PPP/R1BQK2R w KQkq -,f3d2 a5b5 c2c4 d5c4 d4d5 b5a6 e1h1 b8d7 d5e6 a6e6,-638
5b1k/3q3p/4pRp1/ppp1P3/8/2PP4/PP4PP/6K1 w - -,f6f8 h8g7 f8f3 d7d5 a2a4 b5a4 h2h3 d5e5 f3f1 a4a3,-602
rnbq1rk1/ppp2pbp/3p2p1/5p2/2P5/1PN1P3/P2PNPPP/R2QKB1R w KQ -,g2g3 b8d7 f1g2 c7c6 d2d4 f8e8 e1h1 a7a5 d1d3 d7f6,37
5R2/3q2kp/4p1p1/ppp1P3/8/2PP4/PP4PP/6K1 w - -,f8f3 d7d5 a2a4 b5b4 h2h3 d5e5 g2g3 b4c3 b2c3 e5c3,-600
