7B/8/8/5K2/p1k5/1p6/8/8 w - -,c3b3 c5d4 h4g6 e4f5 g6f4 f5d7 b3a3 d4e4 a3b4 e4f3,Mate
r5k1/1p1nqpp1/p1r4p/8/4nPPP/P3PQ2/1PPN4/2K3RR w - -,g1g2 e4d2 g2d2 d7b6 e3e4 b6c4 d2d3 c6b6 d3b3 b6b3,-353
r2q1rk1/ppp2ppb/2n2n2/3p4/3P1N2/P1P1PP2/7R/2BQKB1R w - -,d1c2 f8e8 h2h7 f6h7 c2h7 g8f8 h1g1 d8f6 h7h8 f8e7,620
r5k1/5R1p/2p1n1p1/4r3/Np2PR2/1P5P/2P3P1/2K5 w - -,f4f6 a8e8 f7b7 e5e4 f6f2 e8d8 f2f1 e4e2 b7b4 d8d2,7
r1bqkb1r/pp1n1ppp/2p2n2/2Pp4/P2p4/4P3/1P2NPPP/RNBQKB1R w KQkq -,e3d4 b7b6 c5b6 f8b4 c1d2 b4d2 d1d2 d8b6 a4a5 b6b7,-66
8/8/3NK2k/6p1/6R1/8/8/5q2 w - -,,0
r5k1/4np2/pp2p1p1/2p5/2Pq2N1/6PP/PP2QPb1/4R1K1 w - -,g1h2 g2c6 e1d1 d4g7 g4e5 c6e8 d1d6 a8b8 e5g4 e7f5,-283
r2q1r2/3npp1k/1n1p2pp/p1pP4/2P1PB2/1PpB1N1P/P2Q1PP1/4R1K1 w - -,d2c3 f7f6 c3d2 a5a4 f4h6 a4b3 h6f8 d7f8 a2b3 b6d7,177
5r1k/2p3qp/1p1p4/p4pP1/2PQr3/1P2P3/P2R1P1P/5RK1 w - -,d4b2 g7b2 d2b2 f8g8 g1h1 g8g5 f1g1 g5g1 h1g1 h8g7,-14
2rr2k1/1p2bppp/p3pn2/8/3nB2q/P2QBPN1/1P4PP/1R2R1K1 w - -,e3d4 d8d4 d3d4 e7c5 d4c5 c8c5 e4b7 h4d4 g1h1 c5c2,-310
4r3/1p3pk1/4pnp1/7p/P1P5/1P3PP1/r4BK1/1R6 w - -,g2g1 e6e5 b1e1 g6g5 c4c5 g7h7 a4a5 a2a5 b3b4 a5a8,-558
r3r1k1/2p2ppp/p1pq1n2/1p2b3/4P3/1NP2QP1/PP3P1P/R1B1R1K1 w - -,f3e2 d6d7 c1g5 h7h6 a1d1 d7e6 g5f6 e5f6 b3c5 e6h3,60
4r2k/6pp/4qn2/pp6/b1pB1R2/2Q2BPP/1P3P1K/8 w - -,d4f6 g7f6 f4f6 e6e5 f6f8 h8g7 f8e8 e5c3 b2c3 b5b4,693
2R5/6k1/5p2/2pr3P/3p2P1/5P2/5K2/8 w - -,,0
r4k1r/ppp2qpp/3p4/4nP2/4P3/8/PBQ1b1PP/R1R3K1 w - -,b2e5 d6e5 c2e2 f7d7 e2b2 c7c6 a1b1 b7b6 c1d1 d7c7,122
8/p1B2p1k/b1p1r1p1/7p/1Ppp3P/P4P2/1P5K/R4N2 w - -,f1g3 e6e3 g3e4 a6c8 c7e5 e3e2 h2g3 d4d3 e5c3 c8f5,318
5r2/2p3kp/1p1p4/p4pP1/2P1r3/1P2P3/P2R1P1P/5RK1 w - -,,0
4r1k1/pp3pbp/2pp1rp1/q7/4PN2/1P2Q2P/P1P2PP1/3RR1K1 w - -,e1e2 a5a2 g2g3 a2a5 g1g2 a7a6 f2f3 g7h6 e3d4 a5e5,-92
8/5p2/5k2/7R/5B2/8/8/6K1 w - -,e1e2 a5a2 g2g3 a2a5 g1g2 a7a6 f2f3 g7h6 e3d4 a5e5,Mate
1rbq1rk1/3n2bn/3p3p/2pPpp2/1pP1P3/1P3N1P/3N1P2/R1BQRBK1 w - -,a1a7 f5f4 c1b2 f8f7 g1h1 d7f8 a7f7 g8f7 f3e5 g7e5,-98
R7/2p2Q1p/p1k1p3/2B5/8/2N3P1/PPq2PK1/8 w - -,f1d3 h7g5 g1h2 f5e4 d3e4 g5f3 d2f3 d7f6 a1a7 f6e4,Mate
r2q1r2/3np2k/1n1p1ppp/p1pP4/2P1PB2/1PQB1N1P/P4PP1/4R1K1 w - -,c3d2 a5a4 f4h6 f8f7 d2f4 d7e5 f3e5 d6e5 f4h4 b6d7,177
r4rk1/pp3pbp/1q4p1/2p1nb2/5BP1/2P1p2P/PPQNBP2/3R1RK1 w - -,c2b3 f5d3 b3b6 a7b6 e2d3 e3f2 f1f2 e5d3 f2f3 d3b2,-286
6k1/2R5/6p1/1p6/PP1P1pp1/4r2P/2PR2PK/5r2 w - -,g2g3 f4f3 h3g4 b5a4 h2h3 e3e2 h3h4 e2d2 h4g5 f3f2,-782
1b6/8/p3k3/Pp2p3/1Pp1Pp2/5P2/3K2PN/8 w - -,d2c3 b8d6 h2f1 d6e7 f1d2 e7h4 d2c4 b5c4 c3c4 e6d6,-525
r3kb1r/pp3ppp/1qn1p3/2ppPn2/5Pb1/2P2N2/PP1PB1PP/RNBQ1R1K w kq -,a2a4 h7h5 b1a3 f8e7 a3c2 d5d4 c2a3 b6d8 d2d3 h5h4,-120
r1bq1rk1/p4pp1/2pb1n1p/n7/B2Np3/8/PPPPQPPP/RNB1K2R w KQ -,b1c3 d8b6 d4b3 c8a6 d2d3 a5b3 a4b3 e4d3 c2d3 a8e8,-146
8/5p2/B3b1p1/6P1/pp1k4/8/1K6/8 w - -,b1c3 d8b6 d4b3 c8a6 d2d3 a5b3 a4b3 e4d3 c2d3 a8e8,Mate
2rb4/2pk1b2/2p2pp1/2Pp3p/3P3P/6Q1/5PPB/6K1 w - -,g3f4 c8a8 h2g3 a8a1 g1h2 a1a7 f4d2 a7a3 f2f3 f7e8,133
r3kbnr/1ppqpppp/2n5/1p3b2/3pPP2/3P1NP1/PPP4P/R1BQKB1R w KQkq -,c2c4 f5g4 c4b5 c6b4 f1e2 g4f3 e2f3 d7b5 e1h1 b5d3,-266
8/4kp2/7B/7R/8/8/8/6K1 w - -,c2c4 f5g4 c4b5 c6b4 f1e2 g4f3 e2f3 d7b5 e1h1 b5d3,Mate
4r3/3q4/p5kp/1p1p4/1PrBn1p1/P1P1PQP1/2R2P2/2R3K1 w - -,f3f4 e4g5 f4f6 g6h7 d4c5 a6a5 c1d1 g5e4 f6a6 a5a4,-34
r5k1/4npq1/pp2p1p1/2p5/2P3N1/6PP/PP2QPb1/3R2K1 w - -,b2b4 g2c6 b4c5 b6b5 g4e5 a8c8 e5c6 e7c6 c4b5 a6b5,-281
r3r1k1/5p2/p2b3p/1p1p1b2/3P2p1/2P2NP1/PP3P1P/R1B1R1K1 w - -,c1f4 g4f3 f4d6 h6h5 a2a4 f7f6 e1e3 f5e4 h2h3 g8f7,4
8/5N2/4K3/6pk/6R1/8/8/5q2 w - -,,0
1rbq1rk1/3n2bn/3p3p/2pPp3/1pP1Pp2/1P3N1P/3N1PB1/R1BQR1K1 w - -,a1a7 g8h8 g1f1 f8g8 f1e2 d8b6 a7a2 d7f6 e1g1 c8d7,-106
8/4k3/8/2N2K2/6p1/6N1/8/8 w - -,,0
5rk1/p1pb1qb1/1p1p4/3Pp1p1/2P1BrP1/4QP2/PP4K1/R1R2N2 w - -,f1g3 f7e7 c1h1 d7e8 e3d3 f8f6 b2b3 g8f8 a1f1 f4e4,251
r2qk2r/pp2b1pp/2p1pn2/3pn1B1/3P4/2NQ4/PPP2PPP/R3K2R w KQkq -,d3h3 e5f7 g5f6 e7f6 h3e6 d8e7 e6e7 e8e7 c3e2 a8e8,-425
8/5p2/4k2B/5R2/8/8/8/6K1 w - -,d3h3 e5f7 g5f6 e7f6 h3e6 d8e7 e6e7 e8e7 c3e2 a8e8,Mate
5b2/3k1p1p/3p4/8/7r/2P5/3NRPnP/2KR4 w - -,d2f3 h4f4 f3e5 d7c7 e5d3 f4f5 e2e4 f8h6 c1c2 g2f4,285
8/2p2Q1p/R3p3/2k5/8/2N3P1/PPq2PK1/8 w - -,d2f3 h4f4 f3e5 d7c7 e5d3 f4f5 e2e4 f8h6 c1c2 g2f4,Mate
r2q1rk1/pp2np1p/2pp1p2/2b1p3/2B1P3/3P1N2/PPPQ1PPP/R3K2R w KQ -,d2h6 d6d5 c4b3 a7a5 a2a4 d8d6 h6h5 g8h8 e1h1 f6f5,90
3r3k/1R6/p6p/2b3p1/2B5/4r2P/PP2N2K/2R5 w - -,c4a6 e3e6 c1c5 e6a6 h2g2 a6a2 c5c6 a2a5 c6h6 h8g8,420
6k1/2R5/6p1/1p6/PP1P1pP1/8/2PR2PK/4rr2 w - -,g2g3 f4f3 c7c8 g8f7 c8c7 f7f6 g4g5 f6g5 h2h3 f1h1,Mate
rn3rk1/1bpqbppp/1n2p3/p3P3/2pP4/2N1B3/PP1NBPPP/R2Q1RK1 w - -,f1e1 b7a6 e2f3 b8c6 f3e4 b6d5 d1f3 f8d8 c3d5 e6d5,88
r4k1r/ppp2qpp/8/4pP2/4P3/8/P1Q1b1PP/R1R3K1 w - -,c2e2 h7h5 e2b2 c7c6 a1b1 h8h6 b2b4 f8g8 b4b7 f7b7,122
r3r1k1/2p1qppp/p1p2n2/1p2b3/4P3/1NP1BQP1/PP3P1P/R3R1K1 w - -,b3a5 e7e6 g1g2 f6d7 a1d1 c6c5 f3f5 e5d6 f5e6 e8e6,49
r4rk1/pp3pbp/1q4p1/2p1nP2/5B2/2P4P/PPQpBP2/3R1RK1 w - -,d1d2 b6f6 f1d1 f6h4 f4g3 h4h3 d2d5 a8e8 c2e4 e5d7,15
rn3rk1/2pp2q1/5p2/3PB2Q/4P3/3K4/PP3P1P/R7 w - -,e5c7 a8a6 h5f5 f8c8 c7f4 g8f7 a2a3 g7g6 f5g6 f7g6,-129
8/8/5kp1/3pN3/1n1P2P1/p7/p7/K7 w - -,e5f3 b4c2 a1a2 c2e3 a2a3 e3g4 a3b4 g6g5 b4c3 f6f5,-460
1b6/8/p4k2/Pp2p3/1Pp1Pp2/5P2/3K2P1/5N2 w - -,f1h2 b8d6 h2g4 f6g5 d2c3 g5h4 g4h6 d6f8 h6f7 h4g3,-525
4q1k1/pb2br2/1rn1pP1Q/2p5/2PpB2P/3P2PN/P4P2/R3R1K1 w - -,h3g5 e7f6 e4h7 g8h8 g5f7 e8f7 h7g6 h8g8 g6f7 g8f7,1137
2k1r2r/ppp2p2/2n1qn2/3p4/6pP/1B1P4/PPP1N1P1/R2Q1K1R w - -,c2c4 f6h5 d1e1 g4g3 e2g3 e6f6 e1f2 h5g3 f1g1 f6f2,-497
r3k2r/pp2bppp/1qn1p3/2ppPn2/5Pb1/2PP1N2/PP2B1PP/RNBQ1R1K w kq -,a2a4 c6a5 b1a3 a5b3 a1b1 h7h5 a3c2 e8a8 c2e3 c5c4,-120
r1b2rk1/1p3N1p/p2P2p1/2p5/PnBb4/6P1/1P5P/R1B2RK1 w - -,f1f2 d4f2 g1f2 f8f7 c1f4 g8g7 a1e1 b4c6 c4f7 g7f7,-410
3k4/8/8/8/8/2R5/3K3n/8 w - -,c3c4 h2f3 d2e3 f3g5 c4g4 g5e6 e3e4 d8d7 e4e5 e6c7,10
r2b4/2pk1b2/2p2pp1/2Pp3p/3P3P/4Q3/5PPB/6K1 w - -,h2g3 a8a2 g1h2 a2a4 f2f3 a4a2 e3h6 f7e8 h6c1 e8f7,133
1rb2rk1/5ppp/3Np3/pp6/8/2Pn2P1/PP3PBP/R4RK1 w - -,,0
r4rk1/pn4b1/1p4n1/2pPp3/P1P3q1/1QNN4/5BP1/4RRK1 w - -,b3b1 b7d6 e1e3 e5e4 e3g3 g4h5 b1d1 h5d1 f1d1 f8f6,-98
8/5N2/4K3/6R1/7k/8/8/5q2 w - -,,0
4r2k/6pp/4q3/pp6/b1pB1Rn1/2Q3PP/1P3P1K/8 w - -,f4g4 b5b4 d4g7 h8g8 c3d4 g8f7 g7h8 e8f8 g4e4 e6e4,619
r3r1k1/1QpBnpp1/7p/p1bbn3/P7/2PP3P/1P3PP1/RNB1R1K1 w - -,b7a8 e5f3 g2f3 e8a8 c1e3 c5d6 b1d2 a8d8 d7b5 e7f5,526
r4rk1/p3pp1p/b1p3p1/q7/P2bP3/5N2/2Q2PPP/R1B1R1K1 w - -,a1a2 d4c3 c1d2 c3d2 c2d2 a5d2 f3d2 c6c5 e1c1 a8c8,-107
r3k1nr/pQ3ppp/8/2ppn3/4qP1b/6P1/PPPP1K1P/RNB4R w kq -,f2g1 e4e1 g1g2 e1e2 g2h3 h4g3 b7a8 e8e7 a8a7 e7f6,-360
8/3k1p1p/3p4/8/5b1r/2P2P2/3N2RP/2KR4 w - -,g2g4 h4g4 f3g4 f4h2 c1c2 f7f5 g4f5 h2e5 d2f3 e5f6,582
3r3k/1R6/B6p/2b1r1p1/8/7P/PP2N2K/2R5 w - -,h2h1 h6h5 b2b4 c5d6 c1d1 e5e3 b7b6 e3h3 h1g2 h3h2,471
rnbqk1nr/ppp1bp1p/4p3/3pP1p1/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq -,d1h5 h7h6 c1e3 c7c5 d4c5 a7a6 g1f3 b8c6 e1a1 c8d7,205
r3k2r/pp2bpp1/1qn1p3/2ppPn1p/5Pb1/N1PP1N2/PP2B1PP/R1BQ1R1K w kq -,f1e1 e8a8 a3c2 h5h4 a1b1 d5d4 f3d4 f5g3 h2g3 h4g3,-131
r1bqkb1r/3n1p2/p1pppnpp/1p6/3PP2P/2N1BQ2/PPP2PP1/1K1R1BNR w kq -,e4e5 d6e5 d4e5 f6d5 c3d5 c6d5 f3g3 d8c7 h4h5 g6g5,89
r2qk1nr/1pp2ppp/p1npb3/2b1p3/2P1P3/3P1N2/PP2BPPP/RNBQ1RK1 w kq -,c1e3 g8e7 b1d2 e8h8 d2b3 c5e3 f2e3 e6d7 b3d2 f7f5,-7
r1bqk2r/ppp2ppp/2nbpn2/8/2QP4/5N2/PP1NPPPP/R1B1KB1R w KQkq -,e2e4 e6e5 f3e5 c6e5 d4e5 d6e5 d2f3 e5d6 f1d3 d6b4,14
r1bqkb1r/ppp2pp1/2np3p/4p3/1PB5/2P2N2/P1P2PPP/R1BQ1RK1 w kq -,,0
1rr3k1/5ppp/4p3/pp6/8/2Pn2P1/PP3PBP/R4RK1 w - -,a1b1 d3e5 f1e1 e5c4 e1d1 g8f8 g2f1 f8e7 d1d4 a5a4,-13
8/4kp2/7B/8/8/5R2/8/6K1 w - -,a1b1 d3e5 f1e1 e5c4 e1d1 g8f8 g2f1 f8e7 d1d4 a5a4,Mate
1r1Qq1k1/5pp1/1r2p3/6P1/8/P4P2/1P5R/K2R4 w - -,a1b1 d3e5 f1e1 e5c4 e1d1 g8f8 g2f1 f8e7 d1d4 a5a4,Mate
3b4/2pk1b2/2p2pp1/2Pp3p/3P3P/4Q1B1/5PP1/r5K1 w - -,g1h2 a1a2 f2f3 f7e8 e3c1 e8f7 h2g1 a2a8 c1d2 a8a3,133
4r2k/6pp/4q3/p7/bppB2R1/2Q3PP/1P3P1K/8 w - -,c3f3 e6d7 d4g7 d7g7 g4g7 h8g7 f3g4 g7f8 g4c4 e8e7,552
1rbq2rk/3n2bn/3p3p/2pPp3/1pP1Pp2/1P3N1P/5PBK/R1BQRN2 w - -,d1e2 b8b7 h2h1 d7f6 f1h2 g7f8 c1b2 b7g7 e1g1 h7g5,-204
8/pp4pp/4kn2/3rp3/1PQ1P3/7P/P4PPK/8 w - -,e4d5 f6d5 c4c8 e6d6 c8b7 e5e4 b7a6 d5b6 a6a7 b6d7,970
2r5/8/4Np2/6p1/8/4k1PP/6K1/8 w - -,g3g4 e3e4 e6g7 e4e5 g7h5 c8c7 g2h2 c7h7 h5g3 h7a7,-458
1r3rk1/pp1n1ppp/2p1b3/3p1P1n/3P4/2NBq2P/PPQ1N1P1/1R3RK1 w - -,f1f2 g7g6 f5e6 f7e6 b1f1 e6e5 c3d1 e3g5 d4e5 f8f2,215
8/2Q4p/4pk2/8/8/2N3P1/PPqR1PK1/8 w - -,g1h1 g7g6 f5e6 f7e6 b1e1 e3h6 f1f8 b8f8 c2c1 h6c1,Mate
4rK2/3k4/5R2/8/8/8/8/8 w - -,,0
4rrk1/pppq2pp/2np1n2/2b1p1B1/4Ppb1/P1PP1N2/1P1NBPPP/2RQ1RK1 w - -,d3d4 c5b6 g5f6 g4f3 d2f3 f8f6 b2b4 e5d4 a3a4 a7a5,114
r2k3r/1ppb2bp/2n3p1/p3np2/5N1P/P1N2PP1/1PPB2B1/R2K1R2 w - -,h4h5 e5c4 f4d3 g6h5 f3f4 h8e8 f1h1 c6d4 h1h5 a8a6,-129
r1b1kb1r/ppq2pp1/2p2n1p/2n1p3/2B1P3/1QP2NB1/PP3PPP/RN2K2R w KQkq -,b3c2 f6e4 g3e5 f8d6 e5d6 e4d6 c2e2 c7e7 e1h1 c8g4,-50
1R6/5ppk/3Bp2p/3nP3/b1r2P2/5BPP/7K/8 w - -,,0
rnbqkb1r/pp3ppp/1n2p3/2p5/P2PP3/5N2/1P3PPP/RNBQKB1R w KQkq -,d4d5 e6d5 a4a5 b6d7 e4d5 f8d6 d1e2 d8e7 b1c3 e8h8,104
r1b2rk1/1p1p1ppp/pq2pn2/4n3/1BP5/P3P3/1P3PPP/R2QKBNR w KQ -,d1d6 b6d6 b4d6 e5c6 d6f8 g8f8 g1f3 d7d6 f1e2 a6a5,253
r4rk1/p2n1ppp/1pp1pn2/2Pp1b2/3P4/1PN1PNP1/1P2BPP1/R3K2R w KQ -,b3b4 b6c5 b4c5 f8b8 a1a2 b8b7 e1h1 a8b8 f1c1 b7b2,53
2r3k1/1p3ppp/p3pn2/2b5/3QB2q/P4PN1/1P4PP/1R2R1K1 w - -,e1d1 c5d4 d1d4 g7g6 g1h1 h4g5 e4b7 c8c1 d4d1 c1d1,-430
8/2Q5/4pk2/7p/8/2N3P1/PPR2PK1/8 w - -,e1d1 c5d4 d1d4 g7g6 g1h1 h4g5 e4b7 c8c1 d4d1 c1d1,Mate
r2qk2r/ppp2ppp/3p1n2/2N1p3/2BnP3/3P1b2/PPP2PPP/R1BQK2R w KQkq -,c4b5 d4b5 d1f3 b5d4 f3g3 d4c2 e1d1 c2a1 c5b7 d8e7,-435
r2qk2r/ppp1bppp/2np1nb1/4p3/2B1P1PP/P2P1N2/1PP2P2/RNBQK2R w KQkq -,h4h5 g6e4 d3e4 d8d7 d1e2 e8a8 b1c3 f6g4 c1e3 g7g6,345
r5k1/1p1n1pp1/p1r4p/2q5/4QPPP/P3P3/1PPN4/2K3RR w - -,g4g5 f7f5 e4d3 a8c8 d2b3 c5c2 d3c2 c6c2 c1b1 c2f2,251
r1b2r2/1pq1n1bk/p1np2pp/2p1pp2/P1N1P3/2PPBN2/1P1QBPPP/R3K2R w KQ -,e4f5 g6f5 g2g3 d6d5 c4e5 c6e5 f3e5 c7e5 e3c5 e5f6,-171
r3r1k1/p5p1/1pp1p2p/4B3/1PqPR3/2P4P/P1Q3P1/5RK1 w - -,e5g7 c4f1 g1f1 e8f8 g7f8 a8f8 f1g1 f8f6 e4g4 g8h8,919
3rr1k1/pp1qbpp1/2n1bn1p/2pp4/P6B/2PP1N2/BP3PPP/R2QRNK1 w - -,f1e3 d5d4 a2e6 d7e6 c3d4 e6d7 d4c5 g7g5 h4g3 e7c5,-15
8/8/8/8/8/5k2/2Q5/4K3 w - -,h2h3 f6h5 h4e7 d7e7 d3d4 c5d4 f3d4 e7g5 d4f3 g5f6,Mate
2r3k1/3R2pp/p2N1p2/4p3/1p1p4/6P1/1Pr1nP1P/1K1R4 w - -,f2f3 c2c7 d7c7 c8c7 b1a2 e2c1 a2b1 c1b3 b1a2 b3a5,-434
5rk1/5pbp/bp1Rp1p1/4n3/2P1P3/1P2BP2/P3B1PP/2R3K1 w - -,c1d1 g7f6 d6b6 f8a8 f3f4 a6c4 b3c4 a8a2 g1f1 h7h5,611
r1bk1bnr/p1p3pp/1p3p2/n3p3/4P3/3BBN2/PPP2PPP/RN2K2R w KQ -,f3d2 h7h5 a2a4 g8h6 f2f3 h6f7 e1e2 c8e6 h1d1 c7c6,30
3b4/2pk1b2/2p2pp1/2Pp3p/r2P3P/4Q1B1/5PPK/8 w - -,f2f3 a4a8 e3h6 f7e8 h6g7 d7c8 g7f8 c8d7 g3f2 a8a2,126
1rbq2rk/3n3n/3p1b1p/2pPp3/1pP1Pp2/1P3N1P/3B1PBK/R2QRN2 w - -,e1e2 d8f8 f1g3 f8g7 d2e1 h6h5 g2f1 f4g3 f2g3 f6g5,-329
8/7p/2kp4/8/5r2/2P2P2/8/2KR1N2 w - -,f1d2 f4h4 c1c2 h7h5 c2d3 h4f4 d1h1 f4f5 h1h4 f5d5,434
3q1rk1/1pp1bppp/2np4/8/P4B2/2P2N2/b1PQ1PPP/2KR3R w - -,f3d4 e7f6 d2d3 c6d4 c3d4 a2d5 d3f5 d5c6 d1d3 c6a4,-53
r2qk2r/ppp2ppp/5n2/2p1p3/2BnP3/3P1P2/PPP2P1P/R1BQK2R w KQkq -,c2c3 d4e6 d1b3 e8h8 c4e6 f7e6 b3e6 f8f7 e1e2 d8d6,85
3r2k1/2p1qppp/p1p5/1p2b3/4P1n1/1NP1B1P1/PP3PQP/4R1K1 w - -,e3a7 d8a8 a7d4 a6a5 d4e5 g4e5 f2f4 e5d3 e1e3 e7d7,77
r4r2/p1nkbp2/2n1p1p1/4P1Np/2QP3P/q1N5/5PP1/1R1R2K1 w - -,d4d5 a3a6 d5c6 d7c8 c4a6 c7a6 d1d7 a6b8 d7e7 b8c6,540
r3k2r/pp2bpp1/1qn1p3/2p1Pn1p/3p1Pb1/2PP1N2/PPN1B1PP/R1BQ1R1K w kq -,c2a3 b6c7 c1d2 a8d8 a3c2 h5h4 d2e1 d4c3 b2c3,-106
8/pp4pp/4k3/3np3/1PQ5/7P/P4PPK/8 w - -,c4c8 e6d6 c8b7 g7g5 b7b8 d5c7 b4b5 e5e4 b8d8 d6c5,1083
8/5R1p/2kp4/8/5b1r/2P2P2/8/2KR1N2 w - -,c1c2 f4g5 c2d3 d6d5 f1g3 c6d6 g3f5 d6e6 f7f8 g5e7,585
8/8/8/8/1Pp2k2/2P5/3K4/8 w - -,c1c2 f4g5 c2d3 d6d5 f1g3 c6d6 g3f5 d6e6 f7f8 g5e7,Mate
r1bq3R/1ppkb3/p3p1p1/4P1B1/8/3pP3/PPP2P2/2KR4 w - -,d1d3 d7c6 d3d8 e7d8 h8d8 b7b5 d8g8 c6d5 g8g6 d5e5,250
r2q1r2/3np2k/1n1p1p1p/p1pP2p1/2P1PB2/1P1B1N1P/P2Q1PP1/4R1K1 w - -,e4e5 h7h8 e5e6 a5a4 f4e3 a4b3 a2b3 d8b8 d3b1 f8g8,411
8/8/8/8/8/6k1/3Q4/4K3 w - -,e4e5 h7h8 e5e6 a5a4 f4e3 a4b3 a2b3 d8b8 d3b1 f8g8,Mate
r1bqkb1r/3n1p2/p1p1pnpp/1p2p3/3P3P/2N1BQ2/PPP2PP1/1K1R1BNR w kq -,d4e5 f6d5 c3d5 c6d5 f3g3 d8c7 h4h5 g6g5 f2f4 g5f4,94
4r1k1/6Bp/4q3/p7/bpp3R1/2Q3PP/1P3P1K/8 w - -,c3d4 g8f7 g7h8 e8f8 g4e4 e6e4 d4e4 f8h8 e4c4 f7g7,658
6k1/pp1nrpp1/4p2p/3p4/3P4/8/PPrN1PPP/3R1RK1 w - -,b2b3 d7f6 a2a4 e7c7 a4a5 g7g6 h2h4 g8g7 b3b4 c2b2,-346
rn1qkbnr/1p3ppp/2ppp3/8/p1BPP1b1/2N2N2/PPP2PPP/R1BQ1RK1 w kq -,h2h3 g4h5 d4d5 e6e5 d5c6 b7c6 b2b3 g8f6 f1e1 a4b3,82
2r2rk1/pbqnbpp1/1p2pn1p/2p5/2PP4/1P1B1NN1/PBQ2PPP/3R1RK1 w - -,d4d5 e6d5 c4d5 b7d5 d3b5 d5c6 b5c4 c6f3 g2f3 f6e8,56
r1bqkb1r/p2p1ppp/2p2n2/4p3/4P3/7P/PPP2PP1/RNBQKB1R w KQkq -,,0
8/8/8/4k3/1Pp5/2P5/2K5/8 w - -,f1d3 f8c5 e1h1 e8h8 b1c3 d7d5 d1e2 f8e8 c1g5 c8b7,Mate
rnbq1rk1/1p3ppp/p2b1n2/P1pP4/2B5/2N2N2/1P3PPP/R1BQ1RK1 w - -,c1g5 h7h6 g5h4 c8f5 c4d3 f5d3 d1d3 f8e8 f3d2 b8d7,82
r1bqr1k1/1pp2ppp/p1np1n2/3P4/B7/4QN2/PP3PPP/RN2R1K1 w - -,e3c1 e8e1 c1e1 c6e7 b1c3 e7d5 c3d5 f6d5 h2h3 d5f6,-273
r2qk1nr/ppp1bpp1/2np2bp/4p3/2B1P1PP/P2P1N2/1PP2P2/RNBQK2R w KQkq -,h4h5 g6h7 b1c3 g8f6 h1g1 d8d7 c3d5 f6g4 d5e7 c6e7,38
7k/5p1p/4p3/p2r3P/Pp2N1P1/1P1n1K2/5P2/3R4 w - -,f3e3 d3e5 d1d5 e5g4 e3d4 e6d5 d4d5 h8g7 d5c6 f7f5,228
r1bqkb1r/3n1p2/p1p1p1pp/1p1nP3/7P/2N1BQ2/PPP2PP1/1K1R1BNR w kq -,c3d5 c6d5 h4h5 g6g5 f3g3 d8c7 f2f4 g5f4 e3f4 c8b7,94
8/6k1/6p1/3pN3/1n1P2P1/p7/p7/K7 w - -,,0
3r2k1/p3Rp1p/6p1/8/n2N4/2P5/P4PPP/6K1 w - -,h2h4 a4c3 d4f3 d8d1 g1h2 d1f1 h2g3 f1a1 e7a7 a1a2,3
r4rk1/pn4b1/1p6/2pPp3/P1P1Nnq1/1Q1N4/5BP1/4RRK1 w - -,e4f6 f8f6 d3f4 e5f4 b3h3 g4h3 g2h3 b7d6 f2h4 f6g6,-438
r1b1k2r/1p2pp2/p1n3pb/5n1p/P1Np1q1P/1P1P1N2/1BPQB3/RK5R w kq -,d2f4 h6f4 c4b6 a8b8 b3b4 e7e5 b6d5 f4g3 h1g1 c6e7,-307
3r1b1k/1R6/B6p/4r1p1/1P6/7P/P3N2K/2R5 w - -,h2g2 f8d6 c1d1 g5g4 h3g4 e5g5 d1d4 h6h5 b7b6 g5g4,475
rnbqkb1r/pp1p1ppp/2pnp3/8/3P4/3B1N2/PPP2PPP/RNBQ1RK1 w kq -,f1e1 f7f6 c2c4 f8e7 b1c3 e8h8 g2g4 b8a6 a2a3 f6f5,52
1rbq2rk/3n4/3p1b1p/2pPp1n1/1pP1Pp2/1P3N1P/3BQPBK/R3RN2 w - -,f1g3 g5f3 g2f3 f4g3 f2g3 f6g5 e1f1 d7f6 a1a7 g5d2,-249
8/8/8/8/6k1/3Q4/8/4K3 w - -,f1g3 g5f3 g2f3 f4g3 f2g3 f6g5 e1f1 d7f6 a1a7 g5d2,Mate
5rk1/5pbp/bp1Rp1p1/8/2n1PP2/1P2B3/P3B1PP/2R3K1 w - -,b3c4 g7h6 d6b6 e6e5 c1d1 f8a8 g1h1 h6f4 e3g1 f4h2,592
6r1/4k3/1pqp2p1/2p1p1P1/7P/P7/1PQ5/1K3R2 w - -,,0
r3k1nr/pQ1n1ppp/8/2ppN3/4qP1b/6P1/PPPP3P/RNB1K2R w KQkq -,e1d1 e4h1 d1e2 h1h2 e2f1 h2h3 f1g1 h3g3 g1h1 g3e1,-1176
r1r3k1/pp1bp3/3p1p1p/3Pb1p1/3B4/1B5P/PPP1RPP1/3R2K1 w - -,a2a3 a7a5 c2c3 b7b5 b3c2 g8f7 e2e3 h6h5 d4e5 d6e5,-32
2rq1rk1/pp2bppp/2n1pn2/8/2PP2b1/5N2/PB1NBPPP/R2Q1RK1 w - -,d1a4 d8b6 a4b3 f8d8 h2h3 g4h5 f1d1 b6b4 b2c3 b4b3,-28
