7B/8/8/5K2/p1k5/1p6/8/8 w - -,c3b3 c5d4 h4g6 e4f5 g6f4 f5d7 b3a3 d4e4 a3b4 e4f3,Mate
4r3/pp3pk1/2pbqpp1/3p4/3P2P1/2Q3NP/PPP2PK1/R7 w - -,c3d2 a7a5 a2a4 e6e7 b2b3 d6c7 c2c3 b7b5 h3h4 b5a4,-44
r1q1kb1r/1p3ppp/p1n1pn2/1B1p1b2/3P1B2/1QN1PN2/PP3PPP/R3K2R w KQkq -,b5c6 b7c6 a1c1 f8e7 c3a4 f6d7 e1h1 a8a7 b3c3 e8h8,90
8/8/5p2/5P2/4b1pN/K3k1P1/8/8 w - -,h4g6 e3f2 g6f4 f2g3 f4g6 e4f5 g6e7 f5e4 a3b4 g3f3,-885
r2qkb1r/5ppp/2pp4/pp6/P3n2n/1B1N4/1PPPNK1P/R1BQ3R w kq -,f2g1 d8g5 e2g3 e4g3 g1f2 g3h1 d1h1 d6d5 a4b5 g5f5,-587
rn2kb1r/pp2pppb/2p5/4P2p/3N1Pn1/8/PPP1K1PP/RNB2B1R w kq -,e5e6 b8a6 e6f7 e8f7 h2h3 g4f6 b1d2 a8d8 c2c3 a6c5,10
rn1k3r/pp3ppp/2p1p3/2b1Pb2/1nP2P2/N4N2/PP1B2PP/R3KB1R w KQ -,f1e2 b8a6 d2c3 d8e7 f3d4 f5e4 e1f2 a8d8 h1d1 d8d7,-122
8/8/8/5K2/p7/Bp6/2k5/8 w - -,f1e2 b8a6 d2c3 d8e7 f3d4 f5e4 e1f2 a8d8 h1d1 d8d7,Mate
r3kb1r/1p1n1pp1/2p1pn1p/q6P/3P4/pP1Q1NN1/P1P2PP1/1KBR3R w kq -,c2c4 f8b4 g3e4 f6e4 d3e4 d7f6 e4c2 b7b5 f3e5 b5c4,10
8/3K4/r5p1/1p3k2/1P6/2P1R3/6P1/8 w - -,e3e8 a6a3 e8e3 a3a6 g2g3 g6g5 d7c7 f5g4 c3c4 b5c4,400
r4rk1/1p2ppbp/1pnp1np1/8/2P1P1b1/1PN2N2/PB2BPPP/R3K2R w KQ -,e1a1 f6d7 c1b1 d7c5 h2h3 g4d7 f3d2 f7f5 f2f3 c6b4,-56
