r2qk2r/bbp2ppp/p1np1n2/1p2p3/3PP3/1BP2N2/PP3PPP/RNBQR1K1 w kq -,a2a4 b5b4 c1e3 b4c3 b2c3 e8h8 b1d2 h7h6 a1b1 c6a5,59
8/1p6/8/4k2P/6PK/8/5P2/2q5 w - -,d1d3 h7h6 a2a4 e8h8 a4b5 a6b5 d3b5 a7b6 a1a8 d8a8,Mate
4k3/8/1pNnppp1/3p1n2/P2P3P/4PN2/4KP2/8 w - -,e2f1 d6e4 f1e1 e4c3 e1d2 c3a4 d2c2 b6b5 c6b4 f5h6,-20
8/5pk1/p7/1p2Pb2/8/2r2B2/P3R1K1/8 w - -,f3e4 f5e6 e2d2 c3a3 e4b1 a6a5 g2f2 b5b4 f2e2 g7h6,-356
8/1p3pk1/2p3p1/7p/1P1N4/2R1nP1P/3r2P1/6K1 w - -,d4c6 e3d5 c3c4 b7c6 c4c6 d5b4 c6c4 b4c2 c4e4 c2d4,-444
2r5/p5k1/Pb4pp/1P1pqp2/1Pp1p3/7P/R3B1P1/3Q3K w - -,d1f1 c4c3 a2c2 d5d4 f1e1 c8d8 e2f1 h6h5 g2g3 b6c7,-655
3n4/7p/2pr1kp1/1p3p1P/1p3P2/1P2K1P1/P7/2R2B2 w - -,f1d3 d8e6 h5g6 h7g6 d3e2 e6d4 e2d3 f6e6 c1c5 e6d7,-159
8/1p6/8/p7/P2kPp2/1P1n2r1/4K1Br/5RR1 w - -,f1d3 d8e6 h5g6 h7g6 d3e2 e6d4 e2d3 f6e6 c1c5 e6d7,Mate
2b3k1/6p1/5R2/pr1pN3/3Pr3/1P3K2/P7/6R1 w - -,f6f7 e4g4 g1g4 c8g4 f3g4 a5a4 f7f3 a4b3 g4g5 g7g6,573
2r3k1/3R1p2/1n2p1p1/5r2/R7/P2N4/1P6/4K3 w - -,a4d4 b6d7 d4d7 c8c2 e1d1 c2g2 d1e1 g8g7 d7d4 f5h5,-491
4k3/8/1p2ppp1/3p1n2/PN1Pn2P/4PN2/4KP2/8 w - -,b4a6 f5d6 f3e1 e8f7 a6b4 e4c3 e2d2 c3a4 d2c2 b6b5,-31
r2qkbnr/pp1n1ppp/4p3/1BppPb2/8/5N1P/PPPP1PP1/RNBQK2R w KQkq -,d2d4 a7a6 b5d7 d8d7 e1h1 h7h6 b1c3 a8c8 c3e2 f5e4,-18
rnb1k2r/pp3ppp/4p3/q2p4/1bPP4/2N2N2/PPQn1PPP/R3KB1R w KQkq -,c2d2 e8h8 a1c1 b8c6 a2a3 b4e7 c4d5 e6d5 h2h3 f8e8,-12
6k1/6p1/5R2/pr1pNb2/3P1r2/1P6/P4K2/6R1 w - -,f2e3 f4e4 e3f3 e4e1 f6f8 g8f8 g1e1 f5e4 f3e3 g7g5,11
8/3k4/1p2ppp1/3p1n2/P2Pn2P/4PN2/N3KP2/8 w - -,f3h2 f5h4 h2g4 d7e7 f2f3 e4g5 g4h2 h4f5 a2b4 e7d6,-71
7k/7p/4Pp2/2Bp1Pq1/7K/p1P5/P4R1P/8 w - -,h4h3 h7h5 f2g2 g5f5 h3g3 f5e5 g3f3 e5c3 c5e3 d5d4,-481
r1bq1bnr/2pp2pp/p3k3/np5Q/4P3/2N5/PPPP1PPP/R1B1K2R w KQ -,h5d5 e6f6 d5a8 a5c6 d2d4 f6f7 c1e3 g8f6 d4d5 c6e5,56
7k/8/4Pp2/2Bp1Pqp/8/p1P4K/P4R1P/8 w - -,f2f4 g5f4 h3g2 f4g5 g2h1 g5f5 h2h3 f5e6 c5e7 e6e1,Mate
3n2k1/7p/2pr2p1/1pR2p2/1p1P3P/1P3PP1/P4K2/5B2 w - -,d4d5 c6d5 c5b5 d8c6 b5b6 d6e6 f1b5 c6d4 b6e6 d4e6,185
r1bq1bnr/2pp2pp/p4k2/np1Q4/4P3/2N5/PPPP1PPP/R1B1K2R w KQ -,d5a8 a5c6 d2d4 f6f7 c1e3 f8b4 a2a4 b5a4 e1h1 g8f6,73
8/3k4/1p2ppp1/3p4/P2P3n/4P3/N2K1P2/8 w - -,d2c3 g6g5 c3d3 h4f5 e3e4 f5e7 e4d5 e7d5 a2c1 f6f5,-329
8/3k4/1p2ppp1/3p1n2/P2P3P/4P3/N2nKP2/8 w - -,e2d3 d2e4 f2f3 e4d6 e3e4 f5h4 e4d5 e6d5 d3e2 g6g5,-544
1r4k1/2nrb1p1/1p3p2/pP1p3P/N2P2P1/2PKNR2/8/1R6 w - -,f3f1 b8b7 e3g2 g8h7 f1f5 e7d6 b1h1 d6e7 g2f4 h7h6,109
8/3k4/1p2ppp1/3p1n2/PN1P4/4P3/3K1P2/8 w - -,d2c2 g6g5 c2d3 f5d6 d3e2 d6e4 b4a2 d7c6 f2f3 e4d6,-191
2K5/r7/8/2k5/8/8/1R6/8 w - -,,0
r2q1rk1/pp2pp1p/1nnp2p1/8/2PQP3/2N5/PP2BPPP/R4RK1 w - -,d4e3 b6d7 a1d1 a7a5 b2b3 d7c5 d1d2 a5a4 f1b1 a4b3,70
8/5pk1/p7/1p2P3/2b1B3/2r5/P3R1K1/8 w - -,e5e6 f7e6 e2f2 c3a3 e4b1 a6a5 g2h2 a5a4 h2g2 a3c3,-484
2Q5/7k/6p1/p2P1n2/3b4/1p1q2PK/1P6/8 w - -,e5e6 f7e6 e2f2 c3a3 e4b1 a6a5 g2h2 a5a4 h2g2 a3c3,Mate
8/1B3pk1/8/pp2P3/2b5/4r3/P2R2K1/8 w - -,g2g1 e3a3 d2g2 g7h6 b7a6 a5a4 g2h2 h6g5 h2b2 a3a2,-428
6k1/6p1/5R2/pr1pNb2/3Pr3/1P2K3/P7/6R1 w - -,e3d2 e4d4 d2c3 d4d1 g1d1 g7f6 e5d3 g8f7 a2a4 d5d4,-18
8/5pk1/B7/pp2r3/2b5/8/P2R2K1/8 w - -,d2b2 g7f6 g2f3 a5a4 f3f4 a4a3 b2c2 e5e2 c2e2 c4e2,-429
8/3k4/1p2pp2/3p1np1/P2P4/3NP3/3K1P2/8 w - -,d3c1 f5d6 c1b3 d7c7 d2c2 g5g4 b3c1 c7c6 c2b3 d6e4,-249
8/5pk1/B7/pp1br3/P7/8/3R2K1/8 w - -,g2g1 b5a4 d2d3 d5b3 g1f2 e5e4 d3g3 g7f8 a6d3 e4b4,-579
r1bq1rk1/ppp2ppp/2np1n2/1B2p3/1b2P3/2NP1N2/PPP2PPP/R1BQK2R w KQ -,b5c6 b7c6 e1h1 f8e8 a2a3 b4c3 b2c3 d6d5 f3d2 d5e4,-16
r1b1k1nr/p3ppbp/2p3p1/2p5/4PP2/2N2N2/PPP3PP/R1BqK2R w KQkq -,e1f2 d1h1 e4e5 g8h6 h2h3 c8a6 c3e4 h1f1 f2g3 f1c4,-1165
r2q1rk1/pp1b1npp/2n1pb2/3p3P/3P1B2/2N2NP1/PP2BP2/R2Q1RK1 w - -,d1d2 f7h6 f4h6 g7h6 a1e1 f6g7 e2d1 f8f5 e1e3 d8e7,45
8/8/1pk1pp2/3p1np1/P2P4/2KNP3/5P2/8 w - -,c3d2 f5d6 d2c2 c6b7 c2b2 d6e4 b2b3 g5g4 b3a3 b7c6,-398
8/5p2/5k2/pr6/2R2K2/p7/8/8 w - -,c4c6 f6e7 c6c1 b5b4 f4e3 a3a2 c1a1 b4b3 e3d2 b3g3,-825
r1bq1rk1/pppp1ppp/2nb1n2/4p3/4P3/2PP1Q2/PP3PPP/RNB1KBNR w KQ -,g2g4 d6e7 f3g2 d7d6 f1e2 c8e6 h2h4 d6d5 g4g5 f6e8,-46
2R5/1p1r2pp/p7/P4k2/1P1p4/3K4/8/8 w - -,b4b5 a6b5 c8f8 f5g4 f8a8 g7g5 a8a7 d7f7 a5a6 f7f3,-695
r2q1rk1/pb1nbppp/1pp1pn2/8/2PPN3/3B1N2/PP2QPPP/R1B2RK1 w - -,e4f6 e7f6 f1d1 d8c7 e2c2 h7h6 c4c5 e6e5 d4e5 d7e5,24
8/8/1pknpp2/3p2p1/P2P4/3NP3/3K1P2/8 w - -,d2c2 c6b7 c2c3 d6e4 c3b3 g5g4 b3b2 b7c6 b2c2 c6d6,-350
r2q1rk1/ppp2ppp/2np1n2/1B2p3/1b2P1b1/2NP1N2/PPPB1PPP/R2QK2R w KQ -,,0
r2qkbnr/ppp1pppp/2n5/8/2P3b1/3B1N2/PP3PPP/RNBQK2R w KQkq -,c1g5 d8d7 b1c3 e8a8 d3e2 d7d1 a1d1 d8d1 e2d1 f7f6,-173
r3k1nr/pppq1ppp/2np4/2b1p3/4P1b1/2N2N2/PPPPBPPP/R1BQ1RK1 w kq -,d2d3 g8f6 c1g5 d7e6 f3d2 g4e2 d1e2 e8h8 g1h1 c6d4,19
8/1k6/1p1npp2/3p2p1/P2P4/3NPP2/3K4/8 w - -,d3f2 b7a6 e3e4 a6a5 e4d5 e6d5 f2g4 d6e8 g4e3 e8c7,-428
6k1/6p1/6Pp/4p3/2p2p1P/p1Pn1P2/Pq4QK/8 w - -,d3f2 b7a6 e3e4 a6a5 e4d5 e6d5 f2g4 d6e8 g4e3 e8c7,Mate
r1b2rk1/ppppqppp/2n2n2/4p1N1/1bB1P3/2NP4/PPP2PPP/R1BQK2R w KQ -,c1d2 h7h6 g5f3 c6a5 c4b3 a5b3 a2b3 b7b6 e1h1 d7d6,-13
8/8/kp1npp2/3p2p1/P2P4/4PP2/3K1N2/8 w - -,f2g4 f6f5 g4e5 a6a5 e5d7 d6c4 d2d3 g5g4 f3g4 f5g4,-532
r2qkb1r/p2b1p2/2p1p2p/3pPnp1/3Q4/5NB1/PPP2PPP/RN3RK1 w kq -,d4d2 c6c5 h2h3 d7c6 b1c3 d5d4 c3e2 h8g8 d2d3 d8d5,-189
5rk1/5ppp/1pQ1p3/p1b5/1q3Pn1/1B2P3/P4P1P/2RR2K1 w - -,c1c4 b4a3 d1b1 c5b4 c6b6 g4h6 b6d4 h6f5 d4b2 a3b2,384
rnbq1rk1/ppp2ppp/4pn2/2b5/8/2N3P1/PPPP1PBP/R1BQK1NR w KQ -,g1f3 e6e5 d2d3 f8e8 e1h1 b8c6 c1g5 h7h6 g5f6 d8f6,-14
r3k2r/ppq1npp1/2nbp2p/3p3b/3P4/2PBBN1P/PPQN1PP1/R4RK1 w kq -,a1c1 a8c8 b2b4 e8h8 f3h4 c7d7 c2b2 g7g5 h4f3 f7f6,-56
