5rk1/2p3p1/p2p4/1p1Pp1q1/PPPR2P1/1B1P1K2/5P2/R2Q3r w - -,f3e2 g5h4 d4f4 f8f4 e2d2 f4f2 d2c3 h1d1 a1d1 h4g4,Mate
r2q4/b1pb2pk/p2p2np/1p1P4/3P1p2/P4NPP/1PBQ1P2/4RK2 w - -,,0
r2qk2r/pbp2ppp/1pnbpn2/3p4/2PP4/1P2PN2/PB2BPPP/RN1QK2R w KQkq -,e1h1 e8h8 b1c3 c6b8 d1c2 b8d7 c3b5 d6e7 a1d1 c7c6,53
5rk1/p2R4/2pb4/8/P2PP1b1/4B3/5K2/1R6 w - -,d7f7 f8f7 f2e1 g4f3 e4e5 f3e4 b1b2 d6c7 e1d1 c7b6,-331
r4rk1/5pbp/p3p1p1/4P3/1p5P/3BqPQ1/PPP5/2KR3R w - -,d1d2 g7e5 g3g2 e5c3 a2a4 f8d8 g2e2 e3d2 e2d2 c3d2,-441
5k2/3p2pp/8/p1p1P3/3q4/p2nN3/PP2K1PP/R1B5 w - -,e5e6 d3f4 e2f2 a3b2 c1b2 d4b2 f2g3 f4e6 a1f1 f8g8,-636
r4qk1/2pb1r1p/p1n1p1p1/1p1pP3/3P1b2/PQPB1NB1/1P4PP/R4RK1 w - -,g3f4 f7f4 b3c2 f8g7 h2h3 a8f8 f3h2 f4f1 a1f1 f8f1,170
2b2rk1/1pp2p2/1r1p2pP/1q2b1P1/p2pP3/3P4/PPP1B1Q1/1KB2R1R w - -,f1f2 b5d7 h1f1 b6a6 f2f6 d7e7 g2f2 c8e6 h6h7 g8h8,119
3qkb2/1r3r1R/p1p1bnQ1/1pB1pp2/4P3/P2B1p2/1PP5/1K4R1 w - -,e4f5 e6a2 b1a2 d8d5 a2a1 f6h7 c5f2 h7f6 f2h4 e5e4,-700
r1brk3/pp1n2Q1/2n1p3/1NbpP1N1/5B2/8/PqP2PPP/R4RK1 w - -,e4f5 e6a2 b1a2 d8d5 a2a1 f6h7 c5f2 h7f6 f2h4 e5e4,Mate
6k1/2p3p1/p2p4/1p1Pp1q1/PPPR2P1/1B1P4/4Kr2/R2Q3r w - -,e2f2 g5h4 f2e3 h4h6 e3f2 h6h2 f2f3 h2h3 f3e4 h1d1,-673
