5rk1/2p3p1/p2p4/1p1Pp1q1/PPPR2P1/1B1P1K2/5P2/R2Q3r w - -,f3e2 g5h4 d4f4 f8f4 e2d2 f4f2 d2c3 h1d1 a1d1 h4g4,Mate
6k1/1p2qpp1/5n1p/1p1p4/1PbPpB2/2Q3P1/4PP1P/2N2BK1 w - -,f4d2 g8h8 c3b2 f6d7 h2h4 e7e6 c1a2 e6f5 a2c3 d7f6,270
3r1r2/Q3bk1p/2p3p1/5b2/1n6/4B3/1P2B1PP/K6R w - -,h1e1 b4c2 a1a2 d8a8 e2c4 f7f6 e3d4 c2d4 e1e7 a8a7,-600
r3k2r/pp2bppp/2n1pn2/3q4/8/2P5/PP1NNPPP/R1BQ1RK1 w kq -,d2f3 e8h8 e2d4 f8d8 d1e2 c6d4 f3d4 d5e4 f1e1 e4e2,-25
4k3/2R3pp/r4p2/3P4/p7/4PNP1/n4P1P/6K1 w - -,c7c4 a4a3 f3d4 f6f5 f2f3 g7g6 e3e4 e8d7 e4e5 a6a5,63
1r2k3/2b2p1p/R3p3/p4p2/P1PN4/1P1K4/5PPP/8 w - -,c4c5 c7e5 d4b5 b8d8 d3e2 d8d5 c5c6 d5c5 g2g3 c5c2,296
r1bqk2r/1p1nbppp/p1npp3/8/3PP3/P1N1BN2/1P2BPPP/R2QK2R w KQkq -,e1h1 e8h8 d1c2 d7b6 d4d5 e6d5 e4d5 c6e5 f3e5 d6e5,122
7k/pp4p1/2p4p/2P1b2P/1P2N1P1/KR3P2/8/2r5 w - -,b3e3 c1d1 a3b3 e5f4 e4c3 d1f1 e3d3 h8g8 c3e2 f4g5,4
r4rk1/1p1bppbp/3p1np1/qN2n3/p1PB4/1P2N1P1/P3PPBP/R2Q1RK1 w - -,g2b7 a8b8 d4c3 a5b6 b7g2 d7b5 c4b5 b6b5 b3a4 b5a6,92
8/pp1b1k1q/3b1r2/3pn3/5Q2/2P5/PPN2PP1/R1B1R1K1 w - -,f4f6 f7f6 c2d4 e5g4 b2b3 h7h2 g1f1 h2h1 f1e2 h1g2,-500
2rq2k1/1p1n1pp1/3p4/pQ1Pp2n/4P2p/P3BP2/1P2B1PP/R5K1 w - -,a1c1 c8c1 e3c1 d7c5 c1e3 g7g6 g1f2 h5f4 e2f1 d8c7,92
r3kb1r/pp2nppp/2n1p3/3pP3/1q6/4QB1P/PP3PP1/RNB2RK1 w kq -,a2a3 b4b6 e3b6 a7b6 b1c3 c6e5 f3e2 e7f5 c3b5 e8d7,-214
6k1/ppb1qpp1/7p/1Q6/2b1N3/P3PB2/1Pr2PPP/R5K1 w - -,,0
r4r2/pp4pk/2p1Rb1p/5p1P/3P2n1/5N2/PPPB1P2/2K3R1 w - -,g1g2 a8e8 e6e1 e8e1 d2e1 f8e8 c1d1 c6c5 d4c5 f6b2,-80
8/4k2p/1p3p2/2n1pP2/p1P1P1KP/P2nNB2/1P6/8 w - -,g4h5 e7f7 h5h6 f7g8 e3d5 d3e1 f3d1 c5e4 d1a4 g8h8,198
7k/pp4p1/7p/8/2Brp3/8/PPP4P/5R1K w - -,c4b3 a7a5 f1e1 g7g5 e1e2 h8g7 c2c3 d4d8 h1g2 g5g4,440
r1bqkbnr/3pppp1/p1n4p/1ppB2B1/4P3/3P4/PPP2PPP/RN1QK1NR w KQkq -,d1f3 g8f6 g5f6 e7f6 f3g3 a8a7 a2a4 c6b4 e1d1 b4d5,41
3r1rk1/1pp1bpp1/1n6/pP4qp/N7/P2R1BPb/1BQ1PP1P/1R4K1 w - -,b2d4 g5g6 d4c5 f8e8 c5e7 d8d3 c2d3 g6d3 e2d3 b6a4,-2
8/8/8/2kB4/8/2K5/2N5/8 w - -,b2d4 g5g6 d4c5 f8e8 c5e7 d8d3 c2d3 g6d3 e2d3 b6a4,Mate
1rr2bk1/3Q1ppp/p1b5/1pp3P1/7P/4BPqR/PPP3B1/2K3R1 w - -,d7c8 g3d6 c8g4 c6d7 g4g3 d6b6 g1d1 b8e8 f3f4 d7f5,399
8/2k2p2/p1r1p3/3pPn1N/3P1P2/R1PK4/8/8 w - -,h5f6 f5g3 a3a2 c6b6 a2h2 c7c6 h2g2 g3f5 g2a2 b6b1,12
r1b2rk1/pp2np1p/1q1pp1p1/3P4/3bP3/N5P1/PP3PBP/R1BQR1K1 w - -,c1e3 d4e3 e1e3 b6b2 a3c4 b2g7 c4d6 e6d5 e4d5 e7f5,47
8/p4r2/1p5k/3p4/2pP2KP/P1P2p2/8/5R2 w - -,a3a4 f3f2 g4h3 h6h5 h3g2 f7f8 g2h3 f8f3 h3g2 h5g4,-789
1k1r4/1p3np1/p1npr3/6p1/2P1PPR1/2N2B1P/PP6/2KR4 w - -,e4e5 g5f4 f3d5 e6e7 e5e6 f7e5 g4f4 d8h8 c3e4 b8c7,147
r3r1k1/3n1pp1/1qb2n1p/1p2p3/1b2P2B/3B1N2/2RNQPPP/5RK1 w - -,c2c6 b6c6 d3b5 c6c2 h4f6 d7f6 b5e8 f6e8 e2c4 c2c4,-8
5rk1/1Q3ppp/3p4/8/4P1q1/r7/P4PPP/R3R1K1 w - -,b7b4 a3a6 h2h3 g4h5 a2a4 f8a8 e1c1 h5e5 c1d1 h7h6,69
1r3rk1/1B1bppbp/3p1np1/qN2n3/p1PB4/1P2N1P1/P3PP1P/R2Q1RK1 w - -,d4c3 a5b6 b7g2 d7b5 c3d4 b6a6 c4b5 a6b5 b3a4 b5a5,72
rnb2rk1/p4ppp/8/4N3/2p5/2Q5/P4PPP/R1Bq1K1R w - -,c3e1 d1e1 f1e1 f8e8 f2f4 f7f6 g2g4 f6e5 f4f5 b8d7,-553
8/5k1p/1p3p2/2n1pP1K/p1P1P2P/P2nNB2/1P6/8 w - -,h5h6 f7g8 e3d5 d3e1 f3d1 c5e4 d1a4 e4d6 d5f6 g8f7,251
1rQ2bk1/5ppp/p1b5/1pp3P1/7P/4BP1R/PPP3q1/2K3R1 w - -,c8f8 b8f8 g1g2 f8e8 e3c5 e8e1 c1d2 e1e5 c5d4 e5e8,559
r5k1/1r1nppbp/q2p2p1/P1pP4/4P3/5NP1/1PQB1PKP/RR6 w - -,a1a3 a8b8 b2b3 d7e5 f3e5 g7e5 a3a4 e5d4 a4c4 h7h5,121
3rr1k1/p4ppp/1nn1q3/2R1p3/8/BQP3P1/P3NP1P/5RK1 w - -,b3e6 e8e6 a3c1 f7f6 c1e3 b6d5 e3c1 e6d6 f2f4 h7h6,-42
r1b2qk1/1p3ppp/p3p3/8/4p3/3P4/PP3PPP/R3QBK1 w - -,g2g3 c8d7 d3e4 d7c6 a1d1 a8d8 e4e5 g7g6 f1g2 c6g2,-18
4k3/6pp/5p2/3P4/R2N4/p3P1P1/nr3P1P/6K1 w - -,a4a3 a2b4 e3e4 g7g6 a3b3 b2b3 d4b3 e8d7 f2f3 b4d3,371
8/p7/1p5k/3p4/2pP2KP/P1P2r2/8/8 w - -,a3a4 f3c3 g4f5 c3d3 f5e5 c4c3 e5d5 c3c2 d5e4 d3d1,Mate
8/8/3k4/3B4/8/2K1N3/8/8 w - -,a3a4 f3c3 g4f5 c3d3 f5e5 c4c3 e5d5 c3c2 d5e4 d3d1,Mate
8/8/1k4p1/3R3p/4KP2/8/5r2/8 w - -,,0
3r1rk1/1p1qnppp/1pp5/3n4/2B5/1PN2P2/PP1Q2PP/3R1RK1 w - -,c3d5 e7d5 c4d5 c6d5 d2d4 f8e8 h2h3 d7c7 b3b4 h7h6,17
r1r5/1p1k4/1B1p1b2/P2Pp2p/2P2pp1/1P3P2/R5PP/5R1K w - -,g2g3 f6g5 g3f4 g5f4 a2g2 c8h8 b3b4 a8f8 b4b5 f8a8,171
7k/1p4p1/7p/p7/3rp3/1B6/PPP4P/5R1K w - -,f1e1 g7g5 e1e2 h8g7 h1g2 g7f6 c2c3 d4d7 b3c2 g5g4,443
rn2k2r/ppp2ppp/4pn2/q4b2/1b1P4/5N2/PPPBNPPP/R2QKB1R w KQkq -,c2c3 b4e7 e2g3 f5g6 a2a4 c7c6 h2h4 f6h5 f3e5 h5g3,32
1r3k2/5ppp/p1b5/1pp3P1/7P/4BP1R/PPP3q1/2K3R1 w - -,e3c5 f8e8 g1g2 c6d5 c5d4 e8f8 g2d2 d5a2 d4c5 f8e8,609
8/7Q/8/4K3/R7/2n5/1pNq1P2/1k6 w - -,e3c5 f8e8 g1g2 c6d5 c5d4 e8f8 g2d2 d5a2 d4c5 f8e8,Mate
7k/pp4p1/2p4p/2P1b2P/1P2N1P1/K2R1P2/8/5r2 w - -,e4d6 h8h7 d6b7 f1a1 a3b3 a1b1 b3a4 e5c7 b7d8 b1a1,356
4k3/2b2p1p/R3p3/p1P2p2/Pr1N4/1P1K4/5PPP/8 w - -,g2g3 c7e5 d4e6 f7e6 a6e6 e8d7 e6e5 b4b3 d3c4 b3f3,347
6k1/7p/1p3p1K/2n1pP2/p1P1P2P/P2nNB2/1P6/8 w - -,e3d5 d3e1 f3d1 c5e4 d1a4 e4g3 d5f6 g8f7 f6d5 g3f5,262
r1bqk2r/pp1p1ppp/2n1pn2/8/1b2PP2/2NQ4/PPP3PP/R1B1KB1R w KQkq -,e4e5 f6d5 c1d2 d5c3 d2c3 d8a5 h2h4 b4c3 b2c3 d7d5,-402
3r2k1/p4ppp/1nn1r3/2R1p3/8/B1P3P1/P3NP1P/5RK1 w - -,a3c1 h7h5 c1e3 d8d7 c3c4 h5h4 g3h4 f7f5 f2f4 d7d3,-29
3r1rk1/1b3ppp/p3p3/1p1qP3/2pPn3/P1P1B2P/1P2QRP1/1B1R2K1 w - -,b1e4 d5e4 f2f4 e4c6 d1f1 f7f5 e5f6 d8d5 f4g4 g7g6,322
8/7k/8/2p5/8/2K5/8/7r w - -,f2f1 e4g3 e2c2 f7f5 e5f6 d5h5 f6f7 g8h8 f1e1 f8f7,Mate
8/2k2p2/4R3/8/8/rpp5/p7/K7 w - -,,0
r6k/1pq1n1b1/2npbrpp/p1p1pp2/P1N1P2P/2PPBNPB/1P3P1K/R2QR3 w - -,c4a3 c7d7 f3g1 a8f8 f2f3 g6g5 h4g5 f6g6 h3f5 e7f5,-144
1r3rk1/1B1bppbp/1q1p1np1/1N2n3/p1P5/1PB1N1P1/P3PP1P/R2Q1RK1 w - -,b7g2 d7b5 c3d4 b6a5 c4b5 a5b5 b3a4 b5a5 a1c1 e7e6,71
8/p7/1p6/3p3k/2pP3P/P1P2K2/8/8 w - -,f3f2 b6b5 f2g3 a7a5 g3f3 h5h4 f3f4 h4h5 f4f3 h5g5,-1247
r5k1/1r2ppbp/q2p2p1/P1pPn3/4P3/5NP1/RPQB1PKP/1R6 w - -,f3e5 g7e5 a2a4 h7h5 d2e1 h5h4 g3h4 g8g7 e1c3 f7f6,116
r4r1k/p4pbp/1p2p3/n1p1N3/5B2/6R1/PPP2PPP/2K1R3 w - -,e5d7 f8d8 d7e5 d8f8 g3d3 f7f6 e5d7 f8e8 f4d2 a5b7,105
3q2k1/1p3pp1/3p4/pQnPp2n/4P2p/P4P2/1P2B1PP/2B3K1 w - -,c1e3 h5f4 e2f1 d8c7 b5c4 g8f8 c4c3 f4g6 e3f2 f8e7,101
2r2rk1/p3qppp/bpn1pn2/2b5/2p5/PP2PNP1/1B1N1PBP/2RQ1RK1 w - -,b3b4 c4c3 c1c3 a6f1 g2f1 c5d6 f1a6 c8c7 c3d3 f8d8,-60
rnbqk2r/pp2bppp/5n2/2p5/4p3/3P1NP1/PPP2PBP/RNBQK2R w KQkq -,f3g5 e4d3 d1d3 d8d3 c2d3 b8c6 b1c3 c6b4 e1h1 e8h8,-58
r1bk4/p1q3Q1/1pp3pN/8/P2PN3/8/1P3PPP/2n4K w - -,g7f8 d8d7 f8g7 d7d8 h6f7 c7f7 g7f7 a8b8 f7f4 b8b7,821
r2q1rk1/pp3p2/3p1n1p/2bpp1p1/2BPP3/3P1PB1/PP3P1P/R2Q1RK1 w - -,c4b3 c5d4 g1g2 g8h7 d1d2 f8g8 a1c1 d8d7 h2h4 d7e7,-280
8/7k/8/2p4r/2K5/8/8/8 w - -,c4b3 c5d4 g1g2 g8h7 d1d2 f8g8 a1c1 d8d7 h2h4 d7e7,Mate
7k/R6P/5r2/8/8/7K/8/8 w - -,,0
4r1k1/pp6/4p1p1/3p2Q1/4q3/5N1R/P3bPKP/8 w - -,g5e3 e4e3 f2e3 e2f3 h3f3 e8f8 f3g3 g8f7 g3h3 f7f6,-408
6k1/pQ2qpp1/7p/8/2b1N3/P3PB2/1Pr2PPb/R5K1 w - -,,0
5R2/1p4pk/7p/p7/3rp3/1B6/PPP4P/7K w - -,h1g2 a5a4 b3g8 h7g6 g2g3 d4d1 g8f7 g6h7 f8e8 d1g1,458
3rr1k1/ppp1b1pp/2n1q3/4pp2/3P1n2/P1P4P/1P1NRPPN/R1BQ2K1 w - -,e2e1 e6g6 d1f3 g6f7 h2f1 f4g6 f3e2 a7a6 d2f3 e5d4,-177
6k1/5pp1/b6p/2BNPp2/3K3P/5P2/3p2P1/4r3 w - -,d5c3 e1c1 c3d1 c1d1 c5b4 d1g1 b4d2 g1g2 d2e3 g2a2,-712
rnbqk2r/pp1pppbp/5np1/8/2PP4/3B4/PP3PPP/RNBQK1NR w KQkq -,d4d5 e8h8 b1c3 e7e6 g1e2 e6d5 c4d5 d7d6 e1h1 b8d7,6
r5k1/1r2pp1p/q2p2p1/P1pPb3/4P3/6P1/RPQB1PKP/1R6 w - -,b2b3 e5d4 d2e1 a8b8 a2a4 e7e5 d5e6 f7e6 h2h4 e6e5,108
r2qkbnr/pppbpp2/n6p/1B4p1/Q2Pp3/P7/1PP2PPP/RNB1K1NR w KQkq -,h2h4 c7c6 b5c4 d8b6 b1c3 f8g7 g1e2 g5h4 h1h4 g8f6,43
5b1k/2PB2pp/b7/p7/4p3/4pr2/PPR4P/3R2K1 w - -,c7c8q a6c8 c2c8 g7g6 d7g4 f3f4 g4e2 h8g7 d1f1 f4f5,485
3q2k1/1p3pp1/3p4/pQnPp3/4Pn1p/P3BP2/1P2B1PP/6K1 w - -,e2f1 d8c7 b5c4 a5a4 g2g3 f4h5 g1g2 g7g6 c4b5 g8g7,100
2k2r2/R1pr3R/1p1p2p1/1qnPb3/3pP1P1/3P3P/3B2B1/4Q1K1 w - -,h7e7 d7e7 a7a8 c8b7 a8f8 b5d3 g2f1 d3b3 e1a1 c5a4,-142
8/p7/7k/1p1p4/2pP3P/P1P2K2/8/8 w - -,f3f4 a7a5 f4e3 h6h5 e3f2 h5h4 f2f3 h4g5 f3e3 g5g4,-3417
3r1rk1/1p1qnppp/2p5/1p1n4/1PB5/2N2P2/PP1Q2PP/3R1RK1 w - -,c4e2 d7c7 c3d5 d8d5 e2d3 f8d8 d2e2 c7d6 f1e1 g8f8,-114
3r4/5pk1/6p1/p2q2Pp/P2nR2P/2Q5/5P2/6K1 w - -,c3d3 d4f5 d3c3 g7g8 e4f4 f5d4 c3d3 d5a2 f4e4 a2a4,-683
4KB2/5P2/4k3/8/8/2b5/8/8 w - -,f8h6 c3b4 f7f8q b4f8 e8f8 e6e5 f8e7 e5d4 e7e6 d4e4,10
8/7k/8/2p5/7r/1K6/8/8 w - -,f8e7 c3g7 e7c5 g7h6 c5a3 h6g7 a3c1 e6d6 c1b2 g7h6,Mate
b3qnk1/2Q2pp1/4pn1p/3p4/3N4/P2P2P1/1B2PPBP/6K1 w - -,h2h3 e8a4 f2f4 f6e8 c7c5 f8d7 c5e7 e8f6 g2f3 a4a5,286
r2q1r2/p3ppbk/1pbp1npp/3N4/1PP1PPB1/3QB2P/P5P1/2R2RK1 w - -,g4f3 a8c8 f1d1 c6b7 e3f2 f6d5 e4d5 e7e6 d3a3 c8c7,94
6k1/pq3pp1/7p/8/2b1N3/P3PB2/1Pr2PPK/R7 w - -,,0
2r2rk1/ppqnbpp1/2p1bn1p/3p4/3P3B/2NBPN2/PPQ2PPP/1R3RK1 w - -,h4g3 e7d6 g3d6 c7d6 h2h3 c6c5 d4c5 d7c5 f1d1 a7a6,43
1r3rk1/4ppbp/1q1p1np1/1b2n3/p1P5/1PB1N1P1/P3PPBP/R2Q1RK1 w - -,c4b5 b6b5 b3a4 b5a6 a4a5 f8c8 a1c1 e7e6 d1d2 h7h5,74
2k2b1r/p2b1pp1/1p6/2p1PN1p/4p1PB/2P5/PPP4P/3R2K1 w - -,h2h3 e4e3 h4g3 e3e2 d1e1 g7g6 f5e3 h5g4 h3g4 f8h6,-91
rn1q1rk1/pb2ppbp/1p3np1/2pp4/2PP4/2N1PN2/PP1BBPPP/R2Q1RK1 w - -,d4c5 b8d7 c5b6 a7b6 c4d5 f6d5 d1c2 d8c8 a1c1 d5c3,44
6k1/1pq2pp1/3p4/pQnPp3/4Pn1p/P3BP2/1P4PP/5BK1 w - -,b5c4 a5a4 g2g3 f4h5 g1g2 g7g6 f1e2 g8g7 c4b4 b7b6,100
4k3/6pp/5p2/3P4/Rn1N4/p3P1P1/1r3PKP/8 w - -,a4a8 e8d7 a8a3 b4d5 g2f3 g7g6 a3a7 d5c7 g3g4 b2b6,142
Nnb1k2r/p2p3p/1p3B2/2p2n2/8/5N2/PPP2PPP/2K2B1R w - -,a8c7 e8f7 f6h8 c8b7 f1d3 b7f3 g2f3 f5h4 d3h7 h4f3,831
1r2k3/5p1p/R3p3/p1P2p2/P2N4/1P1K4/5PPb/8 w - -,a6a5 h7h5 d3c4 h2g1 d4b5 g1f2 b5d6 e8f8 a5a7 f8g7,374
r3r1k1/ppp2pbp/2np2p1/4p3/2P1QqPP/3P1N2/PP3P2/1K1R1B1R w - -,a2a3 h7h6 g4g5 h6h5 e4f4 e5f4 d3d4 e8e4 f1d3 e4e7,-224
6k1/5pp1/b6p/2B1Pp2/3K3P/2N2P2/3p2P1/2r5 w - -,c3d1 c1d1 c5b4 d1g1 b4d2 g1g2 d2a5 g2e2 a5c7 a6b7,-721
rnbq1rk1/pp1pppbp/5np1/8/2PP4/3B4/PP1B1PPP/RN1QK1NR w KQ -,d4d5 b7b5 c4b5 a7a6 b1c3 c8b7 d1b3 e7e6 g1f3 a6b5,-49
6r1/p2bpk2/2p2p2/Pp3p1p/1n2P2P/2NBKP2/1PP5/6R1 w - -,g1g8 f7g8 e4f5 b4d3 e3d3 d7f5 d3d4 e7e5 d4c5 f5c2,12
rnq4r/1b3kp1/p1p1pb1p/1p6/P1pPP3/2N3P1/1P3PBP/R2Q1RK1 w - -,a4b5 c6b5 e4e5 b7g2 g1g2 c8c6 g2g1 b8d7 e5f6 d7f6,-167
r3r3/pp4pk/2p1Rb1p/4Np1P/3P2n1/8/PPPB1P2/2K3R1 w - -,e5g4 e8e6 g4f6 e6f6 d2f4 g7g5 f4e5 f6e6 b2b4 b7b5,-374
1r3rk1/4ppbp/3p1np1/1q2n3/p7/1PB1N1P1/P3PPBP/R2Q1RK1 w - -,b3a4 b5a6 a4a5 f8c8 a1c1 e7e6 d1d2 h7h5 c3e5 d6e5,72
4nnk1/pp3bpp/1q3p2/3p1N2/1P3B2/2P4P/P1B2PP1/4Q1K1 w - -,f5e7 g8h8 e7d5 b6d8 d5e3 e8c7 a2a4 f8g6 f4g3 g6e7,240
8/8/7k/pp1p4/2pP1K1P/P1P5/8/8 w - -,h4h5 h6h5 f4f3 h5g5 f3e3 g5g4 e3f2 g4f4 f2e2 f4e4,-1068
rr4k1/3n1pp1/1qb2n1p/4p3/1p2P2B/3B4/1R1NQPPP/1R4K1 w - -,h2h3 b6d4 d2b3 d4d6 f2f3 d7b6 h4f6 g7f6 b2d2 b6a4,-59
r5k1/1r2pp1p/q2p2p1/P1pP4/3bP3/1P4P1/R1QB1PKP/1R6 w - -,h2h3 a6e2 d2e1 e2c2 a2c2 f7f5 e4f5 g6f5 c2c4 b7b5,98
rnb1kbnr/pp2p2p/2p2pp1/q2p4/3P1B2/2N1PN2/PPP2PPP/R2QKB1R w KQkq -,f1d3 c8g4 h2h3 g4f3 d1f3 b8d7 e3e4 d5e4 d3e4 e7e5,97
r1bqk2r/ppp2ppp/3p1n2/n3p3/2B1P3/3PPQ2/PPPN2PP/R3K1NR w KQkq -,c4b3 e8h8 g1e2 a5b3 a2b3 a7a5 h2h3 c8e6 e1h1 b7b5,-21
2r2rk1/ppqn1pp1/2pbbn1p/3p4/3P4/2NBPNB1/PPQ2PPP/1R3RK1 w - -,g3d6 c7d6 h2h3 c6c5 d4c5 d7c5 f1d1 a7a6 b1c1 d6b6,39
r1r3k1/pp3ppp/nq2p3/3p4/3Pn3/P3PNP1/1P2BPKP/R2Q3R w - -,e2d3 b6b2 d3e4 d5e4 f3g5 c8c2 h1f1 c2c7 g5e4 b2b5,23
r4rk1/ppp3pp/5q2/5b2/8/2PpQN2/PP3PPP/2KR3R w - -,e3e5 f6f7 f3d4 f5g6 e5e6 c7c5 e6f7 f8f7 d4f3 c5c4,-96
rr4k1/3n1pp1/2b2n1p/4p3/1p1qP2B/3B3P/1R1NQPP1/1R4K1 w - -,d2b3 d4d6 f2f3 d7b6 h4f6 g7f6 b2d2 b6a4 f3f4 d6e6,-45
6k1/pq3p2/5p1p/8/2b5/P3PB2/1Pr2PPK/R7 w - -,,0
1k1r4/1p3np1/p1npr3/8/2P1PpR1/1PN2B1P/P7/2KR4 w - -,g4f4 f7g5 f3g2 e6h6 f4f5 g5h3 d1d3 d8h8 d3g3 g7g5,22
4r1k1/pp6/4pQp1/3p4/6q1/5N1R/P3bPKP/8 w - -,h3g3 e2f3 f6f3 g4f3 g2f3 g8g7 h2h4 e8f8 f3g2 g7f6,-342
8/8/7k/p2pK3/1ppP3P/P1P5/8/8 w - -,e5f4 b4a3 f4e5 h6h5 e5d5 a3a2 d5e4 h5h4 e4f3 a2a1q,-1174
r1bq1b1r/ppk1pQpp/2np1n2/2p5/4P3/1B6/PPPP1PPP/RNB1K1NR w KQ -,g1f3 c8g4 f3g5 h7h6 g5e6 g4e6 f7e6 c6d4 e6h3 f6e4,86
2k2r2/R1pn4/1p1p2p1/1q1Pb3/3pP1P1/3P3P/3B2B1/4Q1K1 w - -,e1c1 b5c5 c1b1 e5f4 d2f4 f8f4 a7a8 d7b8 e4e5 d6e5,82
1r3rk1/4ppbp/q2p1np1/4n3/P7/2B1N1P1/P3PPBP/R2Q1RK1 w - -,a1c1 e7e6 a4a5 f8c8 d1d2 f6e8 f2f4 e5d7 c3g7 g8g7,79
6k1/1pq2pp1/3p4/2nPp3/p1Q1Pn1p/P3BP2/1P4PP/5BK1 w - -,g2g3 f4h5 g1g2 g7g6 f1e2 g8h7 c4c3 b7b6 c3b4 h7g8,100
5b1k/2P4p/b5p1/p7/4p1B1/4pr2/PPR4P/3R2K1 w - -,g4f3 e4f3 c7c8q a6c8 c2c8 h8g7 c8f8 g7f8 d1f1 f3f2,644
r2q1knr/pp1bb1p1/4p2p/1B2p2Q/4P3/2N5/PP3PPP/R1B2RK1 w - -,f1d1 g8f6 h5e5 d8c8 b5d7 f6d7 e5e6 d7b6 e6b3 c8c4,410
2kr3r/pppb1ppp/1q6/3P1n2/1PPbNP2/5P2/P3B2P/1RBQ1R1K w - -,d1e1 c8b8 e2d3 h8e8 c1b2 d7c8 a2a4 d4b2 b1b2 b6h6,-51
rr4k1/3n1pp1/2bq1n1p/4p3/1p2P2B/1N1B3P/1R2QPP1/1R4K1 w - -,f2f3 d7b6 h4f6 g7f6 b2d2 b6a4 f3f4 d6e6 d3c4 a4c3,-32
r5k1/1b1nq1p1/1Pp1p2p/r1Pp3P/p2Q2P1/3N4/2R2P2/B2R2K1 w - -,d1e1 d7f6 f2f3 a4a3 g4g5 h6g5 h5h6 a3a2 c2h2 a5a3,208
3r2k1/p5pp/1nn1rp2/2R1p3/8/2P3P1/P3NP1P/2B2RK1 w - -,c1e3 d8d3 e2c1 d3d7 c1b3 e6d6 f2f4 e5f4 e3f4 d6e6,-31
4r3/pp4pk/2p2b1p/4Np1P/3P2n1/8/PPPB1P2/2K3R1 w - -,f2f3 g4e5 d4e5 f6e5 c2c3 e5f6 c1d1 g7g5 h5g6 h7g7,-205
3r1rk1/1p2bpp1/1p6/pP4qp/8/P2R1BPb/1BQ1PP1P/1R4K1 w - -,,0
2rq1r2/p3ppbk/1pbp1npp/3N4/1PP1PP2/3QBB1P/P5P1/2R2RK1 w - -,f1d1 f8e8 d5f6 e7f6 b4b5 c6a8 e3f2 g7f8 d1e1 d8e7,86
rn3rk1/pb2ppbp/1p6/2P3p1/4q3/5N2/PP1BBPPP/R2Q1RK1 w - -,f1e1 e4d5 d2g5 d5d1 a1d1 e7e6 b2b4 h7h6 g5e3 g7c3,122
1r4k1/1r2pp1p/q2p2p1/P1pP4/3bP3/1P4P1/R1Q2PKP/1R2B3 w - -,a2a4 h7h5 b3b4 g8h7 b1d1 e7e5 c2d3 c5c4 d3c2 a6b5,112
r2r2k1/1p2q2p/p4pp1/n3p3/3N4/2P4P/P3QPP1/R2R2K1 w - -,d4b3 a5b3 a2b3 e7c7 e2f3 g8f7 h3h4 f7g7 h4h5 c7e7,-44
8/8/7k/3pK3/1ppP3P/P7/8/8 w - -,d4b3 a5b3 a2b3 e7c7 e2f3 g8f7 h3h4 f7g7 h4h5 c7e7,Mate
1r2k3/5p1p/4p3/R1P2p2/P2N4/1P1K4/5PP1/6b1 w - -,d3e2 g1h2 d4b5 h2e5 a5a7 h7h5 e2e3 b8c8 f2f4 c8c5,425
5nk1/ppn2bpp/1q3p2/3p1N2/BP3B2/2P4P/P4PP1/4Q1K1 w - -,e1e7 c7e6 f5d6 b6c7 e7c7 e6c7 d6f7 c7e6 f7h6 g7h6,357
b3q1k1/2Q2pp1/4pnnp/3p4/8/P2P1NP1/1B2PPBP/6K1 w - -,f3d4 g8h7 f2f4 h6h5 a3a4 h5h4 d4f3 h4g3 h2g3 g6e7,264
6k1/1pq2pp1/3p4/2nPp2n/p1Q1P2p/P3BPP1/1P5P/5BK1 w - -,g1g2 g7g6 f1e2 c7d8 c4b5 g8g7 e2d1 d8c7 b5b4 b7b6,92
6k1/pB3p2/5p1p/8/2b5/P3P3/1r3PPK/R7 w - -,,0
r1b2rk1/pp2np1p/3pp1p1/3P4/1qN1P3/4R1P1/P4PBP/R2Q2K1 w - -,a1c1 e6d5 e3b3 b4a4 c4d6 d5e4 d6e4 c8f5 b3b7 a4d1,42
rn3rk1/pb2ppbp/1p6/2Pq2p1/8/4PN2/PP1BBPPP/R2Q1RK1 w - -,e3e4 d5e4 f1e1 e4d5 d2g5 d5d1 a1d1 e7e6 b2b4 b6c5,129
2kr1bnr/p1p2ppp/8/1p2P3/4PP2/1Pp2P2/P2N3P/R1BK3R w - -,a2a3 g8e7 d1e2 c3d2 c1d2 e7c6 d2e3 c6d4 e3d4 d8d4,-350
5b1k/2P4p/b5p1/p7/8/4pp2/PPR4P/3R2K1 w - -,c7c8q a6c8 c2c8 h8g7 c8f8 g7f8 d1f1 f3f2 g1g2 f8e7,663
8/8/7k/3pK3/1P1P3P/2p5/8/8 w - -,h2h3 f3f2 c2f2 e3f2 g1f2 h8g7 d1d8 f8c5 f2g3 c5b4,Mate
6k1/p2r2pp/1nn1rp2/2R1p3/8/2P1B1P1/P3NP1P/5RK1 w - -,c3c4 c6d8 f1c1 g8f7 c5b5 e6c6 e3b6 a7b6 c4c5 d7d2,-22
r1rb4/1p1k4/1B1p4/P2Pp2p/2P2pp1/1P3P2/2R3PP/5R1K w - -,b6d8 d7d8 b3b4 b7b6 a5b6 a8a4 f1b1 a4a6 h1g1 a6b6,82
r2r4/p3pk2/n1p1bpp1/Pp5p/4PP1P/2N2P2/1PP1BK2/2R3R1 w - -,g1g2 a6b4 c1g1 d8g8 e2d3 e6h3 g2h2 h3d7 f2e3 a8c8,30
