r2qk2r/pp2bppp/2npbn2/2p1p3/2B1P3/P1NP1N2/1PP2PPP/R1BQ1RK1 w kq -,c3d5 h7h6 c2c3 e8h8 b2b4 a7a6 d5f6 e7f6 c4e6 f7e6,40
rnb1k1nr/pppp1ppp/4p3/4N3/1b1P4/2N2B1q/PPP2P1P/R1BQK2R w KQkq -,h1g1 b4c3 b2c3 d7d6 d1d3 b8d7 e5d7 c8d7 g1g7 g8e7,-21
2r1r1k1/1p2ppbp/p2pbnp1/8/1PPBP3/q1N2P2/3QB1PP/2RR2K1 w - -,c1a1 a3b4 d1b1 f6e4 f3e4 g7d4 d2d4 b4c5 d4c5 c8c5,91
2r1r1k1/1p2ppbp/p2pb1p1/8/1qPBn3/2N2P2/3QB1PP/RR4K1 w - -,f3e4 g7d4 d2d4 b4c5 d4c5 c8c5 c3a4 c5e5 b1b7 e5e4,85
rnbqk2r/ppp1npbp/4p1p1/3p4/2BPP2P/2N5/PPP2PP1/R1BQK1NR w KQkq -,c4b3 c7c5 g1f3 d5e4 c3e4 c5d4 h4h5 h7h6 h5g6 e7g6,24
rnbqk2r/pp2pp1p/2p2bp1/1B1p4/3P4/4P3/PPP2PPP/RN1QK1NR w KQkq -,b5e2 e7e5 d4e5 f6e5 c2c3 e8h8 g1f3 e5g7 e1h1 d8e7,-77
2r1r1k1/1p2ppbp/p2pbnp1/8/1qPBP3/2N2P2/3QB1PP/R2R2K1 w - -,d1b1 f6e4 f3e4 g7d4 d2d4 b4c5 d4c5 c8c5 c3d5 b7b5,96
2r1r1k1/1p2pp1p/p2pb1p1/2q5/2PQP3/2N5/4B1PP/RR4K1 w - -,d4c5 c8c5 c3a4 c5e5 b1b7 e5e4 e2d3 e4d4 a4b2 g8f8,94
4r1k1/1p2pp1p/p2pb1p1/2r5/2P1P3/2N5/4B1PP/RR4K1 w - -,c3a4 c5e5 b1b7 e5e4 e2d3 e4d4 a4b2 f7f5 a1a6 g8f7,88
r1b1kbnr/pp3ppp/8/q1P1N3/1nPp4/4P3/P4PPP/RNBQKB1R w KQkq -,c1d2 d4e3 f2e3 a5c5 e5d3 b4d3 f1d3 g8f6 b1c3 f8d6,-68
2b5/8/p2k4/1p1p2p1/2pP2P1/P4K2/1P1Bp3/8 w - -,,0
2r5/pp1bppk1/q2p2p1/7n/4P2P/1Nr2P2/PPPQ4/1K1R2R1 w - -,b3d4 c3c5 d2e3 a6c4 b2b3 c4c3 d1d3 c3b4 f3f4 e7e5,-334
rnb1k2r/1pp1qppp/p4n2/3Pp3/Pbp5/2N2N2/1P1BPPPP/R2QKB1R w KQkq -,d2g5 b8d7 e2e4 d7c5 f3d2 h7h6 g5f6 e7f6 f1e2 e8h8,-96
2r5/pp1bppk1/3p2p1/7n/2q1P2P/1NP2P2/P1PQ4/1K1R2R1 w - -,e4e5 h5f4 g1e1 d6d5 b1b2 d7f5 b3d4 c8c5 d4f5 g6f5,137
2rr2k1/6pp/1p2p3/p3Ppq1/PbPPp3/1P4PP/1BR1Q2K/R7 w - -,,0
1K6/6k1/P7/1n6/8/8/8/8 w - -,b8b7 g7f6 b7b6 b5d6 b6c5 d6c8 c5d4 f6f5 d4e3 c8a7,17
r2qk2r/2p1bppp/p1n5/1p1pPb2/8/1NP2N1P/PP3PP1/R1BQ1RK1 w kq -,f3d4 c6d4 b3d4 f5d7 d1f3 c7c5 d4e2 e8h8 f1d1 d7c6,66
r2qk2r/2pbbppp/p7/1p1pP3/3N4/2P4P/PP3PP1/R1BQ1RK1 w kq -,c1e3 a8c8 d4e2 e8h8 d1d5 c7c5 e2g3 f8e8 f1d1 d7c6,51
rnbq1rk1/pppp2pp/4p3/5p2/1bPPn3/2N5/PPQNPPPP/R1B1KB1R w KQ -,d2e4 f5e4 g2g3 d7d5 f1g2 b8c6 c1e3 c6a5 b2b3 c7c5,57
2b5/8/p1k5/1p1p2p1/1BpP2P1/P4K2/1P2p3/8 w - -,b4c3 b5b4 c3b4 c6b5 f3e2 c8g4 e2d2 g4h5 b4d6 h5g6,-16
rnbq1rk1/pppp2pp/4p3/8/1bPPp3/2N5/PPQ1PPPP/R1B1KB1R w KQ -,g2g3 d7d5 f1g2 c7c6 e1h1 b4d6 f2f3 e4f3 f1f3 f8f3,52
r2qkb1r/1b1p1ppp/p3p3/1p6/1n1PPBnP/2NB1N2/PP2QPP1/R3K2R w KQkq -,d3b1 b4c6 d4d5 c6a5 e1h1 a8c8 b1d3 h7h5 d5e6 d7e6,144
2r2r1k/pp4pp/8/3p4/1n1PnP2/3Q1NP1/Pq2N2P/RR4K1 w - -,d3e4 b2a1 e4h7 h8h7 b1a1 c8c2 g1f1 c2a2 a1b1 a7a5,-350
8/pR4pk/1b6/P1p5/2p5/1rN5/6PP/6K1 w - -,c3e2 b6a5 b7a7 a5d2 g1f2 c4c3 a7d7 b3b2 h2h4 c3c2,-418
2Q5/8/8/5K2/3k4/3n4/8/8 w - -,c3e2 b6a5 b7a7 a5d2 g1f2 c4c3 a7d7 b3b2 h2h4 c3c2,Mate
rn1qkbnr/pp2pp1p/2p3p1/8/2B1N1b1/5N2/PPPP1PPP/R1BQK2R w KQkq -,c4f7 e8f7 f3g5 f7e8 d1g4 d8d7 g4e2 b8a6 d2d4 f8g7,389
