3rrbk1/5R2/3p3p/2p1pQ2/2P1P1n1/3P4/6P1/6K1 w - -,c1d1 b5c4 e1f1 f2g3 c3c1 g3g2 c1c2 c8h8 e2d3 g2c2,Mate
r1b1kb1r/1ppp1ppp/p7/3P4/B2p4/8/PPPPqPPP/R1B1K2R w KQkq -,e1e2 f8c5 d2d3 e8h8 h1e1 f8e8 e2f1 e8e1 f1e1 d7d6,1
r1b1kb1r/ppqn1ppp/2p2n2/2P1p3/5B2/2N2N2/PP2PPPP/R2QKB1R w KQkq -,f4g3 f8c5 e2e3 c5d6 f1e2 d7c5 f3d2 c8e6 e1h1 e8h8,-73
r1b1k2r/5pbp/p2p4/1P1Np3/3np3/N2B4/PP1K1PPP/R6R w kq -,d3e4 a8b8 b5a6 c8a6 d5c7 e8d7 c7a6 b8b2 a3c2 g7h6,14
rnb1k1nr/pp4bp/2q1ppp1/1N6/2BB4/2P2N2/PP3PPP/R2QK2R w KQkq -,d1e2 c8d7 d4a7 a8a7 b5a7 c6b6 a7b5 g8h6 a2a4 e8h8,526
rn1q1rk1/ppp2pp1/5n1p/3p1b2/3P3B/2P1P2P/P4PP1/R2QKBNR w KQ -,d1f3 g7g6 h4f6 d8f6 f3d5 f8e8 d5b5 b8d7 f1e2 a7a6,172
8/8/6p1/5q2/2K5/6k1/8/5Q2 w - -,f1g1 g3h4 g1e1 h4g5 e1h1 g5f4 h1h2 f4e3 h2g1 e3e4,-8
8/8/5kp1/4p3/6pP/1R5K/r7/8 w - -,h3g4 a2g2 g4f3 g2g1 b3b8 g1f1 f3g3 f6e6 b8a8 f1f4,-2
r1b1k2r/1ppp1ppp/p2b4/3P4/B2p4/8/PPPPKPPP/R1B4R w kq -,d2d3 e8h8 h1e1 f8e8 e2d1 e8e1 d1e1 b7b6 a4b3 c8b7,-3
5k2/1R3p1p/4p1p1/8/1P6/6P1/2r2PP1/5K2 w - -,,0
rnbqkbnr/pp3pp1/8/2p1p3/2Pp3N/3P2P1/PP2PPBP/RNBQK2R w KQkq -,e2e3 f8e7 h4f3 d8c7 e1h1 c8g4 e3d4 c5d4 f1e1 b8c6,86
1r3rk1/5pp1/2p4p/3b4/6q1/1P1B3P/P4PP1/R3R1K1 w - -,d3f1 g4g6 g2g3 g6f6 f1g2 d5e6 a1c1 f6b2 h3h4 c6c5,-951
r3kb1r/p2nnpp1/3p1q1p/1Q6/3NbPP1/7P/PP2N3/R1B2RK1 w kq -,b5a4 d6d5 e2g3 a8c8 g3e4 d5e4 f1e1 f6h4 e1e3 h6h5,-366
8/8/5kp1/8/4p1KP/1R6/r7/8 w - -,,0
8/8/6p1/5q2/2K4k/8/8/6Q1 w - -,g1e1 h4g5 e1h1 g5f4 h1f1 f4e5 f1a1 e5e6 a1a6 e6f7,-9
r1b2rk1/1ppp1ppp/p2b4/3P4/B2p4/8/PPPPKPPP/R1B1R3 w - -,d2d3 f8e8 e2f1 e8e1 f1e1 b7b6 c1d2 c8b7 a4b3 h7h6,-1
1k4r1/pp6/4p1Pp/3pP3/6R1/2Q5/PPP2q2/2K5 w - -,,0
r1bqk2r/pp2bppp/2n2n2/3p4/8/1PN1Q3/PBP2PPP/R3KBNR w KQkq -,e3g3 d5d4 e1a1 e8h8 c3b5 f6e4 g3f3 e7g5 c1b1 e4d2,-206
1k1r1b1r/pp2pppp/2p2n2/2Np1b2/1PPP4/4P3/1P3PPP/R1B1KB1R w KQ -,f2f3 e7e6 f1e2 f5g6 c1d2 d5c4 e2c4 f6e8 c4e2 f8d6,36
r2q1rk1/pp1b1pbp/2n1p1p1/3p4/3P4/2N1PNP1/PP2BPP1/2RQ1RK1 w - -,e2b5 a8c8 g3g4 a7a6 b5c6 c8c6 f3e5 g7e5 d4e5 d8c7,-14
rn2kb1r/ppp2ppp/4pn2/3q1b2/3P4/2P2P2/PP1N2PP/R1BQKBNR w KQkq -,d2c4 f8e7 c4e3 d5d7 e3f5 e6f5 d1b3 c7c6 f1d3 e8h8,24
rnb1kbnr/pp5p/2q1ppp1/1N6/2B5/2P1BN2/PP3PPP/R2QK2R w KQkq -,d1b3 b8a6 b5a7 a8a7 c4b5 a7a8 b5c6 b7c6 e1h1 g8e7,580
3r2k1/5p1p/3q2p1/8/2B2QP1/1P1p3P/P1b2P2/5RK1 w - -,,0
r1bqkbnr/pp3pp1/2n5/2p1p3/2Pp3N/3PP1P1/PP3PBP/RNBQK2R w KQkq -,h4f3 f8e7 e3d4 c5d4 e1h1 c8g4 f1e1 d8c7 d1a4 e8f8,82
3R4/p1p2kp1/2p2rqp/7b/8/2P4P/P1P2Qp1/6K1 w - -,f2g2 g6f5 d8d3 h5f3 g2f3 f5f3 d3f3 f6f3 g1g2 f3c3,-867
8/8/1p6/2n2Np1/n1K5/8/7k/8 w - -,f2g2 g6f5 d8d3 h5f3 g2f3 f5f3 d3f3 f6f3 g1g2 f3c3,Mate
r1b2rk1/2pp1ppp/p2b4/1p1P4/B2p4/8/PPPP1PPP/R1B1RK2 w - -,a4b3 d4d3 c2d3 c7c5 d5c6 d7c6 d3d4 c8f5 b3d1 a8d8,-5
1n1b1rk1/pp4pp/q7/8/b1p1PP2/2P1B3/P3N2P/1Q1R1BK1 w - -,d1d2 d8b6 e3b6 a7b6 b1b4 b6b5 b4c5 a6h6 c5d5 g8h8,101
8/2k5/8/8/2K1B3/8/8/4B3 w - -,d1d4 d8b6 e2g3 b6d4 c3d4 b8d7 b1b4 d7b6 d4d5 a6b5,Mate
1r6/3n1pkp/2p2qp1/2N2b2/1P1p1P2/P7/3Q2PP/4RBK1 w - -,c5d7 f5d7 e1e5 f6d6 e5e4 c6c5 b4c5 d6c5 d2d4 c5d4,23
8/8/6RK/1r6/7P/8/5k2/8 w - -,,0
3br1k1/1p3rpp/2p5/3pPp2/pP1P1R2/P2qP1Q1/6PP/2B1R1K1 w - -,e1f1 e8f8 h2h4 d3e2 f4f3 g7g6 f1e1 e2c2 f3f2 c2e4,-15
8/8/6p1/5q1k/2K5/8/8/4Q3 w - -,e1h1 h5g4 h1g1 g4h4 g1e1 h4g5 e1h1 g5f4 h1h2 f4e3,-10
r4q2/pppb1Nk1/2np1p2/1BbN3Q/4r3/8/PPP2PPP/R4RK1 w - -,h5h6 g7f7 h6f6 f7g8 f6g6 g8h8 g6e4 f8h6 e4f4 h6f4,457
4r1k1/pp1bpp1p/3p1npb/q7/2rNPP2/2N4P/PPPQ1BP1/3RR1K1 w - -,g2g4 a5b4 g4g5 b4b2 c3b1 f6e4 e1e4 h6f8 e4e3 f8g7,60
r1b2rk1/2pp1ppp/p2b4/1p1P4/8/1B1p4/PPPP1PPP/R1B1RK2 w - -,c2d3 c7c5 d5c6 d7c6 d3d4 c8f5 e1e3 a6a5 a2a4 d6b4,-17
rnb1kbnr/1p5p/2q1ppp1/pN6/2B5/2P1BN2/PP2QPPP/R3K2R w KQkq -,f3d4 c6g2 b5c7 e8f7 d4e6 g2h1 e1d2 h1c6 e6d4 f7g7,761
rn2kb1r/ppp2ppp/3qpn2/5b2/2BP4/2P2P2/PP1N2PP/R1BQK1NR w KQkq -,d1b3 d6b6 g2g4 f5g6 g1e2 f8d6 b3b6 a7b6 g4g5 f6h5,33
8/8/3k4/8/2K1B2B/8/8/8 w - -,g1e2 b8d7 e2g3 f5g6 d2e4 d6b6 e1h1 h7h5 e4g5 h5h4,Mate
1r6/5pkp/2p2qp1/2N2b2/1P1p1Pn1/P7/3Q2PP/4RBK1 w - -,f1d3 f5d3 c5d3 g4e3 a3a4 b8e8 h2h3 f6f5 d3e5 f5f4,8
r2q1rk1/p2b1pbp/1pn1p1p1/3p4/N2P4/4PNP1/PP2BPP1/2RQ1RK1 w - -,e2b5 c6a5 b5a6 d7c8 d1e2 c8a6 e2a6 d8d7 b2b3 f8c8,-14
r4rk1/pp1qppb1/2p2np1/3pB2p/3P1QbP/2NBP3/PPP2PP1/R3K2R w KQ -,f2f3 g4f5 d3f5 d7f5 f4f5 g6f5 c3e2 f6d7 e5g7 g8g7,39
8/8/7K/7P/8/5k2/1r6/6R1 w - -,,0
r4q2/pppb1k2/2np1p1Q/1BbN4/4r3/8/PPP2PPP/R4RK1 w - -,h6f6 f7g8 f6g6 g8h8 g6e4 f8h6 e4f4 h6f4 d5f4 a7a5,439
4r3/8/7p/pppk2p1/3P4/2P2P1N/PP1K2PP/8 w - -,d4c5 d5c5 h3f2 e8d8 d2c2 c5d5 c2d3 h6h5 d3e3 d8e8,-120
rnb1kbnr/1p5p/p1q1ppp1/1N6/2B5/2P1BN2/PP2QPPP/R3K2R w KQkq -,b5a7 a8a7 e3a7 f8d6 c4e6 c8e6 f3d4 c6g2 e2e6 g8e7,550
8/5p2/6kp/2PR2p1/6r1/8/1P1BnP1P/7K w - -,h2h3 g4c4 b2b3 c4d4 d5d4 e2d4 b3b4 g6f5 h1g2 f5e4,224
rn1q1r2/pb6/1p4p1/2pp1pk1/3P4/4PQN1/PP3PP1/R3K2R w KQ -,h2h3 g4c4 b2b3 c4d4 d5d4 e2d4 b3b4 g6f5 h1g2 f5e4,Mate
r4rk1/pp1qppb1/2p2np1/3pBb1p/3P1Q1P/2NBPP2/PPP3P1/R3K2R w KQ -,d3f5 d7f5 f4f5 g6f5 c3e2 f6d7 e5g7 g8g7 a2a4 g7h6,35
8/8/r3ppp1/P3k2p/7P/4K1P1/5P2/R7 w - -,,0
2r1r1k1/pp1bppbp/3p1np1/2q1n1B1/3NP3/1BN4P/PPPQ1PP1/3RR1K1 w - -,e1e3 a7a6 d4f3 d7e6 f3e5 c5e5 f2f4 e5c5 g1h1 e6b3,2
8/6p1/p6p/4p3/2K2k2/5P1P/P4P2/8 w - -,c4d5 g7g5 d5d6 f4f3 d6e5 f3f2 e5f5 f2g3 f5g6 g3h3,-740
8/8/5kp1/8/5K1P/1R2p3/r7/8 w - -,,0
r2qk2r/1b1nppb1/p2p1np1/1p5p/3NPP2/2N1B3/PPPQ2PP/1K1R1B1R w kq -,d4b3 e8h8 f1d3 f6g4 e3d4 e7e5 f4e5 g4e5 c3d5 f8e8,-52
