3rrbk1/5R2/3p3p/2p1pQ2/2P1P1n1/3P4/6P1/6K1 w - -,c1d1 b5c4 e1f1 f2g3 c3c1 g3g2 c1c2 c8h8 e2d3 g2c2,Mate
3r4/2N2kpp/1p4n1/8/P3p3/3p2P1/3R4/6K1 w - -,d2d1 e4e3 d1f1 f7g8 c7b5 e3e2 b5c3 e2f1r g1f1 g6e5,-1342
3r1b1k/1p1q3p/2p1b1p1/2P1pp2/2n1P3/2N1PPP1/4Q2P/R1B2BK1 w - -,e4f5 g6f5 c3a4 f8g7 a4b6 c4b6 c5b6 c6c5 c1b2 c5c4,-58
4rrk1/pbq2ppp/8/2p5/3p4/NP3N1P/PBPP1KPb/R2QR3 w - -,f2f1 b7f3 d1f3 e8e6 a3b5 c7b6 b2d4 c5d4 f3d3 e6f6,-133
4b3/p4k2/2p3p1/2Np1p2/1P6/P1bP3P/6P1/1R5K w - -,b1d1 c3b2 d3d4 g6g5 d1d2 b2c3 d2f2 c3d4 f2f5 f7e7,301
8/7P/8/8/3r4/5P2/k5K1/1q6 w - -,g2g4 f7f6 b1f1 c3d2 h3h4 d2e3 h4h5 f5f4 h5h6 g6g5,Mate
7k/5B2/6P1/6K1/8/8/8/8 w - -,g2g4 f7f6 b1f1 c3d2 h3h4 d2e3 h4h5 f5f4 h5h6 g6g5,Mate
Q2Rrk2/p1p2ppp/8/4q3/2p5/P7/1PP3PP/1K5R w - -,h1d1 e8d8 d1d8 f8e7 d8e8 e7f6 a8d8 f6f5 e8e5 f5e5,1078
r1b1r1k1/pp3pbp/1n4p1/q2p2B1/2pP3P/P1N1PP2/1PQN2P1/R4RK1 w - -,g5f4 c8f5 c2d1 h7h6 f1f2 a8c8 d2f1 b6d7 f1h2 g8h7,-31
2rrq3/pp4k1/6p1/4npQP/4p3/1P6/P3PPB1/2RR2K1 w - -,,0
r3kb1r/pp3ppp/2n5/2Ppp1B1/8/2P1P3/P1Q2PPP/qN1K1B1R w kq -,d1d2 h7h6 g5h4 f8c5 f1d3 d5d4 h1d1 e8h8 d2e1 c5b6,-229
r2q2k1/pp4pp/2n2n2/1N6/1b1p2b1/3PP3/PPPB1QPP/R3K2R w KQ -,d2b4 d4e3 f2f4 d8d5 e1h1 d5b5 b4c3 e3e2 f1f2 g4h5,6
rnbq1r2/5pkp/p2p1np1/3Pp3/1p4P1/2N4P/PPPQ1P2/2KR1BNR w - -,c3a4 d8a5 b2b3 c8d7 g4g5 f6e4 d2e3 d7a4 e3e4 a4d7,-141
r1b2rk1/p3b1pp/2p5/8/2P1p1n1/2N3pP/PP2BPP1/R2R2K1 w - -,e2g4 g3f2 g1f1 c8g4 h3g4 a8e8 f1e2 e7h4 e2f1 e4e3,-418
r3k2r/pp3ppp/5n2/2P1p3/3N1B2/3nP3/PP2KPPP/1R5R w kq -,e2d3 e5f4 h1e1 e8a8 e3f4 d8d5 d3c4 h8d8 d4f3 b7b6,221
3r2k1/1bq2pp1/p3pb2/1pB5/1P1P4/P1N2P2/3Q2KP/5R2 w - -,c3e4 f6h4 f1g1 e6e5 d2e3 e5d4 c5d4 b7e4 e3e4 h4f6,-158
1r6/4k3/7K/3B2P1/8/3b4/8/8 w - -,c3e4 f6h4 f1g1 e6e5 d2e3 e5d4 c5d4 b7e4 e3e4 h4f6,Mate
r2qk2r/1b2pp2/p2p4/1p3N1p/8/3n4/PPP1Q1PP/1K1R3R w kq -,d1d3 e8f8 h1e1 e7e6 f5d6 b7d5 e2e5 h8h7 d6e4 a8c8,296
8/1p2rk2/p1pQ2pK/2P1n2p/PP2P3/6P1/8/8 w - -,h6g5 e5f3 g5h6 f3e5 d6b8 e5g4 h6g5 g4e5 b8h8 e5g4,90
7Q/8/6q1/8/3r4/5P2/k5K1/8 w - -,h6g5 e5f3 g5h6 f3e5 d6b8 e5g4 h6g5 g4e5 b8h8 e5g4,Mate
7r/Rnk2pp1/1p2p3/1P2P2p/5P2/6P1/P3K2P/8 w - -,e2f3 h8d8 a2a4 f7f6 e5f6 g7f6 g3g4 h5g4 f3g4 d8g8,-367
5rk1/p1q2ppp/4r3/2p5/3p4/NP3Q1P/PBPP2Pb/R3RK2 w - -,e1e2 e6f6 f3f6 g7f6 a3c4 h7h5 d2d3 g8h7 c4d2 f8d8,-185
Q3qk2/p1p2ppp/8/8/2p5/P7/1PP3PP/1K5R w - -,a8e8 f8e8 h1e1 e8f8 b1a1 g7g6 g2g4 f8g7 e1f1 g7g8,604
rn3rk1/pp2ppbp/1qp1bnp1/3pN3/2PP4/Q1N1P3/PP1B1PPP/R3KB1R w KQ -,c3d5 f6d5 c4d5 c6d5 d2a5 b6d6 a5b4 d6c7 b4e7 f8c8,100
r2qkb1r/pb1n1ppp/1pn1p3/2ppP3/3P1P2/2N1BN2/PPPQ2PP/R3KB1R w KQkq -,h2h4 a7a6 h4h5 b6b5 c3e2 f8e7 g2g4 d8a5 d2a5 c6a5,76
r4rk1/p3ppbp/2p1b1p1/8/4q3/2P1B3/PP2BPPP/R2Q1RK1 w - -,e2d3 e4d5 d1c2 f8d8 f1d1 d5a5 h2h3 g7e5 a2a3 a5c7,15
r1bqkb1r/pp1nnppp/3pp3/2p5/2PPP3/3B1N2/PP3PPP/RNBQK2R w KQkq -,d3e2 e7g6 c1e3 f8e7 b1c3 e8h8 d1d2 a7a6 h2h4 h7h5,89
7Q/8/6q1/8/8/5P2/k2r1K2/8 w - -,d3e2 e7g6 c1e3 f8e7 b1c3 e8h8 d1d2 a7a6 h2h4 h7h5,Mate
1r1r2k1/1pn1bppp/2n1q3/p1p1p3/8/PP1P2P1/3NPPBP/R1BQ1RK1 w - -,c1b2 c7d5 e2e3 d8d7 d1c2 b8d8 c2c4 c6a7 f1e1 b7b5,52
r1b1k1nr/pp1p1ppp/2n2q2/8/8/3N4/PBPPPbPP/RN1QKB1R w KQkq -,d3f2 f6b2 b1c3 c6b4 a1c1 b4a2 c1b1 a2c3 b1b2 c3d1,-51
3r2k1/p4pp1/3rp2p/1q4PP/3nQ3/5N2/P2R1P2/2R3K1 w - -,g1h1 d4f5 a2a4 b5b6 d2d6 f5d6 e4e3 b6b4 c1d1 b4a4,-174
r3k2r/pp3ppp/5n2/2P5/3N1p2/3KP3/PP3PPP/1R5R w kq -,e3f4 e8a8 d3c4 d8d7 h1e1 h8d8 d4f3 h7h5 b2b4 h5h4,226
r1bqk2r/pp1n1ppp/2p4n/2bpP3/5P2/2N2N2/PPPQ2PP/R3KBBR w KQkq -,e1a1 e8h8 h2h3 h6f5 d2e1 f5e7 g2g4 c5g1 h1g1 f7f5,133
4k3/p1p2ppp/8/8/2p5/P7/1PP3PP/1K5R w - -,h1e1 e8d7 b2b3 f7f6 b3c4 f6f5 b1a2 g7g6 c4c5 d7c6,637
4b3/p4k2/2p3p1/2Np1p2/1P6/P2P3P/1b4P1/3R3K w - -,d3d4 g6g5 d1d2 b2c3 d2f2 c3d4 f2f5 d4f6 f5f2 f7g6,321
r2q1k1r/1b2pp2/p2p4/1p3N1p/8/3R4/PPP1Q1PP/1K5R w - -,h1e1 e7e6 f5d6 b7d5 e2e5 h8h7 d6e4 a8c8 e4f6 h7h6,334
7Q/8/8/6q1/8/4KP2/k2r4/8 w - -,h1e1 e7e6 f5d6 b7d5 e2e5 h8h7 d6e4 a8c8 e4f6 h7h6,Mate
r2r2kb/2q2p1p/1pp1b1pB/p1p1p2n/4P3/1P1P3P/P1P1NPPN/R1Q2RK1 w - -,g2g4 h5f6 f2f4 e5f4 h6f4 c7e7 f4g5 h7h6 g5h6 c5c4,113
r4rk1/p3ppbp/2p1b1p1/3q4/8/2PBB3/PP3PPP/R2Q1RK1 w - -,d1c2 f8d8 f1d1 d5a5 a2a3 a5c7 d3e4 e6d5 d1d2 d5e4,18
8/5B2/2kN4/8/3K4/8/8/8 w - -,d1c2 f8d8 f1d1 d5a5 a2a3 a5c7 d3e4 e6d5 d1d2 d5e4,Mate
r1b1r1k1/2q1bppp/pp1p1n2/2n1p3/P3PP2/2NB1NQ1/1PP3PP/R1B2R1K w - -,f4e5 d6e5 f3h4 g8h8 c1e3 c7c6 h4f5 c8f5 f1f5 c5d3,21
rn2k2r/2q3pp/p1pbp1b1/3pNp2/PpPPn3/1P1BP1N1/1B3PPP/R2Q1RK1 w kq -,c4d5 e6d5 g3e2 c7e7 e2f4 g6f7 d1c2 e8h8 f2f3 e4c3,199
8/8/1B6/3K4/4B3/6k1/8/8 w - -,c4d5 e6d5 g3e2 c7e7 e2f4 g6f7 d1c2 e8h8 f2f3 e4c3,Mate
r2q1k1r/1b3p2/p2pp3/1p3N1p/8/3R4/PPP1Q1PP/1K2R3 w - -,f5d6 b7d5 e2e5 h8h7 d6e4 d8b8 e4f6 b8e5 f6h7 f8g8,319
2k4r/pp5r/8/3ppb2/5p2/P1P5/3B1KPR/7R w - -,h1e1 h7h2 e1e5 f5e4 e5e4 d5e4 d2f4 h8f8 f2e3 h2g2,-693
r1b2rk1/pp3ppn/4pb2/8/3Q4/8/PPP2PPP/3RR1K1 w - -,d4e3 f6b2 c2c3 b2a3 h2h4 a3e7 h4h5 e7f6 e3f3 e6e5,-107
r2q4/pp3kpp/2n2n2/1N6/1b4b1/3Pp3/PPPB1QPP/R3K2R w KQ -,f2e3 d8d5 d2b4 d5b5 e1h1 b5b4 c2c3 b4e7 e3g5 g4e6,-412
7Q/8/8/8/5P2/4K3/k2r2q1/8 w - -,f2e3 d8d5 d2b4 d5b5 e1h1 b5b4 c2c3 b4e7 e3g5 g4e6,Mate
4b3/p4k2/2p5/2Np1pp1/1P1P4/P6P/1b4P1/3R3K w - -,d1d2 b2c3 d2d1 c3b2 c5a4 b2a3 d1b1 f7f6 a4c5 e8g6,329
r3r1k1/1bq1bppp/pp1p1n2/2n1pP2/P3P3/2NB1NQ1/1PP3PP/R1B2R1K w - -,c1h6 e7f8 f3d2 d6d5 c3d5 f6d5 e4d5 f7f6 d3c4 g8h8,-28
r2q1k1r/5p2/p2Np3/1p1b3p/8/3R4/PPP1Q1PP/1K2R3 w - -,e2e5 h8h7 d6e4 d8b8 e4f6 b8e5 f6h7 f8g7 e1e5 g7h7,336
1rb2rk1/p4pp1/2p5/3p1nQ1/7P/1PNBq3/P1P5/2KR2R1 w - -,c1b2 e3g5 g1g5 f5h4 g5h5 h4g6 d1g1 b8b7 c3a4 f8e8,-39
3r1k2/3r4/3pqpp1/1QpRP3/8/1P4P1/P2R2KP/8 w - -,d5d6 d7d6 d2d6 d8d6 b5b8 f8f7 b8d6 e6g4 d6d5 f7e8,547
4b2r/8/5k2/pp1p3P/2pP2p1/P1P4N/2P2P2/2K5 w - -,h3f4 e8f7 f4g2 f6g5 g2e3 f7h5 c1b2 h8f8 a3a4 b5a4,-821
8/5k2/2b5/1p6/1P1K4/8/8/8 w - -,d4c5 c6e8 c5d5 f7f6 d5d6 e8f7 d6c6 f7c4 c6c5 f6e5,-1235
2kr3r/pp3ppp/5n2/2P5/3N1P2/3K4/PP3PPP/1R5R w - -,h1e1 d8d7 d3c4 h8d8 d4f3 h7h5 b2b4 h5h4 b1c1 g7g6,230
rn1q1rk1/pp2ppbp/4bnp1/2pp4/2PP1B2/2NBPN2/PP3PPP/R2QK2R w KQ -,c4d5 f6d5 c3d5 e6d5 e3e4 c5c4 d3c2 d5e6 h2h3 f7f5,19
5r1k/p1q2p1p/5p2/2p5/3p4/NP1P3P/PBP1R1Pb/R4K2 w - -,a3c4 f8g8 a2a4 f6f5 b2c1 h2g3 c1d2 g8g6 f1g1 g6e6,-180
6k1/p7/1p4pp/5p2/5P2/P3r1PB/1Pr1b2P/R3R1K1 w - -,e1c1 c2b2 c1c7 a7a5 h3f1 b6b5 a1e1 e3e4 e1c1 g8f8,-60
5r1k/pp4pp/2p2q2/2Pp4/3NbPP1/4P2Q/PP3K2/R7 w - -,,0
8/8/1B6/4K3/4B2k/8/8/8 w - -,a1c1 f6e7 a2a3 h8g8 h3h2 a7a5 f4f5 h7h6 h2f4 e7h4,Mate
4b3/5k2/8/1pK5/1P6/8/8/8 w - -,c5d4 f7e6 d4e4 e6d6 e4f4 d6d5 f4g5 d5c4 g5f5 e8h5,-1235
r2q1k2/5p1r/p2Np3/1p1bQ2p/8/3R4/PPP3PP/1K2R3 w - -,d6e4 d8b8 e4f6 b8e5 f6h7 f8g7 e1e5 g7h7 e5h5 h7g6,360
4b3/p4k2/2p5/3p1pp1/NP1P4/b6P/6P1/3R3K w - -,d1b1 f5f4 a4c3 f7f6 c3a2 f6f5 b1b3 a3b4 b3b4 f5e4,387
r4rk1/pbq2ppp/8/2p5/3p2n1/NP3N1P/PBPP1PPb/R2QR1K1 w - -,g1f1 g4f2 f1f2 a8e8 f2f1 b7f3 d1f3 e8e6 a3b5 c7d7,-141
r3kb1r/1p3ppp/p3p3/2n5/2Bp4/5P1P/PPn2P2/1RB1R1K1 w kq -,e1d1 b7b5 c4f1 f8e7 c1d2 e8h8 d2a5 a8c8 d1d2 c5a4,-530
rnb2rk1/1p2ppbp/2p3p1/q2p4/P1PPn3/5NP1/PB1NPPBP/R2Q1RK1 w - -,c4d5 c6d5 d2e4 d5e4 f3d2 f7f5 d1b3 g8h8 b2c3 a5a4,36
r3r1k1/pppn1pb1/3p1q1p/5Q1P/5p2/5N2/PPPN1PP1/R4K1R w - -,f5d7 f6b2 a1e1 e8e1 f3e1 b2a2 h1h4 g7c3 d7g4 c3g7,158
2k1r3/ppp3pp/2nb4/7q/8/3p1N1P/PPPB1PP1/R2Q2K1 w - -,c2d3 c6e5 f3e1 h5f5 d1e2 f5f7 d2c3 g7g6 d3d4 e5c6,93
rn1q1rk1/pp3pbp/3np1p1/2pP4/2P2P2/3B1P2/PP2N2P/R1BQ1RK1 w - -,d3c2 f8e8 g1h1 e6d5 c4d5 b8a6 f4f5 a6b4 e2g3 d8h4,-143
rn1qkb1r/ppp1pppp/4bn2/4N3/2B5/2N5/PPPP1PPP/R1BQ1RK1 w kq -,c4e6 f7e6 d1f3 d8c8 f1e1 g7g6 c3e4 f8g7 d2d4 a7a5,293
4k3/6p1/3K4/6PP/8/8/8/8 w - -,,0
r2qkb1r/ppp2p1p/6p1/3ppb2/3nn3/1B1Q4/PPPP1PPP/RNB1K1NR w KQkq -,b1c3 e4c5 d3g3 f8g7 g1f3 c5b3 c2b3 d4c2 e1d1 c2a1,-555
r4rk1/pbq2ppp/3b4/2p5/3p2n1/NP3N2/PBPP1PPP/R2QR1K1 w - -,h2h3 d6h2 g1f1 g4f2 f1f2 a8e8 a3b5 c7f4 f2f1 a7a6,-135
r7/pp1q1kpp/2n2n2/1N6/1b4b1/3PQ3/PPPB2PP/R3K2R w KQ -,e1h1 b4e7 a1e1 f7g8 g1h1 f6d5 e3g3 g4h5 a2a3 h5g6,-64
r2r2k1/p3ppbp/2p1b1p1/3q4/8/2PBB3/PPQ2PPP/R4RK1 w - -,f1d1 d5e5 d3e2 e5c7 h2h3 h7h5 a1c1 a7a5 b2b3 g7e5,16
r1br2k1/1pp2pp1/p1n1p1qp/8/3P4/P1N1Q3/1PP2PPP/2KR1B1R w - -,f2f4 b7b5 f1d3 f7f5 h1g1 g6f6 g2g4 c6d4 g4g5 h6g5,111
rq3k2/5p1r/p3p3/1p1bQ2p/4N3/3R4/PPP3PP/1K2R3 w - -,e4f6 b8e5 f6h7 f8g7 e1e5 g7h7 e5h5 h7g6 h5h4 f7f5,339
4b3/8/3K1k2/1p6/1P6/8/8/8 w - -,d6c7 f6e5 c7b8 e5d4 b8c7 d4c4 c7b7 e8f7 b7b6 f7g6,-1234
r4rk1/pbq2ppp/3b1n2/2p5/3p4/1P3N2/PBPP1PPP/RN1QR1K1 w - -,b1a3 f6g4 h2h3 d6h2 g1f1 g4f2 f1f2 a8e8 a3b5 c7f4,-122
3r4/7P/8/8/8/5P2/kp4K1/8 w - -,b1a3 f6g4 h2h3 d6h2 g1f1 g4f2 f1f2 a8e8 a3b5 c7f4,Mate
r1bqk1nr/pp1nppbp/3p2p1/8/4P3/2PB1N2/PP1N1PPP/R1BQ1RK1 w kq -,a2a4 g8f6 f1e1 d8c7 a4a5 e8h8 h2h3 a8b8 f3d4 d7e5,37
r4rk1/p3p3/4n2p/5p2/5p2/5NbK/PP4P1/2R5 w - -,a2a4 g8f6 f1e1 d8c7 a4a5 e8h8 h2h3 a8b8 f3d4 d7e5,Mate
r1b1r1k1/2q1bppp/pp3n2/2n1p3/P3P3/2NB1NQ1/1PP3PP/R1B2R1K w - -,f3h4 g8h8 c1e3 f6h5 g3f3 h5f6 h4f5 c8f5 f3f5 c5d3,24
r1b2rk1/p4ppn/1p2pb2/8/1Q6/8/PPP2PPP/3RR1K1 w - -,b2b3 e6e5 b4e4 c8e6 c2c4 f8e8 e1e3 h7g5 e4c2 e6g4,-91
3r1k2/8/3rqpp1/1QpR4/8/1P4P1/P2R2KP/8 w - -,d5d6 d8d6 b5c5 e6e4 g2f2 e4f5 c5f5 d6d2 f2e3 d2a2,667
8/8/1B6/4K3/8/5Bk1/8/8 w - -,d5d6 d8d6 b5c5 e6e4 g2f2 e4f5 c5f5 d6d2 f2e3 d2a2,Mate
5r2/p2bppk1/1q1p2p1/2rP3p/1p5P/1P3P2/P1PQN1P1/1K1R3R w - -,g2g4 f8c8 d1c1 g7g8 e2g3 c5c3 g4h5 b6e3 d2e3 c3e3,69
4r2k/p1p3np/4q2r/6p1/PP1PN3/4pQP1/5P1P/1BR3K1 w - -,f2e3 g5g4 f3f4 h6h5 f4c7 h5f5 c7c3 f5f8 c3d3 g7f5,149
1r4k1/4ppbp/1n1p1np1/q1pP4/4P3/BPN3P1/2QN1PKP/R7 w - -,h2h3 a5a7 c3d1 b8a8 a3b2 a7b7 a1a8 b7a8 d2f3 a8a2,-20
r4k2/5p1r/p3pN2/1p1bq2p/8/3R4/PPP3PP/1K2R3 w - -,f6h7 f8g7 e1e5 g7h7 e5h5 h7g6 h5h4 f7f5 b1c1 d5e4,353
3r4/7P/8/8/8/5PK1/k7/1q6 w - -,f6h7 f8g7 e1e5 g7h7 e5h5 h7g6 h5h4 f7f5 b1c1 d5e4,Mate
rn1qkb1r/ppp1p1pp/4pn2/4N3/8/2N5/PPPP1PPP/R1BQ1RK1 w kq -,f1e1 g7g6 d1f3 d8c8 c3e4 f8g7 d2d4 a7a5 e4g5 e8h8,317
r1b2rk1/6q1/p5B1/1p1pP1Q1/3P4/8/PPP3P1/2K4R w - -,g6h7 g8f7 h1f1 f7e6 g5g7 f8f1 c1d2 c8d7 g7g6 e6e7,888
7r/8/8/8/8/5PK1/k7/1q6 w - -,g6h7 g8f7 h1f1 f7e6 g5g7 f8f1 c1d2 c8d7 g7g6 e6e7,Mate
rnbq1r2/5pkp/3p1np1/p2Pp3/1p4P1/7P/PPPQNP2/2KR1BNR w - -,f2f4 b8d7 g1f3 c8b7 f4e5 d6e5 f1g2 d8b6 e2g3 a5a4,-104
rnbqk1nr/pppp1p1p/6p1/8/1b2P1Q1/2N5/PP3PPP/R1B1KBNR w KQkq -,g4g3 g8f6 c1g5 b4e7 e4e5 f6h5 g5e7 d8e7 g3e3 c7c6,20
r1b2r2/5kqB/p7/1p1pP1Q1/3P4/8/PPP3P1/2K4R w - -,h1f1 f7e8 h7g6 f8f7 g6f7 g7f7 f1f7 e8f7 g5f6 f7g8,905
rnb2rk1/1p2ppbp/2p3p1/q2P4/P2P4/5NP1/PB1nPPBP/R2Q1RK1 w - -,f3d2 c6d5 d2b3 a5a4 g2d5 a4b5 d5g2 c8e6 d1d2 b8c6,84
r1b1r2k/2q1bppp/pp3n2/2n1p3/P3P2N/2NB2Q1/1PP3PP/R1B2R1K w - -,c1e3 f6h5 g3f3 h5f4 e3f4 e5f4 c3d5 c7e5 d5b6 a8b8,14
r7/5pkN/p3p3/1p1bq2p/8/3R4/PPP3PP/1K2R3 w - -,e1e5 g7h7 e5h5 h7g6 h5h4 f7f5 g2g3 a6a5 b1c1 a8d8,364
8/8/1B6/8/4K3/5B2/7k/8 w - -,e1e5 g7h7 e5h5 h7g6 h5h4 f7f5 g2g3 a6a5 b1c1 a8d8,Mate
8/5B2/1r3kPK/8/8/3b4/8/8 w - -,e1e5 g7h7 e5h5 h7g6 h5h4 f7f5 g2g3 a6a5 b1c1 a8d8,Mate
3r4/Rnk2pp1/1p2p3/1P2P2p/5P2/6PP/P3K3/8 w - -,e2f3 d8d3 f3f2 d3d5 a2a4 f7f6 e5f6 g7f6 a7a8 b7c5,-402
r3kb1r/5ppp/p3p3/1pn5/2Bp4/5P1P/PPn2P2/1RB2RK1 w kq -,c4e2 d4d3 e2d1 f8e7 b2b4 c5a4 b1b3 a8c8 f3f4 e8h8,-632
4b3/4k3/8/1p1K4/1P6/8/8/8 w - -,d5c5 e7f6 c5d4 e8h5 d4c3 f6e5 c3c2 h5g6 c2d1 g6b1,-1234
r1b2r2/6qB/p3k3/1p1pP1Q1/3P4/8/PPP3P1/2K2R2 w - -,g5g7 f8f1 c1d2 c8d7 g7g6 e6e7 g6d6 e7d8 e5e6 a8a7,913
r2r1bk1/2p2p2/ppn1bnpp/4p3/2P1P1P1/1PN1BN1P/P3BP2/3R1RK1 w - -,g1g2 d8d1 f1d1 g6g5 c3d5 f6e8 h3h4 f7f6 h4g5 h6g5,23
r7/5p1k/p3p3/1p1bR2p/8/3R4/PPP3PP/1K6 w - -,e5h5 h7g6 h5h4 f7f5 g2g3 g6f6 b1c1 a6a5 d3c3 b5b4,362
r5k1/p3p3/2R1nr1p/5p2/5p2/5NbK/PP4P1/8 w - -,e5h5 h7g6 h5h4 f7f5 g2g3 g6f6 b1c1 a6a5 d3c3 b5b4,Mate
rq2kb1r/pb1n1ppp/1pn1p3/1NppP3/3P1P2/4BN2/PPPQB1PP/R3K2R w KQkq -,e1h1 a7a6 f4f5 a6b5 f5e6 f7e6 c2c3 f8e7 f3g5 c6d8,69
r7/5p2/p3p1k1/1p1b3R/8/3R4/PPP3PP/1K6 w - -,h5h4 f7f5 g2g3 a6a5 b1c1 g6f6 d3c3 b5b4 c3c5 f6e7,362
2kr3r/pp3ppp/8/2Pn4/3N1P2/3K1P2/PP4PP/1R5R w - -,g2g3 d8d7 d4f5 c8c7 h1d1 g7g6 f5d6 c7c6 b1c1 b7b5,206
rn2kbnr/1p1b2pp/1q3p2/pP1pp3/8/P3PN1P/3P1PP1/RNBQKB1R w KQkq -,b1c3 d7e6 d1b3 b6d6 b5b6 b8d7 d2d4 e5e4 f3g1 f6f5,50
rnb2rk1/1p2ppbp/6p1/q2p4/P2P4/6P1/PB1NPPBP/R2Q1RK1 w - -,d2b3 a5a4 g2d5 a4b5 d5g2 c8g4 f1e1 b8c6 d1d2 g4e6,66
4b3/2k5/8/1p1K4/1P6/8/8/8 w - -,d5c5 e8c6 c5d4 c7d6 d4e3 d6e5 e3f2 c6e8 f2g3 e5d5,-1234
2r5/p2bppk1/1q1p2p1/2rP3p/1p4PP/1P3P2/P1PQN3/1K1R3R w - -,h1e1 c5c2 d2d4 b6d4 e2d4 c2c7 g4h5 g6h5 e1e7 g7f8,-84
r1b5/6QB/p3k3/1p1pP3/3P4/8/PPP3P1/2K2r2 w - -,c1d2 c8d7 g7g6 e6e7 g6d6 e7d8 e5e6 a8a7 d6b8 d8e7,918
4b3/1k6/8/1pK5/1P6/8/8/8 w - -,c5d6 e8c6 d6e5 b7c7 e5e6 c6e8 e6e5 c7c6 e5e6 e8d7,-1198
2krr3/pp3ppp/8/2Pn4/3N1P2/3K1PP1/PP5P/1R5R w - -,d4b5 e8e7 b5d6 c8b8 h1e1 e7d7 b1d1 d5e7 d3c2 e7c6,296
rnb1k1nr/1p4pp/1q1b1p2/pP1pp3/8/P3PN1P/3P1PP1/RNBQKB1R w KQkq -,c1b2 g8e7 b1c3 c8e6 f1d3 b8d7 e1h1 b6d8 d3b1 e8h8,-42
r1br2k1/1pp2pp1/p1n1pq1p/8/3P3P/P1N1Q3/1PP2PP1/2KR1B1R w - -,c3e4 f6e7 f2f4 b7b5 f1e2 b5b4 a3a4 a8b8 g2g4 f7f5,124
r2r2k1/pb2bppp/2n5/2p1p3/4N3/P5PP/1PP1NPB1/R3R1K1 w - -,a1d1 a8b8 d1d8 c6d8 e1d1 g8f8 b2b3 d8e6 d1d7 c5c4,-10
8/5B1K/1r4P1/6k1/8/3b4/8/8 w - -,a1d1 a8b8 d1d8 c6d8 e1d1 g8f8 b2b3 d8e6 d1d7 c5c4,Mate
r1bqk2r/pp1nnpbp/3pp1p1/2p5/2PPP3/3BBN2/PP1Q1PPP/RN2K2R w KQkq -,d4d5 e6d5 c4d5 e8h8 e1h1 f7f5 b1c3 f5e4 d3e4 d7f6,85
4r1k1/p4pb1/1p1p3p/2p4P/4r3/5RP1/P1P2PK1/7R w - -,f3a3 e4e2 h1h4 e8e7 c2c3 e2c2 h4c4 g8f8 g3g4 d6d5,-526
1r1q1rk1/1b1nbppp/2n1p3/2ppP3/1p1P1P2/4BNP1/1PP1N1BP/R2Q1R1K w - -,h2h4 b8a8 a1a8 d8a8 h4h5 h7h6 h1h2 f8e8 f1e1 a8a2,5
8/8/8/1ppp1k1p/3p3P/1P1P1K2/2P5/8 w - -,,0
7k/p4R1P/5P2/4p1p1/1p2K3/8/r4P2/8 w - -,f3g3 f5e6 g3f2 e6f6 f2g2 f6e7 g2f3 e7f7 f3g3 b5b4,Mate
r1b2rk1/p3Rppp/3q1n2/2pp4/8/1P6/PBPP1PPP/RN1Q2K1 w - -,e7e3 d5d4 e3g3 f6e4 g3d3 d6g6 b1a3 h7h5 d1f1 f8e8,-125
4b3/8/k2K4/1p6/1P6/8/8/8 w - -,d6e5 a6b6 e5d5 b6b7 d5d6 e8c6 d6e7 b7c7 e7e6 c6d7,-1235
rnb1k2r/1p2n1pp/1q1b1p2/pP1pp3/8/P3PN1P/3PBPP1/RNBQK2R w KQkq -,e1h1 c8e6 a3a4 b8d7 b1c3 a8c8 c1a3 d6a3 a1a3 h7h6,-38
1r4k1/5pb1/pB3n1p/6p1/N7/Pp5P/B1b2PP1/4R1K1 w - -,a2b1 f6d5 b6a7 b8a8 a7c5 a8c8 e1c1 d5f4 c1c2 b3c2,-477
3rr1k1/1p3pbp/p1n3p1/8/4n3/PbNPB2P/1P1RBPP1/2K4R w - -,d3e4 d8d2 c1d2 c6a5 h1c1 a5c4 e2c4 b3c4 g2g4 e8d8,21
5r1k/pp2q1pp/2p5/2Pp2P1/3NbP2/4P2Q/PP3K2/R7 w - -,,0
8/ppk4b/8/3pp3/8/P1P3K1/3B4/8 w - -,d2h6 c7c6 g3f3 c6b5 f3e3 b5c4 h6g7 e5e4 e3d2 c4b3,-195
r1bqk2r/pp1n1ppp/2p4n/3pP3/5P2/2NB1N2/PPPQ2PP/R3K1bR w KQkq -,h1g1 d7c5 h2h3 f7f6 e1a1 e8h8 d3e2 f8e8 g2g4 h6f7,17
r5k1/pb2bppp/2n5/2p1p3/4N3/P5PP/1PP1NPB1/3rR1K1 w - -,e1d1 c6d4 e2d4 c5d4 c2c3 a8d8 c3d4 e5d4 e4f6 e7f6,-12
rn2kb1r/1p1bn1pp/1q3p2/pP1pp3/P7/4PN1P/3P1PP1/RNBQKB1R w KQkq -,d2d4 e5e4 f3d2 d7e6 d1b3 f6f5 b1c3 b8d7 c1a3 a8c8,49
r1b2r1k/6qB/p3p3/1p1pP1Q1/3P4/2N5/PPP3P1/2K4R w - -,h7g6 h8g8 c3d5 e6d5 g6h7 g8f7 h1f1 f7e8 h7g6 f8f7,883
r1br2k1/1pp1qpp1/p1n1p2p/8/3PN2P/P3Q3/1PP2PP1/2KR1B1R w - -,f2f4 b7b5 f1e2 b5b4 a3a4 c8b7 b2b3 a8b8 e2f3 b7a8,131
