rnbqk2r/ppp2pp1/3p1n1p/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,c3a4 b8c6 a4c5 d6c5 c4b5 c8d7 b5c6 d7c6 f3e5 c6e4,60
rn1q1rk1/pbppp1bp/1p3np1/5p2/3P1B2/2PBPN2/PP1N1PPP/R2QK2R w KQ -,h2h3 e7e6 e1h1 b8c6 f1e1 c6e7 f4h2 d7d5 a2a4 c7c5,55
rnbqk2r/p3bppp/2pp1n2/1p2p3/2B1P3/2N2N1P/PPPP1PP1/R1BQ1RK1 w kq -,c4f7 e8f7 d2d4 h8e8 d4e5 d6e5 f3e5 f7g8 e5d3 b5b4,-382
8/8/k1K5/8/3Q4/8/8/1r6 w - -,c4f7 e8f7 d2d4 h8e8 d4e5 d6e5 f3e5 f7g8 e5d3 b5b4,Mate
rnbqkbnr/pppp1ppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,e2e4 g8f6 e4e5 d8e7 d1e2 f6d5 d2d4 b8c6 g1f3 d7d6,256
r1bqr1k1/ppp2ppp/2p2n2/2b1N3/4P3/8/PPPP1PPP/RNBQR1K1 w - -,b1c3 e8e5 h2h3 b7b6 d2d3 e5e6 a2a4 a7a5 c1g5 h7h6,-344
r1bqk2r/pp1nbppp/2n1p3/2ppP3/3P1P2/2PB1N2/PP4PP/RNBQK2R w KQkq -,e1h1 d8b6 d3c2 e8h8 a2a3 f7f6 g1h1 a7a5 h2h4 f6e5,107
r1b1k2r/pppp1ppp/2n3qn/2b1p1B1/2B1P3/3P1N2/PPP2PPP/RN1Q1RK1 w kq -,b1c3 c6d4 f3d4 g6g5 d4f3 g5e7 c3d5 e7d8 f3e5 d7d6,184
rnbq1rk1/ppp1ppbp/5np1/8/2pP4/1PN1P3/PB3PPP/R2QKBNR w KQ -,g1f3 c4b3 d1b3 b8c6 f1e2 c6a5 b3b4 c7c6 e1h1 c8e6,-97
r1bqkbnr/pp3ppp/2n5/2pp4/8/2P5/PP1PBPPP/RNBQK1NR w KQkq -,b1a3 d5d4 d2d3 g8e7 g1f3 e7f5 c1g5 f8e7 g5e7 d8e7,-89
