rnbqkb1r/ppppp2p/5np1/8/6P1/2NB4/PPP2P1P/R1BQK1NR w KQkq -,d3e2 f8g7 h2h4 d7d5 g4g5 f6e4 c3e4 d5e4 d1d8 e8d8,-70
rnbqkb1r/ppppp2p/6p1/6Pn/8/2NB4/PPP2P1P/R1BQK1NR w KQkq -,g1e2 b8c6 e2g3 h5g3 h2g3 c6e5 c1f4 e5d3 d1d3 d7d6,78
rnbqk2r/pp2bppp/3p1n2/2p5/2PNP3/2N5/PP3PPP/R1BQKB1R w KQkq -,d4c2 b8c6 f1d3 e8h8 e1h1 f6d7 f2f4 e7f6 c3d5 f8e8,92
r1bqk2r/pppp1p1p/5np1/4p3/1bBnP3/2Q5/PPP2PPP/RNB1K1NR w KQkq -,e1d1 b4c3 b1c3 c7c6 c1g5 h7h6 g5f6 d8f6 f2f3 f6g5,-959
r1bqkb1r/pp3ppp/2n2n2/3p4/3P4/1B6/PP3PPP/RNBQK1NR w KQkq -,a2a3 f8d6 g1e2 e8h8 h2h3 c6a5 e1h1 c8f5 b1c3 a5b3,-9
rn1qk2r/pbp2ppp/1p1ppn2/8/2PP4/B1P1PN2/P4PPP/R2QKB1R w KQkq -,d1c2 e8h8 f1d3 f8e8 e1h1 b7f3 g2f3 c7c5 a1d1 d8e7,-49
rnbqkbnr/3p1ppp/p3p3/1p6/2PNP3/8/PP3PPP/RNBQKB1R w KQkq -,c4b5 g8f6 b1c3 f8b4 f1d3 d7d5 e4e5 f6d7 d1h5 d8b6,156
rn1qkb1r/pp3ppp/2p2n2/8/3pP1b1/2PB1N2/PP4PP/RNBQK2R w KQkq -,c3d4 g4f3 g2f3 d8d4 d3e2 d4d1 e1d1 b8d7 b1d2 e8a8,-170
r1bqk2r/ppppppbp/2n2np1/8/8/1P3NP1/P1PPPPBP/RNBQK2R w KQkq -,c1b2 d7d5 e1h1 e8h8 d2d4 c8f5 b1d2 f6e4 c2c4 e7e6,52
rnbq1rk1/pp3ppp/3b1n2/2pp4/3P4/2NB1N1P/PPP2PP1/R1BQK2R w KQ -,c1g5 c5c4 d3e2 c8e6 e1h1 b8d7 d1c1 d8b6 g5e3 b6c6,-54
r1b1kb1r/ppp2ppp/2n2q2/8/2p1P3/5N2/PPP2PPP/RNBQK2R w KQkq -,e1h1 c8g4 b1c3 f8d6 c3b5 e8h8 h2h3 g4h5 g2g4 h5g6,-126
r1bq1rk1/ppppnppp/2n5/6N1/1bB1P3/2p5/PP3PPP/RNBQ1RK1 w - -,d1h5 h7h6 g5f7 f8f7 c4f7 g8h7 b1c3 d8f8 c3d5 e7d5,627
5q2/n2P4/2b1k3/6Q1/8/3N4/4BK2/8 w - -,f2g1 e6d7 d3c5 d7d6 g5g3 d6d5 e2c4 d5c4 g3b3 c4c5,71
5q2/n7/2bk4/2N3Q1/8/8/4B3/6K1 w - -,g5g3 d6d5 e2c4 d5c4 g3b3 c4c5 b3a3 c5d5 a3f8 a7b5,278
r2qkbnr/pp1n1ppp/4p3/2ppPb2/3P1P2/2P2N2/PP4PP/RNBQKB1R w KQkq -,f1e2 f5g6 c1e3 g8h6 e1h1 a8c8 a2a4 f8e7 h2h3 h6f5,40
6k1/7p/p7/n1pP1q2/2p5/1P6/P3Q2P/7K w - -,b3c4 g8f7 h2h4 a5b7 e2e3 b7d6 e3c5 f5b1 h1g2 b1a2,-405
R7/P4k2/3K1P2/r7/7p/8/8/8 w - -,,0
r1bqk1nr/pppp1pbp/2n3p1/4p3/4P3/3P1N2/PPP1BPPP/RNBQK2R w KQkq -,b1d2 d7d5 c2c3 a7a5 e1h1 g8f6 b2b3 e8h8 c1b2 c8e6,-21
rn1qk2r/pbp2ppp/1p1bpn2/3p4/3P1B2/2NBPN2/PPP2PPP/R2QK2R w KQkq -,f3e5 e8h8 c3b5 d6e7 e5g4 f6e8 e1h1 b8c6 a2a3 a7a6,43
