r1b1k2r/ppp1nppp/1b1p4/8/2BPP3/1P3N2/5PPP/RN3RK1 w kq -,f1d1 c8g4 b1c3 e8a8 h2h3 g4f3 g2f3 h8f8 g1g2 c8b8,-175
rnbqk2r/pppp1ppp/5b2/8/4P3/8/PPP2PPP/RNBQKBNR w KQkq -,b1c3 f6c3 b2c3 b8c6 g1e2 e8h8 e2g3 d7d5 d1d5 d8f6,468
8/8/8/3K4/1Q6/3k4/3n4/8 w - -,b1c3 f6c3 b2c3 b8c6 g1e2 e8h8 e2g3 d7d5 d1d5 d8f6,Mate
rn1qk2r/ppp1ppbp/6p1/3n1b2/2BP4/5N2/PPP2PPP/RNBQ1RK1 w kq -,f1e1 e8h8 c2c3 e7e6 a2a4 b8d7 h2h3 c7c5 b1a3 c5d4,67
r1bq1b1r/ppp3pp/4k3/3Np3/2B5/5Q2/PPnP1PPP/R1B1K2R w KQ -,e1e2 c2d4 e2e1 d4f3 g2f3 e6d7 h1g1 c7c6 d5c3 b7b5,-564
r2q1rk1/pp2ppbp/n1p1bnp1/8/P1NP4/5NP1/1P2PPBP/R1BQ1RK1 w - -,b2b3 f6e4 c1a3 c6c5 e2e3 e6d5 a1c1 a8c8 f3e5 e4g5,59
r1bq1rk1/pp2ppbp/n1p2np1/8/P1pP4/N4NP1/1P2PPBP/R1BQ1RK1 w - -,a3c4 c6c5 b2b3 f6e4 c1b2 e4d6 e2e3 c8f5 d1e2 f5e4,52
rnb1kb1r/pp3ppp/4p3/q1Pp4/3Pn3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,d1c2 b8c6 a2a3 f8e7 f1d3 e4c3 c1d2 c6b4 c2c3 b4d3,86
r3k2r/ppq2ppp/2nbpn2/3p2B1/3P1P2/2PB4/PP2Q1PP/RN3RK1 w kq -,e2f3 c6e7 a2a4 h7h6 g5h4 g7g5 h4g3 e7f5 d3f5 e6f5,26
r1b1k1nr/ppp2pp1/2nb3p/8/4P1qB/5N2/PPP2PPP/RN1QKB1R w KQkq -,b1c3 g8f6 d1d3 c8e6 h2h3 g4g6 d3e3 d6b4 f1d3 e8a8,99
3q1rk1/4nppp/2b1pn2/3pN3/1b3P2/1P1BP2N/1B2Q1PP/5R1K w - -,h3g5 h7h6 e5c6 e7c6 b2f6 d8f6 g5h7 f6c3 h7f8 g8f8,160
rnbqk2r/ppppbppp/7n/4P3/3P1p2/5N2/PPP3PP/RNBQKB1R w KQkq -,c1f4 h6f5 b1c3 d7d5 e5d6 e7d6 f4d6 f5d6 d1e2 d8e7,86
rnbqk2r/ppppbppp/8/4Pn2/3P1B2/5N2/PPP3PP/RN1QKB1R w KQkq -,b1c3 d7d6 e5d6 f5d6 d1d2 e8h8 e1a1 f8e8 h1g1 b8d7,83
r1bqkb1r/ppp2ppp/2n2n2/3p4/1P2p3/P2P2P1/2P1PPBP/RNBQK1NR w KQkq -,,0
r1bnkb1r/ppp2ppp/5n2/8/1P2p3/P5P1/2P1PPBP/RNB1K1NR w KQkq -,e2e3 a7a5 b4b5 c8d7 b1c3 d8e6 c1b2 e8a8 g1e2 h7h5,7
r3kb1r/1bpq1ppp/p2p1n2/8/3NP3/2N5/PPPP1PPP/R1BQK2R w KQkq -,d2d3 g7g6 f2f3 c7c5 d4e2 f8g7 c1e3 e8h8 d1d2 f8e8,221
rnbqkbnr/p2ppp1p/1p4p1/1Qp5/4P3/8/PPPP1PPP/RNB1KBNR w KQkq -,g2g3 e7e6 g1f3 f8g7 f1g2 c8a6 b5b3 g8e7 d2d3 b8c6,-59
4k3/5p2/2N4p/6pN/6P1/4K2n/8/8 w - -,c6d4 e8e7 d4f5 e7e6 e3f3 e6e5 f5h6 f7f6 f3g2 h3f4,781
6k1/5pp1/8/1pb1P3/2p5/2P2R2/1P1N2K1/6q1 w - -,g2h3 g1h1 h3g4 h1g2 f3g3 g2d2 g4f5 d2c2 f5f4 c2f2,-1622
6k1/5pp1/8/1pb1P3/2p5/2P2RK1/1P6/4q3 w - -,g2h3 g1h1 h3g4 h1g2 f3g3 g2d2 g4f5 d2c2 f5f4 c2f2,Mate
6k1/5pp1/8/1pb1P3/2p5/2P2R2/1P2q1K1/8 w - -,g2h3 g1h1 h3g4 h1g2 f3g3 g2d2 g4f5 d2c2 f5f4 c2f2,Mate
