rnbqkb1r/ppp1ppp1/7p/3p3n/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,f4e5 b8d7 c2c4 e7e6 b1d2 h5f6 c4c5 d7e5 f3e5 f6d7,76
rnbqk2r/1pp1bppp/p2p1n2/8/3NPB2/2N5/PPP2PPP/R2QKB1R w KQkq -,d1f3 c8g4 f3g3 d8d7 g3e3 b8c6 h2h3 g4e6 e1a1 c6d4,102
r2qkb1r/pp1bpppp/2n2n2/3p4/3P4/3B1N2/PPP2PPP/RNBQK2R w KQkq -,c2c3 d7g4 h2h3 g4h5 c1f4 e7e6 b1d2 f8d6 f4d6 d8d6,41
rn1qkb1r/ppp1ppp1/7p/3p4/3P2b1/4PNP1/PPP2PP1/RN1QKB1R w KQkq -,c2c4 e7e6 d1b3 d5c4 b3b7 b8d7 f1c4 a8b8 b7a7 b8b2,96
rnbqk1nr/ppp2ppp/3b4/3Np3/3pP3/5N2/PPPP1PPP/R1BQKB1R w KQkq -,f1e2 c7c6 d5c3 d4c3 d2d4 d8c7 b2c3 g8f6 e1h1 e8h8,-319
r1bq1rk1/pp1nbppp/2pp1n2/8/P1BpP3/2N2N2/1PP2PPP/R1BQR1K1 w - -,c3a2 d7c5 c4d3 c8g4 c2c3 d4c3 a2c3 d6d5 e4d5 f6d5,-218
r1bqk2r/pp1nbppp/2n1p3/2ppP3/3P4/P1PB4/1P2NPPP/RNBQK2R w KQkq -,e1h1 d8b6 g1h1 e8h8 d3c2 f7f6 f2f4 f8f7 b2b4 c5d4,103
r1bqk2r/ppp2ppp/2nb1n2/8/8/4PN2/PPPP2PP/RNBQKB1R w KQkq -,b1c3 e8h8 f1e2 f8e8 e1h1 d8e7 c3b5 c8g4 b5d6 e7d6,100
rnb1kb1r/1pq2ppp/p2ppn2/8/2BNP3/2N1B3/PPP2PPP/R2QK2R w KQkq -,c4b3 b7b5 f2f3 f8e7 g2g4 b5b4 c3a4 f6d7 d1d2 e7h4,35
r1bq1b1r/pp1ppkpp/2n5/2p1P3/6n1/5N2/PPPP1PPP/RNBQK2R w KQ -,b2b4 d7d6 b4c5 g4e5 d2d4 e5f3 d1f3 f7g8 e1h1 c6d4,-355
r2qkb1r/pp2pppp/2n2n2/1B1p1bB1/3P4/2N5/PPP2PPP/R2QK1NR w KQkq -,g5f6 g7f6 g1f3 e7e6 f3h4 f5g6 f2f4 f6f5 h4f3 g6h5,-52
rnbqkbnr/pp3ppp/8/4p3/4P3/8/PP3PPP/RNBQKBNR w KQkq -,d1d8 e8d8 g1f3 f8b4 b1c3 b8c6 c1e3 b4c3 b2c3 g8f6,87
rnbk1bnr/pp3ppp/8/4p3/4P3/8/PP3PPP/RNB1KBNR w KQ -,b1c3 c8e6 f2f4 e5f4 c1f4 b8d7 f1e2 a8c8 e2f3 g8e7,71
r1bqk2r/pppnbppp/4pn2/3p4/5P2/1P2PN2/PBPP2PP/RN1QKB1R w KQkq -,d1e2 b7b6 g2g3 e8h8 a2a4 f8e8 f1g2 c7c6 e1h1 c8b7,21
r1bqkb1r/pp2pppp/2n2n2/3pP3/3p4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,c3a4 f6g4 c2c3 d4c3 a4c3 d8b6 d1d2 e7e6 f1b5 c8d7,-158
r2qr1k1/1pp2pp1/p1n3np/3bp3/4P3/1BP2Q2/PP3PPP/R1BR2K1 w - -,b3d5 d8e7 f3f5 g6f4 c1f4 e5f4 f5f4 c6d8 d1e1 a6a5,201
