4rrk1/5ppp/p1p5/1p6/3P1bb1/1BP4q/PPQN1P1P/R1B2RK1 w - -,a2a3 b4a6 a1b1 b8b1 h1b1 a6c5 b1b8 g8f7 e6c5 e7c5,Mate
5rk1/p1pP2p1/1p6/3r3q/8/3Q1pP1/PP5P/2R2RK1 w - -,d3e3 d5d7 f1f2 h5d5 c1f1 d7f7 b2b3 d5c6 f1c1 c6g6,-60
5r1k/r3n2p/1n1pq1p1/2p1p1P1/1pP1P3/1P1QBNR1/5PK1/1B5R w - -,f3h2 e7c6 h2g4 h7h5 d3d1 b6d7 d1d5 c6d8 g4h6 a7a1,305
r1bqkb1r/p2p2pp/1pn1p2n/2p2p2/2PP4/2N2NPP/PP2PPB1/R1BQ1RK1 w kq -,d4d5 e6d5 c4d5 c6a5 e2e4 h6f7 f1e1 f8e7 e4e5 c8b7,502
6k1/p1n2r1p/4b2P/1q4p1/3BQ3/P5P1/1PB4R/2K5 w - -,h2f2 f7f2 d4f2 b5f1 f2e1 g8f8 e4e5 f8e8 c2h7 e8d7,620
rnbq1rk1/ppp2pbp/3p2p1/4p2n/3PP3/4BN2/PPPN1PPP/R2QKB1R w KQ -,c2c3 e5d4 c3d4 d6d5 f1d3 b8c6 e1h1 d5e4 d2e4 c6d4,-3
1r4rk/p5pp/bp3n2/2p1np2/2P1p3/BNP1PP1P/P2RB1P1/5RK1 w - -,a3c1 a6c4 d2c2 g8d8 f3f4 c4e2 c2e2 e5c4 b3d2 c4d2,-311
6k1/pbp4p/4p1pb/2p1P3/2P2r2/P2BR3/1B4PP/6K1 w - -,e3g3 f4h4 h2h3 h6f4 g3g4 f4e3 g1f1 h4g4 h3g4 e3d4,-174
r1b1kb1r/pp2pppp/1q1p1n2/2p5/4P3/P2Q1N1P/1PPPnPP1/RNB1K2R w KQkq -,d3e2 g7g6 d2d3 f8g7 e1h1 b6d8 c2c4 b7b6 b1c3 c8b7,23
1r4k1/p1pq2pp/Q3p3/2b5/3NP3/7P/PP3KP1/R1B5 w - -,c1e3 c5d4 a1e1 b8b2 f2g1 d4b6 e3b6 c7b6 g1h2 b2c2,-197
rnbq1rk1/pp2pp1p/2p2bp1/3p3P/3P4/4P3/PPP2PP1/RN1QKBNR w KQ -,h5g6 f7g6 g1f3 d8b6 b2b3 b8d7 c2c4 e7e5 c4d5 e5d4,-79
5r2/p1pP2pk/1p6/3r3q/8/1Q3pP1/PP5P/2R2RK1 w - -,f1f2 d5d7 c1c3 h5g6 c3f3 f8f3 b3f3 c7c5 f3b3 d7d4,-16
4k3/8/8/8/8/3R4/2R5/4K3 w - -,f1f2 d5d7 c1c3 h5g6 c3f3 f8f3 b3f3 c7c5 f3b3 d7d4,Mate
r1b2rk1/pppp1ppp/1bn1q3/3NPn2/2BP4/5N1P/PP3PP1/R1BQ1RK1 w - -,d5b6 a7b6 c4e6 d7e6 d4d5 f8d8 d5c6 d8d1 f1d1 h7h6,557
rr4k1/3nppbp/3p1np1/2pP4/1qb5/2N2NPP/PPQBPPB1/1R3RK1 w - -,b2b3 c4a6 f1c1 f6e8 g1h2 b4a3 c2e4 d7e5 f3e1 e8f6,100
r1n2rk1/pp2qpp1/2pR3p/2Q1N3/8/2N4P/PPb2PP1/5RK1 w - -,d6d5 c6d5 c5d4 c8b6 f1e1 f7f6 e5d3 e7f7 d3f4 f8e8,-497
r1q2k1r/ppp3bp/3p1n2/3Ppp2/2P1n3/2N1B2P/PPQ1BPP1/R3K2R w KQ -,c3e4 f6e4 e2d3 c8e8 e1h1 g7f6 d3e4 f5e4 f2f3 e8g6,249
k7/P7/4rp2/1K4pp/7P/6P1/R4P2/8 w - -,h4g5 f6g5 b5c4 g5g4 c4d3 e6e5 d3d4 e5f5 d4e3 f5f3,244
r3kr2/1pp1q2p/p4np1/4n3/6b1/1QN5/PB3PPP/4RRK1 w - -,c3d5 f6d5 e1e5 g4e6 b2a3 e7d7 f1e1 e8f7 e5e6 d7e6,316
b1krrb2/2pq2p1/p6p/N4p2/P4p2/3P4/NPPQ1PPP/R4RK1 w - -,a2c3 d7d6 d3d4 d6d4 d2d4 d8d4 a5b3 d4b4 f1e1 a8c6,-140
5R2/6pp/p4Pk1/5b2/8/5P1P/3BK3/1r6 w - -,f6g7 g6g7 f8f5 b1h1 f5g5 g7f7 g5h5 f7g6 h5h6 g6g7,425
2rq1rk1/1p2nppp/4p3/p2pP3/1PnNbP2/P2BB2P/2P3P1/R2Q1RK1 w - -,e3f2 e7g6 g2g3 g6e7 f1e1 h7h6 d1e2 c4b2 g3g4 c8c3,12
rr4k1/3nppbp/b2p1np1/3P4/2p1P3/qPN2NPP/P1QB1PB1/1RR3K1 w - -,f3d4 d7c5 b3b4 c5d3 d4c6 f6d7 c6e7 g8f8 e7c6 b8b4,137
1r5r/2k2ppp/p3p3/1p1p4/PPpP4/2P1P3/R3KPPP/R7 w - -,a4b5 a6b5 e2f3 h8f8 e3e4 d5e4 f3e4 b8b7 a2a7 f8d8,123
1r3rk1/p1pq2pp/Q2bp3/8/3Nn3/4B2P/PP4P1/R4RK1 w - -,f1f8 b8f8 a6c4 e4f6 d4e6 d7f7 a1e1 f8e8 e3f2 f6d7,-17
1r4k1/3nppbp/3p1np1/3P4/2b1P3/q1N2NPP/P1QB1PB1/2R3K1 w - -,d2e3 f6e8 f3d4 b8b2 c2d1 d7c5 g2f1 c4f1 d1f1 b2b4,45
1r4rk/p5pp/1p3n2/2p1np2/2b1p3/1NP1PP1P/P2RB1P1/2B2RK1 w - -,e2c4 e5c4 d2e2 e4f3 g2f3 g8e8 f1d1 b8d8 d1d8 e8d8,-335
1r5r/2k2ppp/4p3/1p1p4/1PpP4/2P1P3/R3KPPP/R7 w - -,e2f3 h7h6 e3e4 b8b7 e4e5 h8b8 h2h4 b8f8 f3g4 f7f6,137
8/5p2/7p/2ppk1PP/8/8/3K4/8 w - -,g5h6 e5f6 d2c3 d5d4 c3d3 f6e6 h6h7 f7f5 h7h8q e6d5,970
rnq2rk1/1b2bppp/ppp2n2/3p4/P2N4/1P1P2P1/1B1NPPBP/2RQ1RK1 w - -,e2e4 c8d8 d4f5 b7c8 f5e7 d8e7 f1e1 e7d8 b3b4 a8a7,224
r3k2r/1bq2p1p/p2b1np1/3p1P2/1p1N4/4BB2/PPPQ3P/2KR2R1 w kq -,e3g5 e8a8 f5g6 h7g6 g1f1 c8b8 f3g2 f6e4 g5d8 h8d8,36
r3k2r/1pp1bppp/p7/1n1P2q1/Q7/5P2/PP3P1P/RN2R1K1 w kq -,a4g4 g5g4 f3g4 e8d7 b1d2 a8e8 d2b3 b5d6 b3c5 d7c8,-552
5rk1/1p3pp1/6b1/7p/4Q3/8/PP3P2/1K6 w - -,b1c1 f8c8 c1d2 g6e4 d2e3 e4d5 b2b3 c8c2 e3d4 d5e6,-1393
r3kr2/1pp1q2p/p5p1/3nn3/6b1/1Q6/PB3PPP/4RRK1 w - -,e1e5 g4e6 b2a3 d5f4 f1e1 e8f7 e5e6 e7e6 e1e6 f4e6,311
1r4rk/p5pp/1p3n2/2p2p2/2n1p3/1NP1PP1P/P2R2P1/2B2RK1 w - -,d2f2 b8d8 f2e2 e4f3 g2f3 g8e8 e3e4 f5e4 b3d2 c4d2,-378
r1r5/3kbp2/pqn1p1p1/1p1pP2p/3P1P2/P1P5/1B1N1RPP/R2Q2K1 w - -,f4f5 g6f5 d1h5 c8h8 h5e2 a8b8 h2h3 c6a5 g1h2 b6c6,-89
r1bqk1nr/ppp1p1bp/2np1pp1/8/3PPB2/2P2N2/PP3PPP/RN1QKB1R w KQkq -,d4d5 c6e5 f1b5 c7c6 f4e5 c6b5 e5d4 e7e5 d5e6 c8e6,72
6r1/1p2qk2/2b1p3/3pP3/r2P1pPp/2QB1P2/P1R1K2N/6R1 w - -,g4g5 g8g5 h2g4 f7f8 g1h1 g5g7 c3c5 f8f7 c5e7 f7e7,304
2krrb2/2p3p1/p5qp/N4p2/PP1Q4/3P1pP1/b1P2P1P/R4RK1 w - -,d4a7 a2d5 c2c4 g6b6 a7b6 c7b6 c4d5 b6a5 b4a5 c8d7,-615
r3kb1r/pp2pppp/2n2n2/q7/2BP4/2N2b2/PP1B1PPP/R2QK2R w KQkq -,d1f3 e7e6 c3d5 a5d8 d5f6 d8f6 f3f6 g7f6 d4d5 c6d4,75
r1q2k1r/ppp3bp/3p1n2/3Ppp2/2P3P1/4B2P/PPQ1BP2/R3K2R w KQ -,g4f5 h8g8 e1a1 b7b6 c1b1 g7h8 h3h4 e5e4 e3g5 c8f5,232
2rq1rk1/1p3ppp/4p1n1/p2pP3/1PnNbP2/P2B3P/2P2BP1/R2Q1RK1 w - -,g2g3 g6e7 f1e1 h7h6 d1e2 d8d7 d3e4 d5e4 e2e4 f8d8,11
1r4k1/1p2nppp/5n2/1R6/3P4/2r2N1P/5PP1/2B2RK1 w - -,c1f4 b8d8 b5b7 f6d5 f4d2 c3c8 f1e1 d8e8 d2b4 d5b4,41
r1bqk2r/1p2bppp/p2ppn2/8/3nPP2/2N1BQ2/PPP3PP/2KR1B1R w kq -,e3d4 c8d7 c1b1 e8h8 f1d3 a8c8 e4e5 d6e5 f4e5 f6d5,114
5rk1/p1pq2pp/Q2bp3/8/3Nn3/4B2P/PP4P1/R5K1 w - -,a6c4 e4f6 d4e6 d7f7 a1e1 f8e8 e3f2 f6d7 b2b3 g7g6,-15
r3kb1r/pp2pppp/5n2/q7/2Bn4/2N2Q2/PP1B1PPP/R3K2R w KQkq -,f3b7 a5e5 e1f1 e5b8 b7a6 b8c8 c3e2 c8a6 c4a6 d4f5,214
r1bqk2r/1p2bppp/p2p1n2/4p3/3BPP2/2N2Q2/PPP3PP/2KR1B1R w kq -,f4e5 d6e5 d4e5 d8a5 e5f6 e7f6 c3d5 f6d8 f1c4 e8h8,168
1r1q1rk1/p3npp1/1ppnp2p/8/2PP1P2/P2B4/1B2QPPP/1R1R2K1 w - -,a3a4 b8c8 d3c2 d8d7 e2d3 e7g6 h2h4 f8d8 h4h5 g6f8,149
5k2/4Npb1/3p1np1/2nP4/2R1P2p/6PP/3B1PBK/1r6 w - -,e7c6 h4g3 f2g3 c5d3 e4e5 d3e5 c6e5 d6e5 d2g5 f8g8,50
1k1r1b1r/pp1q1p2/2n1bn2/2pp2pp/QP2p3/P1PP2PP/3NPPBK/1RB1NR2 w - -,d3e4 c5b4 a3b4 h5h4 g3g4 e6g4 b4b5 c6e5 b1a1 f8c5,-29
r2qk1nr/pppbp1bp/2np1pp1/8/2BPPB2/2P2N2/PP3PPP/RN1QK2R w KQkq -,e1h1 g8h6 a2a4 h6f7 f4e3 e8h8 a4a5 d8e8 b1d2 g8h8,91
2r2rk1/p1p3p1/1p6/3P1n1q/2N3p1/6P1/PPQ2P1P/2R1R1K1 w - -,c4e5 c8e8 c2c7 f5d4 c7c4 e8e5 c4d4 e5d5 d4e4 d5d8,190
5k2/4Npb1/3p1np1/2nPP3/2R5/6pP/3B1PBK/1r6 w - -,h2g3 f6h5 g3f3 f8e7 e5d6 e7d6 d2b4 g7f8 b4c5 d6d5,-244
5rk1/p1p4p/4p1pb/2p1P3/2P1B3/P7/1B2R2P/6K1 w - -,a3a4 f8d8 g1g2 g8g7 b2c3 h6c1 e2e1 c1f4 e1b1 g7h6,331
r1r3k1/pp2ppbp/1q1pbnp1/8/2P1P3/2N2P2/PP2B1PP/R1BQ1R1K w - -,d1a4 b6c7 c3d5 f6d5 e4d5 e6d7 a4a3 a7a5 c1e3 a5a4,-63
5k2/4Npb1/3p2p1/2nPP2n/2R5/6PP/3B2BK/1r6 w - -,e7c6 b1b2 d2c1 b2b1 g3g4 c5d3 c1a3 h5f4 e5d6 g7f6,284
8/5p2/5k1P/2pp3P/8/8/3K4/8 w - -,c4c5 d6c5 e7c6 c5c4 g3g4 c4c3 d2c3 h5f4 d5d6 f8e8,Mate
r4q1r/ppp1k2p/3p1n1b/3PpP2/2P5/4B2P/PPQ1BP2/2KR2R1 w - -,c4c5 e7f7 c5d6 h6e3 f2e3 f8d6 g1e1 h8g8 c1b1 g8g3,194
rn1qk2r/pb3ppp/1pp1pn2/3p4/3P4/2P1PNP1/PP1N1PP1/R2QKB1R w KQkq -,f3e5 b8d7 d2f3 d8c7 f1d3 e8e7 g3g4 h7h6 d1e2 a7a6,67
2rq1rk1/1p3ppp/4p1n1/3pP3/1pnNbPQ1/P2B3P/2P2BP1/R4RK1 w - -,,0
3q3k/1p4p1/1p1rb2p/pP2R3/P1P5/Q2P2P1/6BP/7K w - -,g2e4 d8f6 a3a1 d6d8 h1g1 e6h3 e4g2 h3g2 g1g2 d8f8,5
5k2/5pb1/2Np2p1/3PP2n/1BR5/3n2PP/6BK/3r4 w - -,e5d6 g7f6 d6d7 d3b4 c4b4 g6g5 b4b8 f8g7 d7d8q f6d8,470
3r2rk/p5pp/1p3n2/2p2p2/2n1p3/1NP1PP1P/P5P1/2BR1RK1 w - -,f3e4 f5e4 a2a4 a7a5 f1e1 f6d5 c1d2 g8e8 d1a1 d5f6,-416
2b3kb/3n3p/3p2pP/3P2P1/n3Pp2/8/1PKNB3/7R w - -,h1a1 d7b6 e2b5 a4b2 a1a2 c8g4 a2b2 h8b2 c2b2 g8f7,56
2krrb2/Q1p3p1/pq5p/N2b1p2/PPP5/3P1pP1/5P1P/R4RK1 w - -,a7b6 c7b6 c4d5 b6a5 b4a5 c8d7 d3d4 d8b8 a1c1 f8b4,-618
r2qnr1k/pp4bp/1n1p4/2pPpb2/2P5/2N1B3/PP2BP1P/R2QN1RK w - -,a2a4 e8f6 a4a5 b6d7 g1g5 f5g6 e1f3 f6e4 g5g6 e4c3,92
r4q1r/ppp1k2p/3p1n2/3PpP2/2P5/4b2P/PPQ1BP2/1K1R2R1 w - -,f2e3 b7b6 c2a4 e7f7 h3h4 f8e8 a4c2 e8e7 g1g5 a8g8,129
rnq2rk1/1b2bppp/pp3n2/2p5/P2NP3/1P4P1/1B1N1PBP/2RQ1RK1 w - -,d4f5 b8c6 d2c4 c8e6 c4b6 a8d8 b6d5 f6d5 d1g4 e6g6,308
5k2/3P1p2/2N3p1/3P3n/1R6/4b1PP/6BK/3r4 w - -,d7d8q f8g7 h3h4 e3f2 b4g4 f2e1 d8c7 g7g8 h2h3 e1g3,753
2r2rk1/1p3ppp/4pqn1/3pP3/1PnNbPQ1/3B3P/2P2BP1/R4RK1 w - -,e5f6 e6e5 f6g7 f8d8 d3c4 e5d4 c4d3 f7f5 g4g3 c8c3,705
2k1rb2/1b4p1/pp5p/2P2p2/PP6/1N1r1pP1/5P1P/R4RK1 w - -,b3c1 d3d4 c5b6 b7d5 c1a2 c8b7 f1c1 d5a2 a1a2 e8c8,-746
r3kb1r/pp2pppp/5n2/q7/2B2Q2/2N5/PPnB1PPP/R3K2R w KQkq -,e1f1 g7g5 f4g3 c2a1 c4b5 f6d7 g3e5 a5b4 e5h8 e8a8,-9
2R5/6pp/p4Pk1/8/b7/5P1P/3BK3/3r4 w - -,,0
r2q1rk1/1pp2pp1/p2pbnnp/4p3/P3P3/2PP1N1P/1PBN1PP1/R2QR1K1 w - -,d3d4 b7b5 b2b4 c7c6 c2b3 e6b3 d2b3 f8e8 d1c2 d8c7,41
r1bq1rk1/1p2bppp/p2pp3/4P3/5P2/2N2Q2/PPP3PP/2KR1B1R w - -,e5d6 e7f6 c3e4 c8d7 e4f6 d8f6 f1d3 a8c8 d3e4 f8d8,198
r1bqk2r/ppp2ppp/2n5/3np3/1b6/2NP1N2/PPPBBPPP/R2QK2R w KQkq -,c3d5 d8d5 d2b4 c6b4 e1h1 b4c6 f1e1 e8h8 f3d2 c6d4,8
2r2rk1/1p2qppp/4p1n1/3pP3/1PnNbPQ1/3B3P/2P2BP1/R4RK1 w - -,b4b5 e7b4 f1e1 c4a3 d3e4 d5e4 g4e2 e4e3 f2e3 g6f4,2
4rrk1/p1p3p1/1p6/3PRn1q/2N3p1/6P1/PPQ2P1P/2R3K1 w - -,c2e4 e8e5 e4e5 f8e8 e5f4 e8f8 f4e4 f8e8 e4d3 h5f7,98
r3kr2/1pp1q2p/p3b1p1/3nR3/8/1Q6/PB3PPP/5RK1 w - -,b2a3 d5f4 f1e1 e8f7 e5e6 e7e6 e1e6 f4e6 a3f8 a8f8,303
1rb1n3/pPp1k1p1/P1Pp1pP1/1P1P1P2/4P3/8/4K3/8 w - -,e2f3 c8e6 f3g4 e6g8 g4f4 e7f8 f4f3 b8d8 f3g4 g8f7,-28
5r1k/2pb2pn/pbn4p/1p2p3/4P3/2P4P/PPB2PP1/R1B2RK1 w - -,b2b4 c6e7 c2b3 d7c6 c1e3 b6e3 f2e3 h7f6 c3c4 c6e4,-126
3r2rk/p5pp/1p6/2pn1p2/2n1p3/1NP1PP1P/P4KP1/2BR1R2 w - -,f2g1 c4e3 c1e3 d5e3 d1d8 g8d8 f1c1 d8d1 c1d1 e3d1,-471
1r2rk2/1bpR1p1p/1pq1pQp1/p3P3/P1P5/5N1P/2P2PP1/3R2K1 w - -,f2g1 c4e3 c1e3 d5e3 d1d8 g8d8 f1c1 d8d1 c1d1 e3d1,Mate
r2qkb1r/pp2pppp/5n2/1N6/2B2Q2/8/PP1B1PPP/n4K1R w kq -,b5c7 e8d7 d2a5 e7e6 c4b5 d7c8 f4c1 f8c5 c7e6 d8d6,299
3Q4/5pk1/6p1/3PN2n/6RP/2r3PK/5bB1/8 w - -,b5c7 e8d7 d2a5 e7e6 c4b5 d7c8 f4c1 f8c5 c7e6 d8d6,Mate
r1r5/3kbp2/1qn1p1p1/pp1pP2p/3P1P2/P1P5/1B1N1RPP/1R1Q2K1 w - -,a3a4 b5b4 f4f5 e6f5 d1b3 d7e8 b3d5 b4c3 b2c3 c6b4,-91
4rrk1/p1p3p1/1p6/3PR2q/2Nn2p1/6P1/PPQ2P1P/4R1K1 w - -,c2e4 d4f3 e4f3 g4f3 h2h4 e8e5 c4e5 h5f5 a2a3 f8e8,-566
rnbqkb1r/pp1ppppp/5n2/8/2PP4/5N2/p3PPPP/RNBQKB1R w KQkq -,a1a2 e7e6 g2g3 f8b4 c1d2 b8c6 f1g2 e8h8 e1h1 d7d6,-60
8/4Q3/6pk/3PN2n/7P/2r3PK/5bB1/8 w - -,a1a2 e7e6 g2g3 f8b4 c1d2 b8c6 f1g2 e8h8 e1h1 d7d6,Mate
5rk1/1pr1nppp/5n2/1R6/3P4/5N1P/5PP1/2B2RK1 w - -,c1a3 f8a8 a3c5 e7d5 f1b1 h7h6 f3e5 f6e4 b5b7 c7b7,10
2r2rk1/1p2qpp1/4p1n1/3pP2p/1PnNbPQ1/3B3P/2P2BP1/RR4K1 w - -,,0
rn1qk2r/1b2bppp/p2ppn2/1pp5/4P3/2PP1NP1/PP3PBP/RNBQR1K1 w kq -,c1f4 e8h8 a2a4 b8d7 b1d2 h7h6 d1e2 d8c7 d3d4 e6e5,-18
5rk1/p1p3p1/1p6/3P3R/2Nn2p1/6P1/PPQ2P1P/4r1K1 w - -,g1g2 d4c2 c4e5 e1e2 e5g4 c2e3 g4e3 f8f2 g2g1 e2b2,-561
2rq2k1/1br2ppp/p1n1pn2/1pNp4/1P1P4/P1N1P3/4BPPP/2RQ1RK1 w - -,a3a4 c6b4 a4b5 a6a5 d1a4 c8a8 c3a2 b4a2 a4a2 d8d6,163
k7/P7/R4p2/1K2r1pp/7P/6P1/5P2/8 w - -,b5c4 g5h4 g3h4 e5f5 a6a2 f5f4 c4d3 f4h4 a2a5 h4b4,6
3r2rk/p5pp/1p6/2pn4/2n1p3/1NP1P2P/P4KP1/2BR1R2 w - -,f2g1 d5c3 d1d8 g8d8 f1f2 h8g8 f2c2 d8d1 g1h2 d1d3,-455
3n4/2p2k2/p2p1Pr1/6q1/3pPK1N/1p5P/3Q4/5R1R w - -,f2g1 d5c3 d1d8 g8d8 f1f2 h8g8 f2c2 d8d1 g1h2 d1d3,Mate
r4rk1/1p2qpp1/4p1n1/3pP2p/1PnNbP2/3B2QP/2P2BP1/RR4K1 w - -,f2e1 e7d7 b4b5 d7e7 g1h2 f8c8 a1a8 c8a8 e1b4 e7h4,5
r1bqk2r/ppp1bpp1/2n4p/3np3/8/2NP1N2/PPPBBPPP/R2QK2R w KQkq -,e1h1 e8h8 f1e1 f8e8 e2f1 d5c3 d2c3 e7f6 f3d2 c6d4,-14
2kr3r/1ppqn1bp/p4pp1/4p3/4P3/1QP1B3/PP3PPP/RN3RK1 w - -,b1a3 e7c6 a1d1 d7e7 d1d5 f6f5 f1d1 f5e4 a3c4 d8d5,32
1r2r1k1/1bpR1pbp/1pq1p1pB/p3P3/P1P4Q/5N1P/2P2PP1/3R2K1 w - -,a2a4 f6f5 b1d2 f5f4 e3c5 e7c6 f1d1 c8b8 h2h3 g7f6,Mate
3K4/r7/8/2R5/3k4/8/8/8 w - -,,0
r2q1rk1/3n1ppb/2pppn1p/pp6/2PP3N/1PB2PP1/PQ2P2P/R2R1BK1 w - -,c3e1 d8b6 c4b5 c6b5 h4g2 f8b8 a2a3 d6d5 e2e3 f6e8,25
8/3b4/1p6/3P4/8/4K1k1/PP3p2/5B2 w - -,b2b3 b6b5 a2a3 d7e8 e3e4 e8g6 e4d4 g6e8 d4e5 e8d7,413
r1kq1b1r/ppN1pppp/5n2/1B6/5Q2/8/PP1B1PPP/n4K1R w - -,,0
r2q1r1k/pb1n1ppB/1pp1p3/3pP3/5P2/2P1P1P1/PP1N2P1/R2QK2R w KQ -,c7a8 e7e6 f1e2 a1c2 h1c1 f8d6 f4a4 c8b8 d2a5 d8e7,Mate
rnbq1rk1/pp3ppp/5b2/2Pp4/8/2N2N2/PP2PPPP/R2QKB1R w KQ -,e2e3 f6c3 b2c3 d8a5 d1b3 b8d7 b3b4 a5c5 f1e2 b7b6,17
3r2rk/p5pp/1p6/2p5/2n1p3/1NP1n1KP/P5P1/2BR1R2 w - -,d1e1 e3f1 e1f1 e4e3 f1e1 g8e8 g3f3 d8d3 f3e2 d3d2,-654
8/8/1p6/5b2/3P4/4K1k1/PP3p2/5B2 w - -,d4d5 f5d7 b2b3 b6b5 a2a3 d7e8 d5d6 e8c6 f1e2 g3g2,397
r1k2b1r/ppq1pppp/5n2/1B6/2Q5/8/PP1B1PPP/n4K1R w - -,f1e2 c7c4 b5c4 a1c2 e2d3 c2d4 d3d4 e7e6 d4e3 c8d7,-568
rn2k2r/1bq1bppp/p2ppn2/1pp5/4P3/2PP1NP1/PP1N1PBP/R1BQR1K1 w kq -,a2a4 e8h8 d3d4 b8d7 b2b3 f8b8 c1b2 b5a4 a1a4 a6a5,-21
2RK4/8/8/8/3k4/8/8/r7 w - -,,0
r4q1r/pppk2b1/3p1n2/3PpP1p/2P5/4B2P/PP2BPR1/1KQR4 w - -,c4c5 d7d8 g2g6 f8f7 c1c2 h8f8 e3g5 e5e4 e2h5 f7e7,467
r1bq1rk1/1ppn1pb1/p2p3p/3Pp1pn/2P1P3/P1N2NB1/1P2BPPP/R2QK2R w KQ -,a1b1 h5f4 e1h1 h6h5 h2h3 d8f6 f1e1 f4e2 d1e2 f6g6,-38
r2q1rk1/3n1pp1/2pppn1p/pp6/2PPb2N/1PB3P1/PQ2PP1P/R2R1BK1 w - -,a1c1 d6d5 h4f3 e4h7 c3e1 d8b6 c4c5 b6a7 a2a3 f8e8,23
2rq1rk1/1b2ppb1/3p1np1/pB2n2p/P2NP2P/2N1BP2/1P1Q2P1/2RR2K1 w - -,d2e2 c8a8 e2d2 g8h7 e3f4 d8b6 b2b3 a8c8 g1h1 b6d8,82
5r1k/2pb2p1/p1n2n1p/1p2p3/4P3/2P1P2P/PPB3P1/R4RK1 w - -,f1c1 f8b8 a2a4 h8g8 a4b5 a6b5 a1a6 g8f8 c1a1 c6d8,-158
1R1K4/8/8/8/3k4/8/8/2r5 w - -,,0
r1bqkb1r/pp1n1ppp/2p1p3/4Pn2/3P4/2P2N2/PP4PP/RNBQKB1R w KQkq -,f1d3 c6c5 e1h1 c5d4 c3d4 d7b6 b1c3 h7h6 d1e2 f8b4,152
6qk/7r/p1b1pP1P/3pQ3/3P1P2/7R/7P/7K w - -,f1d3 c6c5 e1h1 c5d4 c3d4 d7b6 b1c3 h7h6 d1e2 f8b4,Mate
r4q1r/pppk4/3p1n1b/3PpP1p/2P5/4B2P/PP2BPR1/1KQ3R1 w - -,e3h6 f8h6 g2g7 d7e8 c1h6 h8h6 g7g8 f6g8 g1g8 e8e7,549
1r1qnrk1/p3npp1/1pp1p2p/4Q3/2PP1P2/P2B4/1B3PPP/1R1R2K1 w - -,a3a4 e8f6 f4f5 e6f5 d4d5 c6d5 c4d5 b8c8 d5d6 e7g6,147
r1bqkbnr/pp3ppp/2n1p3/2p1P3/2Bp4/3P1N2/PPP2PPP/RNBQ1RK1 w kq -,c2c3 g8e7 c3d4 c5d4 c1f4 e7d5 f4g3 f8e7 b1d2 e8h8,31
r1b2rk1/p1q1bppp/1np1pn2/4N3/2pP4/6P1/1P1NPPBP/R1BQ1RK1 w - -,d2c4 b6c4 e5c4 f6d5 h2h4 a7a5 c1d2 c8a6 d2a5 c7b7,102
5rk1/1p2qpp1/4p1n1/1P1pP2p/2nNbP2/r2B2QP/2P2BP1/RR4K1 w - -,,0
r3r1k1/1p1qppbp/3p2p1/p1nP2B1/2P5/5P2/PP1QB1PP/1R3R1K w - -,f1e1 a5a4 e2f1 d7f5 g5f4 b7b6 h2h3 h7h5 g2g4 f5f6,-9
3q3k/1p4p1/1p1r3p/pP6/P1b5/Q2PR1P1/6BP/7K w - -,,0
r3k2r/1pp1bppp/p2n4/1n1P2B1/Q7/5N2/Pq3PPP/RN2R1K1 w kq -,g5e7 e8d7 e7d6 c7d6 b1d2 a8c8 d2c4 b2f6 c4b6 d7d8,580
1r2n3/pPp1k1p1/P1PpbpP1/1P1P1P2/4P3/5K2/8/8 w - -,f3g4 e6f7 g6f7 e7f7 g4f3 f7g8 f3f4 g8h8 f4f3 b8d8,-28
3q1rk1/pr2npp1/1pp1pn1p/4Q3/P1PP1P2/3B4/1B3PPP/1R2R1K1 w - -,h2h3 b7d7 e5e2 d8c7 e2f3 f8d8 b1d1 c7d6 g2g4 e7g6,75
2r1n1k1/5ppp/p2p1P2/2qPp1P1/1p6/3RQ3/PPr1B2P/1K1R4 w - -,d1f1 g7f6 g5f6 e8f6 e3c5 c2c5 a2a3 f6e4 e2f3 c5c4,-235
3K4/8/8/8/1R6/2k5/8/2r5 w - -,,0
r3kr2/1pp1q2p/p3b1p1/4R3/5n2/BQ6/P4PPP/5RK1 w - -,f1e1 e8f7 e5e6 e7e6 e1e6 f4e6 b3f3 f7g8 a3f8 a8f8,273
r1bqk1nr/pp2bppp/2n1p3/2p1P1B1/2Bp4/3P1N2/PPP2PPP/RN1Q1RK1 w kq -,g5c1 g7g5 d1e2 h7h5 f3d2 g8h6 c4b5 c8d7 b1a3 h6f5,-12
3r1rk1/pbp2pbp/1p2pq2/4Np2/8/1PPNP1Q1/P2P2PP/R3K2R w KQ -,e1h1 b7e4 e5g4 f6g5 d3f2 e4a8 h2h4 g5g6 h4h5 g6g5,-386
r1bqk2r/p2nbppp/2p1p3/1p2Pn2/3P4/2PB1N2/PP4PP/RNBQ1RK1 w kq -,a2a4 b5a4 d1a4 c8b7 d3f5 e6f5 c3c4 d7b6 a4c2 e8h8,121
3R2rk/p5pp/1p6/2p5/2n1p3/1NP3KP/P5P1/2B2n2 w - -,g3g4 g8d8 c1f4 d8f8 h3h4 c4e3 f4e3 f1e3 g4h3 e3d5,-850
5k2/1p5p/2p5/4n1pN/4P3/b4P2/rPR1BP2/6K1 w - -,c2d2 e5g6 h5f6 h7h6 d2d7 a2a1 g1h2 a3b2 e2c4 b2f6,-147
