r2qk2r/ppp1ppbp/2n3p1/3p4/3PnPb1/2PBPN2/PP4PP/RNBQ1RK1 w kq -,d1b3 c6a5 b3a4 c7c6 b1d2 e4d2 c1d2 g4f3 f1f3 e8h8,95
r2q1rk1/ppp1ppbp/2np1np1/8/4P1b1/2NP1NP1/PPP2PBP/R1BQ1RK1 w - -,h2h3 g4f3 d1f3 e7e5 f3d1 a7a5 c1e3 a5a4 c3b5 f8e8,49
r1bqkbnr/1ppp1ppp/p1n5/4N3/4P3/8/PPPP1PPP/RNBQKB1R w KQkq -,e5c6 d7c6 f1c4 g8f6 d2d3 f8d6 b1d2 b7b5 c4b3 e8h8,247
r1bqkbnr/1pp2ppp/p1p5/8/4P3/8/PPPP1PPP/RNBQKB1R w KQkq -,f1c4 g8f6 d2d3 f8d6 c4b3 b7b5 a2a4 e8h8 h2h3 f6d7,252
r2qk2r/ppp2ppp/2np1n2/2b1p2b/4P3/2P3PP/PP1PNPB1/RNBQ1RK1 w kq -,b2b4 c5b6 d2d3 a7a6 b1d2 b6a7 g3g4 h5g6 d2f3 e8h8,90
rnb1kbnr/pp3ppp/1q2p3/2pp2B1/3P4/2N2N2/PPP1PPPP/R2QKB1R w KQkq -,e2e4 h7h6 g5e3 g8f6 e4d5 f6d5 f1b5 b8c6 c3d5 e6d5,98
5K1k/8/8/6NN/8/3p4/8/1B6 w - -,a1b1 b8c6 e2e3 a7a6 a2a3 f8e7 g5e7 g8e7 f1e2 e8h8,Mate
r1bq1rk1/p1p1bppp/1pn1pn2/3p4/2PP1B2/2N1PN1P/PP3PP1/R2QKB1R w KQ -,f1e2 d5c4 e2c4 c8b7 e1h1 c6b4 d1e2 b4d5 c3d5 e6d5,52
r1bqk1nr/pp3ppp/2n1p3/2bp4/2B1P3/5N2/PPP2PPP/RNBQK2R w KQkq -,c4b3 d5e4 d1d8 c6d8 f3e5 f7f6 e5c4 f6f5 b1c3 g8f6,-139
rnbqk2r/ppp1npbp/4p1p1/3p4/2BPPP2/5N2/PPP3PP/RNBQK2R w KQkq -,c4e2 d5e4 f3d2 d8d4 c2c3 d4d5 d1a4 c8d7 a4e4 e8h8,-291
rnb1k1nr/ppp1b1pp/3p4/5qB1/3Pp3/5N2/PPP1QPPP/RN2KB1R w KQkq -,b1d2 e4f3 d2f3 f5e6 g5e3 g8f6 e2d2 b8c6 f3g5 e6g8,-511
8/4K3/7R/2k5/8/8/8/8 w - -,f3d2 f5g5 h2h4 g5f5 d2e4 g8f6 b1c3 e8h8 e4f6 e7f6,Mate
r2qkbnr/p4ppp/b1p1p3/2pp4/3PP3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,a2a3 g8f6 e4d5 c6d5 c1e3 d8b8 a1b1 f6g4 d1d2 b8c7,-121
rnbq1rk1/pp2bppp/4pn2/2pp4/3P1B2/4PN2/PPP1BPPP/RN1Q1RK1 w - -,d4c5 b8d7 c2c4 d5c4 b1c3 d7c5 e2c4 d8d1 f1d1 b7b6,63
r1bq1rk1/pp1nppbp/2pp1np1/8/4P3/2NPBN2/PPP1BPPP/R2Q1RK1 w - -,,0
2R5/8/8/8/8/p2K4/1k6/8 w - -,,0
1kq5/2p5/1p6/1N6/8/8/8/R5K1 w - -,a1a2 c8f5 b5a3 b8b7 a2f2 f5g5 g1h2 g5e3 f2a2 e3b3,-4954
8/1K6/8/7R/2k5/8/8/8 w - -,a1a2 c8f5 b5a3 b8b7 a2f2 f5g5 g1h2 g5e3 f2a2 e3b3,Mate
8/8/1K6/7R/3k4/8/8/8 w - -,a1a2 c8f5 b5a3 b8b7 a2f2 f5g5 g1h2 g5e3 f2a2 e3b3,Mate
8/8/2K5/7R/4k3/8/8/8 w - -,a1a2 c8f5 b5a3 b8b7 a2f2 f5g5 g1h2 g5e3 f2a2 e3b3,Mate
r2qkb1r/pp1b1ppp/2nppn2/2p5/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 w kq -,c4b3 f8e7 f1e1 e8h8 d3d4 d6d5 e4e5 f6e4 c3c4 c6d4,42
r1bqkb1r/ppp2ppp/2n2n2/3p2B1/2Pp4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,c4d5 d4c3 d5c6 d8d1 a1d1 c3b2 d1b1 f8a3 f3d4 b7c6,-224
r1b1kb1r/pp1p1pp1/1qn1p2p/2p3Bn/3P4/1PP1PN2/P4PPP/RN1QKB1R w KQkq -,g2g4 h6g5 g4h5 g5g4 f3g1 c5d4 e3d4 d7d5 d1g4 e6e5,-325
rnbqkb1r/ppp2pp1/5n1p/4p3/4N2P/8/PPPP1PP1/RNBQKB1R w KQkq -,d1f3 a7a6 f1c4 b8c6 c2c3 c6a5 c4e2 c8e6 e4f6 g7f6,-139
rnbqk2r/ppp2ppp/3bpn2/3p4/3P1B2/2N5/PPPQPPPP/R3KBNR w KQkq -,e1a1 e8h8 e2e4 f6e4 c3e4 d5e4 f2f3 e4f3 g1f3 b8c6,-26
8/8/8/3K4/7R/2k5/8/8 w - -,e1a1 e8h8 e2e4 f6e4 c3e4 d5e4 f2f3 e4f3 g1f3 b8c6,Mate
8/8/8/8/2K5/6R1/4k3/8 w - -,e1a1 e8h8 e2e4 f6e4 c3e4 d5e4 f2f3 e4f3 g1f3 b8c6,Mate
rn1qk2r/ppp2ppp/4pn2/3p4/3P2b1/3BPNb1/PPP2PPP/RN1QK2R w KQkq -,b1d2 g3d6 c2c4 g4f3 d1f3 e8h8 c4c5 d6e7 a2a3 c7c6,-447
rnbqkb1r/pp2pppp/8/3pP3/6n1/2N5/PP1P1PPP/R1BQKBNR w KQkq -,f1b5 b8c6 d2d4 g4h6 g1f3 g7g6 h2h3 h6f5 e1h1 h7h6,161
r1bqk2r/pp2bppp/2n1p2n/1BppP3/5P2/2N2N2/PPPP2PP/R1BQK2R w KQkq -,h2h3 h6f5 b5c6 b7c6 e1h1 h7h5 d2d3 c5c4 d3c4 c8a6,-87
r1bq1rk1/pppn1pbp/3p1np1/4p3/2PPPP2/2N1B3/PP2B1PP/R2QK1NR w KQ -,g1f3 e5d4 e3d4 f8e8 d1c2 c7c5 d4f6 d7f6 f3d2 c8g4,-58
b2r3r/k4p1p/p4np1/NppP4/3R1q2/P4PPB/1PP4P/1K2R3 w - -,d4d3 f4c7 a5c6 a8c6 d5c6 d8d3 c2d3 c7c6 h3g2 a7b6,-975
r1bqkb1r/pppp1ppp/5n2/8/3nP3/5Q2/PPP2PPP/RNB1KBNR w KQkq -,f3c3 f8b4 f1d3 b4c3 b1c3 d7d5 c1g5 d4e6 g1f3 e6g5,-800
b2r3r/k4p1p/p5p1/Nppn4/5R2/P4PPB/1PP4P/1K2R3 w - -,a5b7 a7b7 f4f7 b7b6 b2b3 a8c6 b1b2 h8e8 e1e8 d8e8,-386
r1bqk2r/pp1p1ppp/2nb1n2/4p3/4P3/2N5/PPP2PPP/R1BQKB1R w KQkq -,f1c4 d6b4 e1h1 b4c3 b2c3 e8h8 f2f4 d7d6 c1a3 f6e4,-776
1rbq1rk1/2p1ppbp/p1np1np1/1p6/2PPP2P/2N1BP2/PP1QN1P1/R3KB1R w KQ -,h4h5 b5c4 h5g6 f7g6 e2f4 c6a5 e1a1 c7c6 g2g4 g6g5,129
rnbq1rk1/pp2bppp/2pppn2/6B1/2PPP3/2N2N2/PP3PPP/R2QKB1R w KQ -,e4e5 f6d7 h2h4 d6e5 d4e5 f7f6 e5f6 d7f6 f1d3 b8d7,89
r1bqkbnr/pppp1ppp/n7/4p3/4P3/5Q2/PPPP1PPP/RNB1KBNR w KQkq -,f1a6 b7a6 b1c3 g8f6 g1e2 d7d6 d2d4 f8e7 e1h1 e8h8,88
rnbqk2r/p1pp1ppp/1p2pn2/6B1/2PP4/2P5/P3PPPP/R2QKBNR w KQkq -,g5h4 c8b7 f2f3 h7h6 e2e4 g7g5 h4f2 d7d6 f1d3 d8e7,41
rnbqk2r/ppp2ppp/3b1n2/3P4/2BP1p2/2N5/PPP3PP/R1BQK1NR w KQkq -,d1e2 d8e7 c3b5 b8a6 b5d6 c7d6 c1f4 c8g4 g1f3 e7e2,141
8/6Q1/3k4/3n4/1K6/8/8/8 w - -,h2h3 e8h8 g1e2 b8d7 e2f4 d7b6 c4e2 b6d5 c3d5 f6d5,Mate
rn2kb1r/pp1qpppp/3p4/3nP3/3P4/8/PP3PPP/RNBQK1NR w KQkq -,f2f4 d6e5 f4e5 e7e6 b1c3 b8c6 g1f3 f8e7 e1h1 e8h8,-72
