8/3P2k1/8/5p2/4K3/8/8/8 w - -,f1d3 d8b8 g1e2 b8f4 e2f4 f8e8 e3e4 d5e4 c3e4 e7e5,Mate
5rk1/p4p1p/1p1n2p1/3Pb3/2p1P3/q1P1R3/P1BQ2PP/5RK1 w - -,e3h3 f7f6 g2g4 g6g5 c2b1 g8g7 h3f3 h7h6 g1g2 a3c5,-2
1r2k3/3n1pp1/4r3/Q6p/1qP5/7P/5PP1/R3R1K1 w - -,e1f1 b4a5 a1a5 d7f6 g2g4 h5g4 h3g4 e8f8 f2f3 e6c6,-380
8/1p5p/p5p1/4kpP1/3pr3/P2K3N/1P5P/8 w - -,h3g1 e4e3 d3d2 e5e4 a3a4 f5f4 b2b4 f4f3 g1f3 e4f3,-835
r2q1rk1/pbpn1ppp/1p3n2/3pb3/Q1NP4/6P1/PP2PPBP/R1B2RK1 w - -,c4e5 f8e8 e5d7 f6d7 c1e3 d7f6 a1c1 h7h6 c1c2 c7c6,37
rnbq1rk1/pp1p1ppp/2pb2n1/4p3/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 w - -,d3d4 d6c7 c1g5 d8e8 b1d2 d7d6 a2a4 g8h8 g5e3 f7f6,44
3R1rk1/p1p1bppp/2p1bn2/8/r1P5/6P1/PP2PPBP/RNB3K1 w - -,d8f8 g8f8 b2b3 a4a6 b1c3 f6d7 h2h4 e7f6 c1b2 h7h6,169
8/8/8/2kN4/6Q1/4K3/8/8 w - -,d8f8 g8f8 b2b3 a4a6 b1c3 f6d7 h2h4 e7f6 c1b2 h7h6,Mate
6r1/p1r1kp2/4p2p/1Qp1R3/2P3q1/P2p2P1/1P5P/4R1K1 w - -,b5b3 g4d4 e5e3 c7d7 b3c3 g8b8 c3d4 d7d4 e1d1 b8b3,-363
1r2k3/3n1pp1/4B2r/q6p/2P5/7P/5PP1/R3R1K1 w - -,e6g4 a5e1 a1e1 e8d8 g4f5 h6f6 g2g4 h5g4 f5g4 d7c5,-474
2r3k1/1p1p1p2/2n3p1/p6p/2B1q2P/8/P1P2PP1/R1R3K1 w - -,c4f1 e4h4 c2c4 c6e5 g2g3 h4f6 f1h3 e5f3 g1g2 f3g5,-601
rn1qkb1r/pp2pppp/5n2/3p4/6b1/1N6/PPPP1PPP/RNBQKB1R w KQkq -,d1e2 g4e2 f1e2 e7e6 d2d4 d8c7 b1c3 a7a6 c1g5 f8d6,-640
rnb1qrk1/pp1p1ppp/2pb2n1/4p1B1/2B1P3/2PP1N2/PP3PPP/RN1Q1RK1 w - -,b1d2 d6c7 d3d4 d7d6 f1e1 g8h8 g5e3 f7f6 a2a4 d6d5,53
3r4/1k3p2/p3pP1p/1pRbP1pP/3p4/1P1B1P2/P4KP1/8 w - -,d3g6 d8d7 c5c2 b7b6 c2c8 d4d3 g6d3 d5b7 c8f8 d7d3,139
5rk1/2p3pp/1p6/3p4/5QP1/4Bb1q/1PP5/4KR2 w - -,f4e5 c7c5 e5e6 g8h8 e6d6 f8g8 d6e5 f3g4 f1f7 h7h6,-396
8/5k2/p2b2p1/7p/7P/1P1NK1P1/5P2/8 w - -,e3d4 d6c7 d3c5 c7b6 d4c4 f7e7 c4d5 b6a5 c5a6 a5e1,67
8/8/2p3k1/2PpB3/P2P3P/1p3R1K/8/8 w - -,d3e1 d6c5 e3f3 f7f6 e1d3 c5d6 f3e4 a6a5 d3f4 d6c5,Mate
r2q1rk1/pbp2ppp/1p3n2/3pn3/Q2P4/6P1/PP2PPBP/R1B2RK1 w - -,d4e5 f6e4 f1d1 d8e7 c1f4 h7h6 h2h4 a7a5 a1c1 a8d8,41
r2q1rk1/pppbbpp1/2np1n1p/8/2BNP3/2P5/PP3PPP/RNBQR1K1 w - -,c4b3 f8e8 b3c2 c6e5 f2f4 e5g6 c3c4 d6d5 c4d5 d7g4,19
5rk1/ppp2pp1/3r3p/2bpp3/3BP3/PB1P3q/1PP2P2/R2Q1RK1 w - -,a2a4 f8e8 c4b3 e7f8 b3c2 c6e5 f2f4 e5g6 c3c4 d6d5,Mate
6r1/p1r1kp2/4p2p/1QR5/2Pq4/P2p2P1/1P5P/4R1K1 w - -,g1f1 c7c5 e1e4 d4f6 e4f4 f6f4 g3f4 c5b5 c4b5 g8g1,-908
r2r2k1/1p2bpp1/p6p/P3p1n1/1p2P1P1/1b2NP1P/1PP1Q2K/5R2 w - -,c2b3 g5e6 e3d5 e7g5 e2f2 e6f4 f1d1 f4g6 f2e2 a8c8,22
8/1p5p/p5p1/3pk1P1/4rp2/P2K3N/1P5P/8 w - -,d3d2 e4e3 h3f2 e5f5 a3a4 f5g5 b2b4 g5h4 b4b5 a6b5,-755
r4rk1/pbp1qppp/1p6/3pP3/Q3n3/6P1/PP2PPBP/R1BR2K1 w - -,c1f4 h7h6 a1c1 c7c5 g2e4 d5e4 d1d6 f8d8 b2b4 c5b4,22
8/7k/2p5/2PpB3/P2P2KP/1p3R2/8/8 w - -,c1f4 h7h6 a1c1 c7c5 g2e4 d5e4 d1d6 f8d8 b2b4 c5b4,Mate
3r4/5p2/1k2pP1p/pp1bP1pP/3p2P1/1P1B1P2/P1R2K2/8 w - -,d3g6 d8d7 g6d3 d7d8 c2c1 d8a8 d3g6 a8f8 f2g3 a5a4,83
1r2k3/3n2p1/4p3/Q6p/1qP5/7P/5PP1/R5K1 w - -,a5a2 b4c5 a1e1 e8f7 a2e2 d7f8 g2g3 f7g8 h3h4 c5f5,-300
8/4n1kp/3B4/1B2Pb2/8/2P5/PP2N1PP/R2Q1RK1 w - -,a5a6 e8e7 a1d1 d7f6 d1c1 b4c5 c1e1 c5b6 a6a3 e7f7,Mate
r2qr1k1/pppbbpp1/2np1n1p/8/2BNP3/2P5/PP1N1PPP/R1BQR1K1 w - -,c4b3 c6e5 b3c2 c7c5 d4e2 e7f8 d2f1 b7b5 e2g3 e5g6,9
8/4B1k1/7p/1B2Pb2/8/2P5/PP2N1PP/R2Q1RK1 w - -,d2f1 c6e5 c4b3 c7c5 d4f3 b7b5 a2a4 d7g4 a4b5 c5c4,Mate
1r3k2/3n2p1/4p3/7Q/1qP5/7P/5PP1/R5K1 w - -,a1d1 d7f6 h5e5 b8e8 c4c5 b4b8 e5e3 b8b7 d1d6 b7b1,-187
r2q2k1/1p1bbr1p/p1n1pnpP/3p4/3P1B2/1NPQ1P2/PP2N1P1/R3K2R w KQ -,e1h1 f6e8 f1f2 e7d6 d3d2 d8h4 b3c5 d6f4 e2f4 h4h6,-346
rnbqk2r/pp3ppp/3b1n2/3pp3/3P4/1N6/PPP2PPP/RNBQKB1R w KQkq -,b1a3 a7a6 d4e5 d6e5 c2c3 e8h8 f1e2 d8c7 h2h3 b8c6,-61
2r1q1k1/1p1p1p1p/6p1/p3n3/4Q2P/3B4/P1P2PP1/R1R3K1 w - -,c1e1 d7d6 f2f4 e8e7 f4e5 d6e5 a1d1 a5a4 d3f1 c8e8,571
1r5Q/3n1kp1/4p3/8/1qP5/7P/5PP1/R5K1 w - -,a1a8 b8h8 a8h8 b4e1 g1h2 e1f2 h8h5 f2f4 h2h1 f4c1,-768
3rr1k1/2p3pp/1bb2q2/p7/3B1P2/2P3N1/3Q2PP/R2R2K1 w - -,d2f2 a5a4 d4f6 b6f2 g1f2 d8d1 a1d1 g7f6 g3f5 g8f7,-73
2kr3r/1pp1bpp1/p1q1pn2/3p3p/5Pb1/1P1PPN2/PBPN2PP/R3QRK1 w - -,a1c1 f6d7 h2h3 g4f3 d2f3 f7f6 e1e2 d7b8 c2c4 c6d7,64
rnbqk2r/pp3ppp/5n2/3pb3/8/1N6/PPP2PPP/RNBQKB1R w KQkq -,c2c3 e8h8 f1e2 d8d6 c1e3 f8e8 h2h3 d6d8 b1a3 b8c6,-60
8/7b/5Np1/4k2p/4B3/8/5K2/8 w - -,,0
r5k1/2r1pp2/p2p2p1/3P4/1pP1Q2P/2b1B3/q5P1/2R2RK1 w - -,f1f4 c3e5 h4h5 f7f5 e4d3 e5f4 e3f4 a2b2 h5g6 b2f6,-179
1r4k1/3n2p1/4p3/7Q/1qP5/7P/5PP1/R5K1 w - -,a1a7 b4e1 g1h2 e1e5 h5e5 d7e5 a7c7 g8f8 h2g3 b8b4,-219
r3r1k1/ppq2pp1/2pb1n1p/3p4/3Pb3/3BBN1P/PPP2PP1/R2QR1K1 w - -,a1c1 a8d8 a2a3 a7a6 c2c4 d5c4 d3e4 f6e4 c1c4 c7a5,-63
r2q1rk1/pppbbpp1/2np1n1p/8/2BNP3/1QP5/PP1N1PPP/R1B1R1K1 w - -,b3b7 c6a5 b7a6 c7c5 d4f5 a5c4 d2c4 d7f5 e4f5 d6d5,60
r2q1rk1/pbpn1ppp/1p1bpn2/3pN3/2PP4/5NP1/PP2PPBP/R1BQ1RK1 w - -,c4d5 e6d5 c1f4 d8e7 d1b3 f8e8 e5d7 e7d7 f4d6 d7d6,24
r1b2rk1/pp1n1p1p/4pqp1/2p5/2P4P/3B1N2/PP1Q1PP1/2KR3R w - -,h4h5 d7e5 f3e5 f6e5 d2h6 e5g7 h6g5 h7h6 g5c5 g6g5,125
5R2/7k/2p5/2PpB2P/P2P2K1/8/8/1q6 w - -,d3c2 d7b6 d2g5 f6g5 h4g5 b6c4 h1h4 b7b5 c2e4 a8b8,Mate
1r1k4/3n2p1/4p3/7Q/1qP5/7P/5PP1/R5K1 w - -,h5g5 b4e7 g5g3 b8c8 g3d3 d8e8 a1a7 c8d8 d3g3 e8f8,-115
3r4/5p2/1k2pP1p/3bP1pP/Pp1p2P1/3B1PK1/P1R5/8 w - -,f3f4 d8h8 a4a5 b6a5 c2c7 h8b8 f4g5 h6g5 g3f2 a5b6,205
r1bqk2r/ppp1nppp/2nb4/4p3/2Bp4/5N2/PPP2PPP/RNBQR1K1 w kq -,f3g5 e8h8 d1h5 c8f5 g5f7 f8f7 h5f7 g8h8 c4d3 f5d3,52
r1b1k2r/2q1bpp1/p4n1p/1pp1p3/4P1P1/P1N1B2P/1PPQ1P2/2KR1B1R w kq -,f2f4 c8b7 f1g2 a8d8 c3d5 f6d5 e4d5 e5f4 e3f4 c7f4,32
2krq2r/1pp1bpp1/p3pn2/3pN2p/5Pb1/1P1PP3/PBPN2PP/R3QRK1 w - -,h2h3 g4f5 d2f3 f6g4 h3g4 h5g4 f3h2 f7f6 e5g4 e8g6,27
r2q1rk1/pbpn1ppp/1p2pn2/4N3/1bpP4/5NP1/PP2PPBP/R1BQ1RK1 w - -,d1a4 a7a5 a2a3 b4d6 e5c4 h7h6 f1d1 d8b8 c4e5 b8e8,15
3rr1k1/2p3pp/2b2q2/p7/3b1P2/2P3N1/5QPP/R2R2K1 w - -,c3d4 a5a4 h2h3 d8b8 g1h2 e8f8 f4f5 f6d6 d4d5 c6d7,-71
r2qkb1r/pppn2pp/4bp2/3p1p2/3P4/2N1PN2/PPP2PPP/R2QKB1R w KQkq -,f1d3 f8b4 e1h1 b4c3 b2c3 d7b6 f3d2 e8h8 d1e2 d8d7,35
r1q2rk1/p2nbppp/bp2p3/3nP1B1/2B1Q3/1P3N2/P4PPP/RN3RK1 w - -,g5e7 d5e7 c4a6 c8a6 b1c3 d7c5 e4e3 e7f5 e3e2 a6e2,-42
rn1qkb1r/pp2pppp/2pn4/3p2Pb/7P/1P1PPN2/PBP2P2/RN1QKB1R w KQkq -,b1d2 h7h6 f1e2 b8d7 h1g1 e7e6 f3e5 h5e2 d1e2 d7e5,35
r1bqkbnr/p1p1pppp/6n1/1p1P4/2p1P3/4B3/PP3PPP/RN1QKBNR w KQkq -,a2a4 g8f6 a4b5 f6e4 d1a4 e7e6 d5e6 c8e6 b5b6 d8d7,20
r1bqkbnr/p1p1pppp/6n1/3P4/p1p1P3/4B3/1P3PPP/RN1QKBNR w KQkq -,f1c4 e7e5 d1a4 c8d7 c4b5 g8f6 g1f3 a7a5 e1h1 f8d6,80
4r1k1/2p3pp/2b2q2/p7/3r1P2/2P3N1/5QPP/R5K1 w - -,f2d4 a5a4 d4f6 g7f6 g1f2 g8f7 g3f5 e8b8 a1a2 c6d7,-74
6R1/8/8/7K/5P2/8/3k4/Q7 w - -,f2d4 a5a4 d4f6 g7f6 g1f2 g8f7 g3f5 e8b8 a1a2 c6d7,Mate
r2qkb1r/pp2nppp/2n1p3/2ppP3/6b1/2NP1N2/PPP1BPPP/R1BQ1RK1 w kq -,c3b5 e7f5 c2c4 d5c4 d3c4 a7a6 b5c3 g4h5 h2h3 h5g6,-56
r5k1/pp4pp/2pP4/3pq3/2P5/1P6/P2NPK2/R1B5 w - -,c1a3 e5a1 d2f3 d5c4 d6d7 a1d1 b3c4 d1d7 a3c5 d7d1,-867
5rk1/pp4pp/2pP4/3pq3/2P5/1P6/P2NPK2/1RB5 w - -,d2f3 e5d6 b1b2 d5d4 b2d2 d6h2 f2e1 h2h1 e1f2 h1c1,Mate
rn1qkb1r/pp2ppp1/2pn2bp/3p2P1/7P/1P1PPN2/PBP2P2/RN1QKB1R w KQkq -,f3e5 g6f5 d1f3 b8d7 e5d7 d8d7 b1d2 f5g4 f3g2 e8a8,31
4r1k1/2p3pp/2b5/8/p2P1P2/6N1/6PP/R5K1 w - -,g1f2 c6b5 a1a3 g8f8 d4d5 c7c6 d5c6 b5c6 a3c3 c6b5,-53
1B6/n3k2p/1p6/4Pb2/2B2N2/2P5/PP4PP/R2Q1RK1 w - -,g1f2 c6b5 a1a3 g8f8 d4d5 c7c6 d5c6 b5c6 a3c3 c6b5,Mate
r7/2r1pk2/p2p2p1/3P4/1pP1Q2P/2b1B3/q5P1/2R3K1 w - -,e4e6 f7g7 c1c3 a2a1 c3c1 a1e5 e6h3 a8h8 e3b6 c7b7,-346
8/8/2NK4/5k2/8/8/B7/8 w - -,a2b1 f5f6 b1d3 f6f7 d6e5 f7f8 e5f6 f8e8 f6e6 e8f8,20000
8/3k4/3r4/8/4Q3/3K4/8/8 w - -,d3c3 d6c6 c3d4 c6d6 d4c5 d6f6 e4e5 f6f1 e5d5 d7e7,242
3rr1k1/p4pp1/2p2n1p/n1b5/7q/3P1B2/PPP1NpPP/R1BQ1R1K w - -,g2g3 h4h3 e2f4 h3f5 g3g4 f5e5 c2c3 g7g5 d3d4 c5d4,-77
1r6/3nk1p1/4p3/7Q/1qP5/7P/5PP1/R5K1 w - -,a1c1 d7f6 h5g6 e7f8 c4c5 b8c8 g6d3 c8c6 d3d8 f8f7,-192
8/8/1K6/7R/1k6/3b4/2p5/8 w - -,h5h4 d3e4 h4e4 b4b3 e4e1 b3b2 b6c5 c2c1r e1c1 b2c1,Mate
8/8/p2b2p1/5k1p/8/1P1NK1P1/5P1P/8 w - -,f2f4 g6g5 f4g5 f5g5 e3f3 h5h4 b3b4 h4g3 h2g3 g5f5,32
3rr1k1/p4pp1/2p2n1p/n1b5/8/3P1BPq/PPP1Np1P/R1BQ1R1K w - -,e2f4 h3f5 b2b3 g7g5 f4g2 c5d4 a1b1 h6h5 c1b2 d4b2,-83
r1bqkb1r/pp3ppp/4nn2/1P1p4/3PP3/2N2N2/5PPP/R1BQKB1R w KQkq -,e4e5 f6e4 d1b3 e4c3 b3c3 f8e7 f1d3 a7a5 b5a6 b7a6,84
1r6/3n1kp1/4p3/6Q1/1qP5/7P/5PP1/R5K1 w - -,g5h5 f7g8 h5g4 b4b6 a1e1 d7f8 g2g3 b6c5 e1c1 b8d8,-193
r1bqkb1r/pp3ppp/4n3/1P1pP3/3Pn3/2N2N2/5PPP/R1BQKB1R w KQkq -,d1b3 e4c3 b3c3 d8b6 c1d2 c8d7 f1d3 a8c8 c3b2 a7a6,88
rn1qkbnr/pp2ppp1/2p4p/5b2/4N3/1P3N2/P1PP1PPP/R1BQKB1R w KQkq -,e4g3 f5h7 c1b2 g8f6 f1c4 e7e6 e1h1 f8e7 d2d4 b8d7,29
r2q1rk1/1pp2ppp/2n1p3/p7/1b1P2b1/2n1PNB1/PP2BPPP/2RQ1RK1 w - -,d4d5 c3d1 d5c6 d1e3 c6b7 e3f1 b7a8q f1g3 a8a6 g3e2,-530
rn1qkbnr/pp2pppb/2p4p/8/8/1P3NN1/P1PP1PPP/R1BQKB1R w KQkq -,f1c4 e7e6 e1h1 g8f6 d2d4 f8e7 f3e5 b8d7 d1e2 d7e5,28
r2r2k1/p2bn1pp/1p1qp3/2R1Np2/1P1PpP2/PQ2P3/6PP/4KB1R w - -,c5c2 a8c8 f1a6 c8c2 b3c2 d8e8 e5d7 d6d7 e1d2 e7d5,1
3rr1k1/p4pp1/2p2n1p/n1b2q2/5N2/3P1BP1/PPP2p1P/R1BQ1R1K w - -,g3g4 f5e5 c2c3 g7g5 d3d4 c5d4 c3d4 d8d4 d1e2 e5d6,-67
rn1qkb1r/pp2pppb/2p2n1p/8/8/1P3NN1/PBPP1PPP/R2QKB1R w KQkq -,f1c4 b8d7 e1h1 e7e6 d2d4 d8a5 a2a4 f8b4 c4d3 h7d3,20
r1bqkb1r/pp3ppp/4n3/1P1pP3/3P4/1Qn2N2/5PPP/R1B1KB1R w KQkq -,h2h4 c3e4 f1d3 f8e7 c1e3 e8h8 e1h1 a7a5 b5a6 b7a6,-341
rn1qkb1r/pp2ppp1/2pn2b1/3pN1p1/7P/1P1PP3/PBP2P2/RN1QKB1R w KQkq -,e3e4 g6h5 f1e2 h5e2 d1e2 h8h4 h1h4 g5h4 b1d2 b8d7,-117
8/2p1p2p/4P3/5k2/1P3b1K/5P2/4r3/5b1R w - -,e3e4 g6h5 f1e2 h5e2 d1e2 h8h4 h1h4 g5h4 b1d2 b8d7,Mate
2rqr1k1/pp1nppbp/2pp1np1/8/3PP3/5Q1P/PPPNBPPB/R4RK1 w - -,a1d1 e7e5 d4e5 d7e5 f3a3 b7b5 g1h1 d8e7 f1e1 d6d5,63
5rk1/pp4pp/2pq4/3p4/2P5/1P6/P2NP3/1RB1K3 w - -,d2f3 d5d4 c1d2 d4d3 e1d1 d3e2 d1e2 f8f3 e2f3 d6d3,-811
rnbq1rk1/ppp2ppp/3p1b2/4p3/2B1P3/3P4/PPP1NPPP/RN1QK2R w KQ -,a2a4 g7g6 b1c3 c7c6 e1h1 f6g7 d1d2 b8d7 a4a5 a8b8,-41
r2qn1k1/1p1bbr1p/p1n1p1pP/3p4/3P1B2/1NPQ1P2/PP2N1P1/R4RK1 w - -,b3c5 e6e5 f4e3 e5d4 c3d4 e8d6 f1e1 b7b6 c5d7 d8d7,-353
r2q1rk1/p4pp1/3b1n1p/2pp1P2/8/2PQ4/PP1N1PPP/R1B1R1K1 w - -,c3c4 d8d7 c4d5 a8e8 e1f1 e8e5 d2c4 e5d5 d3c2 d6b8,15
rn1qkb1r/pp2p1p1/2pn2p1/3p2p1/7P/1P1PP3/PBP2P2/RN1QKB1R w KQkq -,b1d2 d6f7 d1g4 b8d7 e1a1 e7e5 c1b1 d7f6 g4g1 f8d6,59
r1b2k2/pp3p1p/3P2p1/8/3nnP2/2q5/P1PNB1PP/R2QK2R w KQ -,h1f1 e4d2 e1f2 d2f1 f2f1 d4e2 a1b1 e2f4 b1b3 c3c4,-594
2rqr1k1/pp1n1pbp/2pp1np1/4p3/3PP3/5Q1P/PPPNBPPB/3R1RK1 w - -,d4e5 d7e5 f3a3 b7b5 g1h1 d8b6 f2f4 e5d7 a3f3 e8e7,66
rn1q1rk1/ppp2ppp/3pbb2/4p3/2B1P3/3P3P/PPP1NPP1/RN1QK2R w KQ -,c4e6 f7e6 b1d2 a7a5 e1h1 a5a4 b2b4 f6g5 c2c3 b8d7,-11
4rr2/p2b1pkp/1p4p1/n2Pq1Q1/2p1P3/2P3N1/P1B3PP/3R1RK1 w - -,g3h5 g7h8 g5f6 e5f6 h5f6 e8d8 f1f4 h8g7 e4e5 h7h5,277
8/8/3K1q2/1Q6/8/8/p7/k7 w - -,,0
N6k/5RR1/8/3p2pp/p2P4/P3P2P/1P3PPK/1q6 w - -,d6d7 f6f7 d7d6 f7g6 d6e7 g6g7 e7e6 g7c3 e6d6 c3e3,Mate
4rb2/1rqb1kp1/p2p1nRp/5P2/2pN3R/4B3/PPP3Q1/2KN4 w - -,d1c3 e8e5 g6f6 f7f6 e3f4 f6f7 f4e5 d6e5 g2d5 f7e7,507
2rqr1k1/p4pbp/2pp1np1/1p2n3/4P3/Q6P/PPPNBPPB/3R1RK1 w - -,g1h1 d8e7 f1e1 d6d5 a3e7 e8e7 f2f4 e5c4 e4e5 f6d7,55
r2qn1k1/1p1bbr1p/p1n3pP/2Npp3/3P1B2/2PQ1P2/PP2N1P1/R4RK1 w - -,f4e3 e5d4 c3d4 e8d6 e2f4 d6f5 e3f2 b7b6 c5e6 d7e6,-372
r1bq1rk1/pp1nbppp/2p1pn2/4B3/2BP4/2N1PN2/PP3PPP/R2Q1RK1 w - -,e5g3 f6h5 a2a4 c6c5 d1e2 c5d4 e3d4 h5g3 h2g3 e7b4,39
4rb2/1rqb2p1/p2p1k1p/5P2/2pN3R/4B3/PPP3Q1/2KN4 w - -,d1c3 e8e5 e3f4 f6f7 f4e5 d6e5 g2d5 f7e7 h4e4 b7b5,506
8/1p5p/p5p1/3p2P1/3k2NP/P4p2/1r6/3K4 w - -,d1e1 b2e2 e1f1 d4c3 g4f6 d5d4 f6d5 c3b3 d5b4 b3a3,-1118
1r4k1/3n2p1/4p3/8/1qP2Q2/7P/5PP1/R5K1 w - -,f4g4 b4b6 a1e1 d7f8 h3h4 b8b7 g4e4 b7f7 e1e2 f7d7,-194
r2qk2r/ppp1bppp/2n1bn2/3pp3/2P5/1Q1P2P1/PP1NPPBP/R1B1K1NR w KQkq -,c4d5 f6d5 a2a3 d8d7 d2c4 e8a8 g1f3 f7f6 b3a4 c8b8,-117
4rb2/1rqbk1p1/p2p2Qp/5P2/2pN3R/4B3/PPP5/2KN4 w - -,h4e4 e7d8 e4e8 d7e8 d4e6 d8e7 e3g5 h6g5 g6g5 e7d7,451
2r1r1k1/p2nqpbp/2pp1np1/1p6/4PP2/Q6P/PPPNB1PB/3R1R1K w - -,e2f3 d7c5 d1e1 a7a5 e4e5 d6e5 f4e5 f6d5 c2c4 d5b4,44
3krb2/1rqb2p1/p2p2Qp/5P2/2pNR3/4B3/PPP5/2KN4 w - -,e4e8 d7e8 d4e6 d8e7 e3g5 h6g5 g6g5 e7f7 e6c7 b7c7,454
2r3k1/2N2p1n/1q4p1/3P1b2/2Q2P1p/8/4B1PP/3R2K1 w - -,g1f1 c8c7 c4d4 b6d4 d1d4 h7f6 d5d6 c7c8 e2f3 h4h3,-377
r3k2r/ppp2pbp/2n1q3/8/2pp4/8/PPP1QPPP/RNB1K2R w KQkq -,e2e6 f7e6 a2a4 e8a8 b1a3 c6b4 c1d2 c4c3 b2c3 d4c3,-242
r3k2r/1bqn1pb1/1pn1p2p/p1ppP1pP/3P4/2P1B1N1/PPB1QPPN/R2R2K1 w kq -,h2g4 b7a6 c2d3 a6d3 d1d3 e8a8 a1c1 c8b7 d3d1 d8c8,194
r1bq1rk1/p1pp1ppp/1p3n2/8/1b2P3/2N5/PPPB1PPP/R2QKB1R w KQ -,f1d3 d7d5 e1h1 b4c3 d2c3 f6e4 d3e4 d5e4 a2a4 d8g5,-46
r1b2k2/pp3p1p/3P2p1/8/4nP2/2q5/P1PNn1PP/R2Q1RK1 w - -,g1h1 c3d2 d1d2 e4d2 f1e1 e2c3 a1d1 c3d1 e1d1 f8e8,-588
r3k2r/ppp3bp/2n1p3/3q4/2pp4/8/PPP1QPPP/RNB1K2R w KQkq -,e1h1 e8a8 b1d2 d4d3 c2d3 c4d3 e2e4 h8f8 e4h7 f8h8,-290
2rqr1k1/pp1nppbp/2p3p1/3nP3/8/5Q1P/PPPNBPPB/R4RK1 w - -,e5e6 f7e6 c2c4 d5f6 b2b4 a7a5 a2a3 a5b4 a3b4 c8a8,99
r2qkb1r/pp3ppp/2n1pn2/2pp1b2/2PP4/P4NP1/1P2PPBP/RNBQK2R w KQkq -,c4d5 d8d5 b1c3 d5c4 c1e3 f6g4 e1h1 g4e3 f2e3 c5d4,43
r1b2rkq/p4p1p/1p2p1pP/2p3Q1/2P5/3B4/PP3PP1/2KR3R w - -,d3e4 c8b7 e4b7 a8b8 b7a6 f7f5 d1d7 h8f6 d7g7 g8h8,512
2r3k1/2N2p1n/6p1/3P1b2/3q1P1p/8/4B1PP/3R2K1 w - -,g1h1 d4f2 e2f3 h4h3 d5d6 h7f6 d1a1 f5g4 f3b7 f2b2,-1148
r2qn1k1/1p1bbr1p/p1n3pP/2Np4/3p4/2PQBP2/PP2N1P1/R4RK1 w - -,c3d4 e8d6 e2f4 d6f5 e3f2 b7b6 f4e6 d7e6 c5e6 d8d7,-361
r1b1kb1r/ppp1qp1p/2n2np1/3pp3/2B1P3/1Q3N2/PPPP1PPP/RNB1K2R w KQkq -,c4d5 f6d5 e4d5 c6d4 f3d4 e5d4 e1d1 e7h4 b3b5 e8d8,-32
r4rk1/pp2ppbp/2n1b1p1/8/8/1N2BP2/qPPQ2PP/2KR1B1R w - -,c2c3 e6b3 f1d3 a2a1 d3b1 c6b4 d2e2 b4a2 c1d2 a2c3,-906
6k1/2r2p1n/6p1/3P1b2/3R1P1p/8/4B1PP/6K1 w - -,d5d6 c7d7 g2g4 h4g3 h2g3 h7f6 g1f2 g8g7 e2f3 d7d8,-364
1r4k1/6p1/4pn2/8/1qP2Q2/7P/5PP1/3R2K1 w - -,f4d4 b8c8 d1c1 b4b7 g1f1 g8f7 d4e3 b7c7 f1g1 c7c5,-210
6r1/2r1pk2/p2p2p1/3P3P/1pP1Q3/2b1B3/q5P1/2R3K1 w - -,g2g3 c3e5 h5h6 g8h8 e4g4 f7e8 h6h7 h8h7 g4g6 h7f7,-262
1r1q1rk1/5pp1/3b1n1p/p1pp1P2/8/2PQ3P/PP1N1PP1/1RB1R1K1 w - -,c3c4 f8e8 e1e8 d8e8 c4d5 c5c4 d3c4 e8e5 d2f3 e5f5,44
2rqr1k1/pp1np1bp/2p3p1/3np3/6Q1/7P/PPPNBPPB/R4RK1 w - -,g4e6 g8h8 d2e4 d8c7 f1e1 d5f4 e6b3 f4e2 e1e2 c7b6,85
r4rk1/pp2ppbp/2p2np1/4N3/2B3P1/2N4P/PPb2P2/R1BR2K1 w - -,d1d2 c2e4 g4g5 f6d5 c3e4 g7e5 c4d5 c6d5 d2d5 f7f6,618
rnbq1rk1/ppp1b1pp/8/3pPp2/4n3/2NB1N2/PPPP2PP/R1BQ1RK1 w - -,b2b3 c7c6 c3e2 e4c5 e2f4 d8b6 g1h1 g7g5 f4h5 c5d3,-42
1r4k1/3n2p1/8/4p3/1qP2Q2/7P/5PP1/3R2K1 w - -,f4e3 b4a4 d1d6 b8b1 g1h2 b1d1 d6g6 a4a1 e3g5 e5e4,-122
2rqr2k/pp1np1bp/2p1Q1p1/3np3/8/7P/PPPNBPPB/R4RK1 w - -,d2e4 d8c7 e2g4 d7f8 e6f7 e7e6 f7c7 c8c7 a1d1 c7d7,75
r2qkb1r/pp3pp1/2n1pn1p/2pp1b2/2PP4/P4NP1/1P2PPBP/RNBQ1RK1 w kq -,c4d5 e6d5 d4c5 f8c5 b2b4 c5e7 c1b2 e8h8 b1c3 a8c8,59
r2q2k1/1p1bbr1p/p1nn2pP/2Np4/3P4/3QBP2/PP2N1P1/R4RK1 w - -,e2f4 d6f5 e3f2 d7c8 a1e1 f5h6 f4g6 e7c5 d4c5 c8f5,-357
rnbqkbnr/ppp2ppp/8/3p4/2B5/P7/1PPP1PPP/RNBQK1NR w KQkq -,c4a2 g8f6 d2d4 f8d6 g1f3 h7h6 c2c4 d5c4 d1e2 d8e7,-24
