8/3P2k1/8/5p2/4K3/8/8/8 w - -,f1d3 d8b8 g1e2 b8f4 e2f4 f8e8 e3e4 d5e4 c3e4 e7e5,Mate
8/1p1kp2p/2p1Rnp1/p5B1/8/1B4PP/PPP2KP1/1r6 w - -,e6e1 b1e1 f2e1 d7d6 c2c3 c6c5 g5f6 e7f6 g3g4 b7b5,492
r1n5/p1pq1rbk/1p3ppp/3Pp3/4P3/2Q1BN2/PP3PPP/2RR2K1 w - -,c3c6 a8b8 f3d2 f6f5 f2f3 d7e7 c6b5 c8d6 b5d3 f5e4,117
8/8/8/5K2/2k1B3/4Q3/8/8 w - -,h2h3 c8d6 f3d2 f6f5 f2f3 d6b5 c3c4 a8e8 c4a4 e8d8,Mate
rn1qkb1r/ppp2p2/4pnp1/3p1b2/3P1P1p/2PBPN2/PPQ3PP/RNB1K2R w KQkq -,h2h3 c7c5 e1h1 b8c6 c1d2 f6e4 d2e1 c5c4 d3e4 f5e4,-62
r1bq1rk1/pppn1pbp/5np1/3p4/1P1NP3/3B4/PBP2PPP/RN1Q1RK1 w - -,b1c3 d5e4 d3e4 d8e7 f1e1 e7b4 a1b1 c7c6 e4f3 f8e8,-102
3r1rk1/ppp1nppp/2nq4/8/3PQ3/5N2/PP2BPPP/1R3RK1 w - -,e2b5 d6d5 e4d5 d8d5 b5c4 d5d8 b1d1 d8d7 f1e1 f8d8,-18
1k1r4/1bn2pp1/1r4qp/Q1NPn3/4P3/7P/1P4P1/1K1RRB2 w - -,g2g4 d8d5 d1d5 b7d5 a5c3 f7f6 c3a5 b6d6 b1a1 d5a8,-81
r3r1k1/ppp2ppp/3p1q2/3P3n/4P2P/2b2PB1/PP2QP2/R4K1R w - -,f1g2 c3b2 a1b1 b2e5 h1g1 c7c5 b1b7 h5f4 g3f4 f6f4,-527
8/8/8/5K2/8/2kBQ3/8/8 w - -,f1g2 c3b2 a1b1 b2e5 h1g1 c7c5 b1b7 h5f4 g3f4 f6f4,Mate
r1bq1rk1/pppn1pbp/5np1/8/1P1Np3/2NB4/PBP2PPP/R2Q1RK1 w - -,d3e4 f8e8 e4f3 d7e5 a1b1 a7a5 b4a5 a8a5 a2a4 e5f3,-103
4r1k1/q4pp1/p4n1B/1b1p4/3N2P1/P4P2/1P3KP1/2Q4R w - -,c1f4 f6e4 f3e4 a7d4 f4e3 d4f6 e3f4 f6b2 f4d2 b2f6,-279
r1bqr1k1/pppn1pbp/5np1/8/1P1NB3/2N5/PBP2PPP/R2Q1RK1 w - -,e4f3 d7e5 a1b1 a7a5 b4a5 a8a5 d4b3 e5f3 d1f3 a5f5,-113
r3r3/pp1b1pk1/1np2np1/4p2p/3PNN1P/3B1P2/PPP3P1/2KR3R w - -,d4e5 e8e5 e4d6 f6e8 d6c4 b6c4 d3c4 d7f5 a2a4 a8c8,6
8/np6/p1p1p2k/P1PpP2p/1P1Pp1p1/2B1P2P/5KP1/8 w - -,h3h4 h6h7 g2g3 h7g6 f2f1 a7c8 f1e2 c8e7 c3e1 g6h7,-4
r3r1k1/p2bqpnp/4p1pB/4P3/1p1p2P1/1B1P3P/P1P2Q2/1R3RK1 w - -,f2f6 e7f8 f1f4 a8b8 b1f1 d7c6 f6f7 f8f7 f4f7 b8b7,293
rnbqkbnr/p1pppppp/8/8/8/3p1N2/PP2PPPP/RNBQKB1R w KQkq -,e2e4 e7e6 f1d3 d7d6 e1h1 b8d7 b1d2 g8f6 f1e1 f8e7,-40
r3r1k1/ppq2ppp/2np4/1Qp1p3/2P1b3/P4N2/1P2BPPP/1RB1K2R w - -,b5b3 e4b1 b3d1 c6d4 h2h4 b1f5 h4h5 h7h6 f3h4 f5c2,-487
r1bqr1k1/ppp2pbp/5np1/4n3/1P1N4/2N2B2/PBP2PPP/R2Q1RK1 w - -,a1b1 a7a5 b4a5 a8a5 d4b3 e5f3 d1f3 a5f5 f3d3 d8d3,-113
r2q1rk1/pp2bppp/4bn2/3pN3/3P1B2/1Pp1P3/P1B2PPP/R2Q1RK1 w - -,d1e2 f8e8 f1d1 a7a6 g2g4 f6d7 e5d3 a8c8 a2a4 d7f6,-21
1k6/1bn2pp1/1r4qp/Q2rn3/N3P3/7P/1P4P1/1K1RRB2 w - -,a5d5 c7d5 g2g3 b7c6 d1d5 c6a4 d5d8 b8c7 d8d5 g6g3,-560
