8/4k3/K5Q1/8/8/8/8/8 w - -,d1d3 d7d6 f5e7 d8e7 e1a1 e7e6 f2f4 f8e8 f4f5 e6e5,Mate
r1bqk1nr/pp2ppbp/2np2p1/2p5/2B1P3/3P1N2/PPP1QPPP/RNB1K2R w KQkq -,a2a4 e7e6 c2c3 g8e7 b1a3 d6d5 c4a2 e8h8 e1h1 h7h6,-21
r4rk1/p1q2pp1/3p1n2/3P4/1p4P1/7R/PPP2Q1P/5RK1 w - -,f2h4 c7c5 f1f2 c5f2 g1f2 f6e4 f2g2 f7f6 h4h7 g8f7,560
r4rk1/p4pp1/3p1n2/2qP4/1p4PQ/7R/PPP4P/5RK1 w - -,h3e3 c5e3 h4f2 f6g4 f2e3 g4e3 f1b1 e3c2 g1f2 f8e8,-820
r4rk1/p4pp1/3p4/2qP3n/1p4PQ/7R/PPP2R1P/6K1 w - -,h4h5 f7f6 g4g5 c5d5 h5h7 g8f7 f2f6 f7e8 h3e3 e8d7,656
rnbqkb1r/pppn1ppp/4p3/P2pP3/1P1P4/8/2P2PPP/RNBQKBNR w KQkq -,c2c3 a7a6 f1d3 b7b6 a5b6 d7b6 g1h3 c8d7 d1f3 f8e7,160
rnbq3r/ppp2kpp/8/3pp3/1b2N3/5N2/PPPP1PPP/R1BQK2R w KQ -,f3e5 f7g8 c2c3 b8c6 d2d4 d8e8 c3b4 d5e4 e1h1 c8e6,144
8/8/1B6/4k3/8/3KN3/8/8 w - -,b6c7 e5e6 c7g3 e6d7 d3e4 d7c6 g3e5 c6b5 e4d5 b5b6,319
r4rk1/p5p1/3p1p2/2qP3Q/1p4P1/7R/PPP2R1P/6K1 w - -,g4g5 c5d5 h5h7 g8f7 f2f6 f7e8 h3e3 e8d7 h7g7 d7c6,677
r4rk1/p5p1/3p1p2/3q2PQ/1p6/7R/PPP2R1P/6K1 w - -,h5h7 g8f7 f2f6 f7e8 h3e3 e8d7 h7g7 d7c6 f6f8 d5d1,688
1k1N4/3K4/8/8/3B4/8/8/8 w - -,d8e6 b8b7 e6c7 b7b8 d7c6 b8c8 c7d5 c8b8 d5e7 b8a8,182
r2qkb1r/pp2pppp/n1p2n2/3p1b2/3P4/N1P2NP1/PP2PPBP/R1BQ1RK1 w kq -,f3h4 f5d7 a3c2 e7e6 h4f3 f8d6 c3c4 e8h8 c4c5 d6c7,58
