rnbqkb1r/ppp2ppp/8/3pp1P1/5n1P/5B2/PPPPPP2/RNBQK1NR w KQkq -,a2a3 f4e6 d2d3 b8c6 b1c3 d5d4 c3e4 c8d7 e2e3 d8e7,-115
r1bqk2r/p1p2ppp/2p5/8/8/B2B4/P1P2PPP/b2Q1RK1 w kq -,d1a1 d8f6 a3b2 f6g5 b2g7 h8g8 a1c3 e8e7 c3c6 g8g7,472
r1b1k2r/p1p2ppp/2p2q2/8/8/B2B4/P1P2PPP/Q4RK1 w kq -,a3b2 f6g5 h2h4 g5g4 b2g7 h8g8 a1c3 g8g7 c3c6 e8e7,496
r1b1kb1r/ppqn1ppp/2p2n2/4p3/2P5/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,h2h3 a7a5 d1c2 d7c5 b2b3 e5e4 f3d4 f8d6 c1b2 e8h8,-37
rn1qkb1r/pp3p2/2p1p1pn/3pPb1p/3P1P2/2NB1N2/PPP3PP/R1BQK2R w KQkq -,d1e2 d8b6 e1h1 f5d3 e2d3 b6a6 d3a6 b8a6 c1e3 e8d7,-28
r1bqk1nr/pppp1ppp/2n5/2bNp3/2B1P3/5N2/PPP2PPP/R1BQK2R w KQkq -,b2b4 c5e7 b4b5 c6a5 f3e5 d7d6 d1d2 a5c4 e5c4 g8f6,12
rn1qkbnr/pp2pppp/2p5/3P4/8/2N2b2/PPPP1PPP/R1BQKB1R w KQkq -,d1f3 g8f6 f1c4 g7g6 e1h1 f8g7 d2d4 e8h8 c1f4 d8a5,306
r2qkbnr/ppp2ppp/2n1p3/3pPb2/5P2/P7/1PPP2PP/RNBQKBNR w KQkq -,d2d4 d8h4 g2g3 h4h6 g1f3 f8e7 f1d3 h6g6 d3f5 g6f5,11
r2qk1nr/ppp3pp/2np1p2/4p3/2B1P1b1/2NPbN2/PPP2PPP/R2Q1RK1 w kq -,f2e3 g8h6 a2a4 g4h5 a4a5 a7a6 h2h3 h5f7 c4f7 h6f7,87
rnb1k1nr/pppp1ppp/5q2/4p3/4P3/2N2N2/PPPP1KPP/R1BQ1B1R w kq -,d2d4 f6d8 d4e5 b8c6 f1c4 d7d6 h1f1 c8g4 c1g5 g8e7,702
rnbqkb1r/pp3pp1/2p2n1p/3pp3/4P3/1B1P1N2/PPP2PPP/RNBQK2R w KQkq -,e4d5 f8d6 e1h1 c6d5 f3e5 d6e5 f1e1 f6g4 c1f4 d8f6,92
rnb2rk1/ppp1qppp/4pn2/3p4/2PP4/P1P1PN2/5PPP/R1BQKB1R w KQ -,f1d3 f8d8 e1h1 c7c5 c4d5 e6d5 f3e5 b8c6 e5c6 b7c6,46
rnb1kb1r/p2ppp1p/1q3np1/1ppP2B1/8/4PN2/PPP2PPP/RN1QKB1R w KQkq -,a2a4 b5b4 a4a5 b6d8 g5f6 e7f6 d5d6 c8b7 a5a6 b7c6,66
r1bqk2r/pp2nppp/2nbp3/2pp4/4P3/2PP1N2/PP1NBPPP/R1BQK2R w KQkq -,d3d4 c5d4 c3d4 d5e4 d2e4 b7b6 e1h1 e8h8 c1e3 c8b7,-70
r1bqk1nr/3pppbp/p1n3p1/1pp5/4P3/P1NP4/BPP2PPP/R1BQK1NR w KQkq -,c3e2 d7d6 h2h3 a6a5 g1f3 c8a6 e1h1 g8f6 c1e3 e8h8,-20
r1bqk1nr/pppp1pp1/2n4p/8/1b2P3/2N5/PPP2PPP/R1BQKBNR w KQkq -,d1g4 b4c3 b2c3 d8f6 g4g3 d7d6 a1b1 f6e5 f1d3 e5g3,12
r2q1rk1/pp1n1ppp/2pb1n2/4p3/3PP1b1/2PB1N2/PP1N2PP/R1BQ1RK1 w - -,d2c4 d6c7 c1g5 f8e8 d1c2 e5d4 c3d4 g4f3 f1f3 c7b6,73
r2q1rk1/ppbn1ppp/2p2n2/4p3/2NPP1b1/2PB1N2/PP4PP/R1BQ1RK1 w - -,c1g5 f8e8 d1c2 g4f3 f1f3 e5d4 c3d4 c7b6 g5e3 f6g4,100
r1bqkb1r/pppnpppp/1n6/8/3PP3/5N2/PP3PPP/RNBQKB1R w KQkq -,f1e2 e7e6 b1c3 f8d6 d1c2 e8h8 e1h1 c7c6 c1e3 h7h6,190
