rnqr4/pp2kp1p/6p1/2pP4/2Bb4/8/PP4PP/R1BQK2R w KQ -,c1h6 c8f5 d1e2 f5e5 h6f4 e5e2 e1e2 b8d7 d5d6 e7f8,-64
rnbqkbnr/ppppppp1/8/8/PP5p/8/2PPPPPP/RNBQKBNR w KQkq -,d2d4 e7e5 d4e5 f8b4 c2c3 b4c5 g1f3 b8c6 h2h3 h8h5,-23
3b1Qrk/7p/2p5/p2pP3/3P4/1P4B1/P5K1/8 w - -,f8f7 g8g7 f7e8 g7g8 e8c6 h8g7 g2h3 g8f8 e5e6 d8f6,1147
rn1q1rk1/pp3pbp/2p1p1p1/3n4/3P4/2N1PB1P/PP3PP1/R1BQ1RK1 w - -,e3e4 d5c3 b2c3 e6e5 a1b1 b7b6 c1e3 b8d7 d1c2 d8e7,88
3q1rk1/1p1bbppp/3p1n2/p3p3/Pnr1PP2/1NN1BB2/1PP2RPP/R2Q3K w - -,f2d2 d8c7 d1g1 e5f4 e3f4 h7h6 a1d1 f8e8 g1f2 e7f8,87
3b1rk1/1pq2ppp/2b2n2/p3p3/Pnr1P3/1NN1BB2/1PPR2PP/3R2QK w - -,g1f1 c4c3 b2c3 b4a6 f1c4 f8e8 e3g5 e8f8 d2d3 a6b8,117
r1bqk2r/p4ppp/1p1ppn2/n1p5/2PPP3/P1PB4/4NPPP/R1BQK2R w KQkq -,e1h1 c8a6 f2f4 e8h8 f4f5 e6e5 c1g5 h7h6 g5h4 g7g5,41
rn1q1rk1/pp2ppbp/2p2np1/3p2B1/2PP2b1/5NP1/PP2PPBP/RN1Q1RK1 w - -,c4d5 g4f3 g2f3 c6d5 h2h4 b8c6 b1c3 e7e6 d1d2 h7h6,32
7r/KP6/8/NN6/6k1/8/8/8 w - -,b5c7 g4f3 a5c4 f3e2 c4d6 e2d1 d6c8 h8h2 b7b8q h2a2,935
r1b1kb1r/pp3ppp/2n1pn2/2pp2B1/3P4/3BPN2/PqPN1PPP/R2Q1RK1 w kq -,g5f6 g7f6 c2c4 b2a3 d3c2 d5c4 a1b1 f8e7 d2c4 a3a6,50
4k3/1K6/4r3/8/3Q4/8/8/8 w - -,b7c7 e8f7 c7d7 e6e7 d7c6 e7e6 c6d5 e6e8 d4h4 e8a8,20000
r3kb1r/pp1bnppp/1qn1p3/2ppP1B1/3P4/2P2N2/PP1N1PPP/R2QKB1R w KQkq -,g5e3 e7f5 d1b3 b6b3 d2b3 c5c4 b3c1 f7f6 e3d2 f6e5,-78
r1bqkb1r/pp3ppp/2np1n2/2p1p3/2B1P3/1PNP4/P1P2PPP/R1BQK1NR w KQkq -,g1e2 g7g6 f2f4 f8g7 e1h1 e8h8 f4e5 f6g4 h2h3 g4e5,33
8/1K3k2/4r3/2Q5/8/8/8/8 w - -,c5d4 f7g6 d4g4 g6f6 g4f4 f6g6 b7c7 e6f6 f4g4 g6h6,20000
r2q1rk1/1ppb1pb1/3p1npp/p1nPp3/2P1P2B/P1N2N2/1P2BPPP/R2Q1RK1 w - -,e2d3 g6g5 h4g3 c5d3 d1d3 f6h5 d3d1 h5f4 f1e1 d8f6,-54
r1bqkb1r/2p2ppp/p1p1pn2/3p4/8/1P2P3/PBPPNPPP/RN1QK2R w KQkq -,,0
8/8/8/8/8/5K2/6p1/6k1 w - -,d2d4 c6c5 b2a3 c8b7 b1c3 c5d4 a3f8 d4c3 f8a3 e6e5,Mate
rn1q1rk1/pp3pbp/2p1p1p1/3nP3/3P4/2N2B1P/PP3PP1/R1BQ1RK1 w - -,c3e4 b8a6 d1e2 d5e7 f1d1 a6c7 a2a4 h7h6 g2g4 c7d5,103
r1bqk2r/pp2bppp/2np1n2/2p1p3/2B1P3/1PNP4/P1P1NPPP/R1BQK2R w KQkq -,e1h1 e8h8 f2f4 e5f4 e2f4 f6g4 c3d5 e7g5 a2a4 a8b8,50
r2q1rk1/pp1n1pbp/1np1p1p1/4P3/3P4/2N2B1P/PP3PP1/R1BQ1RK1 w - -,c3e4 d8c7 c1g5 h7h6 g5h4 b6d5 a1c1 a7a5 a2a3 d7b6,120
8/8/8/1B6/5k2/1N6/4K3/8 w - -,b5d3 f4e5 e2e3 e5d5 e3f4 d5e6 d3e4 e6f6 b3c5 f6g7,197
r1bqk2r/ppp2ppp/2np3n/4p1N1/2BbP3/8/PPP2PPP/RNBQK2R w KQkq -,g5f3 h6g4 f3d4 c6d4 f2f3 g4f6 c1e3 c8e6 c4e6 d4e6,-80
8/8/7K/2N5/8/1B2k3/8/8 w - -,b3a2 e3d4 c5a6 d4c3 a2f7 c3d3 h6g5 d3c3 a6c7 c3d2,187
2r3k1/3b2pp/1p2r3/p2p1p2/Pq3P2/1PRQP1P1/7P/2R3K1 w - -,c3c8 d7c8 c1c8 b4f8 c8f8 g8f8 d3f5 e6f6 f5d5 f8e7,820
r1bqk1nr/pp1p1ppp/2n5/2b1p3/4P3/P2Q4/1PP2PPP/RNB1KBNR w KQkq -,b1c3 g8f6 g1f3 d8b6 d3d2 d7d6 b2b4 c5d4 f1d3 c8g4,14
r1bqk2r/pp1p1ppp/2n2n2/2b1p3/4P3/P2Q1N2/1PP2PPP/RNB1KB1R w KQkq -,b1c3 d7d6 c1g5 h7h6 g5f6 d8f6 c3d5 f6d8 b2b4 c5b6,7
2b3k1/6pp/1p2r3/p2p1p2/Pq3P2/1P1QP1P1/7P/2R3K1 w - -,c1c8 g8f7 d3f5 e6f6 f5h5 f6g6 h5d5 g6e6 c8c7 b4e7,825
r2q1rk1/2p3p1/p3p2p/1p2Pn2/8/4B3/PPQ2PPP/R4RK1 w - -,e3c5 f5d4 c2g6 d4e2 g1h1 e2f4 g6e4 f8f7 a1d1 d8e8,22
2R5/5kpp/1p2r3/p2p1p2/Pq3P2/1P1QP1P1/7P/6K1 w - -,d3f5 e6f6 f5h5 f6g6 h5d5 g6e6 c8c7 b4e7 c7e7 f7e7,892
rnbk1b1r/pppn2pp/5p2/4p3/2P5/2N1PN2/PP3PPP/R1B1KB1R w KQ -,c1d2 a7a5 e1a1 c7c6 f3h4 d8c7 f2f4 a5a4 h4f3 a4a3,-20
rnbqk2r/pp1pbppp/5n2/2p1p3/2B1P3/1PN5/P1PP1PPP/R1BQK1NR w KQkq -,f2f4 d7d5 e4d5 e5f4 g1e2 f4f3 g2f3 e8h8 c1b2 e7d6,50
3kr2r/1p1n1p1p/p3b1p1/1B1p1q2/8/Q4N2/PP3PPP/4RK1R w - -,a3a5 d8e7 a5b4 e7d8 f3d4 f5f6 b5e2 e6f5 d4f5 g6f5,91
rq4k1/5bpp/5p2/1rPpn2P/5QP1/3N3B/2P2P2/2KR3R w - -,f4e5 f6e5 c1d2 e5e4 d1a1 e4d3 a1a8 b8a8 h3f1 a8a5,-855
rn1qkbnr/ppp1ppp1/6b1/7p/3Pp1P1/2N5/PPP2PBP/R1BQK1NR w KQkq -,c1g5 g8f6 g4h5 g6h5 g1e2 b8c6 c3e4 f6e4 g2e4 d8d7,-72
4r1k1/1pp2p1p/p6B/8/P3q3/6P1/1P2bP1P/R1Q3K1 w - -,c1c3 e4e5 a1c1 e5c3 c1c3 c7c6 g1g2 f7f6 a4a5 g8f7,7
rnbqkb1r/1ppppppp/5n2/8/1p6/5N2/PBPPPPPP/RN1QKB1R w KQkq -,h2h3 e7e6 a2a3 b8c6 a3b4 a8a1 b2a1 c6b4 c2c3 b4c6,-101
r2q1rk1/ppp1ppb1/7p/3pN1p1/1n1P4/3QPPB1/PPP3PP/R3K2R w KQ -,d3d2 c7c5 h2h4 f7f6 d4c5 a7a5 e5g6 f8e8 c2c3 b4a6,153
r1bqr1k1/1p1n1pbp/p2p1np1/2pP4/P3P3/2N2PN1/1P2B1PP/R1BQK2R w KQ -,e1h1 h7h5 c1g5 d8b6 d1c1 f6h7 g5e3 b6d8 c1d2 a8b8,72
r2q1rk1/1p2npbp/p1n1p1p1/2p5/P2pP3/N2P2QP/1PP1BPP1/R1BR2K1 w - -,c1f4 e6e5 f4d2 b7b5 d1b1 d8b8 g3h2 b8b7 h3h4 h7h5,10
r3r1k1/p4pp1/2p2q1p/3b4/3bP3/3B4/PPQ2PPP/R4RK1 w - -,g1h1 d5e6 f2f4 a8b8 e4e5 f6d8 a1b1 e6a2 b2b3 a2b1,-406
r3r1k1/p4pp1/5q1p/3p4/3b4/3B4/PPQ2PPP/R4RK1 w - -,a1e1 g7g6 e1e8 a8e8 g2g3 h6h5 h2h4 d4b2 g1g2 b2d4,-32
rn1qkb1r/ppp2ppp/3p1n2/8/2B3b1/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,c4b3 b8c6 d2d4 d6d5 c1g5 d8e7 e1f1 e8a8 c3d5 e7e4,36
r2q1rk1/2pn1ppp/1p1ppn2/p7/2PPb3/PPB2NP1/4PPBP/R2Q1RK1 w - -,f1e1 h7h6 a1c1 c7c6 c3b2 d8e7 g2f1 e4h7 f3d2 d6d5,40
