2B5/8/8/8/8/3K4/2N5/1k6 w - -,d4b5 c6b5 c4d5 b5b4 c3b5 d8d7 d5a8 d7b5 d1d3 b5d3,Mate
4Q3/1kp5/p1N5/3P4/1P5p/3b2bP/6P1/4q1K1 w - -,e8e1 g3e1 c6a5 b7b6 a5c6 b6b5 c6e5 d3e4 e5f3 e1g3,-774
8/8/3K1k2/3P4/8/8/8/8 w - -,e8e1 g3e1 c6a5 b7b6 a5c6 b6b5 c6e5 d3e4 e5f3 e1g3,Mate
8/2K5/8/3Pk3/8/8/8/8 w - -,e8e1 g3e1 c6a5 b7b6 a5c6 b6b5 c6e5 d3e4 e5f3 e1g3,Mate
8/2K5/3P4/8/3k4/8/8/8 w - -,e8e1 g3e1 c6a5 b7b6 a5c6 b6b5 c6e5 d3e4 e5f3 e1g3,Mate
8/2KP4/8/8/8/3k4/8/8 w - -,e8e1 g3e1 c6a5 b7b6 a5c6 b6b5 c6e5 d3e4 e5f3 e1g3,Mate
rnbqk2r/ppp2ppp/4pn2/1N1p4/2PP4/8/PP1bPPPP/R2QKBNR w KQkq -,e1d2 a7a6 b5c3 c7c5 c4d5 c5d4 d1a4 b8c6 d5c6 d4c3,-296
r1bqkbnr/pp1p1p1p/2n3p1/1Bp1p3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,b5c6 d7c6 f3e5 d8g5 e5f3 g5g2 h1g1 g2h3 g1g3 h3e6,54
rnbqkbnr/pp3ppp/2p1p3/8/4p3/1B1P4/PPP2PPP/RNBQK1NR w KQkq -,c1e3 g8f6 b1c3 e4d3 g1f3 b7b6 e1h1 b8d7 e3f4 f8e7,-120
rnbqkbnr/p1pp1ppp/1p2p3/8/2P2P2/8/PP1PP1PP/RNBQKBNR w KQkq -,e2e4 c8b7 b1c3 f8b4 g1e2 f7f5 a2a3 b4c3 e2c3 f5e4,-24
8/2k5/4Q1N1/3K4/8/8/8/8 w - -,e2e4 c8b7 b1c3 f8b4 g1e2 f7f5 a2a3 b4c3 e2c3 f5e4,Mate
r1bqk2r/pp1nppbp/3p1np1/1B6/3NP3/8/PPP2PPP/RNBQR1K1 w kq -,b5f1 e8h8 c2c4 d7e5 b1c3 c8e6 c3d5 a8c8 b2b3 e6d7,99
r1b1kb1r/ppq2ppp/2n1p1n1/2ppP3/3P4/2PB1N2/PP3PPP/RNBQ1RK1 w kq -,h2h4 c8d7 h4h5 g6e7 c1f4 c5d4 c3d4 c6b4 b1c3 b4d3,95
r1bqkb1r/pppppppp/8/3PnP2/4n3/8/PPP3PP/RNBQKBNR w KQkq -,d1e2 e4f6 e2e5 d7d6 e5d4 c7c6 d5c6 b7c6 g2g4 d8b6,288
r1bq1rk1/1p2ppbp/2pp1np1/p7/Pn1PP3/2N1BN1P/1PP1BPP1/R2Q1RK1 w - -,f1e1 h7h6 e2f1 g8h7 a1c1 b7b6 d1d2 c8a6 f1a6 b4a6,104
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2P5/1P4P1/PB1PPP1P/RN1QKBNR w KQkq -,a2a3 d7d5 e2e3 e8h8 f1g2 d5c4 d1c2 d8d3 c2d3 c4d3,-121
r1bqkb1r/ppp2ppp/2n1p3/3p4/4nP2/1P2PN2/PBPP2PP/RN1QKB1R w KQkq -,a2a3 b7b6 c2c4 d5c4 d1c2 e4d6 b3c4 c6a5 b2c3 c7c5,93
rn1qkb1r/pbpp1p1p/1p2pnp1/8/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,b1d2 f8g7 f1d3 e8h8 e1h1 d7d6 h2h3 b8d7 e3e4 e6e5,71
rnbq1rk1/pp2pp1p/3p1bp1/2p5/3PP3/2NB1N2/PPP2PPP/R2QK2R w KQ -,c3d5 f6d4 f3d4 c5d4 e1h1 e7e6 d5f4 e6e5 f4e2 b8c6,-143
r1bqkb1r/p1pppppp/2p5/3nP3/8/8/PPPP1PPP/RNBQK1NR w KQkq -,d2d3 c6c5 g1f3 e7e6 c2c4 d5e7 b1c3 c8b7 e1h1 e7f5,-35
rn1q1rk1/pp2ppbp/3p1np1/2p5/3PP1b1/2PB1N2/PP1N1PPP/R1BQ1RK1 w - -,f1e1 c5d4 c3d4 b8c6 h2h3 g4f3 d2f3 e7e6 c1e3 a8c8,87
r2qkbnr/ppp3pp/2n2p2/1B1pP3/3P1pb1/5N2/PPP3PP/RNBQK2R w KQkq -,c1f4 d8d7 b1d2 a7a6 b5c6 d7c6 h2h3 f6e5 f4e5 g4f3,50
8/8/4k3/8/8/4K3/8/Q3R3 w - -,c1f4 d8d7 b1d2 a7a6 b5c6 d7c6 h2h3 f6e5 f4e5 g4f3,Mate
rnbqk2r/pp1p1ppp/4pn2/2b3B1/8/2P5/PP2PPPP/RN1QKBNR w KQkq -,h2h4 d8b6 e2e3 b6b2 b1d2 b2c3 a1c1 c3a5 g5f6 g7f6,-264
r1b1k1nr/ppp2ppp/2nb4/3p4/3P1N2/2PB2P1/PP3P1P/RNBqK2R w KQkq -,,0
rn2kb1r/pp2pppp/2p2n2/3qN2b/3P4/8/PPQ1PPPP/RNB1KB1R w KQkq -,e2e3 d5d8 f1e2 h5e2 c2e2 e7e6 e1h1 b8d7 e5f3 d8c7,87
r1bqk2r/1p1p1pbp/p1n1pnp1/2p5/P1B1P3/2NP1N2/1PP2PPP/R1BQ1RK1 w kq -,f1e1 d7d6 c1e3 f6g4 e3g5 d8b6 h2h3 g4e5 f3e5 c6e5,42
rnbqkbnr/1pp2ppp/p3p3/8/2B5/2N2Q2/PPPP1PPP/R1B1K1NR w KQkq -,f3e2 b7b5 c4d5 a8a7 d5b3 c7c5 d2d3 b8c6 g1f3 g8f6,-41
rnbqkbnr/pppp1ppp/8/4P3/2P5/8/PP2PPPP/RNBQKBNR w KQkq -,g1f3 b8c6 b1c3 h7h6 h2h4 d7d6 c1f4 g8e7 e5d6 e7g6,306
rnbq1rk1/pp2ppbp/5np1/3p4/2Pp4/1P2PN2/P3BPPP/RNBQ1RK1 w - -,c4d5 d4e3 c1e3 f6d5 e3d4 b8c6 d4g7 g8g7 e2c4 d5f4,-180
r1bq1k1r/ppp3pp/2n2n2/2bpp1N1/2B1P3/8/PPPP1PPP/RNBQK2R w KQ -,e4d5 h7h6 g5f7 f8f7 d5c6 f7g6 e1h1 b7c6 b1c3 h8e8,270
r3kb1r/pppq1ppp/2np1n2/4pb2/2P5/2NP1NP1/PP2PPBP/R1BQK2R w KQkq -,h2h3 a7a5 b2b3 g7g6 g3g4 f5e6 c1b2 f8g7 f3g5 d7e7,105
r1bq1k1r/ppp3pp/2n5/2bnp1N1/2B5/8/PPPP1PPP/RNBQK2R w KQ -,d2d3 d5f4 h2h4 c8f5 b1c3 d8d7 g2g3 f4e6 c4e6 f5e6,338
rn1q1rk1/pbp2ppp/1p2pn2/3p4/1bPPP3/2NB1N2/PPQ2PPP/R1B1K2R w KQ -,c4d5 e6d5 e4e5 f6e4 e1h1 b4c3 b2c3 c7c5 c1a3 b8d7,232
r3kbnr/ppp2ppp/2nq4/8/3P1pb1/2N2N2/PPP1B1PP/R1BQK2R w KQkq -,a2a4 e8a8 e1h1 h7h5 c3b5 d6f6 f3e5 c6e5 c1f4 e5f3,-118
r1bqkb1r/pp1p1ppp/2n1pn2/8/3pP3/2N1B3/PPP2PPP/R2QKBNR w KQkq -,e3g5 d4c3 b2c3 h7h6 g5f6 d8f6 d1f3 f6e5 f3e3 f8b4,-649
r2qk2r/ppp1ppbp/1nn3p1/5b2/3P4/P1N2N2/BPP2PPP/R1BQK2R w KQkq -,d4d5 c6a5 d1e2 c7c6 d5c6 a5c6 e1h1 e8h8 f1d1 d8c8,50
r2qk2r/ppp2pbp/1nn3p1/4pb2/3P4/P1N1BN2/BPP2PPP/R2QK2R w KQkq -,d4d5 c6d4 f3d4 e5d4 e3d4 d8e7 d4e3 e8a8 d1d2 f5e4,138
rnb1kb1r/ppppqppp/5n2/4p1N1/2B5/5Q2/PPPP1PPP/RNB1K2R w KQkq -,g5f7 d7d5 c4d5 f6d5 f7h8 d5f6 e1h1 b8c6 b1c3 c8g4,-196
rnbqk2r/pp3ppp/2pb1n2/3p4/3P4/P1N2N2/1PP2PPP/R1BQKB1R w KQkq -,f1e2 e8h8 e1h1 f8e8 h2h3 b8d7 f1e1 f6e4 e2d3 d7f6,-62
rnbqkbnr/5ppp/p3p3/1pppP3/3P1P2/2P5/PP4PP/RNBQKBNR w KQkq -,f1d3 b5b4 g1e2 b8c6 e1h1 c5c4 d3c2 g8e7 b1d2 h7h5,48
8/8/8/2QNk3/8/4K3/8/8 w - -,g1e2 g8h6 c1e3 c5c4 a2a3 f8e7 e2g3 b8c6 f1e2 a6a5,Mate
8/8/5k2/2Q5/5N2/4K3/8/8 w - -,g1e2 g8h6 c1e3 c5c4 a2a3 f8e7 e2g3 b8c6 f1e2 a6a5,Mate
r2q1rk1/ppp2pbp/1nn3p1/4pb2/3P4/P1N1BN2/BPP1QPPP/R3K2R w KQ -,h2h4 c6d4 f3d4 e5d4 e1a1 f8e8 e2f3 h7h5 c3b5 c7c5,-384
r2q1rk1/ppp2pbp/1nn3p1/4P3/6b1/P1N1BN2/BPP1QPPP/R3K2R w KQ -,a1d1 d8e7 h2h3 g4f3 e2f3 g7e5 e1h1 e7f6 f3f6 e5f6,80
rnbqkb1r/p1p1pppp/1p3n2/3P4/3P4/8/PP2PPPP/RNBQKBNR w KQkq -,g1f3 c8b7 d1c2 b7d5 b1c3 d5b7 e2e4 e7e6 c1f4 a7a6,157
