3rr3/1b5Q/p2pp1p1/2p1k1q1/1nP1P3/1PN5/P5BP/5R1K w - -,f2f3 g4f6 h4h5 f8h8 g2g4 b7b5 e1a1 b5b4 c3e2 a7a5,Mate
r6r/pp1k1p1p/4bp2/1Nbp4/8/2P4P/PP1N1PP1/R3K2R w KQ -,d2b3 b7b6 b5d4 a7a5 a1d1 h8g8 g2g3 h7h5 d1d3 h5h4,33
8/3K4/6k1/8/7B/3N4/8/8 w - -,,0
rnbq1bnr/pp2pkpp/5p2/1B1p4/2p2P2/4PN2/PPPP2PP/RNBQK2R w KQ -,b1c3 a7a6 b5a4 b7b5 d2d3 b8c6 d3c4 d5c4 d1d8 c6d8,-175
2r5/p3k1p1/3p4/2nRppp1/8/1P6/P4PPP/R5K1 w - -,b3b4 c5e4 f2f3 e4c3 d5a5 c8c7 a1e1 g5g4 g1f1 e7e6,76
3r4/pkp4p/6p1/2p1B3/b4P2/2P1R3/P5PP/6K1 w - -,a2a3 d8d2 g2g4 a4d7 h2h3 b7c6 e5f6 d2a2 e3e7 h7h5,-11
r3kbnr/pp3ppp/2n1p3/qB1p1b2/3P1B2/P1N5/1PP2PPP/R2QK1NR w KQkq -,g1f3 g8e7 b2b4 a5d8 c3a4 e7g6 f4g3 h7h5 b5c6 b7c6,-19
r1bqk1nr/3pppbp/p1n3p1/1pp5/4P3/2NPB1P1/PPP2PBP/R2QK1NR w KQkq -,e3c5 b5b4 c3a4 a8b8 a2a3 a6a5 g1f3 d7d6 c5e3 g8f6,97
rnbq1rk1/pp2pp1p/2pp1npQ/8/3PP1P1/2N2P2/PPP5/R3KBNR w KQ -,e4e5 d6e5 d4e5 f8e8 e5f6 e7f6 g1e2 d8d6 h6h7 g8f8,546
6k1/1p2pp1p/3pb1p1/1P6/4P3/1Pr2P2/4B1PP/R5K1 w - -,a1a8 g8g7 a8b8 c3b3 b8b7 b3b2 g1f1 g7f6 h2h4 b2b4,-2
r1b1k2r/p3pp1p/3p2p1/q1pP4/Np2nP1Q/1P1B4/P1P3nP/R3K1NR w KQkq -,e1f1 g2h4 d3e4 c5c4 a4b2 c4c3 b2c4 a5c5 a1e1 c8f5,-746
3r4/pkp4p/6p1/2p1B3/5PP1/2P1R3/P1b4P/6K1 w - -,g1g2 d8d2 g2g3 a7a5 a2a3 b7c6 e3f3 a5a4 f3f2 d2f2,8
r4rk1/1bq2pbp/p2pp1p1/np1B4/3NPP2/1P1QB2P/P1P3P1/R4RK1 w - -,d5b7 a5b7 b3b4 e6e5 f4e5 d6e5 d4b3 a8c8 a2a4 f8d8,-50
5rk1/1p3nbp/5pp1/PPn1pb2/2Pp4/5NP1/5PBP/RN3RK1 w - -,f3d2 e5e4 g3g4 f5e6 d2e4 c5b3 a1a4 f6f5 e4d2 b3c5,272
8/1P6/3k4/3p4/1Rp1r1P1/2P1K3/8/8 w - -,b1d2 f5d3 f1c1 e5e4 f3e1 f6f5 e1d3 c5d3 c1b1 d3c5,Mate
4r1k1/5pbp/3B2p1/2PPp3/4P3/3b1N2/4NPPP/5K2 w - -,f3e1 d3c4 c5c6 e8a8 c6c7 f7f5 f2f3 g8f7 f3f4 e5f4,-66
8/8/3k3B/6R1/4B3/2P5/P1P2KPP/8 w - -,f3e1 d3c4 c5c6 e8a8 c6c7 f7f5 f2f3 g8f7 f3f4 e5f4,Mate
8/8/8/7b/8/8/5Q2/3k2K1 w - -,f3e1 d3c4 c5c6 e8a8 c6c7 f7f5 f2f3 g8f7 f3f4 e5f4,Mate
r4rk1/2q1bppp/pp1p4/4pP2/P3b3/1N2B1Q1/1PP3PP/R4RK1 w - -,e3h6 e7f6 b3d2 c7c2 h6g7 f6g7 d2e4 c2e4 f5f6 e4g6,-126
r4rk1/pp3pp1/5b1p/3ppP2/2q1P3/P1N5/1PP3PP/R3QRK1 w - -,c3d5 c4c2 e1c1 c2c1 a1c1 a8c8 g1f2 f6g5 c1c3 c8c6,55
r2qkb1r/3n1p1p/p2pb1p1/1p2p1P1/2n1PP2/1NN1B3/PPPQ3P/2KR1B1R w kq -,d2e2 e6g4 e2g4 c4e3 g4f3 e3d1 f3d1 e5f4 c3d5 f8g7,-363
8/1k3p2/4pP1p/KP1pP1p1/3P2P1/8/8/8 w - -,,0
