3rr3/1b5Q/p2pp1p1/2p1k1q1/1nP1P3/1PN5/P5BP/5R1K w - -,f2f3 g4f6 h4h5 f8h8 g2g4 b7b5 e1a1 b5b4 c3e2 a7a5,Mate
8/8/6R1/8/8/1k2K3/8/R7 w - -,f3h4 b4c3 b2c3 b6c4 e3g5 f5e4 d1g4 f7f5 g4g3 d8d7,Mate
8/8/pp6/5knp/1P1p4/P2N1KP1/5P2/8 w - -,,0
8/5p2/k1r3p1/P6p/6PP/5PK1/R7/8 w - -,a2a4 c6c7 g4h5 g6h5 g3f4 c7c5 a4e4 c5a5 e4e7 f7f6,434
r1bqkb1r/pp1pp1pp/5n2/1Pp2P2/3n4/P7/2PP1PPP/RNBQKBNR w KQkq -,g2g4 d8c7 f1g2 d7d5 g1e2 f6g4 e2d4 c7e5 d4e2 e5a1,-33
4r2r/2k3p1/p1Pb4/2p2p1p/R5b1/5NN1/PPP3PP/2K4R w - -,b2b3 g7g6 f3h4 e8e6 a4a6 g6g5 h4f5 d6f4 c1b1 h5h4,-192
2rq1rk1/1p2bppp/p1npbn2/4p3/4P3/1PN2P2/PBPQN1PP/1K1R1B1R w - -,c3d5 a6a5 d5e7 d8e7 e2c3 f8d8 c3d5 e6d5 e4d5 c6d4,106
1Q6/8/8/3K4/8/8/2k5/5B2 w - -,h1g1 d8a5 g2g4 e7d8 g1h1 d8b6 g4g5 f6h5 h2h4 c6d4,Mate
r3qr2/1ppb1pbk/n2p2p1/p1nPp1Pp/2P1P2P/2N1BP1N/PP1Q2B1/R5KR w - -,h1h2 b7b6 a1b1 c5a4 c3d1 a4c5 b2b3 c7c6 d1c3 e8d8,72
r1bqk2r/pp1pbppp/n3pn2/2p5/3P1B2/4PN1P/PPP2PP1/RN1QKB1R w KQkq -,a2a4 e8h8 c2c3 b7b6 f1d3 c8b7 e1h1 c5d4 e3d4 a6c7,50
r3k2r/1p1b1n1p/1qn2p2/pNbp4/P2Np3/2PB1Q2/1P3PPP/R1B1R1K1 w kq -,f3f6 c6d4 f6b6 d4f3 g2f3 c5b6 c1f4 h8g8 f4g3 e8a8,96
r5k1/5pp1/1R1p3p/3Pp3/8/p3PP2/5PKP/q7 w - -,f3f6 c6d4 f6b6 d4f3 g2f3 c5b6 c1f4 h8g8 f4g3 e8a8,Mate
1rbq1rk1/p4ppp/3p1b2/2pp4/3P4/2PB1N1P/PP3PP1/R2QR1K1 w - -,e1e2 g7g6 d1c1 g8g7 a1b1 h7h5 c1f4 b8b6 b2b3 a7a5,-21
8/3b4/4k3/1p4PK/1P3p2/5P2/8/8 w - -,e1e2 g7g6 d1c1 g8g7 a1b1 h7h5 c1f4 b8b6 b2b3 a7a5,Mate
r1bq1rk1/4ppbp/n1p2np1/6B1/pp6/P1NP1Q2/BPP1NPPP/R3K2R w KQ -,a3b4 a6b4 a2b1 b4d5 e1h1 c8g4 f3g3 g4e2 c3e2 d8b6,-117
8/8/8/2k5/6R1/4K3/8/1R6 w - -,a3b4 a6b4 a2b1 b4d5 e1h1 c8g4 f3g3 g4e2 c3e2 d8b6,Mate
2rq1rk1/pp2nppp/4p3/3n1b2/1b1P4/1B2BN1P/PP2NPP1/2RQ1RK1 w - -,c1c8 d8c8 e3d2 c8c7 f3e5 f8d8 b3d5 b4d2 d1d2 e7d5,-21
8/3b4/7K/1p2k1P1/1P3p2/5P2/8/8 w - -,c1c8 d8c8 e3d2 c8c7 f3e5 f8d8 b3d5 b4d2 d1d2 e7d5,Mate
1rbq1rk1/p4p1p/3p1bp1/2pp4/3P4/2PB1N1P/PPQ2PP1/R3R1K1 w - -,c2b1 g8g7 b1c1 c8e6 a1b1 c5d4 c3d4 b8b4 b2b3 d8b6,-50
8/3b4/6PK/1p6/1P1k1p2/5P2/8/8 w - -,c2b1 g8g7 b1c1 c8e6 a1b1 c5d4 c3d4 b8b4 b2b3 d8b6,Mate
r4rk1/3n1pp1/2p3p1/pp6/3P2P1/1BP2K1P/P4P2/R4R2 w - -,a2a4 f8c8 f1b1 g6g5 b3c2 d7b6 c2f5 c8c7 a4b5 c6b5,17
2b2bk1/1N3p2/1q5r/4P1p1/4B3/1P2PPPp/7K/Q4R2 w - -,e5e6 h6e6 b7a5 c8a6 f1e1 f8b4 a5c4 a6c4 b3c4 b4e1,-71
8/6P1/4b2K/1p6/1P1k1p2/5P2/8/8 w - -,e5e6 h6e6 b7a5 c8a6 f1e1 f8b4 a5c4 a6c4 b3c4 b4e1,Mate
1Q6/8/8/3K4/2B5/8/3k4/8 w - -,e5e6 h6e6 b7a5 c8a6 f1e1 f8b4 a5c4 a6c4 b3c4 b4e1,Mate
4r2r/2k3p1/p1Pb4/2p2p2/R5bp/5NN1/PPP3PP/2K2R2 w - -,a4a6 h4g3 h2g3 e8a8 a6a8 h8a8 f3h2 a8a2 c1b1 a2a4,-380
2q2rk1/pp2nppp/4p3/3n1b2/1b1P4/1B2BN1P/PP2NPP1/3Q1RK1 w - -,e3d2 f8d8 f3e5 c8c7 b3d5 b4d2 d1d2 d8d5 d2e3 h7h6,-23
8/6P1/4b1K1/1p6/1P3p2/4kP2/8/8 w - -,e3d2 f8d8 f3e5 c8c7 b3d5 b4d2 d1d2 d8d5 d2e3 h7h6,Mate
8/8/pp2n1p1/5k1p/1P1p3P/3N1KP1/P4P2/8 w - -,,0
1rbq1rk1/p4p1p/3p1bp1/3p4/2pP4/2PBRN1P/PPQ2PP1/R5K1 w - -,b2b3 c4d3 c2d3 h7h5 b3b4 c8f5 d3e2 d8d7 a2a4 b8e8,-448
3r2k1/p5p1/2p1pn1p/4q3/3pP3/1PPQ1R1P/P5P1/5RK1 w - -,b3b4 c6c5 b4c5 e5c5 g1h1 d8d7 f1e1 c5e5 d3c4 g8h7,321
6b1/6P1/5K2/1p6/1P3p2/4kP2/8/8 w - -,b3b4 c6c5 b4c5 e5c5 g1h1 d8d7 f1e1 c5e5 d3c4 g8h7,Mate
8/1k2PK2/8/8/8/2R5/5r2/8 w - -,f7e6 f2e2 e6d7 e2d2 d7e8 d2f2 c3g3 b7c7 g3g7 f2f6,20000
r5k1/5pp1/3R3p/3Pp3/8/4PP2/p4PKP/q7 w - -,f7e6 f2e2 e6d7 e2d2 d7e8 d2f2 c3g3 b7c7 g3g7 f2f6,Mate
7r/pQnk1r1p/4pP2/3p4/2pP1R2/P3P3/2P1N1NK/5R2 w - -,g2h4 e6e5 d4e5 h8e8 h4f3 h7h5 e2d4 a7a5 b7c6 d7d8,1561
r4r2/1ppbqpbk/n2p2p1/p1nPp1Pp/2P1P2P/2N1BP1N/PP1Q2BR/R5K1 w - -,g1h1 a5a4 g2f1 e7e8 a1b1 c7c6 b2b4 a4b3 a2b3 a6b4,78
r1bqk2r/1pp2ppp/2np1n2/p3p3/2PP4/P1Q1PN2/1P3PPP/R1B1KB1R w KQkq -,d4e5 f6e4 c3c2 e4c5 e5d6 d8d6 c1d2 c8g4 f1e2 d6e6,76
1rb2rk1/p4p1p/1q1p1bp1/3p4/2pP4/2P1RN1P/PPQ2PP1/R4BK1 w - -,c2a4 b6b2 a1e1 c8e6 h3h4 b2b5 a4d1 e6g4 g2g3 g8g7,-141
8/1k2P3/6K1/8/8/2R5/4r3/8 w - -,c2a4 b6b2 a1e1 c8e6 h3h4 b2b5 a4d1 e6g4 g2g3 g8g7,Mate
6b1/6P1/8/1p3K2/1P3p2/5k2/8/8 w - -,c2a4 b6b2 a1e1 c8e6 h3h4 b2b5 a4d1 e6g4 g2g3 g8g7,Mate
2qr2k1/pp2nppp/4p3/3n1b2/1b1P1N2/1B2BN1P/PP3PP1/3Q1RK1 w - -,f4d5 e7d5 f3e5 b4d6 e3g5 f7f6 g2g4 f5g4 d1g4 d6e5,-2
6b1/6P1/8/1p4K1/1P3p2/8/4k3/8 w - -,g5f4 e2d2 f4e5 d2c3 e5e4 c3b4 e4d4 b4a4 d4e5 b5b4,-830
1r3rk1/p4p1p/1q1p1bp1/3p1b2/2pP4/2P2N1P/PPQ1RPP1/R4BK1 w - -,c2f5 g6f5 a1b1 b6a5 b2b4 c4b3 b1b3 f8c8 e2c2 b8b3,-563
r1r3k1/5pp1/1np3p1/pp6/P2P2P1/1BP2K1P/5P2/R3R3 w - -,e1e7 b6d5 b3d5 c6d5 a4b5 c8c3 f3f4 c3b3 a1e1 a8f8,24
q1r1r1k1/1bbn1ppp/pp1ppn2/8/2PNPP2/1PN3P1/P2RQBBP/2R3K1 w - -,b3b4 h7h6 b4b5 c7b8 b5a6 a8a6 d4b5 d7c5 d2d6 b8d6,67
2q2r1k/4Q1b1/p2p2Pp/1p1P4/2p1P3/5RP1/P3K3/3N4 w - -,e7e6 c8e6 f3f8 e6g8 f8g8 h8g8 d1e3 h6h5 e3f5 g7e5,-126
8/8/pp4p1/1n3k1p/1P1p1N1P/P4KP1/5P2/8 w - -,,0
4r3/2k3p1/p1Pb4/2p2p2/R5br/6N1/PPP3PP/2K2R2 w - -,a2a3 g7g6 h2h3 g4e2 a4h4 e2f1 g3f1 e8e1 c1d2 e1f1,-399
2qr2k1/pp3ppp/4p3/3n1b2/1b1P4/1B2BN1P/PP3PP1/3Q1RK1 w - -,d1e2 h7h6 f1c1 c8d7 f3e5 d7e7 b3d5 d8d5 g2g4 f5h7,-10
r1b2rk1/1pp1qppp/2nppn2/p7/2PP4/P1Q1PN2/1P2BPPP/R1B1K2R w KQ -,b2b3 e6e5 d4d5 c6b8 f3d2 b7b5 c4b5 f6d5 c3c2 b8d7,37
r1r3k1/4Rpp1/2p3p1/pp1n4/P2P2P1/1BP2K1P/5P2/R7 w - -,b3d5 c6d5 a4b5 c8c3 f3g2 c3b3 a1c1 b3b5 c1c7 a8f8,15
r1b1kb1r/pp3ppp/2p1p3/q2n4/3Pn2B/2N1PN2/PP2BPPP/R2QK2R w KQkq -,d1a4 f8b4 a4a5 b4a5 e1h1 e4c3 b2c3 d5c3 e2d3 c8d7,-58
1r3rk1/p4p1p/1q1p1bp1/3p4/2pP4/2Pb1N1P/PP1QRPP1/R4BK1 w - -,a1e1 d3e2 e1e2 f8e8 e2e8 b8e8 g2g3 g8g7 f3h2 h7h5,-296
8/8/p5p1/Pp3k1p/1P1p1N1P/2n2KP1/5P2/8 w - -,,0
4b1k1/2q4p/3p1b2/2pP1p2/1pP2Pp1/rP1N3P/2QN2P1/3R2K1 w - -,d1e1 e8g6 g1h2 c7a7 d3c1 a7g7 d2f1 a3a1 c1d3 a1e1,-111
4r3/2k3p1/p1Pb4/2p2N2/R6r/8/PPP1b1PP/2K2R2 w - -,f5d6 c7d6 a4h4 e2f1 h4f4 f1g2 f4g4 e8e2 g4g7 d6c6,-187
6b1/6P1/8/1p6/1P3K2/8/3k4/8 w - -,f5d6 c7d6 a4h4 e2f1 h4f4 f1g2 f4g4 e8e2 g4g7 d6c6,Mate
8/8/p5p1/Pp3k1p/1P1p3P/3N1KP1/n4P2/8 w - -,f3g2 f5f6 g2f1 f6e7 f1e1 e7d6 f2f3 d6d5 e1d2 d5c4,58
3r2k1/ppq2ppp/4p3/3n1b2/1b1P4/1B2BN1P/PP2QPP1/5RK1 w - -,,0
r3r1k1/p4pp1/2p5/2b3q1/3Bp1b1/1P4p1/P1Q1NP1P/R3R1K1 w - -,f2g3 c5d4 e2d4 e4e3 d4e2 a8d8 c2c6 g5f5 e1f1 f5h5,-432
1r3rk1/p4p1p/1q1p1bp1/3p4/2pP4/2P1RN1P/PP1Q1PP1/R4bK1 w - -,a2a4 f1d3 b2b4 b6d8 a1e1 d3e4 h3h4 e4f3 e3f3 f6h4,-464
r1b2rk1/1pp1qppp/2np1n2/p3p3/2PP4/P1Q1PN2/1P2BPPP/R1B2RK1 w - -,d4d5 c6b8 b2b4 a5b4 a3b4 f6e4 c3b2 a8a1 b2a1 c8g4,24
r1r3k1/4Rpp1/6p1/pp1p4/P2P2P1/2P2K1P/5P2/R7 w - -,a4b5 c8c3 f3g2 c3b3 a1c1 b3b5 c1c7 a8f8 e7d7 g6g5,4
r1b1kb1r/pp3ppp/2p1p3/q7/3Pn2B/2n1PN2/PP2BPPP/R2Q1RK1 w kq -,b2c3 e4c3 d1d2 c3e2 d2e2 f7f6 e3e4 f8e7 e4e5 e8h8,-44
k7/2K5/P7/8/8/8/8/8 w - -,,0
1r3rk1/p4p1p/3p1bp1/3p4/2pP4/2P1RN1P/Pq1Q1PP1/5RK1 w - -,d2b2 b8b2 g2g4 f8b8 f1e1 g8g7 e3e8 f6d8 g1g2 d8a5,-179
rnb2rk1/1pp1qppp/3p1n2/p2Pp3/2P5/P1Q1PN2/1P2BPPP/R1B2RK1 w - -,f3d2 a5a4 b2b4 a4b3 a3a4 b8a6 d2b3 f6e4 c3b2 e7g5,31
6b1/6P1/8/1p2K3/1P6/2k5/8/8 w - -,c3c2 a5a4 c1d2 b8d7 d2c3 d7c5 f3d2 c8d7 a1e1 f6g4,Mate
r2q1rk1/p4pp1/2p4p/n1b5/2P2B2/3Pn2P/PP2B2P/RN1Q1R1K w - -,d1a4 e3f1 b1d2 f1e3 d2e4 c5d4 e2f3 e3f5 a1f1 d4e3,-395
r1bq1rk1/pp1pbppp/n3pn2/2p5/P2P1B2/4PN1P/1PP2PP1/RN1QKB1R w KQ -,c2c3 b7b6 f1d3 c8b7 e1h1 a6c7 f1e1 c5d4 e3d4 a7a6,40
r1b1kb1r/pp3ppp/2p1p3/q7/3P3B/2n1PN2/P3BPPP/R2Q1RK1 w kq -,d1d2 c3e2 d2e2 f7f6 e3e4 f8e7 e4e5 e8h8 e5f6 g7f6,-39
5r1k/6b1/p2Q2Pp/1p1P4/2p1P1q1/5RP1/P3K3/3N4 w - -,e2e1 g4f3 d6f8 g7f8 d5d6 f8d6 a2a3 d6a3 e1d2 a3b4,-3831
3b4/2R3p1/4pk1p/1r6/4P3/4B1P1/5PKP/8 w - -,e4e5 f6g6 c7d7 d8a5 d7e7 a5b4 e7e6 g6f5 e6a6 f5e5,178
5r2/pQnk1rR1/4pP2/3p3p/2pP4/P3P3/2P1N1NK/5R2 w - -,c7c8 d8e7 c8c7 f6f7 h2h4 f7f8 e3d4 g7g6 c7c8 f8f7,Mate
6b1/6P1/3K4/1p6/1k6/8/8/8 w - -,c7c8 d8e7 c8c7 f6f7 h2h4 f7f8 e3d4 g7g6 c7c8 f8f7,Mate
r2q1rk1/p4pp1/2p4p/n7/2P5/3Pb2P/PP2B2P/RN1Q1R1K w - -,b1a3 a5b7 e2f3 d8d7 d1e2 e3d4 e2g2 b7d8 a1d1 a8b8,58
3r2k1/pp3ppp/3qp3/3n1b2/1b1P4/1B2BN1P/PP2QPP1/2R3K1 w - -,f3h4 d5e3 e2e3 d6d4 h4f5 e6f5 e3d4 d8d4 c1c8 b4f8,11
3rk2r/R6p/1pp2pp1/4p3/P1b1P3/4B3/1PP2PPP/3R2K1 w - -,d1d8 e8d8 a7a8 d8c7 a8h8 b6b5 h8h7 c7b8 a4b5 c4b5,744
r5k1/4Rpp1/6p1/pP1p4/3P2P1/1r5P/5PK1/R7 w - -,e7b7 a5a4 a1c1 a4a3 b5b6 a3a2 b7a7 a8b8 a7a2 b3b6,14
1r3rk1/p4p1p/3p1bp1/3p4/2pP4/2P1RN1P/q4PP1/4QRK1 w - -,h3h4 a7a5 h4h5 a5a4 f3h2 f6g7 h5g6 h7g6 e3e2 b8b2,-205
6b1/6P1/2K5/1p6/2k5/8/8/8 w - -,h3h4 a7a5 h4h5 a5a4 f3h2 f6g7 h5g6 h7g6 e3e2 b8b2,Mate
r1b1k2r/pp3ppp/2pbp3/q7/3P3B/4PN2/P3QPPP/R4RK1 w kq -,f3d2 a5c7 e2g4 f7f5 g4h5 c7f7 h5e2 b7b6 h4g3 d6g3,-22
2kr3r/1p1bqn1p/2n5/pN1ppp2/P7/2PBBQ2/1P3PPP/R3R1K1 w - -,f3h5 h8f8 d3f5 e7f6 f5g4 f6g7 g4d7 d8d7 f2f4 f8g8,230
4b1k1/2q4p/3p4/2pP4/1pPbNPp1/rP1N4/2Q3P1/3R2K1 w - -,d3f2 c7g7 e4g3 g7f6 c2e2 e8d7 f4f5 f6h4 d1d4 c5d4,-273
6b1/6P1/1K6/8/1pk5/8/8/8 w - -,d3f2 c7g7 e4g3 g7f6 c2e2 e8d7 f4f5 f6h4 d1d4 c5d4,Mate
r5k1/1R3pp1/6p1/1P1p4/p2P2P1/1r5P/5PK1/R7 w - -,a1c1 a4a3 b5b6 a3a2 b7a7 a8b8 a7a2 b3b6 c1c5 b8d8,11
1r3rk1/p4p1p/3p1bp1/3p4/q1pP4/2P2N1P/4RPP1/4QRK1 w - -,e1c1 g8g7 h3h4 h7h5 c1a1 a4a1 f1a1 b8b3 e2c2 f8a8,-213
q1r1r1k1/1bbn1ppp/p2ppn2/1p6/2PNPP2/1PN3P1/P2RQBBP/3R2K1 w - -,d4c2 c7a5 b3b4 c8c4 b4a5 c4c3 d2d6 b7e4 g2e4 a8e4,-115
6b1/6P1/8/K7/2k5/1p6/8/8 w - -,d4c2 c7a5 b3b4 c8c4 b4a5 c4c3 d2d6 b7e4 g2e4 a8e4,Mate
r2q2k1/pp3pp1/1bpp3p/3rn3/1P2N3/PQ5P/1B3PP1/R3R1K1 w - -,a1d1 d5d1 e1d1 d8h4 b2e5 h4e4 e5d6 a8d8 d6g3 d8d4,-195
8/8/p5p1/Pp1n1k1p/1P1p3P/3N1KP1/5P2/8 w - -,,0
r5k1/1R3pp1/6p1/1P1p4/3P2P1/pr5P/5PK1/2R5 w - -,b5b6 a3a2 b7a7 a8b8 a7a2 b3b6 c1c5 b8d8 g4g5 b6b4,14
2r1kr2/R6p/1pp2pp1/4p3/P1b1P3/4B3/1PP2PPP/3R2K1 w - -,a7h7 c4g8 h7b7 f8f7 b7b6 f7d7 d1d7 e8d7 b6b7 c8c7,509
r5k1/5pp1/2R4p/3Pp3/8/4PP2/p4PKP/1q6 w - -,a7h7 c4g8 h7b7 f8f7 b7b6 f7d7 d1d7 e8d7 b6b7 c8c7,Mate
3r2k1/pp3ppp/3qp3/b2n1b2/3P4/PB2BN1P/1P2QPP1/2R3K1 w - -,b3d5 e6d5 e3d2 a5b6 d2b4 d6f4 c1c3 f5e4 b4e7 e4f3,1
r1b1k1nr/ppppqp1p/2n5/1B6/3pP3/5N2/PPP2PPP/RN1QK2R w KQkq -,e1h1 g8f6 f1e1 h8g8 e4e5 f6d5 b1d2 d5f4 g2g3 e8f8,189
6k1/2q4p/3p2b1/2pP4/1pPbNPp1/rP6/2Q2NP1/3R2K1 w - -,f4f5 g6f5 e4f6 d4f6 c2f5 f6d4 f5g4 g8h8 d1d4 c5d4,-6
r5k1/1R3pp1/1P4p1/3p4/3P2P1/1r5P/p4PK1/2R5 w - -,b7a7 a8b8 a7a2 b3b6 c1c5 b8d8 g4g5 b6b4 a2d2 b4b7,17
8/8/p5p1/Pp3k1p/1P1p3P/3N2P1/n2K1P2/8 w - -,f2f3 g6g5 h4g5 f5g5 d2c2 g5f5 c2b3 a2c3 d3c5 c3a4,169
r3kb1r/ppq1pppp/2n2n2/3p2B1/3P2b1/5N2/PPP1BPPP/RN1Q1RK1 w kq -,c2c4 d5c4 b1d2 a8d8 d1a4 c7a5 a4c4 e7e6 c4b5 a5c7,27
3r2k1/pp3ppp/3q4/b2p1b2/3P4/P3BN1P/1P2QPP1/2R3K1 w - -,,0
r2q1rkb/1ppb1p1p/3p1npP/p1nPp3/2P1P3/2N1B3/PPQ1BPP1/R3K1NR w KQ -,e1a1 d8e7 f2f3 f6h5 g2g4 h5f4 g1h3 c5a4 c3a4 d7a4,87
1r4k1/R4pp1/1P4p1/3p4/3P2P1/1r5P/p4PK1/2R5 w - -,c1c5 b8b6 a7a2 g6g5 c5d5 b3d3 a2a8 g8h7 d5g5 d3d4,12
r4rk1/pQ3ppp/2n1p3/q6b/3P4/P1P1nN1P/4BPP1/R4RK1 w - -,f2e3 a5c3 a1e1 a8b8 b7c7 c3e3 g1h1 e3c3 e1c1 c3b2,-52
r1bq1rk1/pp1pbppp/n3p3/2pn4/P2P1B2/2P1PN1P/1P3PP1/RN1QKB1R w KQ -,f4h2 c5d4 e3d4 a6c7 f1e2 c7e8 e1h1 e7d6 h2d6 e8d6,50
r4rk1/pQ3ppp/2n1p3/7b/3P4/P1q1PN1P/4B1P1/R4RK1 w - -,a1e1 a8b8 b7c7 b8c8 c7f4 c3a3 e1a1 a3e7 e2a6 c8d8,-49
3r2k1/pp4pp/3q1p2/b2p1bB1/3P4/P4N1P/1P2QPP1/2R3K1 w - -,g5d2 a5c7 e2d1 h7h6 d1b3 d6b6 b3b6 c7b6 d2e3 d8d7,-29
r1bqkb1r/ppp3pp/2n2n2/3p4/3Np3/2P1P1B1/PP3PPP/RN1QKB1R w KQkq -,d4b5 f8d6 b5d6 c7d6 f1e2 h7h5 g3h4 c8e6 b1a3 e8h8,89
6k1/R4pp1/1r4p1/2Rp4/3P2P1/1r5P/p4PK1/8 w - -,a7a2 g6g5 c5d5 b3d3 a2e2 b6b4 d5d8 g8h7 d4d5 b4b5,8
2rk1b1r/p2q1ppp/Ppnnp3/3p4/3P1B2/1PN3Q1/4NPPP/R4RK1 w - -,f1d1 f7f6 h2h4 h7h5 g3h3 d8e8 a1c1 f8e7 f4d6 e7d6,-135
r1bq1rk1/ppp2ppp/2n5/3n4/2B2B2/2QP1N2/PPP3PP/2KR3R w - -,c3b3 d5f4 h1f1 c6a5 b3b4 a5c4 d3c4 d8f6 f3g1 f6h6,-414
rn1q1rk1/pp2ppb1/2p3p1/2PB2p1/3P2b1/2N2N2/PP3PPP/R2QR1K1 w - -,h2h3 g4f3 d5f3 g7d4 d1b3 b8d7 a1d1 e7e5 b3b7 d7c5,-32
3r2k1/pp4pp/1b1q1p2/3p1b2/3P4/P4N1P/1P1BQPP1/2R3K1 w - -,d2b4 d6d7 e2d2 b6c7 f3h2 d8a8 d2e3 f5g6 h2f1 h7h6,-24
2r1k3/R2R1r1p/1pp2pp1/4p3/P1b1P3/4B3/1PP2PPP/6K1 w - -,d7f7 c4f7 e3b6 c6c5 a4a5 f6f5 f2f3 h7h5 g1f2 f5e4,500
4rrk1/p4p1p/3p1bp1/3p4/q1pP4/2P1RN1P/5PP1/4QRK1 w - -,e1d2 a7a5 e3e8 f8e8 d2f4 g8g7 f4d6 a4b3 g2g4 b3c3,-249
r1k2b1r/2pbnpp1/1p5p/p1p1P3/P5P1/1PN2N1P/1BP2P2/3R1RK1 w - -,g1h2 e7g6 h2g3 f8e7 c3d5 e7d8 c2c4 h6h5 f1e1 h5h4,29
8/8/p5p1/Pp3k1p/1P1p3P/2nN2P1/4KP2/8 w - -,,0
r5k1/5pp1/2RP3p/4p3/8/4PP2/5PKP/qq6 w - -,e2f3 c3d5 f3g2 f5g4 f2f3 g4f5 g2f2 g6g5 h4g5 f5g5,Mate
6k1/1p3pp1/8/8/2n2P2/1P4P1/K3r3/8 w - -,e2f3 c3d5 f3g2 f5g4 f2f3 g4f5 g2f2 g6g5 h4g5 f5g5,Mate
r1bqkbnr/pp2p1pp/3p2n1/1Pp2p2/4PP2/P7/1BPP2PP/RN1QKBNR w KQkq -,g2g3 f5e4 d2d3 e7e5 f4e5 g6e5 d3e4 d8g5 f1e2 g8f6,-45
q1r1r1k1/1b1n1ppp/p2ppn2/bP6/3NPP2/1PN3P1/P2RQBBP/3R2K1 w - -,d4c6 a5c3 d2d6 a6b5 c6a7 c8c5 a7b5 c3b4 d6d4 a8a5,-197
r4rk1/pQ3ppp/2n1p3/7b/3P4/P3qN1P/4B1P1/2R2RK1 w - -,g1h1 h5f3 e2f3 c6d4 f3g4 a7a5 a3a4 h7h6 b7c7 f7f5,-218
rnb1kb1r/pp3ppp/3p1q2/2pPp3/4P3/2N5/PPP2PPP/R2QKBNR w KQkq -,g1f3 c8g4 f1e2 g4f3 e2f3 f6d8 g2g3 g7g6 h2h4 h7h5,73
8/8/p5p1/Pp1n1k1p/1P1p3P/3N2P1/3K1P2/8 w - -,,0
3r2k1/pp1q2pp/1b3p2/3p1b2/1B1P4/P4N1P/1P2QPP1/2R3K1 w - -,e2d2 b6c7 f3h2 d8e8 h2f1 h7h6 c1e1 f5e4 f2f3 e4g6,-23
r1bqk2r/ppp1b1pp/2np1n2/8/3Np3/2P1P1B1/PP3PPP/RN1QKB1R w KQkq -,c3c4 h7h5 h2h4 e8h8 b1c3 d8e8 f1e2 e7d8 e1h1 a7a6,37
r1bq1rk1/pp2bppp/2n5/1Bpp4/3P2n1/2N1BN2/PPP2PPP/R2Q1RK1 w - -,e3c1 c5d4 f3d4 c6d4 d1d4 c8e6 h2h3 e7f6 d4b4 d5d4,-16
5rk1/p4p1p/3p1bp1/3p4/q1pPr3/2P1RN1P/4QPP1/5RK1 w - -,e2d2 a7a5 e3e1 e4e1 f1e1 f8e8 e1b1 a4d7 b1a1 e8a8,-255
1r3k2/5p2/2p2p1p/2b1pP2/1p2B1PP/8/1PP1KP2/R7 w - -,a1a6 b8c8 e4c6 c5d4 b2b3 f8e7 f2f3 c8d8 a6a4 d4c3,142
4r1k1/p4p1p/3p1bp1/3p4/q1pPr3/2P1RN1P/4QPP1/4R1K1 w - -,e2d2 e4e3 e1e3 e8e3 d2e3 a4c2 g1h2 a7a5 e3f4 f6e7,-356
rnbqkb1r/pppp1ppp/3n4/8/3P4/5N2/PP3PPP/RNBQKB1R w KQkq -,b1c3 f8e7 f1d3 e8h8 d1c2 h7h6 c1e3 b7b5 a2a3 d6c4,48
6k1/R4pp1/1r4p1/3R4/3P2P1/7P/pr3PK1/8 w - -,d5d8 g8h7 g4g5 b6b8 d8b8 b2b8 a7a2 b8b4 a2d2 h7g8,69
3r2k1/p5p1/2p1p2p/4q2n/2PpP3/1P1Q1R1P/P5P1/5RK1 w - -,b3b4 h5f6 f1d1 a7a5 b4b5 c6c5 d3d2 e5c7 e4e5 f6d7,186
r1bqkbnr/pp2p1pp/3p2n1/1Pp4Q/4pP2/P7/1BPP2PP/RN2KBNR w KQkq -,d2d3 e7e5 f4f5 g8f6 h5g5 g6f4 g1e2 h7h6 g5g3 d8e7,-145
5rk1/p4p1p/3p1bp1/3p4/q1pPr3/2P1RN1P/3Q1PP1/5RK1 w - -,f1e1 f8e8 e3e4 d5e4 f3h2 h7h5 h2f1 a4a5 f1e3 f6g5,-246
3R4/R4ppk/1r4p1/8/3P2P1/7P/pr3PK1/8 w - -,g4g5 f7f6 h3h4 b6b7 a7a8 b7b8 d8b8 b2b8 a8a2 b8b4,57
7k/pp4rp/2p4R/3pN3/3Pn2Q/2P3PR/4q2K/8 w - -,,0
r4rkb/1ppbqp1p/3p1npP/2nPp3/p1P1P3/2N1B2N/PPQ1BPP1/2KR3R w - -,f2f3 f6h5 g2g4 h5g3 h1g1 g3e2 c2e2 h8f6 e3c5 d6c5,85
1r1b1rk1/1p1qnppp/p2pb3/3Np3/P3P3/4B3/1PP1BPPP/R2Q1RK1 w - -,c2c4 e6d5 c4d5 f7f5 d1b3 f5e4 e2a6 e7f5 a6b5 d7e7,59
r1bq1rk1/pp3ppp/8/1B1p2b1/3n4/2N2Q2/PPP3PP/R4RK1 w - -,f3g3 d4c2 a1b1 c2e3 f1f3 c8f5 f3e3 g5e3 g3e3 d5d4,-576
3b4/2R3p1/4p2p/1r2k3/8/4B1P1/5PKP/8 w - -,c7g7 h6h5 e3g5 d8a5 g7h7 e5e4 h7h5 a5b6 h5h6 b6f2,491
r4rk1/pQ3ppp/2n1p3/8/3P4/P3qb1P/4B1P1/2R2R1K w - -,e2f3 c6d4 f3g4 a7a5 a3a4 h7h6 b7c7 f7f5 c1e1 e3d2,-203
