2R2qk1/p4ppp/1p3n2/3pN3/3P4/4P3/PP3PPP/6K1 w - -,c8c3 h7h5 a2a3 f6e8 e3e4 d5e4 g2g4 e8d6,-391
r3kb1r/pb3ppp/2q5/1p1n4/2p5/6P1/PP1B1PBP/RN1Q1RK1 w kq -,f1e1 f8e7 b1c3 a8d8 c3d5 d8d5 d2b4 e8h8 g2d5 e7b4,519
8/2k2p2/1b3p1p/4n2Q/2p4P/2P3P1/5P2/6K1 w - -,g1g2 b6a5 h5h6 a5c3 h6f6 c3b2 h4h5 c7d7 h5h6 b2d4,646
5k2/p4ppp/1p3n2/3pN3/3P4/4P3/PP3PPP/6K1 w - -,e5c6 a7a5 c6a7 f6e8 a7c8 b6b5 g1f1 f7f6 c8b6 e8c7,251
r1bqk1nr/p4ppp/2p1p3/2bp4/4P3/2PB4/PP3PPP/RNBQK2R w KQkq -,e1h1 g8e7 b1d2 e8h8 d1h5 f7f5 e4d5 e6e5 b2b4 c5b6,11
rn1qk2r/ppp2ppp/4pn2/3p4/1bPP1Pb1/4PN2/PP4PP/RNBQKB1R w KQkq -,c1d2 b4d2 b1d2 e8h8 f1e2 c7c5 d4c5 d8e7 h2h3 g4f3,-20
r3k1nr/ppp1qppp/2nbb3/8/4P3/2N1B3/PPP2PPP/R2QKBNR w KQkq -,c3d5 e6d5 e4d5 c6e5 f1b5 c7c6 d5c6 b7c6 b5a4 e8a8,90
rnbqk2r/p2p1ppp/1p2pn2/8/2Pp1B2/P7/1P1NPPPP/R2QKB1R w KQkq -,f4b8 a8b8 d2f3 c8b7 d1d4 e8h8 e2e3 b8c8 f1e2 d7d5,-52
r1bq1rk1/p3ppbp/1pn2np1/2pp4/3P1P2/2PBPN2/PP1N2PP/R1BQ1RK1 w - -,a1b1 d8c7 d1e2 e7e6 f3e5 c6e7 b2b3 c8b7 c1a3 f8c8,-29
r1bqk1nr/pppp1ppp/3b4/4n3/3P4/6P1/PPP1PPBP/RNBQK2R w KQkq -,b1c3 e5g6 e2e4 d6b4 e1h1 c7c6 a1b1 d7d6 f2f4 d6d5,-160
rnbqkbnr/ppp4p/3p1p2/8/3PPp1P/5p2/PPP3P1/RNBQKB1R w KQkq -,c1f4 f3g2 d1h5 e8e7 f1g2 d8e8 h5e2 b8c6 e2d2 c8g4,-242
rnb1k1nr/pppp1ppp/5q2/2b5/4Pp2/2NP2P1/PPP4P/R1BQKBNR w KQkq -,c3d5 f6d8 d1g4 c5f8 g4f4 d7d6 c1d2 b8d7 e1a1 g7g6,94
rn1qkbnr/ppp3pp/5p2/4p3/4P1b1/5N2/PPP1BPPP/RNBQK2R w KQkq -,d1d8 e8d8 f3e5 g4e2 e5f7 d8e8 f7h8 e2c4 c1f4 b8c6,69
6k1/4Rpb1/pq1p1P1p/1p1b3Q/P1p3PP/2P5/1P6/4n2K w - -,d1d8 e8d8 f3e5 g4e2 e5f7 d8e8 f7h8 e2c4 c1f4 b8c6,Mate
r1bq1rk1/4ppbp/p1n2np1/1p1p4/3P1B2/2N1PN1P/PP2BPP1/R2Q1RK1 w - -,a1c1 c8b7 f3e1 e7e6 e1d3 f6d7 f4d6 f8e8 a2a4 d7b6,88
1bk4r/1p4R1/8/2pN1P2/2P2P2/5r2/PP5p/2K4R w - -,d5b6 c8d8 g7d7 d8e8 h1e1 e8f8 d7d8 f8g7 e1e7 g7f6,643
5k2/8/3KPP2/8/7n/8/8/8 w - -,c1b1 b8f4 d5f4 f3f4 g7g2 f4f5 h1h2 h8h2 g2h2 f5f4,Mate
r1bqk2r/ppp2ppp/2p5/2b5/4P1n1/2N5/PPP1QPPP/R1B1KB1R w KQkq -,c3d1 c8e6 h2h3 g4f6 g2g3 d8e7 f1g2 e8a8 e1h1 f6d7,-23
r1bqkb1r/p2ppppp/P1n2n2/1pp5/8/8/1PPPPPPP/RNBQKBNR w KQkq -,e2e4 d8b6 b1c3 c8a6 g1f3 e7e6 e4e5 f6g4 a1a6 b6a6,-101
rnbqkbnr/pp2ppp1/2p4p/3pP3/8/2P5/PP1P1PPP/RNBQKBNR w KQkq -,d2d4 c8f5 a2a4 e7e6 a4a5 c6c5 d4c5 f8c5 b2b4 c5e7,60
rnb1kbnr/pp3ppp/8/2pp4/5P1q/8/PPPPB1PP/RNBQK1NR w KQkq -,g2g3 h4d8 g1f3 b8c6 e1h1 g7g6 c2c3 f8g7 d2d4 g8f6,-84
r1bqk1nr/pppp1ppp/2n5/2b5/4p3/4PNP1/PPPP1PBP/RNBQK2R w KQkq -,d2d4 e4f3 d1f3 c5b6 e1h1 d7d6 c2c4 g8f6 h2h3 e8h8,-249
rnbqk2r/pp2p2p/5ppb/2pP4/4p3/2B5/PPP2PPP/R2QKBNR w KQkq -,h2h4 d8d6 h4h5 b8d7 d1e2 d7b6 a1d1 c8d7 e2e4 e8a8,-107
8/4N3/8/4K3/4B3/6k1/8/8 w - -,h2h4 d8d6 h4h5 b8d7 d1e2 d7b6 a1d1 c8d7 e2e4 e8a8,Mate
8/8/8/4KN2/4B1k1/8/8/8 w - -,h2h4 d8d6 h4h5 b8d7 d1e2 d7b6 a1d1 c8d7 e2e4 e8a8,Mate
r2qkbnr/pp3ppp/2n1p1b1/2ppP3/3P2PP/2P5/PP3P2/RNBQKBNR w KQkq -,,0
8/5N2/8/8/4B3/3K2k1/8/8 w - -,h4h5 g6e4 f2f3 e4b1 a1b1 c5d4 f3f4 g8h6 c3d4 d8b6,Mate
2r2rk1/pbq1bppp/1pp1pn2/8/2PP4/1P3NP1/P1Q2PBP/R1BR2K1 w - -,c1f4 e7d6 f4d6 c7d6 c4c5 d6c7 f3e5 f6d5 d1e1 f8d8,107
6k1/2p2pp1/p7/P2pPp2/R2P1P2/2b1B3/6PP/1r4K1 w - -,e3c1 b1c1 g1f2 c1a1 a4a1 c3d4 f2f3 d4a1 f3e2 c7c5,-600
5rk1/2pqb3/4p2Q/3p4/1Pn5/2P5/5PPP/2B1R1K1 w - -,h6g6 g8h8 e1e6 f8f6 e6f6 e7f6 g6f6 h8g8 f6g6 g8f8,605
r2qkb1r/p3pppp/2p2n2/3p4/6b1/3P1Q2/PPP2PPP/RNB1K1NR w KQkq -,f3e3 e7e6 h2h3 g4h5 g1e2 f8d6 e1h1 e8h8 e2f4 h5g6,-79
2r2rk1/1pqbbppp/p1np1n2/3p4/2PNP3/4BP2/PP1QB1PP/2R2RK1 w - -,d4e6 f7e6 c4d5 e6d5 e4d5 c7b8 d5c6 c8c6 g2g4 d7e6,-735
6k1/2p2pp1/p7/P2pPp2/3P1P2/2b1B3/4K1PP/8 w - -,e2f3 g8f8 h2h3 f8e7 f3e2 c3a5 e2d3 a5e1 d3e2 e1b4,-213
8/5N2/8/8/5K2/5B1k/8/8 w - -,e2f3 g8f8 h2h3 f8e7 f3e2 c3a5 e2d3 a5e1 d3e2 e1b4,Mate
rn2kb1r/pp2pppp/2p2n2/q2P4/8/2N5/PPP1NPPP/R1BQ1RK1 w kq -,e2f4 c6d5 b2b4 a5d8 f4d5 f6d5 c3d5 e7e6 f1e1 b8c6,82
6k1/2p2pp1/p7/3pPp2/3P1P2/3KB2P/6P1/4b3 w - -,d3c2 g7g6 c2d3 g8f8 d3e2 e1h4 e3d2 h4e7 e2e3 c7c5,-141
8/6k1/6p1/5pK1/8/7P/6P1/8 w - -,d3c2 g7g6 c2d3 g8f8 d3e2 e1h4 e3d2 h4e7 e2e3 c7c5,Mate
8/7k/6p1/5pK1/7P/8/6P1/8 w - -,d3c2 g7g6 c2d3 g8f8 d3e2 e1h4 e3d2 h4e7 e2e3 c7c5,Mate
8/7k/8/5pKp/8/8/6P1/8 w - -,d3c2 g7g6 c2d3 g8f8 d3e2 e1h4 e3d2 h4e7 e2e3 c7c5,Mate
5k2/2p2p2/p5p1/3pPp2/3P1PP1/4B2P/2K5/4b3 w - -,c2d1 e1g3 d1c2 a6a5 c2c3 g6g5 g4f5 g5f4 e3d2 a5a4,-281
rnbq1rk1/ppp1b1pp/3ppn2/5p2/3P4/2N1PN2/PPP2PPP/R1BQKB1R w KQ -,f1d3 c7c5 e1h1 b7b6 b2b3 c8b7 c3e2 f6h5 a2a4 b7f3,5
r1bqkb1r/pp3ppp/2n2n2/2ppp3/7Q/2P2P2/PP1PP1PP/RNBK1BNR w kq -,g2g4 h7h6 d2d3 f8e7 h4f2 c5c4 d3c4 d5c4 b1d2 e5e4,-269
1R6/P1K2k2/5P2/8/8/8/8/2r5 w - -,g2g4 h7h6 d2d3 f8e7 h4f2 c5c4 d3c4 d5c4 b1d2 e5e4,Mate
4r1k1/3R1rpp/1pp2p2/2B1p3/p1n3P1/P1P4P/1PK2P2/3R4 w - -,d7d8 f7f8 c5f8 g8f8 d1d7 e8d8 d7d8 f8f7 b2b3 a4b3,352
6k1/1b3pb1/pq1p1P1p/1p1P3Q/P1p1R1PP/2P5/1P6/4n2K w - -,c5b4 c6c5 b2b3 c5b4 b3c4 b4a3 d7d6 e8c8 d6b6 c8c4,Mate
rn1qkb1r/ppp1pppp/4bn2/8/3Pp3/2N1B3/PPP2PPP/R2QKBNR w KQkq -,f2f3 e4f3 g1f3 g7g6 f3g5 e6d5 c3d5 d8d5 f1e2 f8g7,-36
5rk1/p2nqppp/QpR5/3pN3/3P4/4P3/PP3PPP/6K1 w - -,c6c7 d7b8 c7e7 b8a6 e5c6 f8c8 e7a7 g8f8 a7a6 c8c6,439
rnbqkbnr/pp3ppp/2p5/3p4/3Pp3/8/PPPNPPPP/RNBQKB1R w KQkq -,c2c4 f8d6 e2e3 g8f6 f1e2 e8h8 b1c3 c8e6 f2f3 e4f3,-65
r1bqkb1r/pp3pp1/2np1n1p/2p1p3/2P1P3/2NP1NP1/PP3PBP/R1BQK2R w KQkq -,e1h1 g7g6 a1b1 f8g7 f3e1 e8h8 e1c2 c8g4 d1d2 c6d4,37
r1b1k2r/pppp1ppp/2n1pn2/8/1qPP4/4P1P1/PP1Q1PBP/RN2K1NR w KQkq -,d2c3 a8b8 g1e2 h7h5 h2h4 b7b5 g2c6 b4c3 b1c3 d7c6,48
rn2kb1r/pp2pppp/5n2/q2p4/5N2/2N5/PPP2PPP/R1BQ1RK1 w kq -,b2b4 a5d8 f4d5 f6d5 c3d5 e7e6 f1e1 b8c6 b4b5 c6b4,79
r2qkb1r/ppp1pppp/3p1n2/3P4/2P5/2NP4/PP1N1PPP/R1BbKB1R w KQkq -,c4c5 d1g4 c5c6 b7c6 d5c6 e7e5 d2b3 d6d5 d3d4 e5d4,-525
r5k1/2nnprb1/q2p2pp/1NpP4/P7/5N2/R2BQPPP/1R4K1 w - -,a2a3 c7d5 e2e4 a6c6 e4g6 d5f4 d2f4 f7f4 g6e6 f4f7,36
3r2k1/p1Rnqppp/Qp6/3pN3/3P4/4P3/PP3PPP/6K1 w - -,e5c6 e7d6 a6b7 d7f8 c6d8 d6d8 h2h3 h7h6 c7c8 d8d6,552
6k1/1b3pb1/pq1p1P1p/1p1P3Q/P1p1r1PP/2P1Rn2/1P6/4R2K w - -,h5g5 f3g5 a4a5 e4e3 a5b6 e3e1 h1g2 g7f6 h4g5 h6g5,-1128
rnbq1rk1/4ppbp/P2p1np1/2pP4/2B1P3/2N5/PP3PPP/R1BQK1NR w KQ -,g1f3 c8a6 c4a6 b8a6 e1h1 d8b6 a2a4 f8b8 a1a3 f6d7,63
8/8/8/2r1k3/8/2K5/Q7/8 w - -,c3d3 c5d5 d3e3 e5d6 e3e4 d5b5 a2a3 d6c6 e4d4 b5d5,280
8/8/8/2K1k3/5r2/8/Q7/8 w - -,a2d5 e5f6 c5d6 f4f5 d5d2 f6g6 d2g2 g6h5 d6e6 f5f4,254
rnbqk1nr/ppp1bpp1/4p2p/3p4/3P1B2/2P1P3/PP3PPP/RN1QKBNR w KQkq -,g1f3 c7c5 b1d2 d8b6 f3e5 b8c6 a1b1 c6e5 d4e5 g7g5,43
r1b1kb1r/ppppqppp/8/4n3/2Bp4/7P/PPP2PP1/RNBQ1RK1 w kq -,c1f4 d7d6 d1d4 e5c4 d4c4 c8e6 c4d4 c7c5 d4d3 g7g5,-63
5k2/8/6Q1/8/8/3K4/8/4r3 w - -,g6h6 f8f7 h6h5 f7g7 d3c4 e1e6 c4d5 e6b6 h5e8 b6a6,20000
4r1k1/ppp2ppp/8/3P4/4nP1q/3QBK1P/Pr2R1P1/6NR w - -,e2c2 h4g3 f3e2 e4f2 c2b2 f2d3 g1f3 d3b2 h1f1 b2c4,Mate
8/6k1/8/7Q/8/3K4/8/4r3 w - -,d3c4 e1e6 c4d5 e6a6 h5e2 a6b6 e2c4 b6f6 d5e5 f6h6,20000
rnbqkb1r/pp3ppp/4p1n1/3pP3/3p1P2/2N2N2/PPP3PP/R1BQKB1R w KQkq -,d1d4 b8c6 d4f2 f7f6 e5f6 d8f6 c1d2 g6f4 c3b5 a8b8,59
rn1qkb1r/ppp1pppp/1n6/3PP3/6b1/1QN2N2/PP3PPP/R1B1KB1R w KQkq -,c1e3 e7e6 e1a1 b8d7 d1d4 g4f3 d5e6 f7e6 g2f3 f8c5,259
8/4k3/p7/Pb5N/6pP/1P6/3p2P1/6K1 w - -,e5e6 f7e6 f3e5 e6d5 e5g4 e7e6 g4e5 c7c6 f1e2 f8d6,Mate
r4rk1/pb1n1ppp/1p1q4/2pp4/3P4/3BPN2/PPR1QPPP/5RK1 w - -,b2b3 a8c8 f1c1 g7g6 h2h3 c8c7 d4c5 b6c5 e2d2 f8c8,38
1k6/7p/r1b1pPpP/3p4/p1pP1K2/P1P3P1/5P2/8 w - -,f4g4 c6e8 f6f7 e8f7 g4f4 a6b6 g3g4 f7e8 f4e5 g6g5,-686
8/8/3Q4/6k1/3K1r2/8/8/8 w - -,d4e3 f4f6 d6e5 g5g6 e3e4 g6f7 e5c3 f6d6 e4e5 d6d7,244
4r1k1/ppp3pp/7r/3P1p2/4nP1K/5Q1P/P6R/6N1 w - -,f3h5 h6h5 h4h5 e8d8 h2e2 d8d6 e2e4 f5e4 f4f5 d6d5,-772
rnbqkb1r/pp2ppp1/2p2n1p/6N1/8/3P4/PPP2PPP/R1BQKBNR w KQkq -,f2f4 h6g5 f4g5 f6g4 d3d4 d8d6 g1h3 e7e5 f1e2 d6d4,-353
8/8/6QK/8/7k/8/5r2/8 w - -,f2f4 h6g5 f4g5 f6g4 d3d4 d8d6 g1h3 e7e5 f1e2 d6d4,Mate
8/8/8/6K1/4Q3/7k/5r2/8 w - -,f2f4 h6g5 f4g5 f6g4 d3d4 d8d6 g1h3 e7e5 f1e2 d6d4,Mate
rn1qkb1r/pp2pppp/2p2n2/5bN1/8/3P4/PPP2PPP/R1BQKBNR w KQkq -,d3d4 e7e6 g5f3 c6c5 f1d3 f5g4 h2h3 g4h5 c2c3 b8d7,-50
6k1/1q3pp1/8/1pb1P3/2p5/2P3p1/1P1N1PK1/5R2 w - -,f2f3 b7d5 d2e4 d5e5 f1a1 f7f5 e4c5 e5c5 g2g3 c5e5,-691
8/3b1p2/1pp4k/2p5/5r2/P5R1/8/6K1 w - -,g1h2 c5c4 g3e3 d7e6 e3e5 f4g4 e5e1 h6g5 a3a4 e6d5,-1156
8/8/3B4/8/1N6/1k1K4/8/8 w - -,g1h2 c5c4 g3e3 d7e6 e3e5 f4g4 e5e1 h6g5 a3a4 e6d5,Mate
8/8/8/3Q4/8/8/4K1r1/6k1 w - -,g1h2 c5c4 g3e3 d7e6 e3e5 f4g4 e5e1 h6g5 a3a4 e6d5,Mate
