rnbq1rk1/ppp1ppbp/3p1np1/8/1PPP4/2N1P3/P4PPP/R1BQKBNR w KQ -,c1a3 e7e5 d4e5 f6g4 g1f3 b8d7 f1e2 d7e5 a1c1 a7a6,-61
r1bqk2r/pppnppbp/3p1np1/8/3PP3/2P1BN2/PP3PPP/RN1QKB1R w KQkq -,f1d3 b7b6 b1d2 c8b7 e1h1 e8h8 a2a4 a7a5 h2h3 e7e5,69
rnbqkb1r/pppp1ppp/8/8/4Ppn1/2N2N2/PPPP2PP/R1BQKB1R w KQkq -,d2d4 f8b4 c1f4 e8h8 f1d3 d7d5 e1h1 b4c3 b2c3 d5e4,237
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/P6P/1PPP1PP1/RNBQK1NR w KQkq -,g1f3 f6e4 d2d4 c6d4 b1c3 e4c3 b2c3 d4f3 d1f3 e8h8,-295
r2qk2r/ppp2pp1/2npbn1p/2b1p3/2B1P3/P1PP1N1P/1P3PP1/RNBQK2R w KQkq -,c4a2 e6a2 a1a2 a7a5 d1c2 a5a4 c3c4 c6d4 f3d4 e5d4,-29
rnbqk2r/pp2ppbp/3p1np1/2p5/2PPP3/5P2/PP2N1PP/RNBQKB1R w KQkq -,b1c3 e8h8 d4d5 a7a6 a2a4 h7h5 e2f4 e7e6 d5e6 c8e6,65
r1b1kb1r/1pp2ppp/p1p5/4P3/4n3/5N2/PPP2PPP/RNBq1RK1 w kq -,b1a3 d1d5 a3b1 c8f5 c2c3 e4c5 b2b3 c5d3 c3c4 d5e6,-1283
rnbqkb1r/pp3ppp/2p2n2/4p3/P1pP4/2N3P1/1P2PP1P/R1BQKBNR w KQkq -,c3a2 d8d4 d1d4 e5d4 g1f3 f8c5 e2e3 d4d3 f1g2 e8h8,-516
r1bqkb1r/pp2pppp/2n2n2/2p5/3pP3/2NP1N2/PPP1BPPP/R1BQK2R w KQkq -,c3b5 d8a5 c2c3 a5b5 e4e5 f6g8 a2a4 b5b6 a4a5 b6c7,-300
4k3/6PK/8/8/8/8/8/8 w - -,c3b5 d8a5 c2c3 a5b5 e4e5 f6g8 a2a4 b5b6 a4a5 b6c7,Mate
rnbq1rk1/p1ppbppp/1p2pn2/8/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQ -,e3e4 d7d5 c4d5 e6d5 e4e5 f6e4 f1d3 e4c3 b2c3 c7c5,74
r1bqk2r/2pp1ppp/p1p2n2/4N3/1b2P3/2N5/PPPP1PPP/R1BQK2R w KQkq -,f2f3 e8h8 e1h1 f8e8 d2d4 c6c5 c1g5 b4c3 b2c3 h7h6,219
