r3r1k1/pbpp1ppp/1p6/2bBPP2/8/1QPp1P1q/PP1P3P/RNB3RK w - -,b3d1 b7d5 g1g3 h3f5 c3c4 e8e5 b1c3 e5e1 h1g2 a8e8,-1581
3qrk2/p1r2p2/1p2pbp1/nPNbN2Q/3P4/P6R/5PPP/R5K1 w - -,h5h6 f6g7 h6d2 b6c5 d2a5 c5d4 e5c6 d8c8 a1e1 d5c6,-846
8/8/3B4/1k1B4/8/2K5/8/8 w - -,h5h6 f6g7 h6d2 b6c5 d2a5 c5d4 e5c6 d8c8 a1e1 d5c6,Mate
8/8/3B4/k2B4/8/1K6/8/8 w - -,h5h6 f6g7 h6d2 b6c5 d2a5 c5d4 e5c6 d8c8 a1e1 d5c6,Mate
rnbqkb1r/ppp1pp1p/6p1/3p4/2PPnB2/8/PP2PPPP/RN1QKBNR w KQkq -,d1d3 b8c6 c4d5 d8d5 f2f3 e4f6 e2e3 d5a5 d3d2 f6d5,-51
8/8/k7/3B4/1B6/2K5/8/8 w - -,d1d3 b8c6 c4d5 d8d5 f2f3 e4f6 e2e3 d5a5 d3d2 f6d5,Mate
3r3r/pkpp1ppp/1p6/2b1PP2/8/1QPp1P1q/PP1P3P/RNBR3K w - -,b3d5 b7b8 d5d3 d7d6 d3f1 h3f1 d1f1 d6e5 b2b4 c5e7,544
8/8/8/k1BB4/2K5/8/8/8 w - -,b3d5 b7b8 d5d3 d7d6 d3f1 h3f1 d1f1 d6e5 b2b4 c5e7,Mate
rn1qkb1r/pp2pppp/2p2n2/3p1b2/3P4/4PN2/PPPB1PPP/RN1QKB1R w KQkq -,h2h3 e7e6 f1d3 f6e4 g2g4 f5g6 h3h4 h7h5 f3e5 g6h7,-31
rnbq1rk1/1p1p1ppp/p1p2n2/4p3/1bP1P3/2N3P1/PP1PNPBP/R1BQK2R w KQ -,a2a3 b4e7 d2d4 d7d6 a3a4 a6a5 h2h3 f6d7 e1h1 b8a6,85
r1b1k2r/p1ppqppp/2p2n2/2b5/4P3/2NB4/PPP2PPP/R1BQK2R w KQkq -,e1h1 d7d6 c3a4 c5b6 c1f4 e8h8 c2c3 c8g4 d1c2 h7h6,82
r1bqk2r/pppnppbp/3p1np1/8/3P4/1P3NP1/PBP1PP1P/RN1QKB1R w KQkq -,f1g2 e8h8 e1h1 f8e8 a2a4 e7e5 d4e5 f6g4 d1d2 d7c5,50
rnbq1rk1/pp2ppbp/5np1/2Pp4/5B2/2N1PN2/PPP2PPP/R2QKB1R w KQ -,a1b1 b8c6 f1b5 f6e4 c3e4 d5e4 b5c6 b7c6 d1d8 f8d8,50
rnbqk2r/pp2bppp/4pn2/3p4/2PP4/5N2/PP2BPPP/RNBQK2R w KQkq -,c4d5 f6d5 b1c3 e8h8 e1h1 b8c6 e2d3 b7b6 c3d5 d8d5,-17
rnbq1rk1/3p1ppp/p1p2n2/1p2p3/1bP1P3/2N3P1/PP1PNPBP/R1BQ1RK1 w - -,d2d4 d7d6 a2a3 b4a5 b2b4 a5c7 c4b5 a6b5 h2h3 b8d7,84
r1bqr1k1/pppnppbp/3p1np1/8/3PP3/2PBBN2/PP3PPP/RN1Q1RK1 w - -,b1d2 e7e5 f1e1 b7b6 h2h3 c8b7 d4d5 c7c6 c3c4 a7a5,69
7Q/3krK2/8/8/8/8/8/8 w - -,f7f6 e7e6 f6f5 e6d6 h8g8 d6b6 g8c4 b6c6 c4d5 d7c7,5646
rn1qkb1r/1b1p1ppp/p3pn2/1pp5/3P4/2P2NP1/PP2PPBP/RNBQ1RK1 w kq -,c1g5 c5d4 g5f6 d8f6 c3d4 f6d8 f3e5 b7g2 g1g2 f8e7,39
r2qkb1r/1pp2ppp/p1n2n2/3p1p2/3P1B2/2N1PN2/PPP2PPP/R2QK2R w KQkq -,f4g5 f8b4 d1d3 h7h6 g5f6 b4c3 d3c3 d8f6 e1h1 e8h8,52
