8/8/8/6k1/P1K5/5R1P/8/r7 w - -,c4b4 a1e1 f3c3 e1e4 b4b5 e4e8 a4a5 e8b8 b5a4 b8f8,691
r2q2nr/1b1npkb1/2p3p1/1p6/3p4/3B1N2/PP4PP/RNB2RK1 w - -,h3h4 g5g4 f3f8 a1a4 c4b5 a4a1 f8g8 g4h5 g8c8 a1b1,Mate
r2qk1nr/1b1np1b1/2p3p1/1p4N1/3p4/3B4/PP4PP/RNB2RK1 w - -,h3h4 g5g4 f3f8 a1a4 c4b5 a4a1 f8g8 g4h5 g8c8 a1b1,Mate
r2qkb1r/ppp2ppp/2np1n2/8/3pP1b1/2N2NP1/PPP2PBP/R1BQK2R w KQkq -,c3b5 f6e4 b5d4 d8f6 d4c6 b7c6 h2h3 g4f3 d1f3 f6f3,-37
r1bqk1nr/ppp1ppbp/2np2p1/8/8/2PP1N2/PP1NPPPP/R1BQKB1R w KQkq -,e2e4 e7e5 f1e2 a7a5 d3d4 e5d4 c3d4 g8f6 e1h1 e8h8,18
rnbqk2r/1p3ppp/p1pb1p2/8/3P4/3BB3/PPP2PPP/R2QK1NR w KQkq -,g1e2 e8h8 c2c3 b8d7 d1c2 h7h6 e1h1 f8e8 c3c4 d7f8,67
r1b1k2r/pp2nppp/1qn1p3/2bpP3/8/2PB1N2/PP3PPP/RNBQ1RK1 w kq -,b2b4 c5b4 c3b4 c6b4 b1c3 c8d7 a1b1 b6a5 c3e2 b4d3,700
rn1qkbnr/ppp2pp1/3p4/4p2p/2B1P1b1/3P1N2/PPP2PPP/RNBQK2R w KQkq -,b1c3 c7c6 h2h3 g4f3 d1f3 d8f6 f3g3 b8d7 e1h1 h5h4,135
rn1qkb1r/ppp2pp1/3p1n2/4p2p/2B1P1b1/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,h2h3 g4f3 d1f3 b8c6 c1e3 g7g6 e1a1 f8g7 c1b1 d8d7,145
r2qkb1r/2p2ppp/p2pb3/2nQP3/8/4BN2/PPP2PPP/RN2K2R w KQkq -,e3g5 e6d5 g5d8 a8d8 e5d6 f8d6 b1d2 f7f6 e1h1 e8f7,-519
4k3/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/4K3 w - -,e1d2 d5e4 d2e3 f7f5 e3f4 e8e7 f4e5 b7b5 h2h4 e7f7,-103
r1bqkb1r/pp3ppp/2n2n2/2Pp4/1P2p3/2P2NP1/P3PP1P/RNBQKB1R w KQkq -,f3d4 a7a5 c1f4 a5b4 d4b5 f8c5 b5c7 e8e7 c7a8 d8a5,25
r1bqkb1r/pp3p1p/2n1pnp1/3p4/2pP1P2/2PBPN2/PP1N2PP/R1BQK2R w KQkq -,d3c2 f6g4 d1e2 f7f5 e1h1 d8a5 f3e5 g4e5 f4e5 c8d7,64
