r1bq1rk1/ppp1bpp1/2np1n1p/4p3/4P3/1PNB1N2/PBPP1PPP/R2Q1RK1 w - -,h2h3 f8e8 f1e1 c6b4 d3c4 c7c5 a2a3 b4c6 d2d3 a7a6,3
r2q1r2/p4k1p/1pp3p1/4Q1n1/1PP5/1P2P3/1B2BPK1/R7 w - -,f2f4 d8e7 f4g5 e7e5 b2e5 f7g8 e2f3 f8f5 f3c6 a8d8,460
8/6K1/8/4Q3/8/5k2/8/1b6 w - -,a1a6 d8e7 f2f4 e7e5 b2e5 g5e6 c4c5 h7h5 e2f3 f8c8,Mate
rn1qk1nr/pbpp1pp1/1p2p2p/8/1b1PP3/2NBB3/PPP2PPP/R2QK1NR w KQkq -,d1g4 b4c3 b2c3 g7g6 g4e2 d7d5 e4e5 c7c5 e2d2 d8c7,87
r4r2/p4k2/1pp3p1/4B2p/1PP2PB1/1P6/6K1/7R w - -,g4d7 c6c5 b4c5 b6c5 d7c6 a7a5 h1e1 f7e7 e5c3 e7d6,437
8/8/8/6K1/3k4/3b2Q1/8/8 w - -,g4h3 f8d8 g2g3 d8d3 g3h4 a8e8 h1f1 b6b5 h3g2 e8e5,Mate
8/5p2/4k1p1/4p2p/7P/4RKP1/r4P2/8 w - -,e3b3 a2a6 f3g2 e6d6 b3b7 f7f5 b7b8 a6c6 b8a8 e5e4,-5
8/8/8/8/1n1Q4/1k6/3K4/8 w - -,e3b3 a2a6 f3g2 e6d6 b3b7 f7f5 b7b8 a6c6 b8a8 e5e4,Mate
rqr4k/1p3Bb1/3p1np1/4p1Q1/p2BP3/2N2P1b/PPP3P1/2KR4 w - -,e3b3 a2a6 f3g2 e6d6 b3b7 f7f5 b7b8 a6c6 b8a8 e5e4,Mate
r2qkbnr/pp3ppp/2n1b3/2ppp3/6P1/3P3P/PPPNPPB1/R1BQK1NR w KQkq -,c2c4 g8e7 c4d5 e7d5 d2e4 f8e7 g1f3 f7f6 c1d2 d8b6,-90
r1bqk2r/p1pp1pp1/1pn2n1p/2b1p3/2B1P3/3P1N1P/PPP2PP1/RNBQ1RK1 w kq -,c2c3 e8h8 d3d4 c5d6 f1e1 f8e8 c4d5 c8b7 d4e5 d6e5,92
8/8/2Q5/8/8/2N1K3/2k5/8 w - -,b1c3 e8h8 c3d5 c5d6 a2a4 f6d5 c4d5 a8b8 c2c3 c6e7,Mate
r1bq1rk1/pp3ppp/2n2n2/2bpp3/1PP2B2/P3PN2/5PPP/RN1QKB1R w KQ -,f4h6 g7h6 b4c5 d5d4 f1e2 d4d3 e2f1 e5e4 f3d2 c6e5,-208
r1b1k2r/1p3ppp/p1n2n2/3q4/8/2PB4/P1N2PPP/R1BQK2R w KQkq -,f2f3 d5c5 c3c4 c8e6 c1e3 c5a5 d1d2 e8a8 d2a5 c6a5,-85
r2qk2r/1b3ppp/p3pn2/1pbNn3/3NP3/1B6/PP3PPP/R1BQR1K1 w kq -,d4f3 e5g4 d5e3 d8c7 d1e2 h7h5 b3c2 c5e3 c1e3 g4e3,-132
r2qk2r/1b1n1ppp/p3p3/1pbNn3/3NPB2/1B6/PP3PPP/R2QR1K1 w kq -,f4e5 d7e5 a1c1 a8c8 c1c5 c8c5 d1h5 e8h8 h5e5 e6d5,-113
r3k2r/1p3ppp/p1n1bn2/q7/8/2PBN3/P4PPP/R1BQ1RK1 w kq -,d3c4 e8h8 c4e6 f7e6 d1b3 f8f7 e3c4 a5c7 c1a3 a8d8,19
r3kb1r/ppp1pppp/2nq1n2/3p4/3P2b1/P3PN2/1PP1BPPP/RNBQK2R w KQkq -,c2c4 e7e6 b1d2 d5c4 d2c4 d6d5 b2b3 f8d6 e1h1 g4h5,77
8/5k2/5P2/6K1/5P2/8/8/8 w - -,c2c4 e7e6 b1d2 d5c4 d2c4 d6d5 b2b3 f8d6 e1h1 g4h5,Mate
r1bq1rk1/1p3ppp/p1nppn2/8/2P1P3/B1PB4/P1N2PPP/R2QK2R w KQ -,e1h1 d8d7 d1d2 f8d8 c2e3 b7b5 d3c2 d7c7 a1d1 f6e8,46
5R2/4P1k1/3K4/8/8/8/3r4/8 w - -,c2e3 d8a5 d1b3 f8d8 e1h1 b7b5 a3b4 a5b6 c4b5 a6b5,Mate
rnbqkbnr/ppp3pp/8/3p1p2/8/2P2N2/PP1P1PPP/RNBQKB1R w KQkq -,d2d4 f8d6 c3c4 c7c6 b1c3 g8f6 f1d3 d8e7 c3e2 d5c4,69
8/4Pk2/3K4/8/8/8/3B4/8 w - -,d2d4 f8d6 c3c4 c7c6 b1c3 g8f6 f1d3 d8e7 c3e2 d5c4,Mate
r1b1k1nr/p2pp1bp/5pp1/q1p1P3/3B1P2/2N5/PPP1Q1PP/R3KB1R w KQkq -,e2e4 a8b8 e4d5 b8b2 e1a1 b2b7 d5c4 f6e5 d4c5 g8f6,-106
r2q1rk1/bpp3pp/p1nppn2/4p3/4P3/2PP1N2/PP1N1PPP/R1BQR1K1 w - -,d2f1 f6g4 f1e3 g4f6 a2a4 d8e8 b2b4 f6h5 e3f1 e8g6,6
rnbqkbnr/pp3ppp/2p1p3/3p4/N2PP3/5P2/PPP3PP/R1BQKBNR w KQkq -,a4c3 f8b4 c1d2 g8e7 f1d3 e8h8 a2a3 b4c3 d2c3 b7b6,21
4r1r1/2p5/1pk5/p1p3n1/P6p/5N1P/1PPR2PK/8 w - -,f3h4 g5e4 d2e2 e4d6 e2e8 g8e8 h4g6 c5c4 c2c3 c6d7,-504
8/5p2/r1k3pp/P7/R6P/3K2P1/5P2/8 w - -,d3d4 c6d6 a4a3 d6d7 d4c4 d7c8 a3c3 a6f6 f2f4 f6f5,300
r1bqk1nr/p1p3pp/2pb1p2/3p4/4pP2/1P2PN2/PBPP2PP/RN1QK2R w KQkq -,f3d4 g8e7 c2c4 e8h8 b1c3 a8b8 e1h1 d8d7 f1f2 c8a6,-20
k3r3/P4p2/2K3pp/8/5P1P/R5P1/8/8 w - -,h4h5 g6h5 a3a5 e8e3 a5h5 e3g3 h5h6 g3a3 c6d7 a3a7,465
rnbqkb1r/1pp2pp1/p3pn1p/3p4/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,c4d5 e6d5 e4e5 f6e4 f1d3 f8b4 d1c2 e4g5 f3g5 h6g5,146
r1b2rk1/pp1p1ppp/3P4/q1p1P3/1bBnQ3/2N5/PP3PPP/R1B1K2R w KQ -,c1d2 b7b5 c4d3 g7g6 e4a8 d4c6 e1h1 c8a6 a8f8 g8f8,289
1k1r4/5p2/P5pp/1K6/5P1P/4R1P1/8/8 w - -,e3e7 d8d3 g3g4 f7f6 e7e6 g6g5 h4g5 h6g5 e6f6 d3b3,530
1k6/4Rp2/P5pp/1K1r4/5P1P/6P1/8/8 w - -,b5c6 d5d3 g3g4 d3c3 c6d5 c3h3 e7b7 b8a8 b7f7 h3h4,546
1k6/4Rp2/P1K3pp/8/5P1P/3r2P1/8/8 w - -,g3g4 f7f6 e7b7 b8a8 b7h7 g6g5 h7h6 g5h4 h6h4 d3d4,610
r1bq1rk1/pppnbpp1/7p/3p3n/3P1B2/2NBPN2/PP3PPP/R2QK2R w KQ -,c3d5 h5f4 d5f4 e7b4 f3d2 c7c5 e1h1 c5d4 e3d4 d7b6,62
k7/P3Rp2/2K3pp/8/5P1P/3r2P1/8/8 w - -,g3g4 f7f6 e7h7 d3c3 c6d5 c3g3 h4h5 g3g4 h5g6 g4g6,456
1k6/4R3/P1K2ppp/8/5PPP/3r4/8/8 w - -,f4f5 g6f5 g4f5 d3a3 h4h5 a3a6 c6d7 a6a3 d7e6 a3a6,559
r1bqkb1r/pp2nppp/2n1p3/3pP3/3p2Q1/P4N2/1PP2PPP/RNB1KB1R w KQkq -,f1d3 e7g6 d3g6 h7g6 e1h1 d8b6 f1e1 c8d7 b1d2 f8e7,-80
rnbqk2r/pp2bppp/4pn2/2p5/2p5/1P2PN2/PB1PBPPP/RN1QK2R w KQkq -,f3e5 c4b3 a2b3 e8h8 e1h1 b8d7 e5c4 a7a6 d2d4 a8b8,-118
k7/P3Rp2/1K4pp/8/5P1P/1r4P1/8/8 w - -,,0
r1bq1rk1/pp2ppbp/2np1np1/2p5/4P3/1P1B1N2/PBPP1PPP/RN1QR1K1 w - -,a2a4 a8b8 d3f1 e7e5 d2d3 a7a6 c2c3 c8e6 b1d2 f6d7,-49
