8/1k1K4/8/B7/8/8/8/5B2 w - -,b2b4 c5d6 e1h1 g8f6 b1a3 a7a5 a3b5 d6e7 f3e5 e8h8,Mate
r1q1r2k/3np3/bp1ppbQ1/p2P4/P1PN4/2R1B3/1P4PP/5R1K w - -,b2b4 c5d6 e1h1 g8f6 b1a3 a7a5 a3b5 d6e7 f3e5 e8h8,Mate
rn1qkb1r/pp2pppp/2p2n2/6N1/4pPb1/3P4/PPP3PP/RNBQKB1R w KQkq -,d1g4 f6g4 f1e2 g4h6 d3e4 e7e5 e2c4 b8a6 b1c3 a6b4,-532
7R/3k4/8/1R6/4K3/8/8/8 w - -,d1g4 f6g4 f1e2 g4h6 d3e4 e7e5 e2c4 b8a6 b1c3 a6b4,Mate
r2qkbnr/ppp2ppp/2n1b3/3N4/2p5/5N2/PP2PPPP/R1BQKB1R w KQkq -,e2e4 f8b4 c1d2 b4d2 d1d2 g8f6 f1c4 f6e4 d2e3 e4d6,-94
1k1r3r/pp1b4/2n2Ppp/3p4/P3p3/2BBR1P1/2P3PP/R5K1 w - -,f6f7 h8f8 c3f6 e4d3 f6d8 c6d8 e3d3 d7c6 a4a5 b8c7,-226
2r1k3/1p3rpQ/p3pbN1/q2b4/P2P4/7R/1P3PPP/R5K1 w - -,h7g8 e8d7 g6e5 d7d6 g8c8 f6e5 d4e5 d6e5 h3e3 e5f5,570
rnb1kbnr/pp1p1ppp/4p3/q1p5/3P1B2/1P2P3/P1P2PPP/RN1QKBNR w KQkq -,e1e2 b8c6 c2c3 g8f6 d4c5 f8c5 a2a3 f6d5 b3b4 a5b6,-94
r1b2rk1/pppnq1pp/2nbpp2/3pN3/3P1P2/2P1P1B1/PP1N2PP/R2QKB1R w KQ -,d2f3 e7e8 e5c6 b7c6 f1e2 a7a5 e1h1 c6c5 f1e1 c8a6,8
r1b2rk1/pppnqppp/2nbp3/3pN3/3P4/2P1P1B1/PP1N1PPP/R2QKB1R w KQ -,d2f3 f7f6 e5d7 c8d7 f1e2 a7a5 e1h1 a5a4 e2d3 g7g5,32
r1bqkb1r/pppp1ppp/5n2/4p3/4P3/1PN2n2/PBPP1PPP/R2QKB1R w KQkq -,d1f3 f8c5 c3a4 c5d4 c2c3 d4b6 a4b6 a7b6 f3e3 e8h8,47
r1bq1rk1/pp1n1pbp/3p1np1/2p5/2PNP3/2N1B3/PP2BPPP/R2Q1RK1 w - -,d4b5 f6e8 b5d6 e8d6 d1d6 g7c3 b2c3 f8e8 f2f3 d8b6,202
rnb1k2r/ppp1bppp/4pn2/4N3/2pq4/6P1/PP1PPPBP/RNBQ1RK1 w kq -,e5f7 e8f7 b1c3 h8d8 b2b3 c4b3 a2b3 a7a5 a1a4 d4b6,-304
r2qkb1r/pp2pppp/2n2nb1/3p4/3P4/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,d3b5 a7a6 b5c6 b7c6 f3e5 f6d7 e5c6 d8c7 c6b4 e7e6,-16
8/5p1p/4p1k1/7p/r7/4R1PK/5P2/8 w - -,f2f4 a4d4 e3e5 d4d1 e5b5 g6f6 b5e5 d1d5 e5e3 d5b5,-36
6k1/6pp/2q1p3/ppp1P1b1/8/2PP3Q/PP3RPP/6K1 w - -,h3h5 h7h6 h5f7 g8h7 f7f3 c6d7 f2f1 b5b4 g1h1 d7b5,430
r1bqk2r/ppp1ppbp/2np1np1/8/4PP2/1P3N2/PBPP2PP/RN1QKB1R w KQkq -,d2d3 e7e5 b1c3 e5f4 d1d2 f6g4 e1a1 g4e3 d1e1 c6b4,-82
r1bq1rk1/ppp1ppbp/2np1np1/1B6/4PP2/1P3N2/PBPP2PP/RN1QK2R w KQ -,e1h1 f6e4 b2g7 g8g7 d1e1 e4f6 b5c6 b7c6 d2d4 a7a5,-87
r1bq1rk1/p1p1ppbp/2pp1np1/8/4PP2/1P3N2/PBPP2PP/RN1QK2R w KQ -,e1h1 f6e4 b2g7 g8g7 d2d4 a7a5 d1e1 e4f6 b1c3 c8e6,-76
8/8/8/4k3/1R6/8/8/K7 w - -,e1h1 f6e4 b2g7 g8g7 d2d4 a7a5 d1e1 e4f6 b1c3 c8e6,Mate
r1bqkb1r/2pp1ppp/2p2n2/p3p3/4P3/3P1N2/PPP2PPP/RNBQK2R w KQkq -,f3e5 f8d6 e5f3 e8h8 e1h1 d6e7 f3d4 f8e8 b1c3 h7h6,94
r1bqk2r/pp1n1ppp/2pb1n2/3pp3/2P5/1P1P1NP1/P3PPBP/RNBQ1RK1 w kq -,c1a3 d6a3 b1a3 e8h8 c4d5 c6d5 d1c1 a8b8 c1b2 f8e8,30
r2qkbnr/1p5p/p1npb3/4pp2/2P5/2N5/PPN2PPP/R1BQKB1R w KQkq -,d1h5 e6f7 h5f5 f7g6 f5e6 f8e7 c2e3 c6d4 e6g4 e7g5,61
r2q1rk1/1b1nn1p1/pp1p3p/1p1Ppp2/4P3/2P2N2/PPB2PPP/R2QRNK1 w - -,e4f5 e7f5 f3d2 a8c8 d2e4 d7c5 e4g3 f5h4 f1e3 c8c7,62
rn1qkbnr/pp3ppp/8/3pp3/6b1/2PP1N2/PP3PPP/RNBQKB1R w KQkq -,f1e2 d8c7 e1h1 g4f5 d3d4 e5e4 f3h4 f5c8 g2g3 f8e7,64
r2q1rk1/1b1n2p1/pp1p3p/1p1Ppn2/8/2P2N2/PPB2PPP/R2QRNK1 w - -,d1d2 d8c7 h2h3 a8d8 a2a4 b5a4 a1a4 b7c8 f3h4 d7c5,62
8/8/8/1K6/8/8/1pQ5/k7 w - -,d1e2 d8c7 a1d1 a8d8 h2h3 f8f7 c2b1 d8f8 e2c2 g7g6,Mate
