rnbqkb1r/pp3ppp/4pn2/1P1p4/2p5/P3P3/1BPP1PPP/RN1QKBNR w KQkq -,g2g3 a7a6 a3a4 a6b5 a4b5 a8a1 b2a1 c8d7 b1c3 d8a5,-50
rn1qk2r/ppp2ppp/3bpnb1/3p4/3P4/2PBP1B1/PP3PPP/RN1QK1NR w KQkq -,d3c2 c7c5 g1f3 b8c6 b1d2 g6c2 d1c2 c5d4 e3d4 e8h8,-40
rnbqk2r/ppp1ppbp/3p1np1/8/2B1P3/2N4P/PPPP1PP1/R1BQK1NR w KQkq -,d2d4 e8h8 d1e2 c7c6 g1f3 d6d5 e4d5 c6d5 c4b3 b8c6,17
3k4/3P3R/p7/2p5/8/2b3rB/P4r2/1K1R4 w - -,,0
r1bq1rk1/pp2ppbp/2np1np1/2p3N1/2B1P3/2NP3P/PPP2PP1/R1BQK2R w KQ -,g5f3 e7e6 e1h1 a7a6 a2a4 b7b6 f1e1 c8b7 c1f4 h7h6,-83
r1bqkbnr/pp1pp1pp/2n2p2/2p5/4PP2/2P5/PP1P2PP/RNBQKBNR w KQkq -,d2d4 c5d4 c3d4 d7d5 e4d5 d8d5 g1f3 e7e5 b1c3 f8b4,97
r1bqk2r/ppp2ppp/2nbpn2/3p4/3P4/2PBP3/PP2NPPP/RNBQK2R w KQkq -,b1d2 e6e5 c3c4 d5c4 d3c4 e8h8 e1h1 c8f5 e2g3 f5g6,-75
rnbqk2r/p1p2ppp/1p2pn2/2Pp4/3P4/P1P5/4PPPP/R1BQKBNR w KQkq -,g2g3 b6c5 g1f3 e8h8 f1g2 b8d7 e1h1 c8a6 d4c5 f6e4,-109
8/8/k1p1K3/2p5/p1P5/P7/8/8 w - -,,0
rnbqk2r/ppp1ppbp/3p1np1/3P4/4P3/7P/PPP2PP1/RNBQKBNR w KQkq -,b1c3 c7c6 d5c6 b7c6 g1f3 e8h8 f1d3 b8d7 e1h1 d8c7,-38
r1bqkb1r/pp2pppp/2np4/8/3NP3/2N1nQ2/PPP2PPP/R3KB1R w KQkq -,f1d3 e3g4 d3b5 c8d7 d4f5 g4e5 f3g3 g7g6 f5d6 e7d6,-867
r1bqk2r/ppp2ppp/2np1n2/2b1p3/4P3/2P2NP1/PP1PQP1P/RNB1KB1R w KQkq -,a2a4 d6d5 e4d5 d8d5 f1g2 e8h8 d2d3 f8d8 b2b4 c5f8,-110
r1bqk1nr/1p3ppp/p1nbp3/3p4/3P1B2/2N1PN2/PP3PPP/R2QKB1R w KQkq -,f4g3 g8f6 f1d3 e8h8 a1c1 c6a5 e1h1 b7b5 g3h4 c8b7,75
r1bqkb1r/pppnpp1p/5np1/3p4/8/1P2PN2/PBPP1PPP/RN1QKB1R w KQkq -,c2c4 e7e6 d2d4 f8g7 b1d2 b7b6 c4d5 e6d5 f1b5 c8b7,47
r1bqkb1r/ppp1pppp/2n5/3p4/3Pn3/2N2N1P/PPP1PPP1/R1BQKB1R w KQkq -,e2e3 c8f5 c3e4 d5e4 f3d2 e7e5 c2c3 f8d6 d4d5 c6e7,44
4k3/8/3Q4/8/6N1/4K3/8/8 w - -,c3e4 d5e4 d4d5 c6b4 c2c3 d8d5 c3b4 d5d1 e1d1 e4f3,Mate
r6k/pb3p1p/1p1p1P1p/7q/1P3R2/P2Q1N2/5PrP/R5K1 w - -,g1f1 h5h3 f4h4 g2g1 f1e2 h3e6 d3e3 b7a6 e2d2 g1a1,Mate
r6k/pb3p1p/1p1p1P1p/6q1/1P3R2/P2Q1N2/5PKP/R7 w - -,g2f1 g5f4 f3d4 a8g8 a1e1 b7g2 f1e2 f4h2 d3e3 h2h4,Mate
8/2k5/4Q3/8/4K3/8/8/8 w - -,g2f1 g5f4 f3d4 a8g8 a1e1 b7g2 f1e2 f4h2 d3e3 h2h4,Mate
r1b1k2r/pppp1pp1/5q1p/2b1p3/2BnP3/2NP1Q2/PPP2PPP/R3K1NR w KQkq -,f3h5 d4c2 e1d2 c2a1 g1f3 f6f4 d2e2 g7g6 h5e5 f4e5,-580
rnbqkb1r/ppp1p1pp/5n2/5pN1/4p3/3P4/PPP2PPP/RNBQKB1R w KQkq -,b1c3 h7h6 g5h3 e7e5 d3e4 d8d1 c3d1 f6e4 f2f3 e4d6,-184
rnbqk2r/ppp2ppp/5n2/3P4/2BNp3/8/PPPP1PPb/RNBQ1RK1 w kq -,g1h1 h2e5 d4e6 f7e6 d2d4 e4d3 d1e1 e5d6 d5e6 d3c2,-518
r1bq1rk1/pp2ppbp/2n2p2/8/2BP4/2N5/PP2NPPP/R2QK2R w KQ -,d1d3 e7e5 e1a1 c8g4 f2f3 g4h5 d3e3 d8c8 c1b1 h5g6,-59
r2qk2r/pbpp1ppp/1pnbpn2/8/3P1B2/2PBPN2/PP3PPP/RN1QK2R w KQkq -,f4d6 c7d6 e3e4 e8h8 e1h1 d6d5 e4e5 f6h5 g2g3 d7d6,85
1r1R1r1k/1p2QBbp/p1b1Npp1/8/8/4qP2/PP4PP/2R3K1 w - -,g2g3 d6f4 g3f4 c6e7 h1g1 e8h8 d1e2 b7f3 e2f3 d7d5,Mate
rnbq1rk1/pp3pbp/4pnp1/2pp4/2PP4/1PN1PN2/PB3PPP/R2QKB1R w KQ -,g2g3 b8c6 f1g2 d5c4 b3c4 c5d4 e3d4 c6a5 d1e2 b7b6,-31
r1bqkb1r/pp1p1ppp/2n2n2/6N1/2Ppp3/2N1P3/PP3PPP/R1BQKB1R w KQkq -,g5e4 d4c3 e4c3 f8b4 c1d2 e8h8 a2a3 b4a5 b2b4 a5c7,-589
r2qkb1r/pp2pp1p/2bp1np1/2p5/4P3/2PP1N2/PP3PPP/RNBQ1RK1 w kq -,f1e1 f8g7 c3c4 e8h8 b1c3 f6g4 h2h3 g4e5 f3e5 d6e5,-27
rnbqkb1r/ppp2ppp/3p4/7n/2B1Pp2/2N2N2/PPPP2PP/R1BQK2R w KQkq -,a2a4 g7g6 d2d4 f8g7 e1h1 e8h8 a4a5 h7h6 c3d5 c8e6,-58
rnbqk2r/ppp2ppp/3b1n2/3P4/2B1p3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,f3e1 d6h2 g1h2 f6g4 h2g3 d8d6 f2f4 d6h6 e1f3 e4f3,-176
r1bqkbnr/ppp2ppp/8/3pn3/4P3/6P1/PPPP3P/RNBQKBNR w KQkq -,d2d4 e5c6 e4e5 h7h5 b1c3 c8g4 g1e2 h5h4 c1f4 d8d7,-15
r2qkb1r/ppp2pp1/2np1n1p/4p3/2B1P1b1/1P1P1N2/PBP2PPP/RN1QK2R w KQkq -,b1d2 f8e7 h2h3 g4f3 d2f3 c6a5 e1h1 e8h8 f3d2 c7c6,36
8/5k2/8/8/8/8/P5K1/8 w - -,,0
8/8/4k3/8/P7/8/6K1/8 w - -,,0
Q7/8/8/2k5/8/8/6K1/8 w - -,g2g1 e6d5 g1f2 d5c4 f2e2 c4b4 e2d3 b4a4 d3c4 a4a5,Mate
Q7/8/8/1k6/8/5K2/8/8 w - -,g2g1 e6d5 g1f2 d5c4 f2e2 c4b4 e2d3 b4a4 d3c4 a4a5,Mate
Q7/8/8/2k5/4K3/8/8/8 w - -,g2g1 e6d5 g1f2 d5c4 f2e2 c4b4 e2d3 b4a4 d3c4 a4a5,Mate
rn1qk1nr/pppbppbp/3p2p1/8/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,b1c3 g8f6 h2h3 c7c5 d4c5 d8a5 d1d2 d6c5 f1d3 b8c6,59
rnbq1rk1/ppp1bpp1/5n1p/3p4/3P3B/2NB4/PPP2PPP/R2QK1NR w KQ -,d1c1 f8e8 g1e2 b8d7 e1h1 c7c6 f1e1 d7f8 h4g3 c8d7,-68
5Q2/8/4K3/8/8/3k4/8/8 w - -,d1c1 f8e8 g1e2 b8d7 e1h1 c7c6 f1e1 d7f8 h4g3 c8d7,Mate
1rr2bk1/2qb1ppp/pp2p3/8/2P1N3/1P4P1/PB2QPBP/2R3K1 w - -,d1c1 f8e8 g1e2 b8d7 e1h1 c7c6 f1e1 d7f8 h4g3 c8d7,Mate
8/8/3B4/3kP3/8/5K2/8/8 w - -,d1c1 f8e8 g1e2 b8d7 e1h1 c7c6 f1e1 d7f8 h4g3 c8d7,Mate
8/8/3Bk3/4P3/5K2/8/8/8 w - -,d1c1 f8e8 g1e2 b8d7 e1h1 c7c6 f1e1 d7f8 h4g3 c8d7,Mate
r1bq1rk1/pp2ppbp/8/3Pnp2/2B5/2N5/PP2NPPP/R2Q1RK1 w - -,d1b3 d8c7 c4d3 e5d3 c3b5 c7b6 b3d3 f8d8 a1c1 c8d7,-79
r2qkb1r/pp1n1ppp/3p1n2/2p1p3/2P1P3/3P1N2/PP3PPP/RNBQK2R w KQkq -,b1c3 d7b8 a2a3 f8e7 e1h1 b8c6 a1b1 e8h8 b2b4 d8d7,132
r1bq1rk1/ppp1ppbp/2np1np1/7P/3P1B2/3BP3/PPP2PP1/RN1QK1NR w KQ -,h5g6 f7g6 b1c3 c6b4 d3c4 e7e6 g1e2 c7c6 c4b3 a7a5,60
