rnbqkbnr/pp4pp/2p2p2/3pp3/8/2NP2P1/PPP1PPBP/R1BQK1NR w KQkq -,f2f4 e5f4 c1f4 g8e7 e2e4 d5d4 c3e2 c6c5 f4d2 b8c6,4
r2qkb1r/ppp2ppp/2n1bn2/3pp3/8/PPPPP3/5PPP/RNBQKBNR w KQkq -,g1f3 e5e4 d3e4 f6e4 b1d2 d8f6 d2e4 d5e4 f3d4 f8d6,-125
rn1qk1nr/pppbbppp/3pp3/3P4/4P3/2N5/PPP2PPP/R1BQKBNR w KQkq -,g1f3 g8f6 f1c4 e8h8 e1h1 e6e5 d1e2 c7c6 f1d1 a7a6,85
rnbq1rk1/pp3pbp/2p1pnp1/2Pp4/1P1P4/2N1PN2/P4PPP/R1BQKB1R w KQ -,c1b2 b8d7 f1e2 d8c7 e1h1 e6e5 a2a4 e5e4 f3d2 h7h5,-34
rn1qkb1r/ppp2ppp/4pn2/8/2BP4/2N2b1P/PPP3P1/R1BQK2R w KQkq -,d1d2 f3c6 e1h1 f8d6 f1f6 d8f6 c3b5 d6g3 d2e3 f6h4,-845
r1bq1b1r/pppn1kpp/5n2/4p3/4P3/5N2/PPP2PPP/RNBQK2R w KQ -,f3g5 f7e7 f2f4 d8e8 b1c3 h7h6 g5f3 e7f7 d1e2 f7g8,-370
r1bq1b1r/ppp2kpp/5n2/4n3/4P3/8/PPP2PPP/RNBQK2R w KQ -,d1d2 f8c5 e1h1 d8d2 b1d2 h8e8 h2h3 e5c6 c2c3 f6e4,-858
rn1qkb1r/1bpp1ppp/p3pn2/1p6/3PP3/2N1BP2/PPP3PP/R2QKBNR w KQkq -,f1d3 d7d6 c3e2 c7c5 c2c3 f8e7 g1h3 e8h8 e1h1 b8c6,23
r1b1kbnr/1pqp1ppp/p1n1p3/6B1/3QP3/2N2N2/PPP2PPP/R3KB1R w KQkq -,d4d2 g8f6 g5f6 g7f6 f1e2 b7b5 a2a3 h7h5 e1h1 c8b7,63
rn1qk1nr/1b1pbppp/p3p3/1p6/3NP3/P1NB4/1PP2PPP/R1BQK2R w KQkq -,e1h1 d8c7 f1e1 b8c6 d4c6 c7c6 c3e2 g8f6 e2d4 c6b6,43
r1bqk2r/pppp1ppp/2n2n2/2b5/2BpP3/5N1P/PPP2PP1/RNBQK2R w KQkq -,b1d2 e8h8 e1h1 f8e8 c4d3 d7d6 d2b3 c5b6 f1e1 h7h6,-141
rnbq1rk1/p1p1ppbp/1p1p1np1/6B1/3PP3/2PB1N2/PP3PPP/RN1QK2R w KQ -,e1h1 h7h6 g5h4 b8c6 d4d5 c6e5 f3e5 d6e5 c3c4 d8d6,88
rnbqkb1r/pppppppp/7n/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq -,e2e4 c7c6 d2d4 d7d5 c1f4 d5e4 c3e4 h6f5 g1f3 b8d7,143
rnbqkb1r/pp3ppp/2p2n2/3P4/3p4/2N3P1/PPP2P1P/R1BQKBNR w KQkq -,d1e2 f8e7 c3e4 e8h8 f1g2 c6d5 e4f6 e7f6 e2d2 f8e8,-497
r2qkb1r/1ppnpppp/p4nb1/3p4/3P1BP1/2N1PP2/PPP4P/R2QKBNR w KQkq -,h2h4 h7h6 g1e2 c7c5 f4g3 g6h7 d1d2 e7e6 e2f4 c5d4,58
rnbqkbnr/ppp2ppp/8/4p3/3p4/2N1P3/PPPPBPPP/R1BQK1NR w KQkq -,c3b5 c7c5 b5a3 g8f6 d2d3 b8c6 e2f3 f6d5 g1e2 f8e7,-102
rnbq1rk1/pp2npbp/2p3p1/3pp3/4P3/2PP1N2/PP1NBPPP/R1BQ1RK1 w - -,f1e1 f8e8 a2a4 h7h6 e2f1 c6c5 e4d5 e7d5 a4a5 d8c7,22
rn2kbnr/ppp1pppp/8/q4b2/2B5/5N2/PPPP1PPP/RNBQK2R w KQkq -,e1h1 g8f6 f1e1 b8d7 d2d4 e7e6 a2a4 c7c6 c1f4 f8e7,89
rnbqk2r/ppp2pp1/4pn1p/3p4/2PP4/P1b2N2/1P1BPPPP/R2QKB1R w KQkq -,d1a4 c8d7 a4d7 b8d7 d2c3 d5c4 e2e3 b7b5 a3a4 c7c6,-814
r1bk1bnr/ppp2ppp/8/4n3/2p1P3/2N5/PP3PPP/R1B1KBNR w KQ -,c1e3 c8e6 e1a1 d8c8 g1f3 e5f3 g2f3 a7a6 f3f4 g7g6,40
8/2k5/3NQ3/8/8/4K3/8/8 w - -,c1g5 f7f6 a1d1 f8d6 g5e3 c8d7 f2f4 e5d3 f1d3 c4d3,Mate
