8/p7/4p3/1p3pk1/1P6/P3K3/6PP/8 w - -,e3d4 g5f6 h2h3 e6e5 d4d5 e5e4 d5d4 e4e3 d4e3 f6e5,706
rn1qkb1r/pb3ppp/1p2pn2/2p5/3p4/3P1NP1/PPPNPPBP/R1BQR1K1 w kq -,c2c3 d4c3 b2c3 f8e7 d2c4 e8h8 d1b3 b7c6 a2a4 b8d7,53
r2qk2r/ppp2p1p/2npB1p1/2b1p1NQ/4PP2/2NP4/PPP2nPP/R1B1K2R w KQkq -,e6f7 e8d7 f7e6 d7e8 h5h6 d8f6 h1f1 f6f8 h6f8 h8f8,691
r4rk1/pbp3pp/1pq1p3/8/2PbR3/6P1/PPQ1PPBP/R1B3K1 w - -,g1f1 f8f2 f1e1 a8f8 c2d3 e6e5 g2f3 c6c5 e4d4 b7f3,-446
r2q3r/ppp1kB1p/2np2p1/2b1p1NQ/4PP2/2NP4/PPP2nPP/R1B1K2R w KQ -,c3d5 e7d7 f7e6 d7e8 h5h6 d8e7 d5e7 c6e7 h6g7 h8g8,1310
rn2k2r/pbppqppp/1p2p3/3nP3/3P4/2NB4/PPP2PPP/R2QK1NR w KQkq -,g1e2 d5c3 b2c3 d7d6 e5d6 e7d6 d1d2 b8d7 d2f4 d6f4,-37
r1b2rk1/1p3ppp/p1np4/4p3/4n3/BBP2N2/P1P2PPP/R4RK1 w - -,a1d1 e4c3 d1d6 e5e4 f3g5 h7h6 d6c6 b7c6 a3f8 g8f8,-47
rnbqk2r/4bppp/p2ppn2/1pp5/2B1P3/P2P1N1P/1PP1QPP1/RNB1K2R w KQkq -,b1c3 b5c4 d3c4 b8c6 c1g5 h7h6 g5h4 g7g5 h4g3 c6d4,-383
1r2q1k1/4r2p/3p2p1/Rp1P1p2/1Ppb2nP/2N3P1/2QBP1B1/3R2K1 w - -,d2e3 g4e3 c2d2 d4c3 d2c3 e3d1 c3f6 e7e2 a5a3 e8e7,-693
r4rk1/p1B1bpp1/1p2pn1p/8/R1PP4/5P2/1qB1QP1P/5RK1 w - -,c2h7 f6h7 e2b2 f8c8 c7e5 h7g5 g1g2 f7f6 e5g3 f6f5,474
r1bq1rn1/1pp2pkp/p2p1np1/4p3/4P3/1BPPPQN1/PP1N2PP/R4RK1 w - -,f3e2 h7h5 h2h3 a6a5 e2e1 a5a4 b3d1 c7c6 c3c4 d8a5,-32
r1bqk2r/ppppbpp1/2n2n1p/6B1/2BNP3/8/PPP2PPP/RN1QK2R w KQkq -,d4c6 b7c6 g5f6 e7f6 b1c3 e8h8 e1h1 d8e7 d1d3 f8e8,-31
r2r2k1/p1q1bppp/3nb1n1/1pp1p3/4P1N1/1NP4P/P1Q1BPP1/2BR1RK1 w - -,a2a4 b5a4 b3d2 g6f4 e2f3 d6b5 g4e3 c5c4 g2g3 f4h3,-261
r1bqk2r/pppp1pp1/2n2b1p/8/2BNP3/8/PPP2PPP/RN1QK2R w KQkq -,c2c3 c6d4 c3d4 d7d5 e4d5 d8e7 c4e2 e7b4 b1c3 b4b2,-88
