8/2p2pk1/3p1n2/2pP2p1/p1Pq2P1/1P2r2Q/P7/3B1R1K w - -,h3f3 e3f3 d1f3 f6e4 f3e4 d4e4 h1g1 a4b3 a2b3 e4g4,-858
r1bq1rk1/ppn2ppp/3bpn2/2pp4/3P1B2/P1NBPQ2/1PP2PPP/R3K1NR w KQ -,d3e2 c7e8 f4d6 d8d6 f3f4 d6f4 e3f4 b7b6 g1f3 e8d6,-36
r1b1kbnr/1pqp1ppp/p3p3/2p5/P1BnPP2/2NP4/1PP3PP/R1BQK1NR w KQkq -,g1f3 b7b6 c1e3 d4f3 d1f3 c8b7 f4f5 h7h5 e1a1 g8f6,46
8/8/8/8/2K5/8/4k3/Q6R w - -,g1f3 b7b6 c1e3 d4f3 d1f3 c8b7 f4f5 h7h5 e1a1 g8f6,Mate
rnbqk2r/pp1p1ppp/3b1n2/2pPp3/2P5/6P1/PP2PP1P/RNBQKBNR w KQkq -,f1g2 d6c7 d5d6 c7a5 c1d2 b8c6 b1c3 e8h8 g1h3 a8b8,95
r1bqkbnr/pppppp1p/6p1/1B6/3nP3/2N5/PPPP1PPP/R1BQK1NR w KQkq -,b5c4 e7e5 g1f3 f8g7 e1h1 g8e7 f3d4 e5d4 c3d5 e7d5,20
rnbqk2r/p3bppp/2p1pn2/1p6/2BPPP2/2N2N2/PP4PP/R1BQK2R w KQkq -,c4d3 b5b4 e4e5 b4c3 e5f6 e7f6 b2c3 c8a6 d3a6 b8a6,67
r1b1q1k1/pp1n1pp1/2pb1n1p/3p4/3P4/3B1N1P/PPP1NPP1/R1BQ2K1 w - -,c1f4 d6f4 e2f4 e8d8 c2c3 d8c7 d1c1 d7f8 c1e3 c8d7,34
r1bq1rk1/ppn2ppp/4pn2/2bp4/5B2/P1NBPQ2/1PP2PPP/R3K1NR w KQ -,e3e4 d5e4 c3e4 c5e7 e1a1 f6d5 e4c3 c8d7 g1e2 d5f4,39
8/8/8/4K3/1k6/8/3R4/Q7 w - -,f3e2 b7b6 g1f3 c8b7 e3e4 d5e4 c3e4 b7e4 d3e4 c7d5,Mate
8/5p2/r6p/P1k5/7p/2K3P1/5P2/R7 w - -,g3h4 c5c6 c3d4 c6d6 a1a4 d6d7 d4e5 d7d8 e5f5 d8d7,337
r1b1k2r/pp4np/1qp1pbp1/3p4/2P5/2N1PN2/PPQ1BPPP/R4RK1 w kq -,a1d1 e8h8 c4d5 e6d5 e3e4 c8e6 e4d5 c6d5 c3d5 b6b2,86
rn1qk2r/pppbbppp/3p1n2/4p3/4P3/2N2N2/PPPPBPPP/R1BQ1RK1 w kq -,d2d4 e5d4 f3d4 e8h8 g2g4 b8c6 d4f5 d7f5 g4f5 d6d5,60
