1r4k1/5pn1/p2P2R1/2p1q3/2B1p2Q/1P6/P1K2P1P/8 b - -,b8b7 g6h6 g7e8 h4g4 g8f8 d6d7 b7d7 g4d7 f8g7 h6a6,680
8/8/8/8/2kN4/4K3/7B/8 b - -,c4c3 h2e5 c3b4 d4c2 b4c4 e3e4 c4c5 e4d3 c5d5 e5h2,9605
rnb1kb1r/pp3ppp/1q2pn2/2pp2B1/N2PP3/5P2/PPP3PP/R2QKBNR b KQkq -,b6a5 a4c3 b8c6 f1b5 c5d4 d1d4 a5b5 c3b5 c6d4 b5d4,-91
rnb1kb1r/pp3ppp/4pn2/q1pp2B1/3PP3/2N2P2/PPP3PP/R2QKBNR b KQkq -,c5d4 d1d4 b8c6 f1b5 a5b5 c3b5 c6d4 b5d4 d5e4 d4b5,-91
8/8/8/6K1/8/8/8/5Qk1 b - -,,0
r2qkbnr/ppp2ppp/3p4/4p2b/2BnP3/P1NP1N1P/1PP2PP1/R1BQK2R b KQkq -,d4f3 g2f3 g8e7 d3d4 e7g6 c4e2 f8e7 f3f4 h5e2 c3e2,-23
R7/P6k/5Kp1/r4P2/7P/8/8/8 b - -,,0
r3k2r/p4ppp/1qp1b3/2QpPn2/8/BPP5/5PPP/RN3RK1 b kq -,e8d7 b1d2 h8b8 h2h3 h7h5 f1d1 a7a5 c5b6 b8b6 a3c5,121
8/5p1p/4pkp1/4R3/5P2/6PK/3r3P/8 b - -,h7h6 e5a5 d2d4 a5a7 g6g5 f4g5 h6g5 g3g4 e6e5 a7a6,-53
8/1k1R4/8/8/8/4K3/8/3R4 b - -,h7h6 e5a5 d2d4 a5a7 g6g5 f4g5 h6g5 g3g4 e6e5 a7a6,Mate
rnbqk2r/p3ppbp/3p1np1/2pP4/2P1P3/2N5/PB3PPP/R2QKBNR b KQkq -,f6e4 c3e4 g7b2 a1b1 b2g7 g1f3 c8f5 f1d3 f5e4 d3e4,-179
r1bqkb1r/p1pppppp/1pn2n2/8/3PP3/3B1N2/PPP2PPP/RNBQK2R b KQkq -,e7e6 e4e5 f6g8 e1h1 c8b7 f1e1 c6b4 d3e2 g8e7 a2a3,128
rn2kb1r/pp1qpppp/5n2/2pp4/8/2N1PN2/PPPP1PPP/R1BQ1RK1 b kq -,e7e6 d2d4 b8c6 d1e2 c5d4 e3d4 f8e7 c1f4 e8h8 c3d1,-28
8/8/6p1/8/4k1P1/8/4K1N1/8 b - -,b8c6 d2d4 e7e6 d1e2 c5d4 e3d4 f8e7 c1f4 e8h8 c3d1,Mate
r3r3/4kp2/b2p1q2/1P1Pn3/2p1P1p1/2N1R1Q1/5PP1/3R1BK1 b - -,e8g8 b5a6 g8h8 d1b1 f6h6 f2f4 g4f3 e3f3 e5f3 g3f3,224
8/8/8/8/4k3/8/5R2/4R1K1 b - -,e8g8 b5a6 g8h8 d1b1 f6h6 f2f4 g4f3 e3f3 e5f3 g3f3,Mate
5B2/3k4/8/8/8/3K4/8/5N2 b - -,d7e6 d3e4 e6d7 e4d5 d7c7 f8g7 c7b6 f1e3 b6b7 d5c5,215
r1bqkbnr/1p1npp1p/2p3p1/p7/P3p2Q/1BN5/1PPP1PPP/R1B1K1NR b KQkq -,d7c5 b3c4 c8f5 b2b3 g8f6 c1b2 f8g7 g1e2 e7e6 e2g3,-148
5B2/1k6/8/3K4/2N5/8/8/8 b - -,b7b8 d5c6 b8c8 f8g7 c8d8 c6d6 d8e8 g7d4 e8f7 d4e5,20000
r1bqk2r/ppppbppp/2nn4/1B2N3/8/N7/PPPP1PPP/R1BQR1K1 b kq -,d6b5 a3b5 c6e5 e1e5 d7d6 e5e2 c7c6 b5c3 d6d5 d2d4,-31
rn1qkb1r/ppp2ppp/3p1n2/4pb2/8/1P1P2P1/PBP1PPBP/RN1QK1NR b KQkq -,b8c6 g1f3 d8d7 h2h3 e8a8 e2e4 f5e6 c2c4 h7h5 b1c3,36
