r1b1k2r/pppp1ppp/2N2n2/2b5/4q3/1B6/PPPPQPPP/RNB1K2R b KQkq -,d7c6 e2e4 f6e4 d2d3 e4d6 e1h1 e8h8 f1e1 a7a5 a2a4,15
r1b1k2r/ppp1qppp/2np1n2/4p1B1/1bB1P3/2NP1N2/PPP2PPP/R2Q1RK1 b kq -,,0
r2q1r1k/ppp2ppp/2np1n2/3Np1B1/4PP2/3P4/PPP3PP/R2Q1RK1 b - -,a7a5 f4e5 f6d5 g5d8 d5e3 d1e2 e3f1 d8c7 f1g3 h2g3,670
8/4Rpk1/6p1/4PPK1/4r1P1/8/8/8 b - -,e4e1 e5e6 g6f5 e7f7 g7g8 g4f5 e1h1 g5g6 h1h2 f7a7,3965
8/6p1/2pk2K1/8/8/3P2P1/8/8 b - -,,0
rnbqkb1r/pp3ppp/8/2pnN3/8/2N1P3/PP1P1PPP/R1BQKB1R b KQkq -,d5c3 d2c3 d8d1 e1d1 f8d6 e5c4 d6c7 e3e4 c8e6 c1e3,131
4r3/p1pp1pkp/6p1/8/2Br1P2/1PN3P1/P6P/R4K2 b - -,a7a5 c3e2 d4d2 f1e1 d2b2 a1d1 e8e7 d1d2 b2d2 e1d2,56
rn1qkb1r/ppp1pppp/5n2/8/Q5b1/2N1PN2/PP1P1PPP/R1B1KB1R b KQkq -,c7c6 f3e5 g4e6 d2d4 b8d7 f1e2 d7e5 d4e5 f6d5 e1h1,56
1rb2r2/1p1n1pk1/2p1n1p1/p3PN1p/2qP3R/2N4P/PP1Q2B1/5RK1 b - -,g7g8 d2h6 f8e8 h4h5 g6h5 c3e4 c4b4 e4d6 d7e5 d6e8,Mate
r1bq1rnk/ppp2ppp/2np4/b7/N1B1P3/P4N1P/1P3PP1/R1BQ1RK1 b - -,d8f6 a1b1 f6g6 b2b4 a5b6 b4b5 c8h3 f3g5 c6e5 c4e2,-14
r1bq1rk1/3nbppp/2p1pn2/ppPp4/3P4/1PB2NP1/P2NPPBP/R2Q1RK1 b - -,c8a6 b3b4 a5b4 c3b4 d8c7 f1e1 f6e4 d2e4 d5e4 f3d2,39
r3r1k1/pp3ppp/2pb1pn1/8/3P4/2P1Bq2/PPQ2PB1/R3R1K1 b - -,f3h5 c2d1 h5h2 g1f1 f6f5 d1f3 g6h4 f3h3 h4g2 h3g2,-434
r1bq1rk1/3nbppp/2p1pn2/p1Pp4/1p1P4/1P3NP1/PB1NPPBP/R2Q1RK1 b - -,c8b7 d1c2 b7a6 f1e1 a6b5 a2a3 b4a3 a1a3 d8c7 e2e4,65
r3k2r/pp1qnpbp/2np2P1/2p5/8/2NP1N2/PPP3PP/R1BQ1RK1 b kq -,e7g6 c3d5 f7f5 d1e2 c6e5 d3d4 c5d4 f3d4 e8h8 c2c3,74
r3r1k1/pp3ppp/2pb1pn1/7q/3P4/2P1B3/PP2QPB1/R3R1K1 b - -,h5h2 g1f1 g6h4 e2g4 f6f5 g4h3 h4g2 h3g2 h2h5 e3g5,-420
rnb1kb1r/ppp1pp1p/6p1/3q4/3P4/7P/PPP2PP1/R1BQKBNR b KQkq -,,0
rnbqk2r/p1ppppbp/5np1/1p2N3/3P4/6P1/PPP1PPBP/RNBQK2R b KQkq -,b8c6 e5c6 d7c6 g2c6 c8d7 c6a8 d8a8 f2f3 e8h8 c2c3,150
r3r1k1/pp3ppp/2pb1pn1/8/3P4/2P1B3/PP2QPBq/R3RK2 b - -,g6h4 e2g4 f6f5 g4h3 h4g2 h3g2 h2h5 e3g5 f5f4 f2f3,-443
8/5k1K/5PR1/7P/8/8/8/r7 b - -,,0
r3r1k1/pp3ppp/2pb1p2/8/3P2Qn/2P1B3/PP3PBq/R3RK2 b - -,f6f5 g4h3 h4g2 h3g2 h2h5 e3g5 h7h6 g5f6 g7g5 f2f3,-456
