6k1/p6p/6p1/4bp2/1P2p1bP/P3P3/5PP1/2r2NK1 b - -,g6g5 f8g8 g5h4 g8a8 b5b4 e4e5 f4f3 e5d5 h4g3 a8a3,Mate
rr3nk1/p1q2ppp/4p3/3pP3/6QB/2PR4/P4PPP/4R1K1 b - -,f8g6 h4g5 h7h6 g5d2 b8c8 d3d4 g6e5 g4h5 e5g6 h2h4,-262
r2q1rk1/ppp3pp/2p1b3/8/3PP1n1/2P2PP1/PPK1Q1B1/RN5R b - -,g4f6 b1d2 d8e8 g2h3 e6h3 h1h3 b7b5 a1e1 a7a5 f3f4,249
2rr1k2/pp3np1/2pp1pNp/8/2P5/3PBBPP/1P1q1PK1/5R2 b - -,f8e8 e3d2 f7e5 f3h5 e8d7 g6e5 d6e5 f2f4 d7e7 f4e5,388
8/r7/4kpp1/7p/p7/R5PP/5P2/3K4 b - -,e6d5 d1d2 a7a6 d2c2 a6c6 c2b1 c6c4 a3f3 f6f5 h3h4,-275
r5k1/2p2rpp/1p3p2/n2qp3/1R1P4/4B1P1/P1Q1PP1P/2R3K1 b - -,d5d6 b4a4 a8e8 d4e5 d6e5 a4h4 f6f5 h4d4 h7h6 h2h4,21
r1q5/p2b1rk1/1p1p1n1p/P1p1p1p1/2PPPpPP/1QPB1P2/3K1B2/R6R b - -,c8c6 d4d5 c6b7 a1a3 b7c8 b3b1 a8b8 a3b3 c8c7 a5b6,7
8/6p1/2k4p/R6B/p1P5/1q6/6P1/2K5 b - -,b3c3 c1d1 c3a5 h5e8 c6c5 e8a4 a5a4 d1d2 c5c4 d2e3,-1435
8/8/2p5/5k2/8/4Kp2/1B5p/1b6 b - -,b3c3 c1d1 c3a5 h5e8 c6c5 e8a4 a5a4 d1d2 c5c4 d2e3,Mate
8/7p/6k1/8/8/1r3RPP/6K1/8 b - -,,0
3k2r1/2p2Rpp/1b6/p1p5/P1P1p3/4B3/6PP/6K1 b - -,d8c8 g1f2 h7h6 f2e2 c8d8 h2h4 d8e8 f7f4 c7c6 h4h5,10
2r3k1/5p1p/2q2np1/p7/5P2/P6P/2pR2PK/2R2Q2 b - -,c6a4 f1d3 a4f4 h2g1 f6e4 c1c2 c8e8 d2e2 f4e5 c2c4,196
8/8/2b1k3/1p3p1N/1K1Pp3/1P4Bp/5P2/8 b - -,c6e8 h5f4 e6d6 f4h3 d6d5 g3e5 d5c6 h3f4 e8f7 f4g2,664
8/7p/6k1/8/6P1/1r5P/5RK1/8 b - -,,0
1b1q1rk1/pp3ppp/4b3/1N1p4/1P2n3/P3PBP1/1B3P1P/2Q2RK1 b - -,d8d7 b5d4 f8c8 c1d1 e6h3 f1e1 b8e5 d1d3 h7h6 f3e4,-18
8/r7/5pp1/3k3p/p7/R5PP/3K1P2/8 b - -,a7a6 d2d3 a6a5 d3d2 d5c4 d2c1 a5c5 c1b2 c5b5 b2c2,-300
r4rk1/ppqn1p2/3bp1pp/7N/3B1P1P/2P2Q2/PP4P1/1K1R3R b - -,g8h7 h1e1 a8d8 g2g4 d6c5 h5f6 d7f6 d4f6 c5e7 f6d4,69
r1bb1rk1/p4pp1/2Q4p/1pp1P3/2p5/5N2/PP3PPP/1K3B1R b - -,d8e7 f1d3 a8b8 d3c2 g7g6 c6c7 b8b7 c7a5 c8e6 c2e4,426
8/6kp/8/8/6PP/1r6/5RK1/8 b - -,b3b4 g2g3 b4a4 h4h5 a4a3 f2f3 a3a5 f3d3 h7h6 g3f3,1
r2qkb1r/pp3pp1/5n2/4p3/6Pp/2N3P1/PPPP1PBn/R1BQ1RNK b kq -,d8c8 g1f3 h4g3 f3h2 f6g4 d1e2 c8f5 h1g1 g3f2 f1f2,150
8/8/2p5/5k2/8/4Kp2/8/Bb5q b - -,d8c8 g1f3 h4g3 f3h2 f6g4 d1e2 c8f5 h1g1 g3f2 f1f2,Mate
r1bq1rk1/ppp1ppbp/2np2p1/1B1N4/3PP3/2P2N2/PP3PPP/R2QK2R b KQ -,e7e5 d4e5 c6e5 f3e5 g7e5 b5d3 c7c6 d5e3 d6d5 e4d5,-64
8/6kp/8/6PP/8/1r6/5RK1/8 b - -,,0
1b1R4/8/r1k2p1p/Prp1p1pP/R1K1P3/2B3P1/5P2/8 b - -,b5b7 d8h8 c6d6 h8h6 d6e6 a4a3 g5g4 h6h8 b8c7 h8h7,410
rqb1k1nr/1p1pbppp/p1n5/3N1P2/8/4BQ2/PPP2PPP/2KR1B1R b kq -,g8f6 d5e7 c6e7 e3c5 b8e5 c5d6 e5f5 d1e1 f5f3 e1e7,166
R3b1k1/4qppp/1p2p3/8/8/7P/5PP1/2R3K1 b - -,g8f8 h3h4 e7d7 a8c8 g7g6 c1c7 d7a4 c7c4 a4d1 g1h2,-456
rn3rk1/1p2q2p/p3p1b1/3pPpN1/2pP1Q2/P1N5/1PP2PP1/2KR3R b - -,f8f7 g5f7 e7f7 h1h6 b7b5 f4g5 b8d7 d1h1 d7f8 c3e2,366
r2qkbnr/2p2ppp/p1n1p3/8/PpBPb3/4BN2/NP3PPP/R2Q1RK1 b kq -,c6a5 f3d2 a5c4 d2e4 d8d5 d1c2 a6a5 a2c1 f8d6 c1e2,-89
8/2K1k3/2P5/8/8/4R3/2r5/8 b - -,e7f6 e3e1 c2f2 c7d7 f2d2 d7c8 f6f5 c6c7 f5g4 e1c1,1073
8/6kp/8/1r4PP/8/6K1/5R2/8 b - -,,0
rn2k2r/pp1q1p1p/2pb1np1/5pB1/3P4/3Q2N1/PPP1N1PP/R4RK1 b kq -,f6d5 a1e1 e8h8 c2c4 d5e7 g5f6 d7e6 f6h4 f7f6 e2f4,66
r1bqk2r/1pp2pp1/p1np1n1p/2b1p3/4PP2/1BNP1N2/PPP1Q1PP/R1B1K2R b KQkq -,e5f4 c1f4 e8h8 h2h3 c8e6 g2g4 e6b3 a2b3 d6d5 e1a1,23
r1bq1rk1/1pp1ppbp/p1Bp2p1/3N4/3PP3/2P2N2/PP3PPP/R2QK2R b KQ -,b7c6 d5e3 a6a5 d1c2 a5a4 e1h1 c8e6 b2b4 a4b3 a2b3,-23
1b1q1rk1/pp3ppp/4b3/1N1p4/1P2n3/P3PB2/1BQ2PPP/5RK1 b - -,e4g5 f3e2 g5e4 c2d3 a7a6 b5c3 d8f6 c3a4 f6g6 f1c1,29
2rr2k1/pp3np1/2pp1pNp/8/2P5/3P1BPP/1P1B1PK1/5R2 b - -,c8c7 f1a1 f7e5 g6e5 d6e5 a1a7 d8d3 d2a5 c7f7 f3h5,436
8/6kp/8/6PP/1r6/5RK1/8/8 b - -,b4b1 f3f6 b1g1 g3h4 g1h1 h4g4 h1g1 g4f5 g1f1 f5e6,3
1rb2rk1/2q1bppp/p2ppn2/nN6/1NP1PP2/1P2B1P1/P3Q1BP/R4RK1 b - -,b8b5 c4b5 a6b5 e2b5 c7c3 e3b6 d6d5 e4e5 c3b4 b5b4,402
