6k1/p6p/6p1/4bp2/1P2p1bP/P3P3/5PP1/2r2NK1 b - -,g6g5 f8g8 g5h4 g8a8 b5b4 e4e5 f4f3 e5d5 h4g3 a8a3,Mate
2k4r/ppp4p/2n5/4p3/3bN1P1/B1p2P2/P6r/3RK3 b - -,h8d8 e1f1 h2a2 a3c1 c3c2 d1d2 c6b4 f1e2 a2a1 d2c2,-957
r1bqr1k1/1pp2pbp/3p1np1/pNn5/2P1P3/2N1BP2/PP1QB1PP/R4RK1 b - -,c8d7 f1d1 a5a4 a1c1 h7h5 e3c5 d6c5 d2f4 a4a3 b2b3,75
3rk3/pp3p2/5q2/6pP/1K6/1B1p4/PPPP4/RNB5 b - -,c8d7 f1d1 a5a4 a1c1 h7h5 e3c5 d6c5 d2f4 a4a3 b2b3,Mate
3r2k1/1p3ppp/p1R1bn2/3p4/8/1P2P1P1/P3NPBP/5RK1 b - -,h7h6 c6c7 b7b6 e2d4 e6d7 f2f3 f6e8 c7c1 e8d6 g3g4,573
rn2kbnr/pp3qpp/2p2p2/4p3/4P3/2NQ1N2/PPP2PPP/R1B2RK1 b kq -,b8d7 f1d1 d7c5 d3e2 g8e7 b2b4 c5e6 a1b1 a7a6 c1e3,59
5bk1/5p1p/4p1p1/1Q1p4/5P2/P7/2q3PP/1R4K1 b - -,f8a3 b5b8 a3f8 h2h3 c2c3 g1h2 c3d4 b1b7 g8g7 b8c7,-18
rnbqk2r/pppp2pp/5p2/4p3/3bP1n1/1PNP1N2/P1PBK1PP/R2Q1B1R b kq -,g4f2 d1e1 f2h1 f3d4 e5d4 c3d5 e8h8 e2d1 c7c6 d5f4,-368
r3k1nr/1bppqppp/p1n5/bp1BP3/P3P3/1QP2N2/5PPP/RNB1K2R b KQkq -,b5b4 c1g5 f7f6 g5d2 e8f8 c3b4 a5b4 e1h1 a8b8 e5f6,253
5r2/6kp/1RB5/1p2r3/2p3P1/3b3P/1P1R4/7K b - -,f8f6 b6b7 g7h6 c6g2 h6g5 h1h2 f6e6 d2f2 g5h4 f2f4,-59
8/R4Qbk/6p1/7p/1B3q1P/3p4/4p1P1/6K1 b - -,f4e3 g1h2 e3e5 g2g3 e5b2 b4e1 d3d2 e1d2 e2e1b f7g7,439
2rr2k1/3b1ppp/pq2p3/1pnnB1Q1/P7/1P1B1N1P/2P2PP1/R3R1K1 b - -,g8f8 g5g7 f8e7 d3h7 b5a4 c2c4 d7e8 b3a4 b6b4 c4d5,Mate
r1b1k2r/ppp1qpp1/2p4p/2P5/4N3/4B3/PPP2PPP/R2QK2R b KQkq -,e7e4 d1d4 e4d4 e3d4 f7f6 e1a1 e8f7 f2f3 h6h5 d4e3,6
r1b1kb1r/pp1p1ppp/4Q3/2p3B1/8/8/PPP1PPPP/R3KB1R b KQkq -,f7e6 e2e4 b7b6 e1a1 h7h6 g5f4 c8b7 f2f3 f8e7 h2h4,23
7r/pb2q1k1/1p2p1Q1/2ppP2r/3P3P/2PBP1B1/PP6/6K1 b - -,g7f8 g6g4 h5h4 g3h4 e7h4 g4f4 h4f4 e3f4 b7c6 d3e2,-522
r3rbk1/pq3pp1/1p5p/1P1p1N2/2P1n1Q1/4P2P/1B3PP1/R4RK1 b - -,d5d4 f5h6 g8h7 h6f5 e8e6 b2a3 e4c5 f5d4 e6g6 g4f3,348
8/Rb2kpB1/8/P4p1p/2p2P2/4P2P/1P4PK/3R4 b - -,d5d4 f5h6 g8h7 h6f5 e8e6 b2a3 e4c5 f5d4 e6g6 g4f3,Mate
rnbqk2r/pppp2pp/5p2/4p3/3bP3/1PNP1N2/P1PBKnPP/R3QB1R b kq -,f2h1 f3d4 e5d4 c3d5 c7c6 d5f4 e8h8 e2d1 d7d5 d1c1,-363
r1bqr1k1/2p2pbp/1p1p1np1/pNn5/2P1P3/2N1BP2/PP1QB1PP/3R1RK1 b - -,c8b7 f1e1 f6d7 e3g5 g7f6 g5f6 d7f6 c3d5 a8c8 d5c7,88
3rk3/pp3p2/3q4/1K4pP/8/1B1p4/PPPP4/RNB5 b - -,c8b7 f1e1 f6d7 e3g5 g7f6 g5f6 d7f6 c3d5 a8c8 d5c7,Mate
r3r1k1/1p1b1ppp/pq1p4/2pPnP1n/P6B/R1N4P/1PB2QP1/5RK1 b - -,f7f6 a3b3 b6c7 g2g4 c5c4 b3a3 b7b5 a4b5 a6b5 g4h5,163
r3r1k1/pp1bnppp/1q3n2/3p4/3Q4/2B1PN2/PP2BPPP/2R2RK1 b - -,b6d4 c3d4 e8c8 f3e5 d7e6 d4c5 e7c6 e5c6 c8c6 c5d4,89
4Rrk1/2p2p1p/1p1q2p1/pP1P4/1nQ5/6P1/1P3PBP/4R1K1 b - -,d6f6 e8f8 g8f8 c4c7 b4d3 e1f1 f6d4 d5d6 d3e5 c7c8,654
2r3k1/6p1/pp6/4rp2/2P5/N2KP1Pp/PR3P1P/8 b - -,e5a5 a3c2 b6b5 c4c5 a5a4 c2d4 c8c5 d3e2 c5c3 d4f5,-363
rnbqk2r/ppppbppp/8/4p1B1/4P1n1/2NP1N2/PPPQ1PPP/R3KB1R b KQkq -,e7g5 f3g5 c7c5 f1e2 d7d6 f2f4 h7h6 e2g4 c8g4 g5f3,37
5r2/6kp/4Q1R1/p2P4/4P3/3q1p2/P4P1P/4K3 b - -,e7g5 f3g5 c7c5 f1e2 d7d6 f2f4 h7h6 e2g4 c8g4 g5f3,Mate
8/R4Qbk/6p1/7p/1B1q3P/3p4/4p1P1/7K b - -,d4e5 a7e7 e5d4 g2g3 d4a1 h1h2 a1b2 b4e1 d3d2 e1d2,497
2kr4/ppp4p/2n5/4p3/3bN1P1/B1p2P2/P6r/3R1K2 b - -,h2a2 a3c1 c3c2 d1d2 c6b4 f1e2 a2a1 d2c2 b4c2 c1g5,-986
rnbqkbnr/pp4pp/4pp2/3p4/3P1B2/2N1P3/PP3PPP/R2QKBNR b KQkq -,b8c6 f1d3 g7g6 g1f3 f8g7 e1h1 g8e7 d1b3 e8h8 a1c1,78
1Q4k1/5p1p/4p1p1/3p4/5P2/b7/2q3PP/1R4K1 b - -,g8g7 b8e5 f7f6 e5e1 a3b2 e1d1 b2d4 g1h1 c2d1 b1d1,Mate
r1b1k2r/pp2qppp/2np1n2/3p4/3Pp3/2P1P1B1/PP1N1PPP/R2QKB1R b KQkq -,c8e6 f1e2 e8h8 e1h1 h7h6 h2h3 a8c8 d1a4 a7a6 f1c1,48
r3k1nr/1bppqppp/p1n5/b2BP3/Pp2P3/1QP2N2/5PPP/RNB2RK1 b kq -,a8b8 c1g5 f7f6 g5e3 e7f8 b1d2 g8e7 d2c4 b7a8 f1b1,290
8/8/8/pNpk1N2/P5n1/3K4/7P/8 b - -,g4h2 f5e3 d5c6 d3e4 c5c4 e4d4 h2f3 d4c3 c6c5 e3c4,314
r4k1r/pp1b1p1P/4pQ2/b1qpP3/6p1/2PB4/2P2PP1/1K1R3R b - -,c5f2 f6f2 a5c3 f2f6 c3e5 f6e5 f8e7 d1f1 h8f8 e5g7,1107
r2k3r/pp3p2/2n2p1p/5b2/3q3P/6Q1/P1P2PP1/3RR1K1 b - -,f5e6 d1d4 c6d4 g3d6 d8c8 d6d4 a7a5 d4f6 h8d8 f6c3,462
3rk3/pp3p2/1q6/6pP/K7/1B1p4/PPPP4/RNB5 b - -,f5e6 d1d4 c6d4 g3d6 d8c8 d6d4 a7a5 d4f6 h8d8 f6c3,Mate
2r4r/5k2/4p1p1/1p1p1p2/p2P2q1/P1PnK3/3NQP2/2R4R b - -,h8h3 d2f3 g4e4 e3d2 h3f3 e2e4 d5e4 c1f1 d3f4 d4d5,-729
1r2k1r1/ppp2pP1/4bBp1/8/2p5/5N2/PP1R1PPP/6K1 b - -,a7a6 f3e5 b7b5 e5c6 b8a8 c6b4 e6f5 b4a6 f5d3 a6c5,331
6k1/1pp2ppp/1p2r3/8/3r1P2/1P4NP/P5P1/5RK1 b - -,e6e8 f4f5 e8d8 g1h2 g8f8 g3h5 d4d1 f1f4 d1d5 h5g3,-487
4R1k1/2p2p1p/1p1q2p1/pP1P4/1nQ5/6P1/1P3PBP/6K1 b - -,g8g7 c4c3 f7f6 e8c8 b4d5 g2d5 d6e5 c8c7 g7h8 c3e5,996
rnbqk2r/pppp1ppp/8/4p1Q1/4P1n1/2NP1N2/PPP2PPP/R3KB1R b KQkq -,d8g5 f3g5 h7h6 g5f3 b8c6 c3d5 e8d8 h2h3 g4f6 d5f6,25
r3bnk1/p3q2p/1p2p1pQ/2r1N3/P1B1R3/1P4R1/2P2PP1/6K1 b - -,c5c7 g3f3 e7g7 h6e3 e8c6 e5c6 c7c6 c4e6 f8e6 e4e6,306
r3r1k1/1p1b1ppp/p2p4/2pPnP1n/Pq5B/1RN4P/1PB2QP1/5RK1 b - -,b4a5 g2g4 c5c4 b3b7 d7c8 b2b4 c4b3 b7b3 h5f6 h4f6,261
8/6k1/5rp1/p2P4/4P3/3q1p2/PQ3P1P/4K3 b - -,b4a5 g2g4 c5c4 b3b7 d7c8 b2b4 c4b3 b7b3 h5f6 h4f6,Mate
r2qr1k1/1bp2pbp/1p1p1np1/pNn5/2P1P3/2N1BP2/PP1QB1PP/3RR1K1 b - -,f6d7 e3g5 d8b8 b2b3 e8e6 g5f4 b8d8 h2h3 a8c8 e2d3,95
4r3/2p2k2/2Nr3p/1P2p3/P3R2P/2P1p1P1/5bP1/5R1K b - -,d6f6 a4a5 f6c6 b5c6 f7e6 c3c4 e8d8 a5a6 d8a8 a6a7,168
6k1/1pp2pp1/1p2r2p/5P2/3r4/1P4NP/P5P1/5RK1 b - -,e6d6 g1h2 g8f8 f1e1 d4d1 e1e4 b6b5 e4e3 d1d5 e3e1,-473
3rk3/1p3p2/p2q4/6pP/K7/1B1p4/PPPP4/RNB5 b - -,e6d6 g1h2 g8f8 f1e1 d4d1 e1e4 b6b5 e4e3 d1d5 e3e1,Mate
rnb1k2r/pppp1ppp/8/4p1N1/4P1n1/2NP4/PPP2PPP/R3KB1R b KQkq -,h7h6 g5f3 b8c6 c3d5 e8d8 h2h3 g4f6 d5f6 g7f6 e1a1,24
4R3/2p2pkp/1p1q2p1/pP1P4/1n6/2Q3P1/1P3PBP/6K1 b - -,f7f6 e8c8 c7c6 b5c6 b4a6 c6c7 g7f7 g2f1 b6b5 f1b5,989
r1bqkbnr/pppp1ppp/2n5/8/5B2/2N2N2/PP2PPPP/R2QKB1R b KQkq -,f8b4 e2e4 g8f6 f1d3 d7d6 h2h3 e8h8 e1h1 f8e8 f4g5,-55
8/8/2k5/p1p5/P7/2NKN3/7n/8 b - -,h2f3 e3c4 f3g5 c4e5 c6c7 c3e4 g5e6 d3c4 c7b6 e4c3,387
8/R4Qbk/6p1/7p/1B1q4/3p4/4p1PK/8 b - -,d4h4 h2g1 e2e1q b4e1 h4e1 g1h2 e1h4 h2g1 h4d4 f7f2,-4
2kr4/ppp4p/2n5/4p3/3bN1P1/5P2/r1pR4/2B2K2 b - -,c6b4 f1e2 a2a1 d2c2 b4c2 c1g5 d8g8 g5e7 a1a2 e4g3,-1018
r1bqr1k1/pppn1pbp/3p1np1/8/2PPN3/6P1/PPQ1PPBP/RNBR2K1 b - -,d8e7 b1c3 f6e4 c3e4 d7f8 e4c3 c7c6 c1e3 h7h5 h2h4,182
r1b1k2r/ppp2pp1/2p4p/2P5/4q3/4BQ2/PPP2PPP/R3K2R b KQkq -,e4b4 e3d2 b4b2 e1h1 b2c2 f3g3 c8e6 d2f4 e8h8 f4h6,-52
2rr2k1/3b2p1/pq2pp2/1pnnB1NQ/P7/1P5P/2P2PP1/R3R1K1 b - -,d8e8 h5h7 g8f8 a4a5 b6c6 h7h8 f8e7 h8g7 e7d8 g5f7,Mate
rnb1k2r/pppp1pp1/7p/4p3/4P1n1/2NP1N2/PPP2PPP/R3KB1R b KQkq -,b8c6 c3d5 e8d8 h2h3 g4f6 d5f6 g7f6 f3h4 d7d6 f2f4,28
3rk3/1p3p2/p1q5/6pP/8/KB1p4/PPPP4/RNB5 b - -,b8c6 c3d5 e8d8 h2h3 g4f6 d5f6 g7f6 f3h4 d7d6 f2f4,Mate
rnbq1rk1/ppppbppp/8/4p1B1/3PP1n1/2N2N2/PPPQ1PPP/R3KB1R b KQ -,e5d4 c3d5 g4f6 d5e7 d8e7 e1a1 h7h6 g5f6 e7f6 f3d4,54
r3r1k1/1bp1qpbp/1p1p1np1/pNn3B1/2P1P3/2N2P2/PP1QB1PP/3RR1K1 b - -,c5e6 g5e3 f6d7 e2f1 d7c5 e3h6 g7h6 d2h6 e7f8 h6d2,93
6k1/1pp2pp1/1p5p/5P2/5N1r/1P2r2P/P5P1/5RK1 b - -,c7c6 g1h2 g8f8 f5f6 g7f6 g2g3 h4f4 g3f4 b6b5 h3h4,-349
r1b2rk1/p1p2p2/3q1n1p/npp1N1P1/4P2B/2PP3P/P2N2P1/R2Q1RK1 b - -,d6e5 d2f3 e5f4 g5f6 c5c4 d3d4 c8b7 e4e5 b7d5 d1e1,342
rnq1k1nr/pbppb1pp/1p2pp2/4P3/3P4/4BB2/PPPN1PPP/R2QK1NR b KQkq -,b8c6 f3e4 f6f5 e4c6 b7c6 g1e2 c8b7 c2c4 g7g5 f2f3,8
2rqkb1r/pp3ppp/1n2p3/3pP2b/3Q1P2/P1N5/1PB1N1PP/R1B2RK1 b - -,c8c4 d4d3 h5g6 f4f5 g6f5 f1f5 e6f5 g1h1 c4c8 c2b3,261
4R3/2p3kp/1p1q1pp1/pP1P4/1n6/4Q1P1/1P3PBP/6K1 b - -,b4c2 e3e4 a5a4 e4c2 d6d7 e8e6 g7f8 g2f3 f8g8 g1g2,729
rnbq1rk1/ppppbppp/8/3N2B1/3pP1n1/5N2/PPPQ1PPP/R3KB1R b KQ -,g4f6 d5e7 d8e7 e1a1 h7h6 g5f6 e7f6 f3d4 a7a6 f2f3,61
r1b2rk1/pp2qppp/2np1n2/3p4/3Pp3/1QP1P1B1/PP1N1PPP/R3KB1R b KQ -,c8e6 f1e2 h7h6 a2a4 e7d7 a4a5 c6e7 b3a4 e7f5 a4d7,47
8/8/2k5/p3n3/P1N5/1KN5/8/8 b - -,e5d7 c4d2 d7b6 d2e4 c6d7 b3c2 d7e6 c2d3 e6e5 e4d2,104
r3r1k1/pp1bnppp/1q3n2/3p4/3B4/4PN2/PP2BPPP/2RQ1RK1 b - -,b6e6 b2b3 a7a6 d1d2 f6e4 d2b4 d7c6 f1d1 e6h6 e2d3,88
2kr4/ppp4p/8/4p3/1n1bN1P1/5P2/r1pRK3/2B5 b - -,a2a1 d2c2 b4c2 c1g5 d8g8 g5h6 a1a2 e2f1 b7b6 h6d2,-1008
4R3/5Pr1/r7/8/k1P5/1P6/5P1K/8 b - -,a4a5 e8e5 a5b6 f7f8q g7h7 h2g2 b6a7 g2f3 h7c7 e5e8,Mate
r1b4r/pp3kpp/4p3/8/8/2PB4/P1P2PPP/R2K3R b - -,c8d7 d1d2 a8c8 h1b1 b7b6 a2a4 c8c5 a4a5 b6b5 b1b4,98
4R3/2p1Q1kp/1p1q1pp1/pP1P4/8/6P1/1Pn2PBP/6K1 b - -,d6e7 e8e7 g7f8 e7c7 c2d4 d5d6 d4f5 c7c8 f8g7 d6d7,1182
3r2k1/p3ppbp/1pn3pn/3NP3/5B2/5N1P/PP3PP1/2R3K1 b - -,g6g5 f4g5 d8d5 c1c6 f7f6 e5f6 e7f6 g5f6 d5d1 g1h2,552
r3r1k1/1bp1qpbp/1p1pnnp1/pN6/2P1P2B/2N2P2/PP1QB1PP/3RR1K1 b - -,f6e4 h4e7 e4d2 e7h4 g7h6 c3d5 b7d5 c4d5 e6f4 b5c7,47
rnbB1rk1/pppp1ppp/8/4p3/1b1PP1n1/2N2N2/PPPQ1PPP/R3KB1R b KQ -,f8d8 d2g5 d8e8 g5g4 e5d4 f3d4 d7d5 g4g3 e8e4 d4e2,577
r1b3rk/p5pn/q4n2/4N2Q/8/1B5P/PB3PPK/8 b - -,a6d6 f2f4 d6e5 h5e5 g8e8 e5a5 c8e6 b3c2 e8e7 a5a6,Mate
2kr4/ppp4p/8/4p3/1n1bN1P1/5P2/2R1K3/r1B5 b - -,b4c2 c1g5 d8g8 g5h6 a1a2 h6d2 c2a1 e2e1 a7a5 e1f1,-989
r1bqkb1r/1pppnppp/p4n2/4p3/B3P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,e7c6 a4c6 b7c6 f3e5 f8e7 e1h1 e8h8 d3d4 f8e8 f1e1,153
8/k7/p7/4Rn1r/1R5p/8/7K/8 b - -,h5h7 e5f5 h7e7 h2h3 e7e3 h3h4 e3e7 h4g4 e7g7 g4h5,357
r1b2rk1/p1p2p2/5R1p/npp1q1P1/4P2B/2PP3P/P2N2P1/R2Q2K1 b - -,h6g5 d1f3 g5h4 a1f1 c8e6 f3e3 e5g3 f1f3 g3g7 e3f4,116
8/1pp2p2/1p3Pkp/6p1/4r2r/1P5P/P5PN/5RK1 b - -,h4f4 h2f3 e4e8 f1d1 h6h5 g1h2 g6f6 a2a4 g5g4 h3g4,-486
5k2/2R4p/1p3pp1/pP1P4/8/6P1/1Pn2PBP/6K1 b - -,h4f4 h2f3 e4e8 f1d1 h6h5 g1h2 g6f6 a2a4 g5g4 h3g4,Mate
rnbr2k1/pppp1ppp/8/4p1Q1/1b1PP1n1/2N2N2/PPP2PPP/R3KB1R b KQ -,b8c6 d4d5 g4f6 d5c6 d7d5 e4d5 h7h6 g5h4 e5e4 f3e5,607
r1b3rk/p5pn/3q1n2/4N2Q/5P2/1B5P/PB4PK/8 b - -,f6g4 h3g4 d6e5 b2e5 c8g4 h5g4 a8e8 b3g8 e8e5 f4e5,Mate
8/3n4/2k5/N7/P7/1KN5/8/8 b - -,c6c7 c3b5 c7c8 b5d6 c8c7 a5b7 d7b6 a4a5 b6d7 b3b4,10
1r6/p2qbp1k/3pbp1p/4pN1Q/2P1P3/4N3/P4PPP/5RK1 b - -,e6f5 h5f7 h7h8 e3f5 b8g8 f1b1 d7e8 f7e7 e8e7 f5e7,Mate
2kr4/ppp4p/8/4p1B1/3bN1P1/5P2/2n1K3/r7 b - -,d8g8 g5h6 a1a2 e2f1 c2b4 h6d2 b4d5 f1e1 a7a5 g4g5,-1085
r3rqk1/1bp2pbp/1p1pnnp1/pN1N4/2P1P2B/5P2/PP1QB1PP/3RR1K1 b - -,f6d5 c4d5 g7h6 d2c2 e6f4 e2f1 e8c8 b5d4 h6g7 f1b5,209
r1b2rk1/p1p2p2/5R2/npp1q1B1/4P3/2PP3P/P2N2P1/R2Q2K1 b - -,e5g5 d1f3 c8h3 a1f1 g5g2 f3g2 h3g2 g1g2 f8d8 d2f3,20
r1bqr1k1/pppn1pbp/3p2p1/8/2PPB3/6P1/PPQ1PP1P/RNBR2K1 b - -,d7f6 c1g5 c7c6 b1c3 h7h6 g5f6 d8f6 d1d3 c8d7 e4g2,123
r2q1rk1/pp2bppp/2n1p3/3pPn2/3P2b1/1N2BN1P/PP2BPP1/R2Q1RK1 b - -,g4h3 g2h3 f7f6 g1h1 a7a5 e5f6 f8f6 f1g1 f5e3 f2e3,212
8/6n1/3K2k1/8/6Q1/8/8/8 b - -,g4h3 g2h3 f7f6 g1h1 a7a5 e5f6 f8f6 f1g1 f5e3 f2e3,Mate
r5k1/pbpn2pp/1p1pp3/7q/2PPp3/2P1P1P1/P1Q1BK1P/R1B1R3 b - -,g4h3 g2h3 f7f6 g1h1 a7a5 e5f6 f8f6 f1g1 f5e3 f2e3,Mate
5k2/2R4p/1p1P1pp1/pP6/3n4/6P1/1P3PBP/6K1 b - -,g4h3 g2h3 f7f6 g1h1 a7a5 e5f6 f8f6 f1g1 f5e3 f2e3,Mate
6k1/R5P1/3r4/5K2/8/8/8/8 b - -,,0
r3r1k1/pp1bnppp/4qn2/3pN3/3B4/4P3/PP2BPPP/2RQ1RK1 b - -,e7c6 e5c6 d7c6 e2d3 f6e4 d1h5 e6g6 h5h4 g6g5 h4g5,101
8/1pp2p2/1p3rkp/4N1p1/4r3/1P5P/P5P1/5RK1 b - -,e4e5 f1d1 e5e2 g1h2 f6f2 d1g1 e2a2 b3b4 h6h5 h2h1,-767
r1bqkb1r/1p1ppppp/p1n5/2p1P3/3P2n1/P1N2N2/1PP2PPP/R1BQKB1R b KQkq -,d7d6 d4c5 g4e5 f3e5 c6e5 c5d6 c8e6 c1e3 a8c8 f2f4,72
r3r1k1/pq2bpp1/1p5p/1Pnp4/2PNB3/4P2P/1B3PP1/R2Q1RK1 b - -,c5a4 e4d5 a4b2 d1f3 b7c8 f3f7 g8h8 d5a8 c8a8 d4e6,642
8/2kn4/8/8/P1N5/1KN5/8/8 b - -,d7c5 b3b4 c5a4 c4d6 c7d7 c3d5 d7e6 b4b5 a4b2 b5b4,-14
r5k1/pbpn2pp/1p1pp3/8/2PPp3/2P1P1P1/P1Q1B2q/R1B1RK2 b - -,d7c5 b3b4 c5a4 c4d6 c7d7 c3d5 d7e6 b4b5 a4b2 b5b4,Mate
r4k1r/pp1b1p1P/1q2pQ2/b2pP3/6p1/2PB4/K1P2PP1/3R3R b - -,b6b2 a2b2 d7e8 f6h8 f8e7 h8f6 e7d7 h7h8q a8d8 d3b5,Mate
rnb1r1k1/pppp1ppp/8/4p1Q1/1bBPP1n1/2N2N2/PPP2PPP/R3K2R b KQ -,d7d5 c4d5 b8c6 d4e5 c6e5 f3e5 g4e5 e1a1 b4c3 b2c3,522
5k2/2RP3p/1p3pp1/1P6/p2n4/6P1/1P3PBP/6K1 b - -,f8e7 g2c6 d4e6 c7c8 e6d8 c8b8 h7h6 g1g2 f6f5 b8b6,871
r1b3rk/p5pn/5n2/4Q3/5P2/1B5P/PB4PK/8 b - -,c8d7 b3g8 h8g8 e5e3 d7e8 b2e5 e8f7 a2a4 a8c8 e3a7,111
rnbqkb1r/ppp3pp/4pn2/3p2B1/3P2p1/2NQ3P/PPP1PP2/R3KBNR b KQkq -,b8c6 h3g4 e6e5 d4e5 c6e5 d3d4 e5c6 d4e3 d8e7 c3b5,56
8/2k5/8/2n5/PKN5/2N5/8/8 b - -,,0
2r2rk1/1p4b1/4p1pp/3Q4/p3n3/P3B3/1P3PPP/1R2RBK1 b - -,e4f2 d5e6 g8h7 e3f2 c8d8 e6e4 b7b6 e4a4 d8d6 e1e7,930
5rk1/pbpn2pp/1p1pp3/8/2PPp3/2P1PBP1/P1Q4q/R1B1RK2 b - -,e4f2 d5e6 g8h7 e3f2 c8d8 e6e4 b7b6 e4a4 d8d6 e1e7,Mate
r2q1rk1/pp2bppp/2n1p3/3pPn2/3P4/1N2BB1P/PP3PP1/R2Q1RK1 b - -,f5e3 f2e3 a7a5 a2a4 e7g5 d1e1 c6b4 e1d2 a8c8 a1c1,-62
8/2RPk2p/1pB2pp1/1P6/p2n4/6P1/1P3P1P/6K1 b - -,d4e6 c7c8 e6d8 c8b8 h7h6 g1g2 h6h5 b8b6 f6f5 b6b8,1315
r2qk2r/pp2ppbp/2n3p1/3n1b2/2NP4/1QP5/PP1B1PPP/R3KBNR b KQkq -,e8h8 g1f3 a8b8 a2a4 a7a6 f1e2 b7b5 a4b5 a6b5 c4e5,49
r1b2rk1/p1p2p2/5P1p/npp1q3/4P2B/2PP3P/P2N2P1/R2Q1RK1 b - -,a5c6 d2f3 e5h5 g1h2 c6e5 f3e5 h5h4 e5c6 g8h7 d1f3,320
3r1r2/5pkp/4p1p1/1q1p4/p1p4P/1n4P1/RPN1QPB1/3R2K1 b - -,d5d4 c2a3 d4d3 e2e4 b5b4 e4c4 d8d4 c4c3 b3c5 a3b1,110
rnb1r1k1/ppp2ppp/8/3Bp1Q1/1b1PP1n1/2N2N2/PPP2PPP/R3K2R b KQ -,b8c6 d5f7 g8f7 g5h5 f7e7 e1h1 b4c3 b2c3 g4f6 h5g5,551
2k3r1/ppp4p/8/4p3/3bN1PB/5P2/2n1K3/r7 b - -,a1a2 e4c3 d4c3 e2d3 c3d4 g4g5 a7a5 d3e4 a2a3 e4f5,-1246
7r/pRrb1kpp/4p3/8/4B3/2P5/P1P2PPP/3K3R b - -,c7c3 b7d7 f7f6 h1e1 h8f8 d1d2 c3a3 e4d3 g7g5 e1e3,625
4Q1k1/1pq2pp1/p7/2b2Pp1/8/5P1P/P1P5/3R3K b - -,g8h7 d1d8 c7d8 e8d8 f7f6 d8e8 a6a5 e8h5 h7g8 h3h4,627
2R5/3Pk2p/1pB1npp1/1P6/p7/6P1/1P3P1P/6K1 b - -,e6d8 g1g2 g6g5 c8b8 f6f5 b8b6 f5f4 g3f4 d8f7 b6b8,1454
2rr4/3b2pk/pq2pp2/1pnnB2Q/P7/1P3N1P/2P2PP1/R3R1K1 b - -,h7g8 f3g5 f6e5 h5h7 g8f8 a4b5 a6b5 a1d1 e5e4 b3b4,18
rn1qr1k1/pb3ppp/1p1b1n2/1Np5/3p2P1/1P2PN2/PBQPBP1P/R3K2R b KQ -,d6f8 h1g1 b8c6 f3g5 c6b4 c2f5 g7g6 f5f4 b4d5 f4g3,-610
8/R4Qbk/6p1/7p/8/2q3PK/8/8 b - -,c3d4 a7e7 d4c3 f7f2 c3c6 h3h2 c6c3 f2e2 c3d4 h2g2,4
rnb1r1k1/pp3ppp/2p5/3B1NQ1/1b2P1n1/2N5/PPP2PPP/R3K2R b KQ -,c8f5 d5f7 g8f7 g5f5 g4f6 e1a1 f7g8 e4e5 f6d5 c3d5,586
r5k1/pbpn2pp/1p1pp3/7B/2PPp3/2P1P1P1/P1Q2r1P/R1B1R1K1 b - -,f2f3 h5f3 e4f3 e3e4 a8f8 c1e3 d7f6 e3f2 h7h6 c4c5,598
r1bq1r1k/ppp1n1pp/3p4/5p2/2P1PP2/2NQN3/PP4PP/4RRK1 b - -,c8d7 h2h3 a7a6 a2a4 f5e4 c3e4 e7f5 a4a5 f5e3 e1e3,63
r1bqk2r/pp2ppbp/2n3p1/3n4/2NP4/2P5/PPQB1PPP/R3KBNR b KQkq -,e8h8 g1f3 b7b5 c4e3 a8b8 a1d1 f8e8 a2a4 a7a6 e3d5,49
r1b1k2r/1pqp1pp1/p2bpn2/7p/2PQP3/2N1B2P/PP2BPP1/R4RK1 b kq -,e8h8 f2f4 e6e5 d4d2 b7b6 c3d5 f6d5 c4d5 e5f4 e3f4,148
r3r1k1/pp1b1ppp/2N1qn2/3p4/3B4/4P3/PP2BPPP/2RQ1RK1 b - -,d7c6 e2d3 f6e4 f1e1 e6h6 d1g4 a8d8 f2f3 e4g5 g4f4,99
rn2r1k1/pp3Bpp/2p5/5bQ1/1b2P1n1/2N5/PPP2PPP/R3K2R b KQ -,g8f7 g5f5 g4f6 e1a1 f7g8 e4e5 f6d5 c3d5 c6d5 d1d5,594
R2n4/3Pk2p/1pB2pp1/1P6/p7/6P1/1P3P1P/6K1 b - -,h7h6 g1g2 f6f5 a8a4 f5f4 a4a8 f4f3 g2f3 g6g5 f3g4,1182
8/1pp5/1p6/5k1p/6pr/1P4K1/P7/8 b - -,h7h6 g1g2 f6f5 a8a4 f5f4 a4a8 f4f3 g2f3 g6g5 f3g4,Mate
rn2r3/pp3kpp/2p5/5Q2/1b2P1n1/2N5/PPP2PPP/R3K2R b KQ -,g4f6 e1a1 f7g8 e4e5 f6d5 c3d5 c6d5 d1d5 b8c6 f2f4,600
2R5/8/8/8/6K1/1p1r3P/8/1k6 b - -,,0
5rk1/p2bqppp/2np1n2/3p4/3Pp3/Q1P1P1B1/Pr1N1PPP/R3KB1R b KQ -,f8b8 d2b3 b2c2 g3d6 e7d8 d6b8 d8b8 a1c1 c2c1 a3c1,307
