r1bqkbnr/pp1p1ppp/2n1p3/2p5/8/1P2P1P1/PBPP1P1P/RN1QKBNR b KQkq -,d7d5 f2f4 g8f6 g1f3 f8e7 f1g2 b7b5 e1h1 e8h8 d2d3,-31
r1bqkb1r/pp1p1ppp/5n2/2p3B1/4P3/8/PPP2PPP/RN1QKB1R b KQkq -,a7a6 e4e5 d8e7 d1e2 h7h6 g5h4 g7g5 h4g3 f6d5 b1d2,245
rnbqk2r/pp2ppbp/2pp1np1/6B1/3P4/2P1PN2/PP1N1PPP/R2QKB1R b KQkq -,c6c5 d4c5 d6c5 h2h3 e8h8 d1c2 b8c6 f1e2 b7b6 a1d1,29
rnbqkbnr/ppp2ppp/8/4p3/2BpP3/5Q2/PPPP1PPP/RNB1K1NR b KQkq -,g8h6 d2d3 d8e7 c1h6 g7h6 b1d2 h8g8 h2h3 b8d7 g1e2,66
r4knr/ppp2ppp/3p4/2bNp3/2BnP3/2PP3Q/PP1B1qPP/R2K3R b - -,d4e2 d1c2 c7c6 h1f1 c6d5 f1f2 c5f2 c4d5 g8f6 d5b3,805
r1bqk2r/ppppbppp/2n2n2/4P3/2BN4/8/PPP2PPP/RNBQK2R b KQkq -,c6e5 c4b3 d7d5 e1h1 e8h8 f1e1 e5g6 c2c3 f8e8 d4f3,-323
rn1qkb1r/ppp3pp/5n2/3pNb2/8/2NP4/PPP2PPP/R1BQKB1R b KQkq -,b8d7 d3d4 f8d6 f1d3 f5d3 e5d3 e8h8 e1h1 c7c6 c3e2,102
r1bqk2r/ppp2ppp/2Bp1n2/4p3/4P3/P1P2N2/1PP2PPP/R1BQK2R b KQkq -,e8e7 c6d5 h7h6 d5a2 h8e8 c1e3 e7f8 f3d2 d6d5 e1h1,876
3q1rk1/p4pp1/1p1b3p/2p5/4Q3/1NN2B1P/PPP2PP1/6K1 b - -,f8e8 g2g4 e8e4 c3e4 d6b8 b3c5 d8c7 b2b3 g8h8 g1g2,-654
rnbqk2r/ppp2ppp/4p3/3n4/3P4/PQP5/4PPPP/R1B1KBNR b KQkq -,b7b6 e2e4 d5e7 a3a4 b8c6 g1f3 c6a5 b3c2 e8h8 c1a3,114
rnbqk2r/1pp2ppp/p3pn2/3p4/2PP4/4PNP1/PP3PP1/RN1QKB1R b KQkq -,e8h8 b1d2 d5c4 d2c4 b8d7 a1c1 h7h6 f3e5 d7e5 c4e5,79
r1b1kbnr/ppp1pppp/2n5/8/3P4/2N1B3/PPP2PPP/R3KBNR b KQkq -,a7a6 c3d5 e8d8 e3f4 e7e6 d5c7 a8a7 e1a1 e6e5 d4e5,110
r1bqkb1r/pp3ppp/2N1pn2/3p4/2P2B2/4P3/PP3PPP/RN1QKB1R b KQkq -,f8b4 c6b4 d8b6 d1b3 d5d4 f1e2 f6e4 e1h1 d4e3 f4e3,972
r1bqk2r/pppnbpp1/3p1n1p/4p3/2BPP3/2P2N2/PP3PPP/RNBQR1K1 b kq -,c7c6 c4d3 e8h8 b1d2 a7a5 a2a4 f8e8 d2f1 e7f8 f1g3,89
r1bqk2r/pppp1ppp/2n2n2/2b5/2BpP3/2PQ1N2/PP3PPP/RNB1K2R b KQkq -,d4c3 b1c3 d7d6 c1g5 c8e6 e1h1 h7h6 g5h4 e8h8 a1d1,-89
rnbqr1k1/ppp1ppbp/5npB/3p4/3P4/2N2N2/PPPQPPPP/2KR1B1R b - -,g7h6 d2h6 f6g4 h6h4 e7e5 h4g3 e5d4 f3d4 g4f6 e2e3,52
