8/8/6Kp/5p2/6kP/8/8/8 b - -,e8h8 f3e5 b8d7 e5d7 d8d7 f2f3 b7b5 c4b3 f5g6 e3e4,Mate
r7/pkp5/1p2p3/2n1N3/6P1/P3R3/5P2/4K3 b - -,,0
4r3/bR5p/2p1pkp1/ppP5/1P6/6P1/P4P1P/3R2K1 b - -,a7b8 b4a5 h7h5 a5a6 g6g5 a6a7 b8e5 b7b6 e8a8 d1d7,580
r1bqr1k1/2p2ppp/p1n2n2/1p1p2P1/1b2P3/2N2P2/PPPBQ2P/2KR1BNR b - -,f6e4 f3e4 c8e6 e2f2 d5d4 c3e2 d4d3 d2b4 c6b4 e2c3,133
r2qkb1r/pp3p1b/2n1p3/3pPn1p/3P2p1/2N1B1P1/PP2BP1P/2RQNRK1 b kq -,h7g6 e1g2 a8c8 g2f4 f8h6 f4g6 f7g6 d1d3 h6e3 f2e3,18
rnbqkb1r/pp3p1p/3ppnp1/2pP4/4P3/2N3N1/PPP2PPP/R1BQKB1R b KQkq -,a7a6 d5e6 c8e6 f2f4 b8c6 f1e2 f8g7 f4f5 e6c8 e1h1,91
r1b1kbnr/pp3ppp/1qpp4/8/B2pP3/2PP4/PP3PPP/RNBQ1RK1 b kq -,g8f6 c3d4 b6d4 b1c3 f8e7 c1e3 d4e5 d3d4 e5h5 d4d5,125
8/8/7K/3Q1k2/4r3/8/8/8 b - -,f5f4 d5d2 e4e3 d2f2 f4e4 h6g5 e4d3 g5f5 e3e2 f2g1,209
3k4/8/1pBp1p1p/5b2/1PK2P1P/2P5/8/8 b - -,f5g4 c4d4 d8e7 d4e4 e7e6 c6d5 e6d7 d5b3 d7c7 e4d5,8
r4rk1/pbq2pp1/1pnp1n1p/2pPp3/P1P5/2P3P1/1B1NPP1P/R2QRBK1 b - -,c6e7 e2e4 a8e8 f2f3 b7c8 a4a5 c8d7 a5b6 a7b6 f1d3,-44
2r1R1k1/pp3pp1/7p/8/8/2q3P1/P1Q2PP1/6K1 b - -,c8e8 c2c3 g7g6 c3c7 b7b6 f2f4 h6h5 g1h2 e8e6 c7a7,436
rnb1kb1r/pp2p2p/2p2np1/3p1pB1/3P1N1P/3BP3/PqPN1PP1/R2QK2R b KQkq -,f6e4 d3e4 f5e4 h4h5 h8g8 h5g6 h7g6 a1b1 b2c3 e1h1,174
8/4k3/1p1p1p1p/1B6/1PPK1P1P/7b/8/8 b - -,h3e6 b5c6 e6h3 c6h1 h3e6 d4c3 e7d8 h1f3 e6h3 f3e2,7
r1b2rk1/1pp1p2R/p1n1p1P1/3p4/3P2P1/2N2Q2/PPP2P2/2KR4 b - -,,0
r4rk1/pp3ppp/8/4p3/2n1p1b1/P1P1P1B1/2P1NPPP/R2R1K2 b - -,f8d8 h2h3 g4e6 a3a4 f7f6 f1e1 a7a5 g3h2 e6d5 e2c1,-309
2b3k1/4rrp1/1R5p/1Pp5/p1P1p3/P3N3/1B2p1PP/2R3K1 b - -,e7e8 c1e1 f7d7 e1e2 d7d3 e2e1 d3b3 b2c1 c8e6 b6d6,488
8/8/4B3/2pNn3/6pp/1K2k1n1/8/8 b - -,e3d4 d5f4 d4e4 e6g4 e4f4 g4e6 f4e3 b3a4 c5c4 a4b5,-815
8/b7/P7/3B4/4p1k1/6P1/4P1K1/8 b - -,g4f5 d5b7 a7b6 g2h3 b6a7 h3h4 e4e3 h4h5 a7c5 b7c8,760
r4qr1/p4p1k/1p3p1p/P1p1pP2/1P2R3/2PP1Q1P/6P1/R6K b - -,a8b8 a5b6 a7b6 b4b5 f8e7 e4a4 e7b7 f3b7 b8b7 a4a7,30
r2q1rk1/ppp2ppp/1b1pbn2/4n1B1/4P1P1/1NN2P2/PPP1Q2P/2KR1B1R b - -,d8e7 e2g2 h7h6 g5d2 a7a5 g4g5 a5a4 g5f6 e7f6 f3f4,94
r3k2r/p3bppp/1qp1pnb1/3p4/Q2P1NP1/2N1PP2/PP5P/R1B1K2R b KQkq -,e8h8 e1h1 f6d7 g1g2 f8e8 f1d1 a8d8 f4g6 h7g6 a4b3,-114
8/3k4/1p1p1p1p/3K4/1P3P1P/2PB3b/8/8 b - -,h3g2 d5d4 g2h3 d3e2 d7e6 d4c4 e6d7 c4d5 h3e6 d5e4,20
3q1rk1/1QRn1ppp/4p3/p2pP3/3P1P2/1P3r2/P4P1P/5RK1 b - -,d8h4 b7a6 h4f4 a6e2 f3h3 f2f3 f4d4 g1g2 d4h4 g2h1,-523
1r3rk1/4bppp/pNnpb1q1/1p2p3/4P3/3BBP2/PPPQ2PP/R3K2R b KQ -,e7h4 g2g3 h4d8 b6d5 c6e7 e1a1 e7d5 e4d5 e6f5 d3f5,-3
3q1r2/p1r3kn/Bpn1b1p1/3pPp2/3P1P2/P3N1Pp/1BQ4P/1RR3K1 b - -,g7h8 c2f2 g6g5 f2f1 g5g4 a6d3 h8g8 f1d1 d8d7 c1c2,184
r1b3k1/1pp1p2R/p1n1p1P1/3p4/3P2P1/2N2r2/PPP2P2/2K4R b - -,,0
r2q1rk1/p1bb1ppp/4p3/1pp4Q/8/1P2N3/PBPP1PPP/R3K2R b KQ -,f7f5 h5e2 d8e8 e1a1 a7a5 d2d4 c5d4 d1d4 d7c6 f2f3,-114
r2q1rk1/pp1bb1pp/n3pp2/1N1p4/2PN4/4P1P1/PP2BPP1/R2Q1RK1 b - -,a6c5 c4d5 a7a6 b5c3 e6e5 d4b3 e7d6 b3c5 d6c5 c3e4,153
r1b2rk1/ppp1qppp/2n1p3/3p4/2PPn3/5NP1/PP1NPPBP/R2Q1RK1 b - -,e7b4 c4d5 e6d5 e2e3 c8f5 a2a3 b4b6 d2e4 f5e4 f3d2,28
r7/bR5p/2p1pkp1/ppP5/1P3P2/6P1/P6P/3R2K1 b - -,g6g5 f4g5 f6g5 d1d7 a7b8 b4a5 b8e5 b7a7 a8g8 a5a6,510
8/2k5/Kp1p1p1p/3B1P1b/1P5P/8/2P5/8 b - -,,0
5R2/5pk1/4b3/8/7K/8/5PP1/8 b - -,g7f8 g2g4 e6c4 h4h3 c4b5 h3g3 b5c6 f2f3 f8e7 f3f4,-122
r2q1rk1/ppp2pp1/2n3bp/4p3/3bP2N/1P4P1/P1P1Q1BP/1RB2N1K b - -,d8d7 b3b4 a7a6 a2a4 f8d8 h4g6 f7g6 f1e3 d4e3 c1e3,-339
6k1/8/4r1Np/7P/2R2KP1/8/n7/8 b - -,e6f6 f4e5 f6a6 g6f4 g8g7 f4d5 a6a5 e5e4 a5a7 c4c6,433
r2qrbk1/1bp2p2/p1np1nNp/1p2p3/P3P3/1BPP1QN1/1P3PPP/R1B1R1K1 b - -,g8h7 g6f8 e8f8 a4b5 c6a7 f3f5 h7h8 c1h6 b7c8 f5f3,609
6KQ/8/5qk1/8/8/8/8/8 b - -,g8h7 g6f8 e8f8 a4b5 c6a7 f3f5 h7h8 c1h6 b7c8 f5f3,Mate
8/3Bk3/1p1p1p1p/8/1P1K1P1P/8/2P5/8 b - -,d6d5 d4d5 e7d7 b4b5 f6f5 d5e5 d7e7 e5f5 h6h5 f5e5,926
5r1k/6p1/4n2p/p1prPp2/Pp3P2/4K3/1P2N1PP/2RR4 b - -,d5d1 c1d1 c5c4 d1c1 f8c8 e2d4 e6c7 d4f5 c4c3 b2c3,111
2r3k1/3b1pp1/p7/3pB2P/7n/2P5/P4P1P/R4RK1 b - -,h4f3 g1g2 f3e5 a1e1 e5d3 e1e7 d3f4 g2f3 d7b5 f1c1,-380
4B3/8/8/k3K3/Q7/8/8/8 b - -,h4f3 g1g2 f3e5 a1e1 e5d3 e1e7 d3f4 g2f3 d7b5 f1c1,Mate
r7/b4R2/2p1pkpp/ppP5/1P3P2/6P1/P6P/3R2K1 b - -,f6f7 d1d7 f7f6 a2a3 a5b4 a3b4 g6g5 f4g5 h6g5 d7c7,-442
3k4/8/1p1pbp1p/3B4/1PK2P1P/2P5/8/8 b - -,e6h3 c4d4 d8d7 d5c4 h3g4 c4d3 d7e6 d4c4 e6d7 d3e4,17
6r1/pkp5/1p2p3/2n1N3/6P1/P3RP2/8/4K3 b - -,a7a5 e1e2 b6b5 f3f4 g8d8 g4g5 b5b4 g5g6 b7a6 e5c6,-3
r1b1k2r/ppp2pp1/1bnp1q2/8/2B1P1p1/2P5/PP1NQPPP/RN2K2R b KQkq -,c6e5 b1a3 c8d7 a3c2 e8a8 g2g3 f6h6 e1a1 d8e8 c2e3,-255
r1b2rk1/ppq2pp1/2P1p2p/4b3/5P2/2N1P3/PPQ1B1PP/R3K2R b KQ -,e5d6 c3b5 d6b4 e1f2 c7e7 a2a3 b4c5 a1c1 c5b6 b5d4,27
3r2k1/1ppqnpp1/p3rn1p/P2Np3/1P2P3/2PP1N1P/2Q2PP1/R3R1K1 b - -,,0
r2q1rk1/ppp2pp1/6Np/4p3/1n1bP3/1P4P1/P1P1Q1BP/1RB2N1K b - -,f7g6 e2c4 g8h7 c4b4 f8f2 c1e3 c7c5 b4c4 d4e3 f1e3,-57
8/8/7K/4r3/5k2/8/8/5Q2 b - -,f4e3 h6g6 e3d2 f1a1 e5e3 a1d4 e3d3 d4f2 d2c3 g6f5,200
r1b2k1r/p4pp1/2pp1q1p/1pb1p3/4P3/1PNP2Q1/1PP1NPPP/R4R1K b - -,f6g5 f2f4 g5g3 e2g3 h6h5 g3e2 g7g6 e2g1 f8g7 f4f5,-88
r5k1/3b1ppp/pq3n2/2b5/2N4Q/1P3N2/PB3PPP/4R1K1 b - -,b6c6 c4e5 c6d5 e5d7 f6d7 h4e4 d5e4 e1e4 c5f8 b2c1,180
r4rk1/ppqn1pb1/2p4p/P3p1p1/2B1PB2/1QP2N1P/1P3PP1/R2R2K1 b - -,e5f4 f3d4 d7e5 c4e2 b7b5 d4f5 f8e8 a5a6 g7f8 b3c2,42
r2r2k1/pp3ppp/8/4p3/2n1p1b1/P1P1P1BP/2P1NPP1/R2R1K2 b - -,g4e6 g3h2 f7f6 e2g3 e6d5 f1e2 d5c6 d1d8 a8d8 g3f1,-311
8/1p4p1/3k4/1P1PpP2/1P2K1P1/2P5/8/8 b - -,g4e6 g3h2 f7f6 e2g3 e6d5 f1e2 d5c6 d1d8 a8d8 g3f1,Mate
r1bqk2r/ppp2ppp/2n5/2bpp1P1/7P/2N1PP1R/PPPPN3/R1BQ1K2 b kq -,c8h3 f1f2 c5b6 d2d4 h7h6 e3e4 d5e4 c3e4 h6g5 c1g5,-608
8/bB6/P7/8/6k1/4p1P1/4P1K1/8 b - -,g4f5 g2f3 f5e5 g3g4 a7b8 b7c8 e5d5 g4g5 d5d6 f3g4,847
r2q1rk1/pp3pp1/2nbpn1p/2pp4/2PP2b1/1P1BPN2/PB1N1PPP/2RQ1RK1 b - -,c5d4 e3d4 d6f4 d3e2 f6e4 c1a1 f7f5 f1e1 h6h5 g2g3,-81
8/8/4B3/2p1n3/3k1Npp/1K4n1/8/8 b - -,d4e4 f4d5 h4h3 d5c3 e4d4 e6d5 c5c4 b3c2 h3h2 d5g2,-771
8/4k3/1p1p1p1p/1BP5/1P1K1P1P/8/8/5b2 b - -,d4e4 f4d5 h4h3 d5c3 e4d4 e6d5 c5c4 b3c2 h3h2 d5g2,Mate
1q1r1k2/5pp1/pPp5/P1Rnp1r1/7p/1Q1N3P/5PP1/5RK1 b - -,f8g8 f1e1 b8d6 b3c4 d6f6 c4e4 f6d6 e4h4 f7f6 h4c4,267
rnbqkb1r/1p3p1p/p2pPnp1/2p5/4P3/2N3N1/PPP2PPP/R1BQKB1R b KQkq -,c8e6 f2f4 e6g4 f1e2 g4e2 d1e2 f8g7 f4f5 e8h8 c1g5,73
8/1B2NR2/3p3p/7k/q7/n4P2/6K1/8 b - -,a4h4 b7c8 a3c4 c8g4 h4g4 f3g4 h5g4 e7d5 c4e5 d5e3,305
4r1k1/pp3pp1/7p/8/8/2Q3P1/P4PP1/6K1 b - -,b7b6 c3c7 g7g6 c7a7 e8e1 g1h2 e1e2 a7a8 g8g7 f2f4,464
3q1rk1/1p2ppbp/p5p1/3P4/2Q1PBb1/5N2/P4PPP/2R3K1 b - -,e7e6 d5d6 e6e5 f4e3 d8d7 f3g5 f8c8 c4d5 c8c1 e3c1,66
rnbq1rk1/pp2ppbp/3p1np1/2p5/3PP3/3B1N2/PPPN1PPP/R1BQR1K1 b - -,,0
1r3rk1/4bppp/p2pb1q1/1p1Np3/3nP3/3BBP2/PPPQ2PP/R3K2R b KQ -,d4c6 a2a4 f8c8 e1h1 e7d8 a4b5 a6b5 a1a6 f7f5 e4f5,74
r1bqr1k1/1p1nppbp/p4np1/3p4/1P6/3PPN2/PBQNBPPP/R4RK1 b - -,h7h6 h2h3 e7e5 a2a4 d5d4 e3d4 e5d4 d2e4 f6d5 b2d4,47
r2q1rk1/ppp3p1/6pp/4p3/1nQbP3/1P4P1/P1P3BP/1RB2N1K b - -,g8h7 c4b4 f8f2 c1e3 c7c5 b4c4 d4e3 f1e3 d8d2 c4d3,-50
r2q1rk1/ppp1bppp/3p1n2/4n3/4P3/2P2P1P/PP3P2/RNBQRBK1 b - -,e5g6 f3f4 d6d5 f4f5 g6h4 e4e5 f6e4 b1d2 e4d2 c1d2,-38
r4rk1/pQp2ppp/5q2/3p4/1P6/P6P/6P1/RNB3K1 b - -,f6a1 c1e3 f8e8 b7d5 a1b1 g1h2 a8d8 d5c5 d8d1 e3g1,-728
r2qr1k1/1bp2pb1/p1np1nNp/1p2pN2/P3P3/1BPP1Q2/1P3PPP/R1B1R1K1 b - -,d6d5 g6h4 b5a4 a1a4 f6h7 b3d5 d8f6 g2g3 h7g5,626
8/6p1/1p1k4/1P1PpP2/1PP1K1P1/8/8/8 b - -,d6d5 g6h4 b5a4 a1a4 f6h7 b3d5 d8f6 g2g3 h7g5,Mate
2B5/8/Pb6/8/6k1/4p1P1/4P1K1/8 b - -,g4h5 g2f3 b6a7 f3e4 a7b8 g3g4 h5g5 c8f5 b8a7 f5e6,885
r2r2k1/pp3ppp/8/4p2b/2n1p3/P1P1P1BP/2P1NPP1/R2RK3 b - -,f7f6 a3a4 a7a5 g3h2 d8d1 a1d1 h5e8 d1a1 a8d8 e2g3,-325
8/8/6K1/4r3/4k3/8/8/5Q2 b - -,e5c5 f1e2 e4d4 g6f6 c5c6 f6f5 c6c5 f5f4 d4c3 e2e3,192
r1bq1rk1/pp2bppp/2p2n2/8/4P3/2P1N3/P1B1QPPP/R1B2RK1 b - -,d8a5 g1h1 a5c3 a1b1 c8e6 c1b2 c3a5 f2f4 a8d8 f4f5,36
6k1/8/3p3b/3P1r2/p6r/Pp1R1P2/1P1B4/K3R3 b - -,h6d2 d3d2 g8f7 a1b1 f5e5 e1g1 e5e3 d2g2 e3d3 g2g4,-6
4B3/8/1k6/1Q2K3/8/8/8/8 b - -,h6d2 d3d2 g8f7 a1b1 f5e5 e1g1 e5e3 d2g2 e3d3 g2g4,Mate
r2q1r2/ppp3pk/6pp/4p3/1Q1bP3/1P4P1/P1P3BP/1RB2N1K b - -,f8f2 c1e3 f2c2 e3d4 d8d4 b4d4 e5d4 b1d1 c2a2 e4e5,-65
3q1rk1/1p2ppbp/p5p1/3P4/2Q1PB2/5P2/P4P1P/2R3K1 b - -,e7e6 d5e6 d8e7 e6f7 e7f7 c4f7 f8f7 f4d6 f7d7 c1c8,116
8/8/8/1K6/1R6/1k6/p7/8 b - -,,0
6k1/pppq1pb1/3p4/1P4n1/P1PPr1Pp/4P3/1B4P1/R2QR1K1 b - -,e4g4 g1h2 g4g2 h2g2 d7h3 g2g1 h3g3 g1f1 g5h3 f1e2,-270
6KN/8/5qk1/8/8/8/8/8 b - -,g7h6 e1f1 e4g4 g1h2 g4g2 h2g2 d7h3 g2g1 h3e3 g1h2,Mate
8/8/1pK3k1/p2B2pp/P4p2/7P/6P1/8 b - -,b6b5 c6b5 g6f5 b5a5 g5g4 h3g4 h5g4 a5b5 f5e5 d5c6,978
r1bqkb1r/1p1n1ppp/p3p3/2p5/P1P1NP2/5N2/1PP3PP/R1BQK2R b KQkq -,b7b6 e4d6 f8d6 d1d6 c8b7 c1e3 d8b8 e1a1 b8d6 d1d6,71
r1bqk2r/ppp2ppp/2n5/2bpp1P1/7P/2N1PP2/PPPP3R/R1BQ1KN1 b kq -,c8e6 d2d3 h7h6 d1e2 d8d7 e3e4 d5e4 c3e4 c5e7 c1e3,-269
2B5/8/Pb6/6k1/8/4pKP1/4P3/8 b - -,g5f6 f3e4 f6g5 e4d5 b6a7 g3g4 a7b6 c8f5 g5h4 d5c6,941
8/5pkp/4b1p1/r7/8/2P2N2/5PPP/2R2K2 b - -,e6d5 f1e2 a5a6 f3e1 d5c4 e2f3 a6c6 f3f4 c6f6 f4g3,56
