r2q1rk1/1ppb1pb1/n2p1npp/p2Pp3/2P1P2B/P1N2N2/1P2BPPP/R2Q1RK1 b - -,b7b6 f3d2 d8e8 c3b5 e8c8 b2b3 g6g5 h4g3 h6h5 f2f3,29
rnbqkb1r/pp2pppp/5n2/2p5/3PP3/3B1N2/PP3PPP/RNBQK2R b KQkq -,c5d4 e4e5 f6d5 f3d4 g7g6 e1h1 b8c6 d4c6 b7c6 d1a4,44
r1bqk2r/pp2bppp/2np1n2/2p1p3/2B1P3/1PNP4/P1P1NPPP/R1BQ1RK1 b kq -,c8d7 f2f4 e8h8 a2a4 e5f4 e2f4 f6g4 f4d5 e7g5 c3b5,57
r1bk1b1r/pppn1ppp/5n2/4p3/2P5/2N1PN2/PP3PPP/R1B1KB1R b KQ -,f8b4 c1d2 a7a5 e1a1 d8e7 h1g1 b4d6 g2g4 d7c5 g4g5,-15
r3kb1r/pp1n1p1p/1qp1p1p1/3p4/3P2P1/1QP4P/PP1BPPB1/R3K2R b KQkq -,f8g7 e2e4 a7a5 e4d5 c6d5 b3b6 d7b6 b2b3 a5a4 e1e2,22
r1bqk2r/ppppbppp/2n2n2/8/2P5/2N5/PP2PPPP/RQB1KBNR b KQkq -,d7d5 c4d5 f6d5 c1d2 c8g4 e2e4 d5c3 d2c3 d8d6 h2h3,-78
rnbqk2r/pp2bppp/2p1pn2/8/4p1P1/1PN5/PBPPQP1P/2KR1BNR b kq -,a7a5 a2a4 b8d7 g4g5 f6d5 h2h4 e8h8 e2e4 d7c5 e4d4,12
8/6k1/4K3/6Q1/8/3B4/8/8 b - -,a7a5 a2a4 b8d7 g4g5 f6d5 h2h4 e8h8 e2e4 d7c5 e4d4,Mate
r2q1rk1/pp1n1pbp/1np1p1p1/4P3/3PN3/5B1P/PP3PP1/R1BQ1RK1 b - -,a7a5 c1g5 d8c7 d1d2 b6d5 h3h4 a5a4 h4h5 g6h5 f1e1,131
rnbqk2r/p2p1ppp/1P2pn2/8/1b6/2N5/P1PBPPPP/R2QKBNR b KQkq -,a7b6 e2e3 e8h8 g1f3 b4e7 f1e2 c8b7 e1h1 d7d5 c3b5,-71
