r1bq1rk1/p3b3/1p2p1Q1/3pP3/4nB2/P3P3/1PBN1P1P/R3K2R b KQ -,g8g7 b4c3 f7f6 e8b8 c6b8 c3c7 f6f7 c7b8 f7e7 b8b7,Mate
8/7K/8/5kP1/8/8/8/8 b - -,f5g5 h7g7 g5g4 g7g6 g4g3 g6g5 g3f3 g5f6 f3f4 f6e6,Mate
8/1p1k4/4p3/1qp1Q3/3pP1Pp/3P4/4K3/8 b - -,b5b2 e2f3 b2b1 e5g7 d7c6 f3g2 b1d3 g7g6 d3g3 g2h1,-602
2rr1k2/1pq1npb1/p3pBp1/P1ppP3/R4PP1/2PP4/1P2Q1B1/5RK1 b - -,c7c6 a4a1 g7f6 e5f6 e7g8 g4g5 c6d6 a1e1 d8d7 e2g4,219
r2qkb1r/1pp1ppp1/p1n2n2/3p1b1p/2PP1B2/4PN1P/PP1N1PP1/R2QKB1R b KQkq -,e7e6 f1e2 d5c4 e2c4 f6d5 f4h2 d5b6 e1h1 f8d6 h2d6,57
8/5k2/2BP4/p1p5/1p6/1P2rp1q/P4RRP/5K2 b - -,f7e6 f2f3 e3f3 c6f3 h3f3 g2f2 f3d1 f1g2 e6d6 f2f6,-649
5rk1/pp3q1p/1b2p1p1/3pQ3/1P1P2P1/P2BP2P/8/5RK1 b - -,f7g7 e5e6 g8h8 f1f8 g7f8 e6e5 f8g7 e5d5 g7e7 g1f2,318
r3k2r/pppb1p1p/5np1/3P4/3R4/P1N1PP2/1PP4P/2K2BR1 b kq -,c7c6 f1c4 e8h8 e3e4 g8g7 g1d1 f8e8 d5c6 d7c6 b2b4,214
rnb2k1r/1p2qppp/p3p3/7Q/2PN4/3BP3/P4RPP/R5K1 b - -,b8d7 a1f1 f7f6 g2g4 d7c5 d3c2 a6a5 g4g5 f6f5 e3e4,129
rnbqkb1r/pp3ppp/5p2/2ppP3/3P4/1P6/P1P2PPP/RN1QKBNR b KQkq -,c5d4 d1d4 b8c6 f1b5 d8a5 b1c3 a5b5 c3b5 c6d4 b5d4,-243
7K/5R2/6P1/4k3/8/8/6r1/8 b - -,,0
r1bq1r1k/p3b3/1p2p1Q1/3pP3/4NB2/P3P3/1PB2P1P/R3K2R b KQ -,g2g6 f7f1 e5e4 f1e1 e4f4 h8h7 g6b6 e1f1 f4e4 h7g7,Mate
7Q/8/6K1/8/8/6k1/4p3/8 b - -,,0
rn3rk1/pp1qppbp/3p1np1/8/P2P4/2P2N2/1P3PPP/RNBQR1K1 b - -,h7h6 b1a3 b8c6 c1f4 a8c8 d4d5 c6a5 f4e3 d7f5 e3a7,12
r3kb1r/1b1n2p1/p1qNp3/1p4Bp/4R3/5Q2/PPP3PP/2KR4 b kq -,c6d6 d1d6 f8e7 d6e6 e8a8 e6e7 h8f8 e7d7 f8f3 d7d8,Mate
r2q1rk1/1p2bppp/p1b1p3/3nN3/Pn1P4/1BN2Q2/1P1B1PPP/R2R2K1 b - -,d5f6 f3g3 f6h5 g3e3 h5f6 d1e1 e7d6 e1e2 c6d5 c3d5,15
8/7p/7K/4k1P1/8/8/8/8 b - -,,0
r1bqk2r/1p3ppp/p1n1p3/3pP3/3P2Pn/1B3N2/PP1B1P1P/R2QK2R b KQkq -,c8d7 f3h4 d8h4 d2e3 c6a5 b3c2 a5c4 e3c1 h4h3 c2d3,-66
rnbqkb1r/pp3ppp/5p2/3pP3/3Q4/1P6/P1P2PPP/RN2KBNR b KQkq -,b8c6 f1b5 d8a5 b1c3 a5b5 c3b5 c6d4 b5d4 f8b4 e1e2,-280
r2q1rk1/1p2bppp/p1n1p3/3p4/2PPnB2/1P2PN2/4QPPP/RNR3K1 b - -,g7g5 f4g3 h7h5 b1c3 a8c8 h2h3 e4g3 f2g3 d8d6 f3e1,-25
5r2/p3Q1k1/1p6/3p4/6p1/4bb2/PP6/4K3 b - -,,0
B4R2/2q1k2p/p5p1/1p2p3/8/2P1B3/P1P3PP/3R2K1 b - -,e7f8 d1d3 f8g7 h2h3 a6a5 a8e4 c7c4 e4d5 c4c7 g1h1,265
2rq2k1/6p1/1p1npr1p/pP1p4/3P1N2/P1R2R2/5PPP/2Q4K b - -,c8c4 c3c4 d5c4 d4d5 e6d5 f4d5 f6e6 d5e3 e6e4 h2h3,-93
rn1qkb1r/ppp3pp/4bp2/3p1p2/3P4/3BP3/PPPN1PPP/R2QK1NR b KQkq -,f8d6 c2c4 d5c4 d3c4 e6c4 d2c4 b8c6 g1e2 d6b4 e1f1,55
r1b1kb1r/1p1npppp/p2p1n2/2q3B1/3NP3/1BN5/P1PQ1PPP/1R3RK1 b kq -,g7g6 g5f6 d7f6 b3a4 c8d7 b1b7 d7a4 c3a4 f8h6 d2d3,20
r3k2r/pp1b1p1p/6p1/3B4/3R4/P3PP2/1PP4P/2K3R1 b kq -,d7c6 d4e4 e8f8 d5c6 b7c6 e4c4 a8e8 e3e4 e8e6 c4a4,276
1r2r1k1/pqpn1ppp/3p4/1P1Pp3/2P5/3PB1P1/4NPKP/R2Q1R2 b - -,f7f5 a1a7 b7c8 e2g1 b8a8 a7a8 c8a8 d1c2 f5f4 g3f4,434
rn2k2r/1pq2pb1/p1bp2pp/4p3/4P3/1BN2Q2/PPP2PPP/R1BR2K1 b kq -,e8h8 f3d3 b8d7 d3d6 c7d6 d1d6 d7c5 b3d5 c6d5 d6d5,247
8/1p1k4/4p3/2p1Q3/3pP1Pp/3P4/1q6/4K3 b - -,b2c1 e1e2 c1c2 e2e1 h4h3 e5g7 d7c6 g7h6 h3h2 e4e5,-945
r1bq3r/pppp1kpp/8/8/1n1Pn3/P4N2/1P3PPP/RN1QK2R b KQ -,b4d5 f3e5 f7g8 d1f3 d5f6 e1h1 d7d5 f1e1 a7a5 f3f4,-353
