r1bqkb1r/ppppn1pp/5p2/8/2BpPB2/3P4/PPP2PPP/RN1Q1RK1 b kq -,d7d6 c2c3 h7h5 c3d4 g7g5 f4d2 d6d5 e4d5 e7g6 b1c3,185
r2qk2r/pp3ppp/2p1bb2/3N4/Q7/6P1/PP2PPBP/R1B2RK1 b kq -,e6f5 d5f6 d8f6 a4a3 f6e7 a3e7 e8e7 f2f4 a8d8 g1f2,521
r1b2knr/pp3ppp/2n1p3/3pP2P/3N2Q1/P1P5/2qB1PP1/R3KB1R b KQ -,c6d4 c3d4 c2e4 g4e4 d5e4 d2b4 f8e8 a1c1 c8d7 c1c7,175
1N6/8/8/2KB4/8/2k5/8/8 b - -,c3c2 c5d4 c2b1 d4c3 b1a1 b8d7 a1b1 d7f6 b1a1 f6h5,210
8/6k1/3p4/3P4/2P5/8/8/6K1 b - -,c3c2 c5d4 c2b1 d4c3 b1a1 b8d7 a1b1 d7f6 b1a1 f6h5,Mate
r2qk2r/p4ppp/2p2b2/1p1b4/8/6P1/PPQ1PPBP/R1BR2K1 b kq -,a7a5 e2e4 e8h8 e4d5 c6d5 d1d5 d8c8 c2c8 a8c8 c1e3,495
rnbqkb1r/1pp1pppp/1n6/p2pP3/P2P4/2NB4/1PP2PPP/R1BQK1NR b KQkq -,b8a6 g1e2 e7e6 e1h1 c7c5 b2b3 a6b4 c3b5 c8d7 d4c5,137
rn1qkbnr/ppp2pp1/8/3pP2p/5B2/4PP2/PPP2P1P/RN1QKB1R b KQkq -,g8e7 f4g5 d8d7 h2h4 d7e6 f1h3 e6b6 b1d2 b8d7 h3d7,327
r3k2r/pp1qbppp/2n1pn2/P1p5/2Q5/2N3P1/1P1PPPBP/R1B1K2R b KQkq -,c6b4 e1h1 e8h8 a5a6 b4a6 g2b7 d7b7 c4a6 b7b6 a1a4,28
r3kbnr/1p3ppp/p1n1b3/4p3/2p5/4N1P1/PP1NPPBP/R1B2RK1 b kq -,f8c5 g2c6 b7c6 e3c4 f7f6 b2b3 g8e7 d2e4 c5d4 a1b1,48
rn1qkbnr/1b1p1ppp/pp2p3/8/3NP3/1BN5/PPP2PPP/R1BQK2R b KQkq -,f8b4 c1d2 g8f6 e4e5 b4c3 d2c3 f6e4 d1g4 e8h8 c3b4,43
8/5pkp/5N2/4Q1p1/8/8/5PPP/6K1 b - -,g8f6 e4e5 f6g8 d1e2 b8c6 d4c6 b7c6 c1f4 f8b4 e2c4,Mate
rnbq1rk1/p3b1pp/1pp1pn2/3pNp2/2PP4/6P1/PPQNPPBP/R1B2RK1 b - -,d8e8 d2f3 f6e4 c1f4 c8a6 a2a4 g7g5 f4e3 e7f6 f1c1,68
r3kb1r/1p1b1ppp/p2ppn2/6B1/N2RP3/5P2/PPP3PP/2K2B1R b kq -,f8e7 a4b6 a8d8 b6d7 d8d7 f1e2 d6d5 h1d1 h7h6 g5f6,38
5R2/3N3k/8/8/7K/8/8/8 b - -,f8e7 a4b6 a8d8 b6d7 d8d7 f1e2 d6d5 h1d1 h7h6 g5f6,Mate
rn2kbnr/pp3p2/2p5/4P1qp/8/1Q2PP2/PPP2P1P/RN2KB1R b KQkq -,b7b5 f3f4 g5e7 a2a4 b5a4 b3a4 e7b7 f1g2 h8h6 b1d2,260
r3kbnr/ppp2ppp/2n5/3q4/3p2b1/3B1N2/PPP2PPP/RNBQR1K1 b kq -,g8e7 c2c4 d5d7 h2h3 g4h5 a2a3 e8a8 b1d2 e7g6 b2b4,-13
r3k1nr/p1q1ppbp/2p3p1/2p1p3/8/2NP1Q1P/PPP2PP1/R1B1R1K1 b kq -,f7f5 c3b5 c7d7 b5a3 g8f6 e1e5 f6e4 c1f4 g7e5 f4e5,66
rr5k/pQ6/2p3p1/4Rbq1/3B4/7p/P4RPP/6K1 b - -,g5g2 f2g2 b8b7 e5e8 h8h7 e8a8 h7h6 a8h8 b7h7 d4e3,Mate
r2qkb1r/ppp2ppp/2np1n2/8/3PPPb1/5N2/PP2B1PP/RNBQK2R b KQkq -,d6d5 e4e5 f8b4 c1d2 b4d2 b1d2 f6e4 e1h1 e8h8 h2h3,54
