1r5k/6pp/2p5/P5Q1/1P2B3/2P5/5PPK/3RNRn1 b - -,c1c8 e1e2 c8c1 e2e1 c1c7 e1e2 c7d7 e3c3 d6d1 e2e1,Mate
r1bqk2r/p1pp1ppp/1p2pn2/8/1nPPP3/2N5/PP3PPP/R2QKBNR b KQkq -,c8b7 a2a3 b4a6 f1d3 e8h8 g1e2 d7d6 d1d2 e6e5 d3c2,87
3rr1k1/1p2qpb1/2p3p1/p6p/P2P3n/R2Q2NP/1P3P1K/2B2R2 b - -,d8d4 d3c2 e7d6 c1g5 c6c5 c2c1 h4f5 h2g1 d6d5 g3f5,-486
rn1qkbnr/pp4pp/2p2p2/4P2b/P1p5/5NP1/1P2PP1P/RNBQKB1R b KQkq -,d8d1 e1d1 b8d7 b1d2 e8a8 f1h3 c8b8 h3d7 d8d7 e5e6,-70
r4rk1/5pb1/4p3/2q1P3/1p3QBN/pb4P1/P5P1/1KR1R3 b - -,b3a2 b1a1 c5a5 g4f5 b4b3 h4g6 b3b2 a1a2 b2c1n e1c1,-650
r3k2r/pppb1ppp/8/8/2B1n3/B1P5/P3KRPP/R7 b kq -,e4f2 e2f2 d7e6 c4b5 c7c6 b5e2 e8a8 a3c1 d8d5 g2g4,-512
r1b2rk1/p4ppp/2p5/3q1P2/5R2/2PB4/P1P3PP/R3Q2K b - -,d5a5 f5f6 a5g5 e1f2 g7g6 a1e1 c8e6 h2h4 g5h5 c3c4,208
4k3/1p1n1p2/p1rp3Q/2qNp3/4P1p1/6P1/PP3PK1/7R b - -,c5d4 h6h8 d7f8 d5f6 e8e7 h8h4 f8g6 f6d5 e7e8 h4g4,318
r1bk3r/pppp3p/6n1/1Q6/1bn1P3/8/P1PP2PP/RN2K2R b KQ -,g6f4 b5b4 f4g2 e1d1 c4e5 h1f1 d7d6 d1c1 c8e6 b4b7,383
3rk3/p2qn2p/3pbr1B/1pp2p2/4P2Q/8/PPPN2PP/R4RK1 b - -,f6f7 h4h5 f5f4 f1f4 d8c8 a1f1 e7g6 f4f7 e6f7 h6g5,315
2Q3k1/8/4p1pp/7q/8/7r/P4P2/4R1K1 b - -,,0
3r2k1/5p2/p2p2p1/1p5p/4r3/P1RBb2Q/1PP2qPP/3R3K b - -,e4h4 d1f1 f2f1 d3f1 h4h3 g2h3 e3c1 a3a4 b5a4 c3a3,-134
8/1p1b1pk1/p2r1pp1/8/1P4P1/P2NR1KP/5P2/8 b - -,,0
r2r4/1k1P1p1p/np4p1/pB2Bn2/8/1P3N2/P1P3PP/2KRR3 b - -,a6c7 b5f1 c7e6 f1c4 e6c5 c4d5 b7a7 d5c6 c5d7 c6d7,736
r3k2r/pppb1ppp/8/8/2B5/B1P5/P4KPP/R7 b kq -,d7e6 c4b5 c7c6 b5e2 e8a8 a3c1 d8d5 c1e3 d5a5 e3d4,-512
2r3R1/7P/4p3/3pPkP1/p7/2P5/3K4/8 b - -,d7e6 c4b5 c7c6 b5e2 e8a8 a3c1 d8d5 c1e3 d5a5 e3d4,Mate
rnbq1rk1/ppp2ppp/4pn2/3p4/3P1B2/P1PQ1P2/2P1P1PP/R3KBNR b KQ -,b7b6 d3d2 c8a6 g2g4 f6e8 h2h4 e8d6 h4h5 d6c4 d2d3,-78
5rk1/1r2pp1p/2p3p1/p3bb2/2PB4/1N1P2P1/PP3P1P/R2R2K1 b - -,b7b3 d4e5 b3d3 d1d3 f5d3 b2b3 a5a4 a1e1 f7f6 e5c3,-8
3r2k1/1pp1n1pp/p4p2/8/4P3/4NP1P/PP3P2/3R2K1 b - -,d8d1 e3d1 g8f7 g1g2 f6f5 e4f5 e7f5 f3f4 f5d4 g2g3,-211
3rk3/p2qnr1p/3pb2B/1pp2P2/7Q/8/PPPN2PP/R4RK1 b - -,e7f5 h4h5 f5h6 h5h6 d7e7 f1f7 e6f7 d2f3 e8d7 a1e1,138
4r1k1/1p2qpb1/2p3p1/p6p/P2Q3n/R5NP/1P3P1K/2B2R2 b - -,g7d4 a3d3 e7f6 d3e3 d4e3 f2e3 f6d6 b2b3 c6c5 f1f2,-716
rnbq1rk1/p4pb1/3p1npp/1BpP4/4P3/2N2N1P/PP1B1PP1/R2QK2R b KQ -,b8d7 e1h1 g6g5 b5e2 f8e8 d1c2 d7f8 a1e1 f8g6 b2b3,130
rn1qkbnr/pp4pp/3pp3/2p1p3/4PP2/2N2N2/PPPP2PP/R1BQK2R b KQkq -,e5f4 d2d3 b8c6 c1f4 g8f6 e4e5 d6e5 f4e5 f8d6 e5f6,24
4r1k1/p4pp1/2p5/q5p1/3R4/2P4P/1P1prPP1/3Q1RK1 b - -,e2e1 d1d2 e1f1 g1f1 a5a1 d2d1 a1b2 d4a4 b2c3 a4a7,-73
r4rk1/5pb1/4p3/2q1P3/1p3QBN/p5P1/K5P1/2R1R3 b - -,e2e1 d1d2 e1f1 g1f1 a5a1 d2d1 a1b2 d4a4 b2c3 a4a7,Mate
rn2kbnr/pp3ppp/1q2b3/2pp4/3P4/5N2/PPP1BPPP/RNBQ1RK1 b kq -,b8c6 b1c3 c5d4 c3b5 g8f6 f3d4 c6d4 b5d4 f8c5 e2b5,60
4r1k1/1p2qpb1/2p3p1/p6p/P2r3n/R5NP/1PQ2P1K/2B2R2 b - -,e7d6 c1g5 c6c5 c2c1 h4f5 h2g1 d6d5 g3f5 d5f5 g5h6,-504
r1bq1rk1/ppp3bp/8/4p2n/1Q1nP3/2NB1pP1/PPPB1P1P/R4R1K b - -,c7c6 c3d1 a7a5 b4c3 c8h3 f1e1 h5f6 d1e3 b7b5 g3g4,-459
5rk1/4pp1p/2p3p1/p3Bb2/2P5/1r1P2P1/PP3P1P/R2R2K1 b - -,b3d3 d1d3 f5d3 b2b3 f7f6 e5c3 a5a4 b3a4 d3c4 c3b4,-5
6k1/1pp1n1pp/p4p2/8/4P3/5P1P/PP3P2/3N2K1 b - -,g8f7 g1g2 f6f5 e4f5 e7f5 d1e3 f5d4 g2g3 d4e2 g3g4,-219
r4rk1/5pb1/4p3/2q1P3/1p3QBN/p5P1/b5P1/K1R1R3 b - -,c5a5 g4f5 b4b3 f5d3 g7e5 e1e5 b3b2 a1a2 b2c1n f4c1,-587
r2r4/1k1P1p1p/1p3Bp1/pBn2n2/8/1P3N2/P1P3PP/2KRR3 b - -,d8d7 b5d7 b7a6 d7c6 a8f8 c6d5 h7h5 f3e5 a5a4 b3b4,776
rnbq1rk1/p4pb1/3p2pp/1BpP4/4N3/5N1P/PP1B1PP1/R2QK2R b KQ -,d8e7 d1e2 c8f5 e4c3 e7e2 b5e2 f8e8 e1d1 b8d7 h1e1,396
5rk1/4pp1p/2p3p1/p3Bb2/2P5/3R2P1/PP3P1P/R5K1 b - -,f5d3 b2b3 a5a4 a1d1 d3c2 d1d7 f7f6 e5d4 a4b3 a2b3,-4
r1b2rk1/p2n2pp/1ppqp3/3p1p2/2PPn3/1P3NP1/PQ1NPPBP/R4RK1 b - -,c8b7 a1c1 a7a5 f1d1 d6e7 f3e1 a5a4 e1d3 a4a3 b2c2,37
4r1k1/1p3pb1/2pq2p1/p5Bp/P2r3n/R5NP/1PQ2P1K/5R2 b - -,c6c5 c2c1 h4f5 h2g1 d6d5 g3f5 d5f5 g1g2 b7b6 g5e3,-510
r1b2rk1/p4ppp/2p5/2q2P2/5R2/2PB3P/P1P3P1/R3Q2K b - -,f7f6 a1b1 a7a5 f4c4 c5e5 c4e4 e5c5 e4e7 f8f7 e7e8,203
8/pp4rk/2b3rp/4PQP1/5P2/4p2K/PP6/6q1 b - -,f7f6 a1b1 a7a5 f4c4 c5e5 c4e4 e5c5 e4e7 f8f7 e7e8,Mate
8/1bk2p2/p1p1p1p1/2K1P2p/1P2B1PP/5P2/8/8 b - -,b7a8 g4h5 g6h5 f3f4 c7d7 e4f3 d7e7 f3h5 e7e8 h5e2,717
r3kb1r/1p2pppp/1pp2n2/3n1P2/3P4/3B1N2/PP3PPP/R1B1R1K1 b kq -,a8a4 g2g3 g7g6 g1g2 g6f5 d3f5 e7e6 a2a3 a4a8 c1d2,20
4r1k1/1p3pb1/3q2p1/p1p3Bp/P2r3n/R5NP/1P3P1K/2Q2R2 b - -,h4f5 h2g1 d6d5 c1c3 d4a4 c3d3 d5d3 a3d3 f5d4 g5d2,-510
4r1k1/p4pp1/2p5/q5p1/3R4/2P4P/1P1Q1PP1/4rRK1 b - -,e1f1 g1f1 a5a1 d2d1 a1b2 d4a4 b2c3 a4a7 c3c4 f1g1,-74
r2q1rk1/ppp2pp1/2np1n2/2b1p1P1/2B1P1b1/2PP2Q1/PP3PP1/RNB1K2R b KQ -,d6d5 e4d5 c6a5 b2b4 c5f2 g3f2 a5c4 f2h4 f6h5 h4g4,387
8/5pp1/4kb2/3p3p/R7/4B1P1/PPr2P1P/6K1 b - -,f6b2 g1g2 f7f6 g2f3 g7g5 h2h3 b2e5 g3g4 c2c3 f3e2,-13
