r1bqk1nr/pppp1ppp/8/2b5/2BPP3/8/PP3PPP/RNBQK2R b KQkq -,c5b6 b1c3 g8e7 c1e3 e8h8 e1h1 d7d6 a2a4 c7c6 d1h5,97
rnbqkbnr/pp1ppp1p/6p1/2p5/4P3/P2P4/1PP2PPP/RNBQKBNR b KQkq -,b8c6 b1c3 g8f6 c3d5 d7d6 g2g3 f6d5 e4d5 c6e5 f1g2,-27
r2qk2r/ppp2ppp/2npbn2/2bNp3/2B1PP2/3P1N2/PPP3PP/R1BQK2R b KQkq -,e6d5 e4d5 c6a5 f4e5 d6e5 d1e2 e8h8 c1g5 h7h6 g5h4,-75
rn1qkb1r/pb2pppp/1p3n2/3P4/3N4/2N2P2/PP2P1PP/R1BQKB1R b KQkq -,b7d5 e2e4 d5c6 e4e5 f6d7 e5e6 d7c5 e6f7 e8f7 f1c4,529
rnbqkbnr/pp3ppp/2pp4/3Pp3/4P3/5P2/PPP3PP/RNBQKBNR b KQkq -,c6d5 e4d5 b8d7 b1c3 a7a6 g1h3 g8f6 h3f2 h7h6 a2a4,-59
r2qk1nr/pppb1ppp/2n1p3/8/1bpPP3/2N2N2/PPQ2PPP/R1B1KB1R b KQkq -,a8c8 f1c4 c6a5 c4e2 c7c5 d4c5 b4c5 e1h1 g8e7 a2a3,97
rnbqkbnr/pppp2pp/4p3/8/4N3/3P4/PPP2PPP/R1BQKBNR b KQkq -,d8e7 d3d4 b8c6 f1e2 b7b6 c2c3 c8b7 g1f3 g8f6 e4g3,77
8/8/8/3KR3/8/3k4/8/8 b - -,d8e7 d3d4 b8c6 f1e2 b7b6 c2c3 c8b7 g1f3 g8f6 e4g3,Mate
rnbq1rk1/pppp1ppp/5n2/8/1b1NP3/2NB4/PPP2PPP/R1BQ1RK1 b - -,b4c3 b2c3 d7d6 f2f4 f8e8 f1e1 b8d7 c1a3 h7h6 d1f3,70
8/8/8/3K2R1/8/2k5/8/8 b - -,b4c3 b2c3 d7d6 f2f4 f8e8 f1e1 b8d7 c1a3 h7h6 d1f3,Mate
8/8/8/3K4/8/3k2R1/8/8 b - -,b4c3 b2c3 d7d6 f2f4 f8e8 f1e1 b8d7 c1a3 h7h6 d1f3,Mate
8/8/8/8/4K3/6R1/3k4/8 b - -,b4c3 b2c3 d7d6 f2f4 f8e8 f1e1 b8d7 c1a3 h7h6 d1f3,Mate
