r2r2k1/4bppp/2p5/R1p1p3/2N1P3/1Pn2NP1/2P2P1P/R5K1 b - -,c3e2 g1f1 a8a5 c4a5 c5c4 f1e2 c4b3 a5b3 f7f5 e4f5,510
3r4/1p3pkp/p5p1/3rb3/6P1/4B3/PP2RPKP/2R5 b - -,,0
r1bqk2r/ppp1n1pp/3b4/4pp2/8/3P1B2/PPPN1PPP/R1BQK2R b KQkq -,c7c6 b2b3 e8h8 c1b2 c8e6 d1e2 d8c7 g2g3 a8e8 f3h5,-32
5RK1/8/8/6k1/8/8/8/8 b - -,a7a5 d2c4 e8h8 c1d2 e7g6 d1e2 f8e8 e1a1 c7c6 g2g3,Mate
r1b2rk1/7p/p1pb4/1p1n2pq/3P1p2/2P3P1/PP1N1P1P/R1BBRQK1 b - -,c8g4 d1g4 h5g4 d2e4 d6c7 f2f3 g4d7 g3g4 h7h5 f1h3,111
r1b1k2r/1p2ppbp/p1np1np1/q7/2BNP3/2N1BP2/PPPQ2PP/2KR3R b kq -,c8d7 c4b3 h7h5 c1b1 a5c7 h1e1 e8h8 h2h3 b7b5 g2g4,107
2kr3r/pp2bpp1/1qn1p3/3pP1Np/3P3P/3Q2P1/PP4PK/R1B2R2 b - -,h8f8 g5f7 b6d4 d3g6 d4g4 c1g5 f8f7 f1f7 e7g5 g6g5,200
6K1/8/5R1k/8/8/8/8/8 b - -,h8f8 g5f7 b6d4 d3g6 d4g4 c1g5 f8f7 f1f7 e7g5 g6g5,Mate
r3kbnr/1ppq1ppp/p1p5/4p3/4P3/2N2Q1P/PPPP1PP1/R1B2RK1 b kq -,f8d6 d2d3 g8e7 c1e3 f7f6 a1b1 b7b6 f3g4 e7g6 g4d7,7
1n3rk1/1pr1qpp1/p2p3p/3Ppb2/1Q6/P3P3/1P1NBPPP/2R1R1K1 b - -,f8d8 e3e4 f5g6 b4b6 d8c8 c1c4 e7d8 e1c1 c7c4 b6d8,140
8/8/6pk/1R6/3r4/6K1/8/8 b - -,,0
rnb1kb1r/ppp1qppp/5n2/4N3/3P1p2/8/PPP1B1PP/RNBQK2R b KQkq -,b8d7 e5f3 g7g5 e1h1 h7h6 e2d3 d7b6 c2c4 f8g7 a2a4,-28
7r/1K6/4k3/2P5/3R4/8/8/8 b - -,h8h2 c5c6 h2b2 b7c7 b2c2 d4d6 e6e7 d6d1 c2c3 c7b7,1096
2k4r/pp1r1pp1/1qn1p3/3pP1Bp/3P1R1P/3Q2P1/PP4PK/R7 b - -,b6b4 a1f1 b4f8 a2a3 f8e8 b2b4 d7c7 f1c1 c8b8 d3c2,164
r1b2rk1/7p/p1pb4/1p1n2pq/3P4/2P2BP1/PP1N1P1P/R1B1RQK1 b - -,c8g4 f3g4 h5g4 f1e2 g4e2 e1e2 f8e8 d2e4 h7h6 c1d2,345
rnbqkb1r/pp1npppp/8/2ppP3/8/5N2/PPPPBPPP/RNBQK2R b KQkq -,b8c6 e2b5 d7b8 c2c3 a7a6 b5e2 c8f5 d2d4 e7e6 e1h1,-51
8/2r5/4k3/8/1KP5/8/8/3R4 b - -,c7b7 b4a5 b7c7 a5b5 c7b7 b5c6 b7b2 c4c5 b2c2 c6b5,515
r1bqkbnr/pp2pppp/8/1BnpP3/8/5N2/PPP2PPP/RNBQK2R b KQkq -,c8d7 d1d5 d7b5 d5c5 b5c6 f3d4 e7e6 d4c6 f8c5 c6d8,82
r1bqk2r/ppppnpbp/2n3p1/8/4PP2/2N1Q3/PPPB2PP/R3KBNR b KQkq -,a7a5 e1a1 e8h8 g1f3 d7d5 d2e1 d5d4 e3f2 c8e6 a2a3,50
