4r1k1/r4p1p/P4PpP/2Q5/2B5/8/5PK1/8 b - -,g4e3 c7b5 e2f2 b5c3 f7f5 a5a6 e3f1 d5d6 f1g3 h1h2,Mate
r1bq1rk1/ppp1pnbp/5np1/6N1/2B5/2N4P/PPP1QPP1/R1B1K2R b KQ -,a7a6 e1h1 d8e8 a2a4 e8c6 c4f7 f8f7 g5f7 g8f7 c1f4,387
5Q2/8/2K5/4k1R1/2P5/8/8/1r6 b - -,a7a6 e1h1 d8e8 a2a4 e8c6 c4f7 f8f7 g5f7 g8f7 c1f4,Mate
r3r1k1/4bppp/3ppn2/pQ6/1p1BPP2/P5PP/qP3RBK/2R5 b - -,e8b8 b5a4 d6d5 e4d5 e6d5 c1c7 e7d6 d4f6 d6c7 a4d7,27
2rq1k2/1Q1n1ppp/4p1n1/p2p1b2/R1PP4/4P3/3NBPPP/5RK1 b - -,c8b8 b7a6 b8b2 a6d6 f8g8 g2g4 b2d2 g4f5 e6f5 e2f3,147
r1bqk1nr/pp1p1ppp/1bn1p3/8/3PP3/4BN2/P1P2PPP/RN1QKB1R b KQkq -,d7d6 b1d2 g8f6 c2c3 e6e5 f1b5 e8h8 e1h1 c8g4 d1b1,10
8/R3kp2/2B3pp/1P6/2b5/1r5P/6PK/8 b - -,e7f8 a7b7 h6h5 h3h4 f8g7 b5b6 b3b4 b7b8 b4b3 h2g1,11
r4r1k/1bq4p/p3pPp1/1p4Q1/7P/2P5/P1B2PP1/R3R1K1 b - -,b7d5 e1e3 c7f7 a2a4 b5a4 a1a4 f7f6 g5f6 f8f6 c3c4,72
6k1/1b3ppp/1p1q4/2p5/p3p3/1NP1P1P1/PP1Q1PP1/6K1 b - -,d6d2 b3d2 g8f8 c3c4 f8e7 g1h2 g7g5 g3g4 e7e6 a2a3,-7
rq3k1r/1b3pp1/1n1Np2p/n3P3/5PPb/PP5R/2P1Q1BP/1KBR4 b - -,b7g2 e2g2 h4e7 f4f5 e7d6 e5d6 b8b7 g2e2 e6e5 e2e5,391
r1bq1rk1/4bppp/1pn2n2/1N6/3p1B2/5N1P/PP2PPP1/R2QKB1R b KQ -,a8a5 a2a4 f6e4 d1c2 e7b4 f3d2 c8a6 a1c1 e4c5 f4c7,-302
r2qkbnr/pp3ppp/1np1p3/3p3b/3PP2N/3Q2PP/PPP2PB1/RNB2RK1 b kq -,g8f6 e4e5 f6e4 a2a4 a7a5 g2e4 d5e4 d3e4 f8e7 g3g4,50
r1bqk2r/pp1p1ppp/1bn1pn2/8/3PP3/3BBN2/P1P2PPP/RN1QK2R b KQkq -,d7d5 e4e5 f6g4 b1d2 g4e3 f2e3 c6b4 d3e2 e8h8 e1h1,38
rnbqk2r/pp3pbp/4p3/3p4/8/1PpB4/P1P2PPP/R1BQK1NR b KQkq -,b8c6 d1h5 c8d7 g1e2 c6b4 c1g5 d8a5 e1h1 d5d4 h5h4,-143
r3nrk1/pp2b1pp/4p3/qbppPp2/5B1P/2PBPN2/PP3PP1/R2Q2KR b - -,b5d3 d1d3 a5b6 h4h5 a7a5 a2a4 e8c7 d3e2 b6a6 e2d2,22
8/8/2K5/8/1QP5/6R1/1k6/1r6 b - -,b5d3 d1d3 a5b6 h4h5 a7a5 a2a4 e8c7 d3e2 b6a6 e2d2,Mate
8/6P1/3k1K2/8/8/8/8/2b5 b - -,,0
r2qk1nr/pp2bppp/1np1p3/3p3b/3PP3/3Q1NPP/PPP2PB1/RNB2RK1 b kq -,a7a5 e4d5 e6d5 d3e2 g8f6 f1e1 f6e4 b1d2 f7f5 g3g4,24
r4r1k/1b5p/p3pPB1/1p4Q1/7P/2q5/P4PP1/R3R1K1 b - -,b7d5 g5h6 c3c7 g6e4 d5e4 e1e4 f8g8 a1e1 g8g6 h6f4,325
4r1k1/3n1p2/1pr3P1/1N1p4/2pPP3/5P1p/1P3R1P/4RK2 b - -,f7g6 b5c3 d5e4 f3e4 b6b5 e4e5 e8f8 f2f8 g8f8 f1e2,165
6k1/1b2qppp/1p6/2p5/p3p3/2P1P1P1/PP1Q1PP1/2N3K1 b - -,,0
r1bqkbnr/pp1n2pp/2p1p3/3pNp2/3P1B2/4P3/PPPN1PPP/R2QKB1R b KQkq -,g7g6 e5d7 c8d7 f1e2 g8h6 f4e5 h8g8 c2c4 h6f7 e5g3,89
1r1q1k2/3n1ppp/2Q1p1n1/p2p1b2/R1PP4/4P3/3NBPPP/5RK1 b - -,,0
2bq1rk1/4bppp/1pn2n2/r7/3N1B2/5N1P/PP2PPP1/R2QKB1R b KQ -,c6d4 d1d4 a5d5 d4c3 f6e4 c3c4 c8f5 a2a3 b6b5 c4c7,-376
r6r/ppq1k1pp/3Np1b1/2n1P3/P7/B7/4Q1PP/R4RK1 b - -,a8f8 f1d1 f8f5 e2e3 b7b6 g2g4 f5f8 e3g5 f8f6 d6b5,495
r4r1k/1b5p/p3pQB1/1p6/7P/8/P4PP1/R3R1K1 b - -,f8f6 g6e4 b7e4 e1e4 a8c8 e4e2 c8c6 g2g3 h8g7 a1d1,Mate
8/2R2p2/4p1k1/3p4/p3r1P1/6BP/2n2K2/8 b - -,c2a3 c7a7 a3b1 f2f3 b1d2 f3f2 e4b4 f2g1 d2c4 g3f2,-404
8/5K2/3k2P1/8/8/8/8/2b5 b - -,,0
r2qk2r/pp2bppp/2n1pn2/2ppNb2/Q4B2/2PP4/PP1NBPPP/R4RK1 b kq -,e8h8 e5c6 b7c6 a4c6 a7a5 d2f3 h7h6 f3e5 a8b8 c6a6,-78
r3nrk1/pp2b1pp/4p3/q1ppPp2/5B1P/2PQPN2/PP3PP1/R5KR b - -,a5d8 h1h3 e8c7 g1h2 d8d7 h4h5 a7a5 a1g1 f8f7 f4g5,32
r3kb1r/ppqn1ppb/2p1pn1p/8/2B2PPN/2NP3P/PPPBQ3/2KR3R b kq -,d7c5 g4g5 h6g5 f4g5 f6d5 c1b1 e8a8 g5g6 f7g6 d3d4,122
rq3k1r/1b2bpp1/1n1Np2p/n3PP2/6P1/PP5R/2P1Q1BP/1KBR4 b - -,b7g2 e2g2 e7d6 e5d6 b8b7 g2e2 e6e5 e2e5 f7f6 e5e2,400
r3kbnr/p1q2ppp/6N1/1p6/8/8/P4PPP/R2QR1K1 b kq -,f8e7 g6h8 a8c8 a1c1 c7c1 d1c1 c8c1 e1c1 g8h6 c1c8,162
r2q2k1/pp2n3/2ppPpp1/8/2B4Q/8/PP3P1P/4R1K1 b - -,d8a5 e1d1 a5e5 c4f1 e7d5 h4h6 d5f4 d1d3 a8e8 h2h4,-183
4k3/3bbp2/2r2n1r/p5N1/3BP2P/8/PPP3P1/2KR3R b - -,f6g4 g5f3 a5a4 b2b3 c6e6 e4e5 h6h5 h1e1 d7c6 d1d3,-117
3r1rk1/pp1q1pp1/2n2n1p/3p1b2/3Pp3/P3P3/1P1NBPPP/2RQRNK1 b - -,c6e7 c1c3 f5g4 e2g4 f6g4 d1b3 f7f5 f1g3 e7c6 g3e2,-14
r6k/7p/p3pr2/1p6/4R2P/8/P4PP1/R5K1 b - -,a8f8 e4e2 f8d8 a1c1 d8d6 c1c7 h8g8 g2g3 f6f7 c7c8,39
2r1r1k1/1p3pbp/6p1/8/PBq5/3R1P2/3Q2PP/3R2K1 b - -,g7f6 d1b1 e8e6 h2h3 c8e8 d3d7 e6e2 d2d5 c4d5 d7d5,-52
r5k1/1p4p1/p4np1/3p2Q1/B1nPp3/q1P5/P1P1K1PP/3R1R2 b - -,a3a4 f1f6 a4c2 e2e1 c2c3 e1e2 c3c2 e2e1 c4b2 d1d2,-288
rnb1k2r/qp2b1pp/2n1pP2/1B1p4/p2P4/P3BN2/2QN1PPP/RR4K1 b kq -,e8h8 f6e7 c6e7 f3e5 b8c6 d2f3 c6e5 f3e5 e7g6 b5d3,513
2bq1rk1/4bppp/1p3n2/r7/3Q1B2/5N1P/PP2PPP1/R3KB1R b KQ -,a5d5 d4c3 f6e4 c3c4 c8f5 a2a3 b6b5 c4c7 e7f6 c7d8,-405
8/4k3/8/2Q1K3/8/8/5r2/8 b - -,a5d5 d4c3 f6e4 c3c4 c8f5 a2a3 b6b5 c4c7 e7f6 c7d8,Mate
1kr1q3/1p6/1P3n2/Q1pP4/8/3Pp3/1B6/2K5 b - -,,0
r1bq1rk1/1pn1ppbp/3p1np1/p1pP2B1/2P1P3/2NB1N1P/PP3PP1/R2Q1RK1 b - -,e7e5 d1d2 d8e8 f3h4 f6h5 g2g4 h5f4 g5f4 e5f4 d2f4,110
rq3k1r/4bpp1/1n1Np2p/n3PP2/6P1/PP5R/2P3QP/1KBR4 b - -,b6d7 f5e6 d7e5 c1b2 e7d6 d1d6 b8b7 g2b7 a5b7 d6b6,469
r1b1kb1r/1p3pp1/p2ppN1p/8/3N3q/8/PPPQ1PPP/2K1RB1R b kq -,e8d8 d2a5 d8e7 d4f5 e7f6 a5d8 f6g6 f5h4 g6h7 d8c7,840
r4rk1/5ppp/4p3/1p1pPP2/1q1P4/1P1R1QP1/p6P/K6R b - -,f8c8 f3e2 e6f5 e5e6 f7e6 e2e6 g8h8 e6e1 b4e1 h1e1,-271
r2q1rk1/pp3ppp/2n1b3/4p3/3pP3/1B3N1P/PPPQ1PP1/R4RK1 b - -,e6b3 a2b3 a7a5 f3e1 f8e8 e1d3 a8c8 f2f4 e5f4 f1f4,-32
8/8/2P2k2/3KRp2/5r2/2P5/8/8 b - -,f4h4 e5e6 f6g5 c6c7 h4h8 e6d6 h8c8 d5c6 c8c7 c6c7,905
6k1/1b2qp1p/1p4p1/2p5/p3p3/P1P1P1P1/1P1Q1PP1/2N3K1 b - -,,0
8/2b5/2k5/6P1/8/2P5/6KP/8 b - -,c6d5 g2h3 d5e6 h3h4 c7h2 h4g4 h2e5 c3c4 e5d6 g4f3,21
4k3/3bbp2/2r2n2/p5Nr/3BP1PP/8/PPP5/2KR3R b - -,h5h8 e4e5 d7g4 e5f6 g4d1 h1e1 d1h5 e1e7 e8f8 e7a7,272
8/R4p2/4p1k1/3p4/p1r3P1/6BP/2n2K2/8 b - -,a4a3 g3e5 c4e4 e5d6 d5d4 d6a3 d4d3 a3c1 e4e1 a7d7,-427
8/1p6/8/3k4/P7/1P1K4/8/8 b - -,d5c5 d3c3 b7b6 b3b4 c5c6 c3c4 b6b5 a4b5 c6b6 c4d4,Mate
rn2k2r/pp2b1pp/2p2p2/8/5B2/2N2N2/PPb2PPP/R3R1K1 b kq -,b8a6 a1c1 c2g6 f4d6 e8a8 d6e7 d8d7 f3h4 g6d3 e1e3,328
2kr1b1r/ppqn1ppb/2p2n1p/5N2/2B3P1/2NP3P/PPPBQ3/2KR3R b - -,h7g6 h1f1 b7b5 c4b3 a7a5 a2a4 d7c5 a4b5 c6b5 c1b1,162
4r1k1/3n4/1pr3p1/1N1pP3/2pP4/5P1p/1P3R1P/4RK2 b - -,d7f8 f3f4 e8a8 f4f5 g6f5 b5d6 c6c7 d6f5 f8e6 e1e3,53
2r5/3k2rp/1p2p3/p2p1p2/2PPp3/1P4PP/1P3P2/1KR4R b - -,h7h5 h3h4 d7d6 c1c3 c8f8 h1c1 d6c6 c4d5 c6d5 c3c6,-160
r1b1k2r/pp1nqppp/2p5/3P4/1b1BnP2/2NQ1N2/PPP3PP/R1K2B1R b kq -,e4c3 d4c3 e8h8 d5c6 b7c6 c3b4 e7b4 d3d2 b4b6 f1c4,83
8/p7/1p4nk/8/3Pp3/4R2P/PP5P/7K b - -,g6f8 e3e4 b6b5 d4d5 b5b4 d5d6 h6g5 h3h4 g5h5 e4b4,709
rnbqkb1r/pp2pppn/2p5/3pP2p/3P4/2NB1P2/PPP3PP/R1BQK1NR b KQkq -,e7e6 f3f4 g7g6 g1f3 b7b6 c3e2 c8a6 c1e3 a6d3 d1d3,116
r2qkb1r/pp1n1ppp/2n1p3/1Qpp1b2/5B2/2PP1N2/PP1NBPPP/R4RK1 b kq -,d8b6 a2a4 f8e7 d3d4 c5c4 f1c1 e8h8 h2h3 h7h6 b2b3,-122
2r1r1k1/1p3p1p/5bp1/8/PBq5/3R1P2/3Q2PP/1R4K1 b - -,b7b6 g1h1 c8a8 d2d1 g8g7 d3d6 f6e5 d6d5 h7h5 a4a5,-39
6k1/pb4bp/1pp1P3/8/2P5/5B2/PP1r1P1P/R5K1 b - -,g8f8 a1e1 f8e7 e1e3 g7b2 g1f1 d2d8 c4c5 b7a6 f3e2,-495
r2qrbk1/ppp2ppp/3p4/2n5/3QP3/2N2PB1/PPP3PP/3RR1K1 b - -,c7c6 g1h1 c5e6 d4d2 d8a5 f3f4 a5b4 f4f5 e6c5 g3d6,35
r2qkbnr/pp3ppp/2n1b3/2pp4/8/1B1P4/PPP1NPPP/RNBQ1RK1 b kq -,d8c7 b1c3 g8f6 c1f4 c7d7 f4g5 e8a8 e2f4 c6d4 c3e2,32
2kr1b1r/pppq1ppp/2np1n2/3Np3/4PPb1/3P1N2/PPP1B1PP/R1BQ1RK1 b - -,d8e8 c2c4 c8b8 b2b4 g4f3 e2f3 f6d5 c4d5 c6d4 c1e3,79
2rr2k1/1p2ppbp/p5p1/6N1/P1pPP1q1/1RP5/Q2B1PPP/5RK1 b - -,c4b3 a2b3 d8f8 f1e1 h7h6 g5f3 g4d7 e4e5 d7c6 e5e6,-64
3q1k2/3n1ppp/1rQ1p1n1/p2P1b2/R2P4/4P3/3NBPPP/5RK1 b - -,,0
r1bqk2r/p1B2ppp/4pb2/1N1p4/8/5Q2/P1P2PPP/1R3RK1 b kq -,d8d7 c7d6 f6d8 d6a3 d8e7 f3g3 e8h8 a3e7 d7e7 b5c7,219
2bq1rk1/4bppp/1p3n2/3r4/5B2/2Q2N1P/PP2PPP1/R3KB1R b KQ -,f6e4 c3c4 c8f5 a2a3 b6b5 c4c7 e7f6 g2g4 f6b2 c7d8,-433
8/k7/2KN4/8/B7/8/8/8 b - -,f6e4 c3c4 c8f5 a2a3 b6b5 c4c7 e7f6 g2g4 f6b2 c7d8,Mate
r3nrk1/pp1bb1pp/4p3/q1ppPpN1/5B1P/2PBP3/PP3PP1/R2QK2R b KQ -,e8c7 g5f3 a5b6 d1e2 c5c4 d3b1 c7a6 f4g5 f8f7 g5e7,-9
8/8/5k2/R5p1/1r3PKp/3B3P/8/8 b - -,,0
2rr2k1/1p2ppbp/p5p1/6N1/P2PP1q1/1QP5/3B1PPP/5RK1 b - -,d8f8 b3b7 g4e2 g5f3 e7e5 d4e5 c8b8 b7a7 e2e4 a7a6,-37
2kr1b1r/ppq2ppb/2p2n1p/4nN2/2B2BP1/2NP3P/PPP1Q3/2KR3R b - -,f6d7 c1b1 g7g5 f4h2 h7f5 g4f5 f8d6 c4b3 d7f6 d3d4,282
Q7/ppq1kpp1/8/2p2b2/1p1pN3/5P2/PP5P/R5K1 b - -,f5e4 a1e1 e7f6 e1e4 b7b6 e4g4 g7g6 a8h8 f6e6 g4e4,353
3q1k2/3n1ppp/2P1p1n1/p4b2/R2P4/4P3/3NBPPP/5RK1 b - -,,0
6k1/4qp1p/1pb3p1/2p5/p3p3/P1P1P1P1/1P1QNPP1/6K1 b - -,c6b5 e2f4 b5c4 f4h3 b6b5 f2f3 e7f6 f3f4 c4d3 g3g4,-14
r3r1k1/p2q1p2/2p1nbp1/2PpBb1p/Q2P4/5N2/P3BPP1/R3R1K1 b - -,e6c5 a4a5 c5e4 e5f6 e4f6 f3e5 d7d6 a1c1 a8c8 a5a7,-154
rn1q1r2/pp2k1p1/2pbNn2/7P/3P2P1/3Q4/PPP3B1/R4RK1 b - -,d8a5 a1e1 b8d7 g4g5 a8b8 c2c3 d7e5 e6f8 b8f8 g5f6,570
r1b1kb1r/1p3pp1/p2Npn1p/8/3N3q/8/PPPQ1PPP/2K1RB1R b kq -,e8e7 d6f5 e7e8 f5h4 f8e7 h4f3 c8d7 c1b1 a8d8 b1a1,749
2kr1bnr/ppqnppp1/2p4p/7P/2PP4/3Q1NN1/PP1B1PP1/R3K2R b KQ -,c6c5 e1h1 e7e6 d3a3 a7a6 b2b4 c5d4 c4c5 g8f6 f1c1,133
r2q1rk1/pp3ppp/2n5/4p3/3pP3/1P3N1P/1PPQ1PP1/R4RK1 b - -,a7a5 f3e1 d8d6 e1d3 f7f6 f2f4 e5f4 f1f4 a8e8 a1f1,-35
8/8/6p1/7p/K2k4/5B2/2P3P1/8 b - -,d4c4 f3e4 g6g5 e4g6 c4d4 a4b4 h5h4 g6f5 d4d5 f5h3,1085
r3kb1r/pp1n1ppp/1Qn1p3/2pp1b2/5B2/2PP1N2/PP1NBPPP/R4RK1 b kq -,a8b8 b6b5 e6e5 f4e5 d7e5 f3e5 f8d6 e5c6 f5d7 e2f3,757
rn1q1rk1/1b2bppp/p3p3/1p2P3/3P3P/1B3N2/P4PP1/R1BQR1K1 b - -,d8d7 f3g5 e7g5 c1g5 b8c6 d4d5 e6d5 b3c2 d7e6 d1d3,62
rn1qkb1r/pp1bpppn/2p5/3pP2p/3P1P2/2NB4/PPP3PP/R1BQK1NR b KQkq -,d7g4 g1f3 e7e6 h2h3 g4f5 c3e2 f8e7 e1h1 b8a6 c2c3,114
2bq1rk1/4bppp/1p6/3r4/2Q1nB2/5N1P/PP2PPP1/R3KB1R b KQ -,c8f5 a2a3 b6b5 c4c7 e7f6 g2g4 f6b2 c7d8 f8d8 f1g2,-434
r1bq1r2/3nppk1/2pp2p1/p6P/4P1p1/2N2P2/PPPQ4/2KR1B1R b - -,f7f6 h5g6 f8h8 f1e2 d7e5 f3f4 e5g6 f4f5 g6e5 e2g4,161
8/4k3/7R/5p2/2P2P2/2P1K3/8/6r1 b - -,g1g4 c4c5 g4g3 e3d4 g3f3 h6h7 e7d8 d4d5 f3c3 c5c6,528
2rr3k/p1b1q1pp/1p1n4/2pBp3/2PpP2P/3P1N2/PP2Q1P1/R4RK1 b - -,g7g6 f3g5 h7h6 g5e6 h8h7 e2g4 h6h5 g4g3 b6b5 e6g5,356
2r1r1k1/5p1p/1p3bp1/8/PBq5/3R1P2/3Q2PP/1R5K b - -,c8a8 d2d1 h7h5 h2h3 a8a7 d1b3 c4b3 d3b3 a7a4 b4d6,-41
r3r1k1/4bppp/3ppn2/pQ6/1p1BPP2/Pq3RPP/1P4BK/2R5 b - -,e8b8 b5b8 a8b8 f3b3 h7h5 a3b4 a5b4 e4e5 d6e5 f4e5,479
2r2rk1/pp1q1pp1/2n2n1p/3p1b2/3Pp3/PN2P3/1P2BPPP/2RQRNK1 b - -,d7d8 f1g3 c6e7 g3f5 e7f5 d1d2 c8a8 b3c5 b7b6 c5a6,25
5rk1/1R1b1ppp/r1pq4/p1Qp4/3N4/4P1P1/P4P1P/2R3K1 b - -,d6c5 c1c5 f8d8 b7c7 g8f8 g1f1 f8e8 d4c6 d7c6 c5c6,4
8/R4p2/3Bp1k1/3p4/2r3P1/p6P/2n2K2/8 b - -,c4c3 h3h4 c2e3 a7a4 c3c4 a4a3 e3g4 f2f1 g4h6 d6e7,-465
8/2P1k3/6R1/3K1p1p/4p3/6P1/7P/6b1 b - -,c4c3 h3h4 c2e3 a7a4 c3c4 a4a3 e3g4 f2f1 g4h6 d6e7,Mate
4r3/3n1k2/1prN2p1/3pP3/2pP4/5P1p/1P3R1P/4RK2 b - -,c6d6 e5d6 e8e6 e1e6 f7e6 f3f4 d7f6 f2f3 f6e4 d6d7,285
2r2rk1/1b1p1ppp/1pn2q2/p2B4/4P3/4QN2/PP3PPP/R4RK1 b - -,b7a6 f1d1 f6b2 a1b1 b2c2 d5b3 c2c5 d1d7 c6b8 d7d2,35
8/4R3/8/5k1p/4p1nK/6P1/5P2/8 b - -,g4h2 h4h5 h2g4 e7f7 g4f6 f7f6 f5f6 g3g4 f6e6 h5g6,893
rq3k1r/4bpp1/3NP2p/n3P3/2n3P1/PP5R/2P3QP/1KBR4 b - -,c4e5 c1b2 a5c6 d6f7 a8a3 f7e5 c6e5 g2d5 f8g8 b2e5,544
rn5r/pp2bkpp/2p2p2/8/5B2/2N2N2/PPb1RPPP/R5K1 b - -,c2d3 e2d2 d3f5 f3d4 f5c8 d4b3 b7b6 a1e1 c6c5 f4d6,-95
4r1k1/p1p1P2p/6b1/1p3pp1/6P1/1P4KP/PB4P1/4R3 b - -,f5f4 g3f3 h7h6 h3h4 g8f7 b2a3 a7a5 a3c5 a5a4 g2g3,140
r3kb1r/1p1n1ppp/1pn1p3/2pp1b2/5B1N/2PP4/PP1NBPPP/R4RK1 b kq -,g7g6 h4f5 g6f5 a2a4 e6e5 f4g3 h7h5 h2h3 h5h4 g3h2,-129
3q1k2/5ppp/2P1pnn1/p4b2/R2P4/4P3/3NBPPP/2R3K1 b - -,d8c7 c1c5 g6e7 a4a5 g7g5 a5b5 e7c6 e2f3 f6d5 h2h3,-5
5rk1/p5np/1p2b1NQ/3p4/3P2p1/2PB4/PP5P/6K1 b - -,h7g6 d3g6 f8f7 h6h7 g8f8 h7h8 f8e7 g6f7 e7f7 h8b8,696
3r2k1/1R1b1ppp/r1p5/p1Rp4/P2N4/4P1P1/5P1P/6K1 b - -,,0
r1b1k2r/pp1nqppp/2p5/3P4/4nP2/2BQ1N2/PPP3PP/R1K2B1R b kq -,d7c5 d3d4 e4c3 d4c3 e8h8 d5c6 e7d6 f3e5 c8e6 f1e2,85
rnb1k2r/qp4pp/2n1pb2/1B1p4/pR1P4/P3BN2/2QN1PPP/R5K1 b kq -,b8a6 b4a4 c8d7 a4a6 b7a6 b5c6 a8c8 c6d7 a7d7 c2d1,283
2r2rk1/1Q2ppbp/p5p1/6N1/P2PP1q1/2P5/3B1PPP/5RK1 b - -,g4e2 g5f3 e7e5 d4e5 e2c4 a4a5 c4c6 f1b1 c6b7 b1b7,-43
1rbq1rk1/1p1nppbp/p2p2p1/2pP3n/P1P1P3/2N2N2/1P1BBPPP/R1Q1R1K1 b - -,b7b6 d2g5 f8e8 h2h3 c8b7 c1d2 d8c7 g5e3 d7f8 f3g5,113
rn1q1rk1/4bppp/p3p3/1p1bP2P/3P4/1B3N2/P4PP1/R1BQR1K1 b - -,d5b3 a2b3 b8c6 h5h6 g7g6 c1a3 b5b4 a3c1 a6a5 d1d3,27
8/8/2n1Q3/2k1b1P1/8/2P5/6KP/8 b - -,c5b5 g5g6 b5b6 e6b3 b6c7 b3f7 c7d8 f7f8 d8d7 g6g7,1257
r1bqkbnr/ppp2ppp/3p4/3Q4/4P3/2N5/PPP2PPP/R1B1KB1R b - -,c7c6 d5d3 f8e7 a2a4 g8f6 f1e2 h7h5 h2h3 c8e6 f2f4,40
rnbq1rk1/pp3pbp/4p3/3p4/8/1PpB1N2/P1P2PPP/R1BQK2R b KQ -,e6e5 f3g5 e5e4 d3e2 b8c6 e1h1 f7f6 g5h3 c8h3 g2h3,-285
rn1qkb1r/pp2pppn/2p5/3pP2p/3P1Pb1/2NB1N2/PPP3PP/R1BQK2R b KQkq -,e7e6 c1e3 h5h4 h2h3 g4f5 c3e2 f8e7 e1h1 b8a6 c2c3,107
r4rk1/ppnbb1pp/4p3/q1ppPpNQ/5B1P/2PBP3/PP3PP1/R3K2R b KQ -,h7h6 g5h3 c5c4 d3e2 b7b5 e1h1 b5b4 h5g6 d7e8 g6g3,-112
r2q1rk1/1b1n1pbp/p1Pp2p1/Pp2p3/1P2P3/2NPBN1P/3Q1PP1/2R2RK1 b - -,b7c6 c3d5 c6d5 e4d5 d7f6 e3g5 a8c8 g5f6 d8f6 d2e3,75
1qr1rbk1/1b3ppp/ppN1pn2/1NP5/3P4/P5P1/1B2QPBP/2RR2K1 b - -,b8a8 b5a7 c8c6 a7c6 b7c6 g2c6 a8c6 e2a6 e8a8 a6b6,332
3q1rk1/4bppp/1p6/3r1b2/P1Q1nB2/5N1P/1P2PPP1/R3KB1R b KQ -,d8a8 b2b4 f8c8 c4b3 e7f6 f3e5 d5e5 g2g4 e5e8 f1g2,-503
rn1q1r1k/4bppp/p3p2P/1p1bP3/3P4/1B3N2/P4PP1/R1BQR1K1 b - -,d5b3 h6g7 h8g7 d1b3 b8c6 e1e4 g7h8 c1h6 c6a5 b3e3,73
r4rk1/pbpnqp1p/1p2pbp1/6P1/3PN3/2PB1N2/PP2QP1P/2KR3R b - -,f6d4 c3d4 a8d8 d3c2 f7f5 e4c3 c7c5 d4d5 e7d6 c2b3,385
8/8/2k5/2P2p2/1R3r2/2PK4/8/8 b - -,,0
r1bq1rk1/3nppbp/p1pp2p1/P7/4P3/2N1B3/1PP1BPPP/R2Q1R1K b - -,a8b8 a1a2 d7c5 d1e1 d8c7 e3c5 d6c5 c3a4 b8b4 a4c5,3
r2qkbnr/ppp2ppp/1n2p3/3p4/3PP1bN/3Q2P1/PPP2PBP/RNB1K2R b KQkq -,g8e7 h2h3 g4h5 e1h1 c7c6 f1e1 d5e4 d3e4 e7d5 b1d2,80
1r4k1/5np1/p1r1pp2/P2p1n2/1B3P1p/2P5/5NPP/1R2R1K1 b - -,b8b5 f2d3 f7h6 b1b2 g8f7 b2e2 h6g4 g1h1 g4e3 e2e3,-271
3q1rk1/4bppp/1p6/3r1b2/2Q1nB2/P4N1P/1P2PPP1/R3KB1R b KQ -,b6b5 c4c7 e7f6 c7d8 f8d8 g2g4 f6b2 f1g2 b2a1 e1h1,-435
8/8/2k5/2P2p2/1R1K4/2P2r2/8/8 b - -,,0
rn1qkb1r/pp3ppp/5n2/1N1p4/6b1/6Q1/PP1P1PPP/R1B1KBNR b KQkq -,b8c6 f1e2 g4e2 g1e2 a8c8 e1h1 a7a6 b5d4 f8d6 g3e3,-9
rn2kb1r/pp2pppn/1qp5/3pP2p/3P1Pb1/P1NB1N2/1PP3PP/R1BQK2R b KQkq -,g7g6 h2h3 g4f5 c3a4 b6c7 b2b3 e7e6 e1h1 f8e7 c2c4,144
r1bqk2r/pp1n1ppp/2pbpn2/3p4/2PP4/2N1PN2/PP1QBPPP/R1B1K2R b KQkq -,d8e7 e1h1 e8h8 d2c2 e6e5 c4d5 c6d5 d4e5 d7e5 f3d4,-5
4r1k1/p2b3p/1p1RP1p1/n4p2/2r5/2Q1PN2/P4PPP/2R3K1 b - -,c4c3 c1c3 d7e6 c3c7 a5c4 d6e6 e8e6 c7c4 e6d6 h2h4,516
4k3/4bp2/2r2n2/p5Nr/3BP1bP/8/PPPR4/2K4R b - -,f6d7 d4e3 f7f6 g5h3 h5h4 h3f2 h4h1 f2h1 c6e6 h1f2,-330
rn1q1r2/pp2k1p1/2pbpn2/6NP/3P2P1/3Q4/PPP3B1/4RRK1 b - -,e7d7 g5e6 d8a5 d3g6 d7c8 e6f8 a5d2 f8e6 b8d7 g6g7,588
1qr1rbk1/5ppp/ppbNpn2/2P5/3P4/P5P1/1B2QPBP/2RR2K1 b - -,c6g2 d6e8 c8e8 g1g2 b8a8 g2g1 f6d5 e2f3 b6b5 c1c2,234
6r1/7p/1p2k3/p2p1p2/3P4/1P2P2P/1P6/1KR5 b - -,g8g3 c1c6 e6f7 c6b6 g3h3 b6d6 h3e3 d6d5 f7g6 d5a5,-22
r2qk2r/1pp1bppp/1nn1p3/p4b2/P2P4/1BN1BN2/1PP2PPP/R2Q1RK1 b kq -,c6b4 d1e2 e8h8 f3e5 b4d5 g2g4 f5g6 a1d1 c7c6 e3c1,54
4r1k1/p1p1P2p/6b1/1p4p1/6K1/1P5P/PB4P1/4R3 b - -,a7a5 b2d4 g8f7 d4c5 h7h6 a2a3 g6d3 g4h5 e8h8 b3b4,138
1rbq1rk1/3nppbp/p1pp2p1/P7/4P3/2N1B3/1PP1BPPP/R1Q2R1K b - -,f7f5 a1a2 g7c3 b2c3 f5e4 h1g1 d7e5 e3b6 d8d7 a2a4,7
