4r1k1/r4p1p/P4PpP/2Q5/2B5/8/5PK1/8 b - -,g4e3 c7b5 e2f2 b5c3 f7f5 a5a6 e3f1 d5d6 f1g3 h1h2,Mate
3r2k1/1pp2pp1/3p1q1p/p2P2r1/P3P1B1/1P1R1P2/4NB1P/6RK b - -,h6h5 f2d4 f6e7 g4f5 g5g1 h1g1 c7c6 d4e3 g7g6 f5h3,-45
5k2/6PQ/4qp1p/p1p5/1pP1P3/1P1P3P/8/5R1K b - -,f6b2 g1e1 g5g4 f3g4 d8e8 d3e3 c7c6 h1g2 c6d5 e2g3,Mate
r2qk2r/ppp1bppp/2npbn2/4p3/4P3/2P2Q1P/PPBP1PP1/RNB1K1NR b KQkq -,d6d5 d2d3 d8d6 f3e2 e8a8 b1d2 g7g5 e4d5 d6d5 g1f3,-66
5rk1/pp3ppp/2p5/3pr3/8/1PN1BPQ1/P1P4P/R5K1 b - -,e5e3 c3a4 e3e6 g1h1 e6g6 g3c7 b7b6 a4b2 c6c5 b2d3,555
r1bq1rk1/pp2npp1/2nbp2p/8/2BP4/2N1BN2/PP2QPPP/R4RK1 b - -,b7b6 a2a3 c8b7 a1d1 a8c8 c4a2 f8e8 f1e1 e7f5 e3c1,8
r3r1k1/ppqn1pbp/2p3p1/4p3/P2P4/BQP1PBPP/5P2/R4RK1 b - -,b7b6 f1d1 a8b8 g1g2 e5e4 f3e2 h7h5 h3h4 d7f6 c3c4,45
r1b2rk1/p1p3bp/1p1p2p1/2PPnp2/1P1Np2q/4P2P/P3BPPB/2RQ1RK1 b - -,h4e7 c5d6 c7d6 d4c6 e7e8 b4b5 c8d7 a2a4 g8h8 h2f4,169
r6r/4nk1p/bp1Np2Q/q6p/4P3/8/PP3PPP/3R2K1 b - -,h4e7 c5d6 c7d6 d4c6 e7e8 b4b5 c8d7 a2a4 g8h8 h2f4,Mate
1R6/5pk1/2N3p1/3P3p/2r5/3n1K2/6PP/8 b - -,c4c3 b8b5 d3e5 f3e4 e5c6 d5c6 c3c6 e4f3 h5h4 f3f2,-8
4k3/8/8/3K4/8/8/R7/1r6 b - -,,0
