r2qR1k1/ppp2ppp/2n5/3p1bn1/3P4/2PB4/P1Q2PPP/R1B3K1 b - -,d8e8 c1g5 f5d3 c2d3 e8e6 g5f4 a8c8 h2h3 c6e7 a2a4,-96
4N3/5K2/4Pb1P/4k3/p1n5/8/8/8 b - -,,0
r1bqkbnr/pppp2pp/2n2p2/1B6/Q3P3/8/PPP2PPP/RNB1K1NR b KQkq -,f8c5 g1f3 a7a6 b1c3 g8e7 e1h1 d7d6 b2b4 c5a7 b5c6,24
r3q1k1/ppp2ppp/2n5/3p1bB1/3P4/2PB4/P1Q2PPP/R5K1 b - -,f5d3 c2d3 e8e6 g5f4 a8c8 h2h3 a7a6 d3g3 e6d7 a1b1,-98
4k3/2K5/3PP3/8/3N4/8/b7/8 b - -,h7h6 d3f5 h6g5 c2b3 b7b6 b3d5 c6e7 d5e4 e7f5 e4f5,Mate
1b6/1P6/5k2/8/4K1B1/5P2/8/8 b - -,f6g6 f3f4 g6f6 g4h3 f6g6 e4f3 g6h5 f3g3 b8c7 h3d7,246
r4rk1/bpq2p2/3p3p/p3pN2/3PPn2/1P3N1P/3Q1P2/R3R2K b - -,g8h7 a1a5 c7b6 e1a1 f8d8 d2e3 d8g8 f3h4 g8g5 e3f3,164
r1bqkbnr/ppp2ppp/2n5/4p3/3pP3/2PP1NP1/PP1N1P1P/R1BQKB1R b KQkq -,g8e7 c3d4 e5d4 f1g2 e7g6 e1h1 f8e7 f3e1 h7h5 f2f4,28
8/5pkp/1p2r1p1/8/P4R2/5RPP/2r2PK1/8 b - -,,0
r1bqkb1r/ppp2ppp/2n2n2/4p3/2NpP3/3P1NP1/PPP2PBP/R1BQK2R b KQkq -,f6g4 e1h1 b7b5 c4d2 f8e7 a2a4 b5b4 d2c4 c8e6 a4a5,36
r2qk2r/pp1bnppp/1bn1p2P/3pP3/3P4/2PB1N2/P4PP1/RNBQK2R b KQkq -,d8c7 h6g7 h8g8 h1h7 e8a8 c1g5 c8b8 e1f1 d8c8 b1a3,364
r1b1kbnr/pp2pppp/8/3NP3/3n4/P7/1P3PPP/R1B1KBNR b KQkq -,c8g4 d5c7 e8d8 c7a8 d4c2 e1d2 c2a1 d2c3 e7e6 f1e2,57
rn1qkb1r/pppb1ppp/5n2/8/2P5/1Q6/PP1P1PPP/RNB1KBNR b KQkq -,f8c5 g1f3 b8c6 f1e2 d8e7 b1c3 c6d4 f3d4 c5d4 d2d3,-92
rnbqkb1r/p4ppp/2p1pn2/1p6/P1pP4/2N2NP1/1PQ1PP1P/R1B1KB1R b KQkq -,a7a6 f1g2 c8b7 e1h1 f8e7 f1d1 b8d7 f3e5 f6d5 c3e4,-42
2kr2r1/ppqbnp1N/1bn1pBpP/3pP3/3P4/2PB4/P4PP1/RN1QK2R b KQ -,c6d4 c3d4 b6d4 b1d2 e7c6 a1c1 d4e5 d2f3 e5f6 h7f6,649
N1bk1bnr/pp2pppp/8/4P3/8/P7/1P3PPP/n1BK1BNR b - -,c8g4 f1e2 g4e2 g1e2 d8c8 e2d4 e7e6 c1e3 c8b8 d1e2,67
8/5Q2/7p/4qkp1/8/1p4P1/7K/8 b - -,,0
r1bqk2r/pp1p1ppp/2n1pn2/8/1bP1P3/1NN5/PP3PPP/R1BQKB1R b KQkq -,f6e4 d1c2 e4c3 b2c3 b4e7 c1f4 d7d6 a1d1 b7b6 f1d3,-140
8/8/7p/4q1p1/2Q3k1/1p4P1/7K/8 b - -,,0
2q1b3/4p1k1/p6p/Pp6/1PpPN3/2P1P1Pp/4Q3/6K1 b - -,c8f5 e4f2 f5b1 e2d1 b1b2 d1e1 e8d7 e3e4 d7g4 d4d5,16
4b3/4p1k1/p6p/Pp6/1PpP2Q1/2P1P1Pp/5N1K/2q5 b - -,,0
8/8/7p/4q1p1/8/1Q3kP1/7K/8 b - -,,0
8/8/7p/4q1p1/4k3/1p4P1/7K/1Q6 b - -,,0
rn1q1rk1/ppp2p2/3p1n2/2bPp1B1/2B5/3P1Q1P/PPP2PP1/R3K2R b KQ -,c5b4 c2c3 b8d7 c3b4 g8g7 f3f5 e5e4 e1h1 f8e8 d3d4,430
8/2K5/2B5/k7/2N5/8/8/8 b - -,a5b4 c4e3 b4c3 c7b6 c3d4 e3d5 d4e5 b6c5 e5e4 c5d6,185
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/2P5/P3PN1P/1P1P1PP1/RNBQKB1R b KQkq -,b7b6 b1c3 c8b7 d2d4 c5d4 e3d4 d7d5 c4d5 f6d5 f1d3,-10
r1bqkb1r/p1p1pppp/1pn2n2/1PPp4/3P4/8/P3PPPP/RNBQKBNR b KQkq -,c6a5 e2e3 b6c5 d4c5 a7a6 a2a4 e7e5 g1f3 f8c5 f3e5,-64
8/8/4B3/3N4/8/2K5/k7/8 b - -,a2b1 c3b3 b1c1 e6f5 c1d2 f5g6 d2e2 b3c2 e2f3 c2d3,171
R5K1/3k2P1/8/8/8/8/7r/8 b - -,d7e6 a8a1 h2g2 a1h1 e6e5 g8h7 e5d4 h1h4 d4d3 g7g8q,460
r2qkbnr/ppp2ppp/2n1p3/3p1b2/Q1PP4/5NP1/PP2PP1P/RNB1KB1R b KQkq -,a7a5 f1g2 g8f6 f3e5 f8b4 b1d2 e8h8 e5c6 d8e8 a2a3,40
r1b1kb1r/p4ppp/1np2p2/q7/PppP4/4PN2/1P1QBPPP/RN3RK1 b kq -,f8e7 d2c1 c8e6 f3d2 c6c5 d2c4 b6c4 e2c4 c5d4 e3d4,-12
2rr2k1/p4ppp/1p1qpn2/2nb4/3N4/1P2P3/P2N1PPP/1BRQ1RK1 b - -,g7g6 d1e2 d5b7 f1d1 d6e7 e2e1 e6e5 d4e2 f6d5 d2c4,-41
r1b1k1nr/pp1n1ppp/1qp5/2bpP3/4P3/5PB1/PPP1N1PP/RN1QKB1R b KQkq -,h7h5 h2h4 d7e5 b1c3 c5e3 e4d5 g8f6 c3a4 b6a5 c2c3,-121
r2qkbnr/pp2pppp/2n5/8/8/2NP4/PP1P1PPP/R1BQK1NR b KQkq -,d8d3 g1f3 g8f6 d1e2 c6b4 e2d3 b4d3 e1e2 a8d8 f3e1,-56
r1bq1rk1/pp1pppbp/2n2np1/2p5/4P2N/2NP2P1/PPP2PBP/R1BQK2R b KQ -,a8b8 f2f4 d7d6 e1h1 e7e6 c1e3 a7a6 a2a3 d8c7 g1h1,-28
2k2b1r/pp3ppp/8/5b2/2Pr4/1N6/PP3PPP/R1K2B1R b - -,d4d8 g2g3 g7g6 f1g2 f8h6 f2f4 h8e8 g2d5 h6g7 c1d2,-267
8/k7/1pK5/8/8/P1P5/8/8 b - -,d4h4 g2g3 h4h6 f1g2 f8b4 a2a3 b4e7 g2d5 e7f6 h2h4,Mate
rnbqk2r/ppp2ppp/3b1n2/2P1p3/1P1p4/P3P3/1B1P1PPP/RN1QKBNR b KQkq -,d6e7 g1f3 b8c6 f1b5 c8g4 h2h3 g4f3 d1f3 e8h8 e1h1,13
r2qk2r/pp1n1p2/2p1bnNp/3p2p1/3P4/B1PB4/P1P1QPPP/R3K2R b - -,h8g8 g6e7 c6c5 e7g8 f6g8 d4c5 d8f6 e1d2 g8e7 a1b1,260
