r1b1qrk1/1pp2pbn/n2p2p1/p2Pp2p/2P1P2B/2N2P2/PP1NB1PP/1R1Q1RK1 b - -,a6c5 c3b5 e8d7 d2b3 b7b6 b3c5 b6c5 d1c1 f7f5 e4f5,48
rn2k2r/pp3pp1/3pp2p/3p1b2/P2P4/4PN2/1PPKBPPP/R6R b kq -,b8d7 f3e1 h6h5 h2h4 d7f6 f2f3 a7a5 a1a3 e8e7 a3b3,41
r1bqkb1r/ppp2ppp/3p1n2/n2Pp3/4P3/2N2NP1/PPP2P1P/R1BQKB1R b KQkq -,c7c6 b2b4 c6d5 e4d5 f8e7 b4a5 d8a5 c1d2 f6d5 c3b5,201
r1bq3r/p3pk1p/2p2bp1/4n3/B7/2N5/PPP3PP/R1BQ1RK1 b - -,d8b6 g1h1 f7g7 d1e1 c8f5 h2h3 h7h5 c3e4 f5e4 e1e4,71
8/2q1bk1p/2Qp2p1/2pPp3/2P1N1P1/7P/5PK1/8 b - -,c7a7 e4d6 e7d6 c6d6 a7a4 d6c7 f7g8 c7c5 a4e8 d5d6,514
8/1k6/5K2/8/1Q6/8/8/7b b - -,c7a7 e4d6 e7d6 c6d6 a7a4 d6c7 f7g8 c7c5 a4e8 d5d6,Mate
1rb2rk1/2p1qpp1/p6p/1p2p2Q/4P3/1BP1P3/PP4PP/3R1RK1 b - -,c8d7 f1f7 f8f7 h5f7 e7f7 b3f7 g8f7 d1d7 f7f6 d7c7,164
r2qk1nr/pppb1ppp/2n1p3/3p4/1b1P1B2/2NBP3/PPP1NPPP/R2QK2R b KQkq -,b4d6 d1d2 c6b4 e1a1 g8f6 f2f3 b7b5 a2a3 b4d3 d2d3,23
1r3rk1/2p1qpp1/p3b2p/1p2Q3/4P3/1BP1P3/PP4PP/3R1RK1 b - -,b8d8 b3e6 d8d1 f1d1 f7e6 h2h3 g8h7 a2a3 f8f6 d1f1,42
r1b2rk1/3nb2p/pqn1BppP/1p1pP3/3p1P2/2P1BNP1/PP2N3/R2QK2R b KQ -,f8f7 e6f7 g8f7 e2d4 c6d4 d1d4 b6d4 c3d4 d7b6 e5f6,407
8/8/4k3/8/3BK3/8/4B3/8 b - -,f8f7 e6f7 g8f7 e2d4 c6d4 d1d4 b6d4 c3d4 d7b6 e5f6,Mate
r1r5/pp1nkpp1/3pp2p/P2p1b2/3P4/4P3/1PPKBPPP/R1R1N3 b - -,c8c7 f2f3 d7f6 h2h3 g7g5 g2g4 f5h7 e1d3 h7d3 d2d3,34
r1bqr1k1/pp3pp1/7p/2bn4/8/5Q1P/PPP2PPN/RNB2RK1 b - -,c8e6 f1d1 d8b6 c2c4 d5b4 b1a3 b4c6 c1e3 c5e3 f3e3,-54
