r1bq1rk1/ppp1n1bp/3p3n/3Pppp1/2P1P3/2N2P1P/PP1NBBP1/R2QK2R b KQ -,f5e4 f3e4 c8d7 f2e3 e7g6 g2g3 c7c5 e2h5 h6f7 a2a4,113
1k6/7R/KP4r1/8/8/8/8/8 b - -,g6g8 h7h6 g8d8 h6g6 b8a8 g6g7 d8h8 g7a7 a8b8 a7f7,Mate
r4rk1/1p2ppbp/2npb1p1/qNn5/p1P1P3/2N1BP2/PP1QB1PP/2R2RK1 b - -,f7f5 e4f5 f8f5 c1d1 a8f8 d2c1 a5b4 b5a3 f5f7 g1h1,56
rnbq1rk1/ppbp1ppp/2p2n2/4p1N1/2B1P3/2NP4/PPP2PPP/R1BQ1RK1 b - -,d7d5 c4b3 h7h6 g5f3 f8e8 f1e1 a7a5 a2a3 c8e6 e4d5,-75
8/4p3/3k4/8/3K4/8/4P3/8 b - -,,0
r2q1rk1/b1p2ppp/2ppbn2/p3p3/3PP3/2P2N1P/PP3PP1/RNBQR1K1 b - -,h7h6 d4e5 d6e5 d1e2 f6d7 b1a3 a5a4 a3c4 f7f6 c1e3,-17
3r1r1k/pp2qp1p/1np1pp1Q/8/2PP2N1/8/PP3PPP/3RR1K1 b - -,f8e8 g4f6 e7f6 h6f6 h8g8 d1d3 b6d7 f6g5 g8f8 d3g3,1084
2r2bk1/p2n1pp1/1r5p/8/qppNP1PB/2P4P/P3RP2/3QR1K1 b - -,b4b3 e2d2 d7c5 d1e2 a4a6 g1h2 a6b7 d4f5 b3b2 e1b1,-307
r1b1kbnr/ppq2ppp/2n5/8/3P4/8/PPP1P1PP/RNBQKBNR b KQkq -,c8f5 b1c3 g8f6 e2e3 f8d6 c3b5 d6g3 h2g3 c7g3 e1e2,103
r2qkb1r/pp1npppp/2p2n2/3p2B1/3P4/2NB1P1P/PPP2PP1/R2QK2R b KQkq -,e7e6 c3e2 f8d6 e1h1 h7h6 g5e3 c6c5 c2c4 a8c8 b2b3,-5
r2qkb1r/pp3ppp/2n2n2/1B1p4/3p2b1/2N2N2/PPP2PPP/R1B1QRK1 b kq -,f6e4 c3e4 d5e4 b5c6 b7c6 e1e4 g4e6 e4c6 e6d7 f1e1,417
r1b1kbnr/p3pppp/2p5/q7/8/2N3P1/PP2PP1P/R1BQKB1R b KQkq -,e7e5 f1g2 c8d7 c1d2 a5c7 a1c1 g8f6 d2g5 f8e7 g5f6,156
